model,draw,layer,r2_mean,r2_std
pythia-70m,draw_1,0,0.6629929026769077,0.04772143681376362
pythia-70m,draw_1,1,0.7010715337818961,0.04444861555316278
pythia-70m,draw_1,2,0.7938295827102951,0.007379743981885806
pythia-70m,draw_1,3,0.7406212432368411,0.02540479126263064
pythia-70m,draw_1,4,0.6729717293788531,0.034371817391445535
pythia-70m,draw_1,5,0.6390131861516986,0.03770638104135669
pythia-70m,draw_2,0,0.7047062707255647,0.03334056781710938
pythia-70m,draw_2,1,0.6760326250446053,0.030180687020238857
pythia-70m,draw_2,2,0.7652340753978343,0.027588553580479527
pythia-70m,draw_2,3,0.7716433029207459,0.028450566893530385
pythia-70m,draw_2,4,0.6421365986926271,0.04361906825557541
pythia-70m,draw_2,5,0.6087395912947581,0.042051223319657695
pythia-70m,draw_3,0,0.703822649944303,0.026246198689999566
pythia-70m,draw_3,1,0.7407382336139121,0.015273721121640122
pythia-70m,draw_3,2,0.7752018205013929,0.029981346316055837
pythia-70m,draw_3,3,0.7559047338411607,0.02213771079970706
pythia-70m,draw_3,4,0.6940414292769678,0.04032528377133808
pythia-70m,draw_3,5,0.6240359108893296,0.028858234817913223
pythia-160m,draw_1,0,0.48802575681832144,0.07525942079445785
pythia-160m,draw_1,1,0.3545810906331634,0.11246520096276921
pythia-160m,draw_1,2,0.48770602458993606,0.07607948101348962
pythia-160m,draw_1,3,0.5932391162357764,0.04947400857223197
pythia-160m,draw_1,4,0.5858817838263887,0.03102331341307787
pythia-160m,draw_1,5,0.6195680941669632,0.037116539638883755
pythia-160m,draw_1,6,0.6787390791493635,0.03330121009556375
pythia-160m,draw_1,7,0.6318411796949415,0.042595652439112286
pythia-160m,draw_1,8,0.7068500416089472,0.04244368840015062
pythia-160m,draw_1,9,0.6140999777802392,0.050253467449548325
pythia-160m,draw_1,10,0.5138022256718888,0.045930581629880646
pythia-160m,draw_1,11,0.6653554336058046,0.029393659460374994
pythia-160m,draw_2,0,0.5189662418123675,0.05738285571041647
pythia-160m,draw_2,1,0.33368372216536446,0.0402352815543915
pythia-160m,draw_2,2,0.5187523199118285,0.053796411149201494
pythia-160m,draw_2,3,0.6182402401940471,0.03034808290562938
pythia-160m,draw_2,4,0.5300237918030195,0.06471837534329425
pythia-160m,draw_2,5,0.6666118133208272,0.04410378006542329
pythia-160m,draw_2,6,0.7110585920199345,0.020159710205177376
pythia-160m,draw_2,7,0.6736526594788247,0.0534085882983929
pythia-160m,draw_2,8,0.6837695539513768,0.01705138201417472
pythia-160m,draw_2,9,0.6450631533179724,0.03752540066297963
pythia-160m,draw_2,10,0.5086848984274053,0.04218363109530317
pythia-160m,draw_2,11,0.572764882817825,0.02989384449909197
pythia-160m,draw_3,0,0.45072265934872924,0.029809716449124817
pythia-160m,draw_3,1,0.30007310256477043,0.026329797453706536
pythia-160m,draw_3,2,0.4868947257190145,0.04886548414173442
pythia-160m,draw_3,3,0.5221835885808845,0.044673760869474055
pythia-160m,draw_3,4,0.4370108522132391,0.06244513945830671
pythia-160m,draw_3,5,0.5958897402351961,0.04637355581564761
pythia-160m,draw_3,6,0.6504558584130097,0.04378273589761015
pythia-160m,draw_3,7,0.7071395368754221,0.029375031385134684
pythia-160m,draw_3,8,0.717770867333546,0.031150841557990153
pythia-160m,draw_3,9,0.624713061393494,0.03373894733251864
pythia-160m,draw_3,10,0.559769432445747,0.03350091234871257
pythia-160m,draw_3,11,0.6031651401884291,0.029294536414215904
pythia-410m,draw_1,0,0.6850197798397406,0.014889777059838539
pythia-410m,draw_1,1,0.6841492486340981,0.026192846638162244
pythia-410m,draw_1,2,0.6998627312458922,0.020612119562851815
pythia-410m,draw_1,3,0.7136727102174675,0.016792592275323596
pythia-410m,draw_1,4,0.7463487090136326,0.013503881236947604
pythia-410m,draw_1,5,0.714348061441514,0.025797989018803612
pythia-410m,draw_1,6,0.7188573031441206,0.032152780608916055
pythia-410m,draw_1,7,0.7488700939912727,0.03799923192870926
pythia-410m,draw_1,8,0.7490519518504393,0.019267728799414848
pythia-410m,draw_1,9,0.7470103211041949,0.015410234066944549
pythia-410m,draw_1,10,0.7471067702127691,0.01396687789304744
pythia-410m,draw_1,11,0.7487399100117687,0.02353410096252052
pythia-410m,draw_1,12,0.7748636460455268,0.019858228765887904
pythia-410m,draw_1,13,0.794972763115943,0.02043094987234945
pythia-410m,draw_1,14,0.7655425875190558,0.014023231537134806
pythia-410m,draw_1,15,0.7490729419305929,0.022560144307201997
