model,metric,mean,std,cv
pythia-70m,peak_probe_accuracy,0.5934814814814815,0.01530163121028188,0.025782828424713602
pythia-70m,peak_probe_layer_frac,0.5,0.16666666666666666,0.3333333333333333
pythia-70m,peak_separation_ratio,12.057628282028974,2.15636608210478,0.17883832804156755
pythia-160m,peak_probe_accuracy,0.6477037037037037,0.018863163309507488,0.029123136399628442
pythia-160m,peak_probe_layer_frac,0.5555555555555557,0.048112522432468836,0.08660254037844388
pythia-160m,peak_separation_ratio,12.815713520042822,0.3868433418995608,0.030185080315236965
pythia-410m,peak_probe_accuracy,0.6882962962962963,0.006306310119642317,0.009162202606023599
pythia-410m,peak_probe_layer_frac,0.9444444444444445,0.024056261216234453,0.025471335405424712
pythia-410m,peak_separation_ratio,13.712337908937824,1.3177904162714043,0.09610253371983028
pythia-1b,peak_probe_accuracy,0.6906666666666667,0.008146801235477109,0.011795561634378053
pythia-1b,peak_probe_layer_frac,0.9375,0.0,0.0
pythia-1b,peak_separation_ratio,16.24046085768464,0.19122866488930718,0.011774829948795563
pythia-1.4b,peak_probe_accuracy,0.7357037037037036,0.009791236528508624,0.013308668257638587
pythia-1.4b,peak_probe_layer_frac,0.9583333333333334,0.0,0.0
pythia-1.4b,peak_separation_ratio,19.644941223664105,0.3179207077188658,0.01618333718076497
