model,draw,band,layer,cov_trace,total_variance
pythia-160m,draw_1,high,0,81.49988351989015,81.13765716552734
pythia-160m,draw_1,high,1,97.08119962194618,96.64972686767578
pythia-160m,draw_1,high,2,107.764003624186,107.2850570678711
pythia-160m,draw_1,high,3,139.77431399914752,139.15310668945312
pythia-160m,draw_1,high,4,138.35389406232844,137.73898315429688
pythia-160m,draw_1,high,5,184.6749038224921,183.8541259765625
pythia-160m,draw_1,high,6,177.58847404008176,176.7991943359375
pythia-160m,draw_1,high,7,208.0845527587495,207.15972900390625
pythia-160m,draw_1,high,8,308.32667695965574,306.95635986328125
pythia-160m,draw_1,high,9,348.24498024471154,346.6972351074219
pythia-160m,draw_1,high,10,360.2031594510702,358.60223388671875
pythia-160m,draw_1,high,11,533.1408734352997,530.7713623046875
pythia-160m,draw_1,very_high,0,71.38136398001612,71.06411743164062
pythia-160m,draw_1,very_high,1,89.41330751720454,89.01591491699219
pythia-160m,draw_1,very_high,2,101.60121359255064,101.14965057373047
pythia-160m,draw_1,very_high,3,134.06122676552235,133.46539306640625
pythia-160m,draw_1,very_high,4,134.07523661915008,133.47933959960938
pythia-160m,draw_1,very_high,5,184.83589943385152,184.014404296875
pythia-160m,draw_1,very_high,6,181.2097859995824,180.40440368652344
pythia-160m,draw_1,very_high,7,218.05973531731755,217.09059143066406
pythia-160m,draw_1,very_high,8,301.5848126710026,300.2444152832031
pythia-160m,draw_1,very_high,9,334.364553425169,332.87847900390625
pythia-160m,draw_1,very_high,10,349.8566814304522,348.3017578125
pythia-160m,draw_1,very_high,11,510.4957099487464,508.226806640625
pythia-160m,draw_1,control,0,74.65792985739662,74.32611083984375
pythia-160m,draw_1,control,1,91.60676825775295,91.19963073730469
pythia-160m,draw_1,control,2,103.60715561426284,103.14667510986328
pythia-160m,draw_1,control,3,136.35858764372216,135.75254821777344
pythia-160m,draw_1,control,4,137.64822180479476,137.03643798828125
pythia-160m,draw_1,control,5,181.3535766946352,180.5475616455078
pythia-160m,draw_1,control,6,179.57718484529624,178.77906799316406
pythia-160m,draw_1,control,7,216.40373427106556,215.4419403076172
pythia-160m,draw_1,control,8,314.16682123660325,312.7705078125
pythia-160m,draw_1,control,9,351.43855886926474,349.8766174316406
pythia-160m,draw_1,control,10,355.3482144519833,353.76885986328125
pythia-160m,draw_1,control,11,524.4981298911684,522.1669921875
pythia-160m,draw_2,low,0,101.3464943627119,100.89606475830078
pythia-160m,draw_2,low,1,112.68989340123376,112.18904113769531
pythia-160m,draw_2,low,2,118.52227574036117,117.99551391601562
pythia-160m,draw_2,low,3,141.79141194620405,141.16122436523438
pythia-160m,draw_2,low,4,134.2424231447396,133.6457977294922
pythia-160m,draw_2,low,5,163.7499742082188,163.02220153808594
pythia-160m,draw_2,low,6,168.88540609902088,168.1348114013672
pythia-160m,draw_2,low,7,194.53821667644434,193.67361450195312
pythia-160m,draw_2,low,8,285.4428489789045,284.1742248535156
pythia-160m,draw_2,low,9,308.0931515242502,306.7238464355469
pythia-160m,draw_2,low,10,340.29080234417984,338.77838134765625
pythia-160m,draw_2,low,11,599.6667502285309,597.0015869140625
pythia-160m,draw_2,medium,0,92.54734230624209,92.13601684570312
pythia-160m,draw_2,medium,1,105.20397627353455,104.73640441894531
pythia-160m,draw_2,medium,2,112.48756093170935,111.98761749267578
pythia-160m,draw_2,medium,3,140.6303363231908,140.00531005859375
pythia-160m,draw_2,medium,4,135.3054928244369,134.70413208007812
pythia-160m,draw_2,medium,5,169.6393490590879,168.88540649414062
pythia-160m,draw_2,medium,6,170.22685340414733,169.4702911376953
pythia-160m,draw_2,medium,7,202.40952018022696,201.50991821289062
pythia-160m,draw_2,medium,8,301.1226091805771,299.7843017578125
pythia-160m,draw_2,medium,9,326.7004470612055,325.2484436035156
pythia-160m,draw_2,medium,10,363.5503442554182,361.9345703125
pythia-160m,draw_2,medium,11,577.5936847765335,575.026611328125
pythia-160m,draw_2,high,0,78.98391682701941,78.63287353515625
pythia-160m,draw_2,high,1,94.37840181139833,93.95894622802734
pythia-160m,draw_2,high,2,104.8225157161711,104.35662841796875
pythia-160m,draw_2,high,3,137.84354360769055,137.23089599609375
pythia-160m,draw_2,high,4,135.69163329494302,135.08856201171875
pythia-160m,draw_2,high,5,177.19530729024584,176.40777587890625
pythia-160m,draw_2,high,6,175.9012012074091,175.11941528320312
pythia-160m,draw_2,high,7,214.16430063842492,213.21246337890625
pythia-160m,draw_2,high,8,311.874806044513,310.4886779785156
pythia-160m,draw_2,high,9,355.2639804697582,353.6850280761719
pythia-160m,draw_2,high,10,371.334301166091,369.68389892578125
pythia-160m,draw_2,high,11,522.2143508805768,519.8933715820312
pythia-160m,draw_2,very_high,0,69.77738251091854,69.46725463867188
pythia-160m,draw_2,very_high,1,87.08501567554998,86.69796752929688
pythia-160m,draw_2,very_high,2,98.36810625891684,97.930908203125
pythia-160m,draw_2,very_high,3,132.08045797723156,131.49343872070312
pythia-160m,draw_2,very_high,4,133.6812257324763,133.08709716796875
pythia-160m,draw_2,very_high,5,179.1772049557004,178.380859375
pythia-160m,draw_2,very_high,6,177.61131982861224,176.82192993164062
pythia-160m,draw_2,very_high,7,218.9803252737279,218.007080078125
pythia-160m,draw_2,very_high,8,292.2276937589238,290.9289245605469
pythia-160m,draw_2,very_high,9,333.00946804107116,331.5294189453125
pythia-160m,draw_2,very_high,10,350.163333572101,348.6070556640625
pythia-160m,draw_2,very_high,11,508.69112056961023,506.4302978515625
pythia-160m,draw_2,control,0,74.90272227409561,74.56982421875
pythia-160m,draw_2,control,1,91.69918016849314,91.2916259765625
pythia-160m,draw_2,control,2,103.29868755230143,102.83958435058594
pythia-160m,draw_2,control,3,136.0651223470204,135.4604034423828
pythia-160m,draw_2,control,4,137.4207624067434,136.80999755859375
pythia-160m,draw_2,control,5,186.54778876922757,185.71868896484375
pythia-160m,draw_2,control,6,182.3129622262918,181.502685546875
pythia-160m,draw_2,control,7,221.8167554780403,220.83090209960938
pythia-160m,draw_2,control,8,325.2934616812481,323.84771728515625
pythia-160m,draw_2,control,9,361.8302724380295,360.22216796875
pythia-160m,draw_2,control,10,375.9206807245658,374.24993896484375
pythia-160m,draw_2,control,11,536.4090068312696,534.0250244140625
pythia-160m,draw_3,low,0,99.88499316844336,99.4410629272461
pythia-160m,draw_3,low,1,111.59118734909929,111.09523010253906
pythia-160m,draw_3,low,2,117.98378997234555,117.45941925048828
pythia-160m,draw_3,low,3,141.86336122779187,141.2328643798828
pythia-160m,draw_3,low,4,134.41456280761057,133.81716918945312
pythia-160m,draw_3,low,5,162.64800421576635,161.9251251220703
pythia-160m,draw_3,low,6,164.77539112152525,164.04306030273438
pythia-160m,draw_3,low,7,193.66367591248968,192.80294799804688
pythia-160m,draw_3,low,8,287.6776174378888,286.3990478515625
pythia-160m,draw_3,low,9,315.8030427283448,314.39947509765625
pythia-160m,draw_3,low,10,354.9785971576173,353.40093994140625
pythia-160m,draw_3,low,11,602.7315951504936,600.0527954101562
pythia-160m,draw_3,medium,0,92.04647065813819,91.63737487792969
pythia-160m,draw_3,medium,1,104.5605940796703,104.09588623046875
pythia-160m,draw_3,medium,2,110.86467971787607,110.37194061279297
pythia-160m,draw_3,medium,3,138.0094083714413,137.39602661132812
pythia-160m,draw_3,medium,4,132.4988860497743,131.91000366210938
pythia-160m,draw_3,medium,5,169.10832364543535,168.3567352294922
pythia-160m,draw_3,medium,6,169.6762955835612,168.92218017578125
pythia-160m,draw_3,medium,7,200.37044353963057,199.47991943359375
pythia-160m,draw_3,medium,8,303.4534449505478,302.1047668457031
pythia-160m,draw_3,medium,9,334.5374363784289,333.05059814453125
pythia-160m,draw_3,medium,10,372.49052444219615,370.83502197265625
pythia-160m,draw_3,medium,11,579.5623224127216,576.9865112304688
pythia-160m,draw_3,high,0,81.37158463580914,81.00993347167969
pythia-160m,draw_3,high,1,96.75733497473647,96.32730102539062
pythia-160m,draw_3,high,2,106.04808453608415,105.5767593383789
pythia-160m,draw_3,high,3,137.77718077445093,137.16482543945312
pythia-160m,draw_3,high,4,135.21201442062787,134.61106872558594
pythia-160m,draw_3,high,5,179.87100169358973,179.07156372070312
pythia-160m,draw_3,high,6,176.23973734107267,175.45643615722656
pythia-160m,draw_3,high,7,212.80367116400214,211.85787963867188
pythia-160m,draw_3,high,8,303.16057230636744,301.8132019042969
pythia-160m,draw_3,high,9,352.12555531932105,350.560546875
pythia-160m,draw_3,high,10,360.72311812799524,359.1199035644531
pythia-160m,draw_3,high,11,540.3434926228604,537.9419555664062
pythia-160m,draw_3,very_high,0,70.41943194030898,70.10646057128906
pythia-160m,draw_3,very_high,1,88.6691084233414,88.2750244140625
pythia-160m,draw_3,very_high,2,100.3450116744036,99.89903259277344
pythia-160m,draw_3,very_high,3,133.9125395943057,133.31736755371094
pythia-160m,draw_3,very_high,4,134.53042651513832,133.93251037597656
pythia-160m,draw_3,very_high,5,177.77489026293756,176.98477172851562
pythia-160m,draw_3,very_high,6,174.24126510742525,173.46685791015625
pythia-160m,draw_3,very_high,7,221.30450707560703,220.3209228515625
pythia-160m,draw_3,very_high,8,297.7925129218736,296.468994140625
pythia-160m,draw_3,very_high,9,334.3419244171306,332.85595703125
pythia-160m,draw_3,very_high,10,351.507459299179,349.9451904296875
pythia-160m,draw_3,very_high,11,518.0716353018049,515.7691040039062
pythia-160m,draw_3,control,0,74.33746246691976,74.00707244873047
pythia-160m,draw_3,control,1,90.74260154711433,90.33930206298828
pythia-160m,draw_3,control,2,101.88337901084637,101.43055725097656
pythia-160m,draw_3,control,3,134.61471583115065,134.0164337158203
pythia-160m,draw_3,control,4,135.64349637655107,135.04063415527344
pythia-160m,draw_3,control,5,178.24006780035222,177.44789123535156
pythia-160m,draw_3,control,6,178.6918304396208,177.89764404296875
pythia-160m,draw_3,control,7,223.2816608334548,222.289306640625
pythia-160m,draw_3,control,8,316.0016210818935,314.59716796875
pythia-160m,draw_3,control,9,345.5852480011553,344.04931640625
pythia-160m,draw_3,control,10,350.1550690052966,348.59881591796875
pythia-160m,draw_3,control,11,513.0701253852028,510.78985595703125
pythia-410m,draw_1,low,0,197.72019317049606,196.8414306640625
pythia-410m,draw_1,low,1,210.25549525146505,209.32101440429688
pythia-410m,draw_1,low,2,222.05679241660872,221.06988525390625
pythia-410m,draw_1,low,3,230.37765814114854,229.353759765625
pythia-410m,draw_1,low,4,230.3054131685388,229.28184509277344
pythia-410m,draw_1,low,5,234.21954824789856,233.1785888671875
pythia-410m,draw_1,low,6,242.72220609711377,241.6434326171875
pythia-410m,draw_1,low,7,243.49429698565797,242.412109375
pythia-410m,draw_1,low,8,247.51764598714786,246.41757202148438
pythia-410m,draw_1,low,9,269.13943691402665,267.9432373046875
pythia-410m,draw_1,low,10,291.65404512252974,290.3577880859375
pythia-410m,draw_1,low,11,351.69067812553897,350.12762451171875
pythia-410m,draw_1,low,12,307.8231918946839,306.455078125
pythia-410m,draw_1,low,13,329.8799097356505,328.4137878417969
pythia-410m,draw_1,low,14,294.25042708269007,292.942626953125
pythia-410m,draw_1,low,15,301.77500690028717,300.43377685546875
pythia-410m,draw_1,low,16,357.8980070574526,356.307373046875
pythia-410m,draw_1,low,17,513.7043553369845,511.42120361328125
pythia-410m,draw_1,low,18,759.5355908957383,756.1598510742188
pythia-410m,draw_1,low,19,741.7979479961111,738.5010375976562
pythia-410m,draw_1,low,20,1028.2017217444804,1023.6319580078125
pythia-410m,draw_1,low,21,912.7832828466915,908.7264404296875
pythia-410m,draw_1,low,22,1015.4578259683198,1010.9447021484375
pythia-410m,draw_1,low,23,1211.650313640293,1206.2652587890625
pythia-410m,draw_1,medium,0,167.68014055342587,166.9348907470703
pythia-410m,draw_1,medium,1,184.99953044590237,184.17730712890625
pythia-410m,draw_1,medium,2,198.00991221162016,197.12986755371094
pythia-410m,draw_1,medium,3,209.25642508746228,208.32638549804688
pythia-410m,draw_1,medium,4,212.08398334968297,211.14138793945312
pythia-410m,draw_1,medium,5,223.8290202853771,222.834228515625
pythia-410m,draw_1,medium,6,235.25426015257,234.2086944580078
pythia-410m,draw_1,medium,7,237.31941963573672,236.26466369628906
pythia-410m,draw_1,medium,8,242.57793460734473,241.49981689453125
pythia-410m,draw_1,medium,9,263.28357415827656,262.1134033203125
pythia-410m,draw_1,medium,10,287.68682935278775,286.408203125
pythia-410m,draw_1,medium,11,356.2437977317247,354.6604919433594
pythia-410m,draw_1,medium,12,308.2542946234322,306.88427734375
pythia-410m,draw_1,medium,13,335.0838479914663,333.5946044921875
pythia-410m,draw_1,medium,14,294.7036372751719,293.3938293457031
pythia-410m,draw_1,medium,15,302.24694116988474,300.90362548828125
pythia-410m,draw_1,medium,16,362.2318537515599,360.6219482421875
pythia-410m,draw_1,medium,17,517.1239912200392,514.82568359375
pythia-410m,draw_1,medium,18,800.6171338931804,797.058837890625
pythia-410m,draw_1,medium,19,801.1412020407441,797.58056640625
pythia-410m,draw_1,medium,20,1124.3265990429736,1119.32958984375
pythia-410m,draw_1,medium,21,1042.83785814882,1038.203125
pythia-410m,draw_1,medium,22,1073.2440969835036,1068.47412109375
pythia-410m,draw_1,medium,23,1191.0621686598195,1185.7685546875
pythia-410m,draw_1,high,0,132.88880189062462,132.2981719970703
pythia-410m,draw_1,high,1,155.32918338250533,154.63882446289062
pythia-410m,draw_1,high,2,171.91168036144262,171.14764404296875
pythia-410m,draw_1,high,3,186.36456059422108,185.5362548828125
pythia-410m,draw_1,high,4,192.87797104461157,192.02073669433594
pythia-410m,draw_1,high,5,212.211275523843,211.2681121826172
pythia-410m,draw_1,high,6,227.68333315077706,226.67141723632812
pythia-410m,draw_1,high,7,231.76556318186232,230.73550415039062
pythia-410m,draw_1,high,8,240.6373518929924,239.56785583496094
pythia-410m,draw_1,high,9,258.6303504738033,257.48089599609375
pythia-410m,draw_1,high,10,287.14475017980413,285.8685302734375
pythia-410m,draw_1,high,11,359.04061820654783,357.44488525390625
pythia-410m,draw_1,high,12,313.03443265267094,311.6431579589844
pythia-410m,draw_1,high,13,340.4454733130718,338.932373046875
pythia-410m,draw_1,high,14,298.694714246599,297.3671875
pythia-410m,draw_1,high,15,305.5844302735461,304.2262878417969
pythia-410m,draw_1,high,16,366.5738527054965,364.94464111328125
pythia-410m,draw_1,high,17,535.1482861223114,532.7698364257812
pythia-410m,draw_1,high,18,796.0344864200645,792.4965209960938
pythia-410m,draw_1,high,19,833.235228559788,829.531982421875
pythia-410m,draw_1,high,20,1192.638683053733,1187.338134765625
pythia-410m,draw_1,high,21,1125.1620626067681,1120.161376953125
pythia-410m,draw_1,high,22,1077.8045467245288,1073.0142822265625
pythia-410m,draw_1,high,23,1146.7846909646687,1141.687744140625
pythia-410m,draw_1,very_high,0,109.27969305759268,108.79400634765625
pythia-410m,draw_1,very_high,1,135.9347013044888,135.33053588867188
pythia-410m,draw_1,very_high,2,156.30910177324313,155.61439514160156
pythia-410m,draw_1,very_high,3,174.71101975247018,173.93453979492188
pythia-410m,draw_1,very_high,4,185.52977967232886,184.7052001953125
pythia-410m,draw_1,very_high,5,204.38937778904034,203.48097229003906
pythia-410m,draw_1,very_high,6,221.35256432829107,220.3687744140625
pythia-410m,draw_1,very_high,7,228.39856878177085,227.3834686279297
pythia-410m,draw_1,very_high,8,237.04701117716013,235.99346923828125
pythia-410m,draw_1,very_high,9,253.7575391407961,252.6297149658203
pythia-410m,draw_1,very_high,10,282.9202603147328,281.662841796875
pythia-410m,draw_1,very_high,11,356.2358349200715,354.6525573730469
pythia-410m,draw_1,very_high,12,307.3728989591983,306.0068054199219
pythia-410m,draw_1,very_high,13,330.44763210632436,328.9789733886719
pythia-410m,draw_1,very_high,14,291.3680943936074,290.0731201171875
pythia-410m,draw_1,very_high,15,300.0862614591225,298.7525634765625
pythia-410m,draw_1,very_high,16,361.4247039482943,359.818359375
pythia-410m,draw_1,very_high,17,509.9156289725326,507.6493225097656
pythia-410m,draw_1,very_high,18,751.8546514176425,748.5130615234375
pythia-410m,draw_1,very_high,19,778.0232554821838,774.5653686523438
pythia-410m,draw_1,very_high,20,1102.8890086952651,1097.9873046875
pythia-410m,draw_1,very_high,21,1094.8902085213358,1090.0240478515625
pythia-410m,draw_1,very_high,22,1030.2580899688214,1025.67919921875
pythia-410m,draw_1,very_high,23,1023.057959649644,1018.5110473632812
pythia-410m,draw_1,control,0,118.49855121752687,117.97189331054688
pythia-410m,draw_1,control,1,142.4453827186345,141.81228637695312
pythia-410m,draw_1,control,2,161.5816548657706,160.863525390625
pythia-410m,draw_1,control,3,179.0478181479315,178.25204467773438
pythia-410m,draw_1,control,4,188.82819300863017,187.98895263671875
pythia-410m,draw_1,control,5,207.08260300874625,206.1622314453125
pythia-410m,draw_1,control,6,223.4647450662429,222.47157287597656
pythia-410m,draw_1,control,7,229.97065025970193,228.94854736328125
pythia-410m,draw_1,control,8,238.7043959673083,237.64349365234375
pythia-410m,draw_1,control,9,256.76210423682,255.62094116210938
pythia-410m,draw_1,control,10,288.06004385296467,286.77978515625
pythia-410m,draw_1,control,11,358.2008407385198,356.60882568359375
pythia-410m,draw_1,control,12,307.4785330211083,306.1119384765625
pythia-410m,draw_1,control,13,334.48783601394746,333.001220703125
pythia-410m,draw_1,control,14,294.3480620866868,293.03985595703125
pythia-410m,draw_1,control,15,300.23719742854337,298.90283203125
pythia-410m,draw_1,control,16,359.9049675962368,358.3053894042969
pythia-410m,draw_1,control,17,502.3737106816177,500.14093017578125
pythia-410m,draw_1,control,18,745.9924026029638,742.6768798828125
pythia-410m,draw_1,control,19,791.0004633460419,787.48486328125
pythia-410m,draw_1,control,20,1201.4366949527355,1196.096923828125
pythia-410m,draw_1,control,21,1173.4348116350964,1168.219482421875
pythia-410m,draw_1,control,22,1089.1524978557436,1084.311767578125
pythia-410m,draw_1,control,23,1090.3222825506732,1085.476318359375
pythia-410m,draw_2,low,0,193.9269150985937,193.0650177001953
pythia-410m,draw_2,low,1,207.0278811257042,206.10775756835938
pythia-410m,draw_2,low,2,218.32121892436678,217.35089111328125
pythia-410m,draw_2,low,3,226.26090206721014,225.2552947998047
pythia-410m,draw_2,low,4,226.20419972040327,225.1988525390625
pythia-410m,draw_2,low,5,230.3300966643086,229.306396484375
pythia-410m,draw_2,low,6,240.28985714489903,239.22189331054688
pythia-410m,draw_2,low,7,241.14019150893012,240.06845092773438
pythia-410m,draw_2,low,8,245.88533674547637,244.79251098632812
pythia-410m,draw_2,low,9,267.5960055127477,266.40667724609375
pythia-410m,draw_2,low,10,291.9215842400388,290.6241455078125
pythia-410m,draw_2,low,11,356.15226868769867,354.5693664550781
pythia-410m,draw_2,low,12,310.18722223970116,308.80859375
pythia-410m,draw_2,low,13,331.66822787345734,330.19415283203125
pythia-410m,draw_2,low,14,295.91875691490765,294.6035461425781
pythia-410m,draw_2,low,15,304.9901205147885,303.63458251953125
pythia-410m,draw_2,low,16,363.4190853819797,361.8038635253906
pythia-410m,draw_2,low,17,540.3876341060347,537.9859619140625
pythia-410m,draw_2,low,18,797.8456261502183,794.2996826171875
pythia-410m,draw_2,low,19,765.2199507564935,761.8189697265625
pythia-410m,draw_2,low,20,1022.5409655209673,1017.996337890625
pythia-410m,draw_2,low,21,921.291171434676,917.1964721679688
pythia-410m,draw_2,low,22,1056.4497737913389,1051.75439453125
pythia-410m,draw_2,low,23,1265.1440319273038,1259.5211181640625
pythia-410m,draw_2,medium,0,166.04791640975827,165.3099365234375
pythia-410m,draw_2,medium,1,183.2502962121909,182.43585205078125
pythia-410m,draw_2,medium,2,197.2926399143154,196.41578674316406
pythia-410m,draw_2,medium,3,208.99833935820124,208.0694580078125
pythia-410m,draw_2,medium,4,211.85427129079852,210.91268920898438
pythia-410m,draw_2,medium,5,223.0952991039685,222.103759765625
pythia-410m,draw_2,medium,6,234.16708880924384,233.1263427734375
pythia-410m,draw_2,medium,7,237.27385135301677,236.21929931640625
pythia-410m,draw_2,medium,8,243.55005686912747,242.46762084960938
pythia-410m,draw_2,medium,9,264.0724084511982,262.89874267578125
pythia-410m,draw_2,medium,10,290.1736664864392,288.8840026855469
pythia-410m,draw_2,medium,11,357.86343564830463,356.2729187011719
pythia-410m,draw_2,medium,12,309.3726833755487,307.9977111816406
pythia-410m,draw_2,medium,13,334.83380381389475,333.34564208984375
pythia-410m,draw_2,medium,14,296.5379113888664,295.2199401855469
pythia-410m,draw_2,medium,15,305.13645434650306,303.7802734375
