model,draw,band,layer,cov_trace,total_variance
pythia-70m,draw_1,low,0,46.94010822649598,46.73148727416992
pythia-70m,draw_1,low,1,56.431063355688764,56.180259704589844
pythia-70m,draw_1,low,2,377.4279770130543,375.7504577636719
pythia-70m,draw_1,low,3,382.30098039972773,380.60186767578125
pythia-70m,draw_1,low,4,120.87250312651423,120.33528900146484
pythia-70m,draw_1,low,5,238.81020397826865,237.7488250732422
pythia-70m,draw_1,medium,0,44.416931000925395,44.219520568847656
pythia-70m,draw_1,medium,1,56.521711552562614,56.270503997802734
pythia-70m,draw_1,medium,2,418.9976583717507,417.135498046875
pythia-70m,draw_1,medium,3,436.9419234365493,435.0
pythia-70m,draw_1,medium,4,138.82308536211673,138.20608520507812
pythia-70m,draw_1,medium,5,228.08691126964987,227.0731964111328
pythia-70m,draw_1,high,0,40.98137537406423,40.79923629760742
pythia-70m,draw_1,high,1,51.23521807764376,51.007503509521484
pythia-70m,draw_1,high,2,261.1309126430267,259.9703674316406
pythia-70m,draw_1,high,3,282.77103659624356,281.5143127441406
pythia-70m,draw_1,high,4,107.72709696889083,107.24830627441406
pythia-70m,draw_1,high,5,217.8507440202177,216.88250732421875
pythia-70m,draw_1,very_high,0,37.9589960105635,37.79029083251953
pythia-70m,draw_1,very_high,1,47.29235541586934,47.08216857910156
pythia-70m,draw_1,very_high,2,159.04258048340319,158.33575439453125
pythia-70m,draw_1,very_high,3,184.90882042201588,184.08700561523438
pythia-70m,draw_1,very_high,4,104.80415191425118,104.3383560180664
pythia-70m,draw_1,very_high,5,239.06871377878184,238.00619506835938
pythia-70m,draw_1,control,0,38.69641866863345,38.52443313598633
pythia-70m,draw_1,control,1,47.39037973046064,47.17975616455078
pythia-70m,draw_1,control,2,159.45764229625462,158.74893188476562
pythia-70m,draw_1,control,3,185.41880485078923,184.59474182128906
pythia-70m,draw_1,control,4,101.5617146728637,101.1103286743164
pythia-70m,draw_1,control,5,227.63185697232376,226.62017822265625
pythia-70m,draw_2,low,0,46.14969385203725,45.944583892822266
pythia-70m,draw_2,low,1,57.04082622081043,56.78731155395508
pythia-70m,draw_2,low,2,396.0290334016808,394.26885986328125
pythia-70m,draw_2,low,3,408.9177628445039,407.1002197265625
pythia-70m,draw_2,low,4,131.8190175098679,131.233154296875
pythia-70m,draw_2,low,5,259.89763061519943,258.7425231933594
pythia-70m,draw_2,medium,0,43.820636336261444,43.625877380371094
pythia-70m,draw_2,medium,1,53.47403871628346,53.23637390136719
pythia-70m,draw_2,medium,2,346.54541338299697,345.005126953125
pythia-70m,draw_2,medium,3,362.1369495482443,360.52740478515625
pythia-70m,draw_2,medium,4,122.07807883574428,121.53550720214844
pythia-70m,draw_2,medium,5,248.52909075575894,247.42453002929688
pythia-70m,draw_2,high,0,40.60089012356533,40.420440673828125
pythia-70m,draw_2,high,1,49.48930082566723,49.26934814453125
pythia-70m,draw_2,high,2,202.25184062686583,201.35292053222656
pythia-70m,draw_2,high,3,222.4263240971401,221.43777465820312
pythia-70m,draw_2,high,4,100.08675714574434,99.64192962646484
pythia-70m,draw_2,high,5,218.7531116085906,217.7808837890625
pythia-70m,draw_2,very_high,0,36.268830508723326,36.107635498046875
pythia-70m,draw_2,very_high,1,45.897450058257334,45.693458557128906
pythia-70m,draw_2,very_high,2,187.47517625633668,186.6419677734375
pythia-70m,draw_2,very_high,3,214.8717694707007,213.9167938232422
pythia-70m,draw_2,very_high,4,103.75604868048833,103.29490661621094
pythia-70m,draw_2,very_high,5,235.94069266032741,234.89205932617188
pythia-70m,draw_2,control,0,39.28791533000959,39.113304138183594
pythia-70m,draw_2,control,1,49.389951211860236,49.170440673828125
pythia-70m,draw_2,control,2,223.72033722443024,222.72601318359375
pythia-70m,draw_2,control,3,247.20688255512187,246.108154296875
pythia-70m,draw_2,control,4,115.49371775711614,114.98040771484375
pythia-70m,draw_2,control,5,229.14696663375864,228.1285400390625
pythia-70m,draw_3,low,0,46.056061838770894,45.85137176513672
pythia-70m,draw_3,low,1,57.592824929439466,57.336856842041016
pythia-70m,draw_3,low,2,470.59839437216226,468.5067138671875
pythia-70m,draw_3,low,3,475.43096587383906,473.31793212890625
pythia-70m,draw_3,low,4,136.27022949372696,135.6645965576172
pythia-70m,draw_3,low,5,254.00965529994758,252.88070678710938
pythia-70m,draw_3,medium,0,45.184045987490926,44.98322677612305
pythia-70m,draw_3,medium,1,57.08787912049357,56.83415603637695
pythia-70m,draw_3,medium,2,514.3285565946975,512.0426025390625
pythia-70m,draw_3,medium,3,527.1538034057756,524.81103515625
pythia-70m,draw_3,medium,4,153.79201429069795,153.10848999023438
pythia-70m,draw_3,medium,5,247.7375010415209,246.63644409179688
pythia-70m,draw_3,high,0,41.7891097938824,41.60337829589844
pythia-70m,draw_3,high,1,51.24218437004787,51.014442443847656
pythia-70m,draw_3,high,2,261.252902010642,260.091796875
pythia-70m,draw_3,high,3,279.3270777409017,278.08563232421875
pythia-70m,draw_3,high,4,109.15073713389162,108.66561889648438
pythia-70m,draw_3,high,5,230.88035724089224,229.85421752929688
pythia-70m,draw_3,very_high,0,37.33249419440782,37.16657257080078
pythia-70m,draw_3,very_high,1,46.846429623343056,46.638221740722656
pythia-70m,draw_3,very_high,2,172.75183474269738,171.98403930664062
pythia-70m,draw_3,very_high,3,201.44219871886304,200.54693603515625
pythia-70m,draw_3,very_high,4,104.21759220394398,103.75440979003906
pythia-70m,draw_3,very_high,5,230.41424803964435,229.39019775390625
pythia-70m,draw_3,control,0,39.77555883552938,39.598777770996094
pythia-70m,draw_3,control,1,49.242977053285635,49.02411651611328
pythia-70m,draw_3,control,2,234.3551296555904,233.31353759765625
pythia-70m,draw_3,control,3,259.761041842865,258.6065673828125
pythia-70m,draw_3,control,4,112.92286568276222,112.42098236083984
pythia-70m,draw_3,control,5,232.99625722165797,231.96072387695312
pythia-160m,draw_1,low,0,102.07499018818476,101.62132263183594
pythia-160m,draw_1,low,1,112.47467634115358,111.97479248046875
pythia-160m,draw_1,low,2,117.28809786116136,116.7668228149414
pythia-160m,draw_1,low,3,140.47961115465495,139.85525512695312
pythia-160m,draw_1,low,4,134.01546717016043,133.41983032226562
pythia-160m,draw_1,low,5,164.118643788916,163.38922119140625
pythia-160m,draw_1,low,6,164.72331521503236,163.9912109375
pythia-160m,draw_1,low,7,191.84861748873954,190.99595642089844
pythia-160m,draw_1,low,8,283.57395401532074,282.3136291503906
pythia-160m,draw_1,low,9,320.0955142781003,318.6728820800781
pythia-160m,draw_1,low,10,345.36072153796175,343.8258056640625
pythia-160m,draw_1,low,11,635.2078508160374,632.3847045898438
pythia-160m,draw_1,medium,0,93.0142651195065,92.60086822509766
pythia-160m,draw_1,medium,1,105.35855246094839,104.89028930664062
pythia-160m,draw_1,medium,2,112.45280951731652,111.95301818847656
pythia-160m,draw_1,medium,3,139.92058029470473,139.29872131347656
pythia-160m,draw_1,medium,4,135.55813629240276,134.95565795898438
pythia-160m,draw_1,medium,5,174.55495495539128,173.77915954589844
pythia-160m,draw_1,medium,6,175.83309033689446,175.05160522460938
pythia-160m,draw_1,medium,7,202.87152952515424,201.96987915039062
pythia-160m,draw_1,medium,8,315.25163403119575,313.85052490234375
pythia-160m,draw_1,medium,9,348.8802329191239,347.32965087890625
pythia-160m,draw_1,medium,10,369.19384203411636,367.552978515625
pythia-160m,draw_1,medium,11,562.8882790754025,560.3865966796875
