model,draw,layer,accuracy,std,band
pythia-410m,draw_1,2,0.5555555555555556,0.035887340867886856,all
pythia-410m,draw_1,3,0.5724444444444444,0.03389453504877799,all
pythia-410m,draw_1,4,0.5795555555555556,0.02311111111111111,all
pythia-410m,draw_1,5,0.5768888888888888,0.030843291685151056,all
pythia-410m,draw_1,6,0.5662222222222222,0.026158113723666047,all
pythia-410m,draw_1,7,0.560888888888889,0.026428566661899557,all
pythia-410m,draw_1,8,0.5608888888888889,0.020921959637226335,all
pythia-410m,draw_1,9,0.5502222222222223,0.0389897105768201,all
pythia-410m,draw_1,10,0.5795555555555556,0.030611867302617897,all
pythia-410m,draw_1,11,0.5697777777777777,0.01575115124148386,all
pythia-410m,draw_1,12,0.5902222222222223,0.020921959637226335,all
pythia-410m,draw_1,13,0.5848888888888888,0.020959690884536152,all
pythia-410m,draw_1,14,0.5786666666666667,0.0268732737028106,all
pythia-410m,draw_1,15,0.5751111111111111,0.016049306742460252,all
pythia-410m,draw_1,16,0.5928888888888889,0.029561402930339358,all
pythia-410m,draw_1,17,0.616,0.02915772349663416,all
pythia-410m,draw_1,18,0.6542222222222223,0.020152504975563795,all
pythia-410m,draw_1,19,0.6604444444444445,0.03309246305597562,all
pythia-410m,draw_1,20,0.6746666666666666,0.022381650332469638,all
pythia-410m,draw_1,21,0.6817777777777778,0.019595917942265423,all
pythia-410m,draw_1,22,0.6817777777777778,0.0279116772766357,all
pythia-410m,draw_1,23,0.6826666666666666,0.019995061118581337,all
pythia-410m,draw_2,0,0.5306666666666666,0.03495040578015555,all
pythia-410m,draw_2,1,0.5324444444444445,0.025360609098110384,all
pythia-410m,draw_2,2,0.5448888888888889,0.02328142373992673,all
pythia-410m,draw_2,3,0.5431111111111112,0.020732273403894386,all
pythia-410m,draw_2,4,0.536,0.03403411505613627,all
pythia-410m,draw_2,5,0.5395555555555556,0.01834645994715583,all
pythia-410m,draw_2,6,0.5431111111111111,0.022381650332469652,all
pythia-410m,draw_2,7,0.5431111111111112,0.025360609098110404,all
pythia-410m,draw_2,8,0.5564444444444444,0.019147252647589343,all
pythia-410m,draw_2,9,0.5564444444444445,0.030196067113712033,all
pythia-410m,draw_2,10,0.5493333333333335,0.008243216440440628,all
pythia-410m,draw_2,11,0.5591111111111111,0.02802468048077234,all
pythia-410m,draw_2,12,0.584,0.019595917942265405,all
pythia-410m,draw_2,13,0.592,0.028858103254662964,all
pythia-410m,draw_2,14,0.5884444444444445,0.0277697766254459,all
pythia-410m,draw_2,15,0.5928888888888888,0.009151671236432903,all
pythia-410m,draw_2,16,0.6231111111111111,0.012057475525556029,all
pythia-410m,draw_2,17,0.6266666666666667,0.01088662107903637,all
pythia-410m,draw_2,18,0.6586666666666666,0.02816529692045306,all
pythia-410m,draw_2,19,0.6577777777777778,0.024016455264188986,all
pythia-410m,draw_2,20,0.6764444444444445,0.022381650332469638,all
pythia-410m,draw_2,21,0.6782222222222222,0.023618364898820316,all
pythia-410m,draw_2,22,0.6888888888888889,0.015396007178390025,all
pythia-410m,draw_2,23,0.6951111111111111,0.025854292572887086,all
pythia-410m,draw_3,0,0.5395555555555556,0.021147337339324983,all
pythia-410m,draw_3,1,0.5466666666666666,0.008888888888888903,all
pythia-410m,draw_3,2,0.5528888888888889,0.02704910943058298,all
pythia-410m,draw_3,3,0.5564444444444445,0.018517925916444137,all
pythia-410m,draw_3,4,0.5626666666666666,0.03787960133806667,all
pythia-410m,draw_3,5,0.5644444444444444,0.009322745317068021,all
pythia-410m,draw_3,6,0.5715555555555556,0.01746389573723421,all
pythia-410m,draw_3,7,0.5537777777777777,0.015032475133589093,all
pythia-410m,draw_3,8,0.5484444444444445,0.03714236873915766,all
pythia-410m,draw_3,9,0.5528888888888889,0.0326114423606118,all
pythia-410m,draw_3,10,0.5671111111111111,0.03403411505613626,all
pythia-410m,draw_3,11,0.5653333333333334,0.028582995894779587,all
pythia-410m,draw_3,12,0.583111111111111,0.03424241828312575,all
pythia-410m,draw_3,13,0.5982222222222222,0.02395056637387996,all
pythia-410m,draw_3,14,0.5786666666666667,0.03147721103933471,all
pythia-410m,draw_3,15,0.5973333333333333,0.027339655998630592,all
pythia-410m,draw_3,16,0.6266666666666667,0.013480667456091652,all
pythia-410m,draw_3,17,0.624,0.025235679229472716,all
pythia-410m,draw_3,18,0.6488888888888888,0.02606733919753812,all
pythia-410m,draw_3,19,0.6844444444444444,0.027397395568750982,all
pythia-410m,draw_3,20,0.6817777777777778,0.04369139814202491,all
pythia-410m,draw_3,21,0.6844444444444444,0.033020756659567475,all
pythia-410m,draw_3,22,0.6871111111111111,0.037142368739157654,all
pythia-410m,draw_3,23,0.6808888888888889,0.029400596281851057,all
pythia-1b,draw_1,0,0.6177777777777778,0.042536839516463636,all
pythia-1b,draw_1,1,0.5946666666666667,0.03909090387074849,all
pythia-1b,draw_1,2,0.5937777777777777,0.03787960133806668,all
pythia-1b,draw_1,3,0.5688888888888889,0.031301007754060445,all
pythia-1b,draw_1,4,0.5768888888888889,0.02993325909419153,all
pythia-1b,draw_1,5,0.607111111111111,0.03506325853033958,all
pythia-1b,draw_1,6,0.5928888888888888,0.037354491359023446,all
pythia-1b,draw_1,7,0.6115555555555556,0.016534289100211798,all
pythia-1b,draw_1,8,0.5955555555555556,0.029346798256389632,all
pythia-1b,draw_1,9,0.6017777777777779,0.030740651494738817,all
pythia-1b,draw_1,10,0.5857777777777777,0.03258720494190816,all
pythia-1b,draw_1,11,0.6311111111111112,0.024180392015529652,all
pythia-1b,draw_1,12,0.6533333333333333,0.021953936062628406,all
pythia-1b,draw_1,13,0.6844444444444445,0.011589693164804708,all
pythia-1b,draw_1,14,0.6826666666666666,0.02733965599863056,all
pythia-1b,draw_1,15,0.6977777777777778,0.021591036091539742,all
pythia-1b,draw_2,0,0.5706666666666667,0.02762714714296897,all
pythia-1b,draw_2,1,0.5795555555555556,0.03562215983913579,all
pythia-1b,draw_2,2,0.5777777777777777,0.03325917677132393,all
pythia-1b,draw_2,3,0.5688888888888888,0.023008318409857377,all
pythia-1b,draw_2,4,0.5724444444444445,0.05216498044843097,all
pythia-1b,draw_2,5,0.6035555555555556,0.03270821243195394,all
pythia-1b,draw_2,6,0.5946666666666667,0.030971113582549933,all
pythia-1b,draw_2,7,0.5902222222222222,0.02273193218230119,all
pythia-1b,draw_2,8,0.5724444444444444,0.022381650332469624,all
pythia-1b,draw_2,9,0.5902222222222222,0.022381650332469607,all
pythia-1b,draw_2,10,0.5724444444444445,0.0267258602282185,all
pythia-1b,draw_2,11,0.6293333333333333,0.021147337339325036,all
pythia-1b,draw_2,12,0.6551111111111111,0.017463895737234218,all
pythia-1b,draw_2,13,0.6826666666666668,0.014497339049155646,all
pythia-1b,draw_2,14,0.688,0.011725249740687033,all
pythia-1b,draw_2,15,0.6924444444444444,0.009898247756142243,all
pythia-1b,draw_3,0,0.5582222222222223,0.02077034923652961,all
pythia-1b,draw_3,1,0.5724444444444444,0.02774130939435952,all
pythia-1b,draw_3,2,0.5804444444444444,0.020579265604960373,all
pythia-1b,draw_3,3,0.5875555555555556,0.024082163882922798,all
pythia-1b,draw_3,4,0.5866666666666667,0.02007393740557546,all
pythia-1b,draw_3,5,0.5946666666666667,0.029668123143606465,all
pythia-1b,draw_3,6,0.5982222222222222,0.0165342891002118,all
pythia-1b,draw_3,7,0.6,0.02317938632960939,all
pythia-1b,draw_3,8,0.592,0.013597385369580734,all
pythia-1b,draw_3,9,0.5928888888888889,0.04240661490444999,all
pythia-1b,draw_3,10,0.6142222222222222,0.030064950267178234,all
pythia-1b,draw_3,11,0.6488888888888888,0.010517475169954856,all
pythia-1b,draw_3,12,0.6506666666666666,0.019188473906598114,all
pythia-1b,draw_3,13,0.6773333333333332,0.023281423739926716,all
pythia-1b,draw_3,14,0.6755555555555557,0.03337774818758862,all
pythia-1b,draw_3,15,0.6817777777777777,0.026006646823693847,all
pythia-1.4b,draw_1,0,0.576,0.04775244806600282,all
pythia-1.4b,draw_1,1,0.5982222222222222,0.017236195048591384,all
pythia-1.4b,draw_1,2,0.6079999999999999,0.025515911278946354,all
pythia-1.4b,draw_1,3,0.6044444444444445,0.03408051468921035,all
pythia-1.4b,draw_1,4,0.6008888888888888,0.020732273403894403,all
pythia-1.4b,draw_1,5,0.6044444444444445,0.020846292265881926,all
pythia-1.4b,draw_1,6,0.5893333333333333,0.02328142373992673,all
pythia-1.4b,draw_1,7,0.5955555555555556,0.018432392314069096,all
pythia-1.4b,draw_1,8,0.6239999999999999,0.02223999289457211,all
pythia-1.4b,draw_1,9,0.6177777777777778,0.004868644955601467,all
pythia-1.4b,draw_1,10,0.5813333333333334,0.021296264090152766,all
pythia-1.4b,draw_1,11,0.608,0.021296264090152787,all
pythia-1.4b,draw_1,12,0.616,0.029021915941892466,all
pythia-1.4b,draw_1,13,0.6062222222222221,0.01959591794226544,all
pythia-1.4b,draw_1,14,0.6195555555555555,0.02395056637387997,all
pythia-1.4b,draw_1,15,0.6453333333333333,0.02913061263675368,all
pythia-1.4b,draw_1,16,0.6871111111111111,0.034034115056136266,all
pythia-1.4b,draw_1,17,0.6826666666666668,0.02585429257288709,all
pythia-1.4b,draw_1,18,0.696,0.020959690884536156,all
pythia-1.4b,draw_1,19,0.7066666666666667,0.01709811916593009,all
pythia-1.4b,draw_1,20,0.7155555555555555,0.021221931353445894,all
pythia-1.4b,draw_1,21,0.7155555555555555,0.02498394546232036,all
pythia-1.4b,draw_1,22,0.7208888888888889,0.021845699071012453,all
pythia-1.4b,draw_1,23,0.7262222222222222,0.010366136701947219,all
pythia-1.4b,draw_2,0,0.5493333333333333,0.011452532201533477,all
pythia-1.4b,draw_2,1,0.5706666666666667,0.025546858423466493,all
pythia-1.4b,draw_2,2,0.5857777777777777,0.021480970619723663,all
pythia-1.4b,draw_2,3,0.5715555555555556,0.022239992894572083,all
pythia-1.4b,draw_2,4,0.5928888888888888,0.009151671236432901,all
pythia-1.4b,draw_2,5,0.5733333333333334,0.02907631508230422,all
pythia-1.4b,draw_2,6,0.5991111111111111,0.018303342472865764,all
pythia-1.4b,draw_2,7,0.5982222222222221,0.012444444444444447,all
pythia-1.4b,draw_2,8,0.5848888888888888,0.011102218663819347,all
pythia-1.4b,draw_2,9,0.5822222222222223,0.02231093404090867,all
pythia-1.4b,draw_2,10,0.5804444444444444,0.0165342891002118,all
pythia-1.4b,draw_2,11,0.5982222222222221,0.018772188517282542,all
pythia-1.4b,draw_2,12,0.6177777777777778,0.014873956027272471,all
pythia-1.4b,draw_2,13,0.616,0.014222222222222216,all
pythia-1.4b,draw_2,14,0.6488888888888888,0.018645490634136036,all
pythia-1.4b,draw_2,15,0.6604444444444444,0.021700543316859906,all
pythia-1.4b,draw_2,16,0.6657777777777778,0.0265776291337352,all
pythia-1.4b,draw_2,17,0.6675555555555556,0.011030821018658562,all
pythia-1.4b,draw_2,18,0.6871111111111111,0.014222222222222233,all
pythia-1.4b,draw_2,19,0.7084444444444445,0.022416924822966217,all
pythia-1.4b,draw_2,20,0.7253333333333334,0.04096611065529924,all
pythia-1.4b,draw_2,21,0.7253333333333333,0.03615057672473376,all
pythia-1.4b,draw_2,22,0.727111111111111,0.026006646823693844,all
pythia-1.4b,draw_2,23,0.735111111111111,0.026006646823693847,all
pythia-1.4b,draw_3,0,0.5573333333333335,0.022939534045447005,all
pythia-1.4b,draw_3,1,0.5937777777777777,0.02630870859901999,all
pythia-1.4b,draw_3,2,0.6124444444444445,0.02092195963722637,all
pythia-1.4b,draw_3,3,0.6142222222222222,0.027883354917970008,all
pythia-1.4b,draw_3,4,0.608,0.017190292982945523,all
pythia-1.4b,draw_3,5,0.6017777777777777,0.03333037023867142,all
pythia-1.4b,draw_3,6,0.5982222222222221,0.013362930114109259,all
pythia-1.4b,draw_3,7,0.5831111111111111,0.024408053720437296,all
pythia-1.4b,draw_3,8,0.5964444444444444,0.020540835570295707,all
pythia-1.4b,draw_3,9,0.5866666666666667,0.02621845547333801,all
pythia-1.4b,draw_3,10,0.5786666666666667,0.019756542907460328,all
pythia-1.4b,draw_3,11,0.6284444444444445,0.02460151556106321,all
pythia-1.4b,draw_3,12,0.6266666666666667,0.017098119165930084,all
pythia-1.4b,draw_3,13,0.6248888888888888,0.026458446339799473,all
pythia-1.4b,draw_3,14,0.6391111111111112,0.01066666666666667,all
pythia-1.4b,draw_3,15,0.671111111111111,0.0304046780026437,all
pythia-1.4b,draw_3,16,0.6977777777777778,0.03781697313099134,all
pythia-1.4b,draw_3,17,0.7022222222222222,0.03522064489983814,all
pythia-1.4b,draw_3,18,0.7191111111111113,0.025360609098110394,all
pythia-1.4b,draw_3,19,0.7226666666666667,0.018560544904729862,all
pythia-1.4b,draw_3,20,0.7422222222222222,0.026067339197538127,all
pythia-1.4b,draw_3,21,0.7431111111111111,0.029668123143606454,all
pythia-1.4b,draw_3,22,0.7413333333333332,0.021664102412362548,all
pythia-1.4b,draw_3,23,0.7457777777777778,0.022025798565980206,all
