model,draw,layer,accuracy,std,band
pythia-70m,draw_1,0,0.5519999999999999,0.02358488739808281,all
pythia-70m,draw_1,1,0.5573333333333335,0.03297286576176249,all
pythia-70m,draw_1,2,0.5902222222222222,0.045272290055988755,all
pythia-70m,draw_1,3,0.6106666666666667,0.011792443699041415,all
pythia-70m,draw_1,4,0.6035555555555555,0.020921959637226345,all
pythia-70m,draw_1,5,0.5804444444444444,0.022766663955316777,all
pythia-70m,draw_2,0,0.5022222222222222,0.029076315082304235,all
pythia-70m,draw_2,1,0.5502222222222223,0.034586802592611036,all
pythia-70m,draw_2,2,0.5813333333333335,0.017643940658914857,all
pythia-70m,draw_2,3,0.5626666666666666,0.03309246305597561,all
pythia-70m,draw_2,4,0.5804444444444444,0.0361724265766681,all
pythia-70m,draw_2,5,0.5386666666666666,0.03504071705675915,all
pythia-70m,draw_3,0,0.48977777777777776,0.020921959637226355,all
pythia-70m,draw_3,1,0.5262222222222223,0.02675540789918652,all
pythia-70m,draw_3,2,0.5688888888888888,0.016629588385661944,all
pythia-70m,draw_3,3,0.5768888888888888,0.022025798565980203,all
pythia-70m,draw_3,4,0.5884444444444443,0.02223999289457211,all
pythia-70m,draw_3,5,0.5662222222222223,0.011792443699041418,all
pythia-160m,draw_1,0,0.5697777777777778,0.026278658665056857,all
pythia-160m,draw_1,1,0.5626666666666666,0.021517721665618113,all
pythia-160m,draw_1,2,0.6026666666666666,0.017688665548562108,all
pythia-160m,draw_1,3,0.6017777777777777,0.02276666395531678,all
pythia-160m,draw_1,4,0.6115555555555556,0.04623931307960872,all
pythia-160m,draw_1,5,0.6248888888888888,0.030611867302617883,all
pythia-160m,draw_1,6,0.6524444444444444,0.028582995894779615,all
pythia-160m,draw_1,7,0.663111111111111,0.013597385369580764,all
pythia-160m,draw_1,8,0.6542222222222221,0.00861809752429571,all
pythia-160m,draw_1,9,0.6213333333333333,0.014713729206441631,all
pythia-160m,draw_1,10,0.6035555555555556,0.02759853279335114,all
pythia-160m,draw_1,11,0.6231111111111111,0.010666666666666654,all
pythia-160m,draw_2,0,0.5297777777777777,0.021845699071012453,all
pythia-160m,draw_2,1,0.5386666666666666,0.01955555555555553,all
pythia-160m,draw_2,2,0.5297777777777778,0.01851792591644413,all
pythia-160m,draw_2,3,0.5724444444444444,0.03366061551779817,all
pythia-160m,draw_2,4,0.5902222222222222,0.008146801235477048,all
pythia-160m,draw_2,5,0.599111111111111,0.020921959637226355,all
pythia-160m,draw_2,6,0.6266666666666667,0.027684287115373223,all
pythia-160m,draw_2,7,0.6213333333333333,0.017190292982945554,all
pythia-160m,draw_2,8,0.6071111111111112,0.024601515561063197,all
pythia-160m,draw_2,9,0.5946666666666667,0.020347596697350378,all
pythia-160m,draw_2,10,0.6053333333333334,0.025047116095298413,all
pythia-160m,draw_2,11,0.6195555555555556,0.021700543316859902,all
pythia-160m,draw_3,0,0.5395555555555556,0.029427458412883283,all
pythia-160m,draw_3,1,0.5582222222222223,0.047669645076593506,all
pythia-160m,draw_3,2,0.5475555555555556,0.0429435460593108,all
pythia-160m,draw_3,3,0.5662222222222222,0.023281423739926737,all
pythia-160m,draw_3,4,0.5902222222222222,0.018730051116182662,all
pythia-160m,draw_3,5,0.6284444444444445,0.022416924822966207,all
pythia-160m,draw_3,6,0.6311111111111112,0.03686478462813816,all
pythia-160m,draw_3,7,0.6533333333333333,0.022835969028738034,all
pythia-160m,draw_3,8,0.6497777777777778,0.023584887398082864,all
pythia-160m,draw_3,9,0.6133333333333334,0.01590092783999852,all
pythia-160m,draw_3,10,0.6008888888888888,0.029265915792274364,all
pythia-160m,draw_3,11,0.6222222222222222,0.034311571672211175,all
pythia-410m,draw_1,0,0.5591111111111111,0.037858736780527716,all
pythia-410m,draw_1,1,0.5608888888888888,0.051937284117303244,all
