model,draw,layer,separation_ratio
pythia-1b,draw_2,2,11.540595328592476
pythia-1b,draw_2,3,11.156637015492127
pythia-1b,draw_2,4,11.335106431434856
pythia-1b,draw_2,5,11.576886632156503
pythia-1b,draw_2,6,10.954171159330224
pythia-1b,draw_2,7,11.069472022017312
pythia-1b,draw_2,8,10.696927488572204
pythia-1b,draw_2,9,11.30781592642007
pythia-1b,draw_2,10,11.256156391104774
pythia-1b,draw_2,11,12.359322740339518
pythia-1b,draw_2,12,12.839858120140725
pythia-1b,draw_2,13,13.680155435929406
pythia-1b,draw_2,14,14.787821963106513
pythia-1b,draw_2,15,16.26044473274649
pythia-1b,draw_3,0,10.943202790914428
pythia-1b,draw_3,1,11.454181361228748
pythia-1b,draw_3,2,11.285827286934511
pythia-1b,draw_3,3,11.116954704777553
pythia-1b,draw_3,4,11.343826517169386
pythia-1b,draw_3,5,11.541960970883947
pythia-1b,draw_3,6,10.994814212500865
pythia-1b,draw_3,7,11.100351522098352
pythia-1b,draw_3,8,10.783539767647659
pythia-1b,draw_3,9,11.421212597156389
pythia-1b,draw_3,10,11.230288218108365
pythia-1b,draw_3,11,12.357650822599599
pythia-1b,draw_3,12,12.754539306789502
pythia-1b,draw_3,13,13.465125455158498
pythia-1b,draw_3,14,14.572797881985654
pythia-1b,draw_3,15,16.04002500234986
pythia-1.4b,draw_1,0,11.090604238926646
pythia-1.4b,draw_1,1,12.362548364435664
pythia-1.4b,draw_1,2,12.823318143670773
pythia-1.4b,draw_1,3,11.746943203496008
pythia-1.4b,draw_1,4,11.485445112704792
pythia-1.4b,draw_1,5,11.015490944797408
pythia-1.4b,draw_1,6,10.774014250697038
pythia-1.4b,draw_1,7,10.812452453294066
pythia-1.4b,draw_1,8,10.835138095432765
pythia-1.4b,draw_1,9,10.850073478873204
pythia-1.4b,draw_1,10,10.960188619464725
pythia-1.4b,draw_1,11,11.738832637129047
pythia-1.4b,draw_1,12,12.659122341110118
pythia-1.4b,draw_1,13,12.617965943802934
pythia-1.4b,draw_1,14,13.225243365621772
pythia-1.4b,draw_1,15,13.649556832185
pythia-1.4b,draw_1,16,14.24947596644885
pythia-1.4b,draw_1,17,14.498153471114009
pythia-1.4b,draw_1,18,14.90717146705716
pythia-1.4b,draw_1,19,15.522774362361696
pythia-1.4b,draw_1,20,15.786922140429265
pythia-1.4b,draw_1,21,16.069292735656514
pythia-1.4b,draw_1,22,16.395926201063997
pythia-1.4b,draw_1,23,19.903940137204774
pythia-1.4b,draw_2,0,10.885087191306472
pythia-1.4b,draw_2,1,12.377431877885806
pythia-1.4b,draw_2,2,12.94846524588341
pythia-1.4b,draw_2,3,11.748439026426366
pythia-1.4b,draw_2,4,11.495091009118148
pythia-1.4b,draw_2,5,11.154571586543437
pythia-1.4b,draw_2,6,10.873615067454622
pythia-1.4b,draw_2,7,10.951178040239187
pythia-1.4b,draw_2,8,10.998642346305562
pythia-1.4b,draw_2,9,11.026694853569865
pythia-1.4b,draw_2,10,11.009915225659318
pythia-1.4b,draw_2,11,11.917801722559641
pythia-1.4b,draw_2,12,12.870681353552124
pythia-1.4b,draw_2,13,12.819105447243569
pythia-1.4b,draw_2,14,13.402851014041357
pythia-1.4b,draw_2,15,13.785282197108588
pythia-1.4b,draw_2,16,14.340218372762306
pythia-1.4b,draw_2,17,14.59175362914696
pythia-1.4b,draw_2,18,15.003130910959444
pythia-1.4b,draw_2,19,15.647889993858398
pythia-1.4b,draw_2,20,15.928454870782321
pythia-1.4b,draw_2,21,16.231571607414516
pythia-1.4b,draw_2,22,16.529455598890745
pythia-1.4b,draw_2,23,19.740748776294343
pythia-1.4b,draw_3,0,10.824597342318437
pythia-1.4b,draw_3,1,12.066540497008663
pythia-1.4b,draw_3,2,12.519998445421647
pythia-1.4b,draw_3,3,11.607623626992453
pythia-1.4b,draw_3,4,11.436460779488216
pythia-1.4b,draw_3,5,11.018002783735747
pythia-1.4b,draw_3,6,10.709246682802474
pythia-1.4b,draw_3,7,10.857084994586833
pythia-1.4b,draw_3,8,10.852698434546328
pythia-1.4b,draw_3,9,10.713100323807085
pythia-1.4b,draw_3,10,10.85712936623683
pythia-1.4b,draw_3,11,11.63743317666361
pythia-1.4b,draw_3,12,12.608152785645105
pythia-1.4b,draw_3,13,12.537363891583299
pythia-1.4b,draw_3,14,13.132872588637024
pythia-1.4b,draw_3,15,13.500578293151
pythia-1.4b,draw_3,16,14.160108485499725
pythia-1.4b,draw_3,17,14.477723611184299
pythia-1.4b,draw_3,18,14.8593754558072
pythia-1.4b,draw_3,19,15.493450828355538
pythia-1.4b,draw_3,20,15.734306446564563
pythia-1.4b,draw_3,21,16.01350883860717
pythia-1.4b,draw_3,22,16.262912442406993
pythia-1.4b,draw_3,23,19.2901347574932
