model,draw,band,layer,mean_norm,std_norm,participation_ratio,isotropy
pythia-70m,draw_1,low,0,10.438555717468262,0.9240330457687378,57.34503772548218,0.4251559376716614
pythia-70m,draw_1,low,1,11.89377212524414,1.3620712757110596,28.50540137142031,0.38750267028808594
pythia-70m,draw_1,low,2,20.264249801635742,15.333861351013184,1.476652171877357,0.41205960512161255
pythia-70m,draw_1,low,3,20.767635345458984,14.703642845153809,1.532317142303304,0.42869627475738525
pythia-70m,draw_1,low,4,16.6377010345459,4.744914531707764,5.357568571142962,0.3604695796966553
pythia-70m,draw_1,low,5,70.7345199584961,9.883728981018066,4.922468755329061,0.029789507389068604
pythia-70m,draw_1,medium,0,10.046916007995605,0.8317283987998962,61.81154732937043,0.4377797842025757
pythia-70m,draw_1,medium,1,11.730122566223145,1.5108591318130493,24.3291379175497,0.39904987812042236
pythia-70m,draw_1,medium,2,20.25760841369629,16.644512176513672,1.4150290213890744,0.4138263463973999
pythia-70m,draw_1,medium,3,20.973888397216797,15.884438514709473,1.490285334238603,0.4497228264808655
pythia-70m,draw_1,medium,4,16.66786003112793,5.489104747772217,4.494399207669542,0.3927266597747803
pythia-70m,draw_1,medium,5,69.88863372802734,9.192005157470703,5.913029481573541,0.03090965747833252
pythia-70m,draw_1,high,0,9.31609058380127,0.6774605512619019,55.432150156475196,0.47242265939712524
pythia-70m,draw_1,high,1,11.049398422241211,1.1075778007507324,33.807951661612385,0.4120669960975647
pythia-70m,draw_1,high,2,17.5930118560791,11.961267471313477,1.7655879825075338,0.42496222257614136
pythia-70m,draw_1,high,3,18.296247482299805,11.319450378417969,1.8921304468760702,0.4718392491340637
pythia-70m,draw_1,high,4,15.757007598876953,3.3898487091064453,7.926613985041553,0.39309579133987427
pythia-70m,draw_1,high,5,71.24866485595703,8.767595291137695,6.769576616972393,0.028879165649414062
pythia-70m,draw_1,very_high,0,8.609397888183594,0.6651443839073181,48.90115579305834,0.5202095210552216
pythia-70m,draw_1,very_high,1,10.15131950378418,0.8684911131858826,43.1573413892753,0.46313905715942383
pythia-70m,draw_1,very_high,2,14.135071754455566,8.265753746032715,2.919904197839323,0.4620773196220398
pythia-70m,draw_1,very_high,3,15.628253936767578,7.8779826164245605,3.402256374321717,0.48419785499572754
pythia-70m,draw_1,very_high,4,14.939180374145508,2.6363918781280518,13.05552963673361,0.43897855281829834
pythia-70m,draw_1,very_high,5,72.2972640991211,9.246657371520996,6.762000801508821,0.03032863140106201
pythia-70m,draw_1,control,0,8.758149147033691,0.7870575189590454,54.05472043209124,0.4993557333946228
pythia-70m,draw_1,control,1,10.317707061767578,0.9483741521835327,45.43183289055109,0.4369018077850342
pythia-70m,draw_1,control,2,14.048514366149902,8.390216827392578,2.950190955234922,0.45269638299942017
pythia-70m,draw_1,control,3,15.36485767364502,8.064722061157227,3.4982109625505218,0.49208778142929077
pythia-70m,draw_1,control,4,14.874493598937988,2.8914380073547363,16.219974013992886,0.4178916811943054
pythia-70m,draw_1,control,5,71.44407653808594,8.508295059204102,8.432411956336418,0.03113257884979248
pythia-70m,draw_2,low,0,10.352195739746094,0.8441218137741089,53.55574691488243,0.4302889108657837
pythia-70m,draw_2,low,1,11.889832496643066,1.4159611463546753,24.979203742946414,0.3950966000556946
pythia-70m,draw_2,low,2,20.52756118774414,15.83526611328125,1.4422224639263699,0.4165653586387634
pythia-70m,draw_2,low,3,21.195585250854492,15.172334671020508,1.5028065273565008,0.4333347678184509
pythia-70m,draw_2,low,4,16.663841247558594,5.059017181396484,4.880281615019089,0.38801801204681396
pythia-70m,draw_2,low,5,71.33833312988281,10.607478141784668,4.3411086626516004,0.030773282051086426
pythia-70m,draw_2,medium,0,9.948372840881348,0.7378889918327332,62.808895937018974,0.43848490715026855
pythia-70m,draw_2,medium,1,11.536454200744629,1.2218960523605347,31.09974359016469,0.39213472604751587
pythia-70m,draw_2,medium,2,19.110071182250977,14.55031681060791,1.5328408634596258,0.4207932949066162
pythia-70m,draw_2,medium,3,19.750099182128906,13.993597030639648,1.6014966505147143,0.44067972898483276
pythia-70m,draw_2,medium,4,16.24943733215332,4.686933994293213,5.780471765699855,0.3778732419013977
pythia-70m,draw_2,medium,5,69.59086608886719,10.338465690612793,4.536204248355111,0.030696630477905273
pythia-70m,draw_2,high,0,9.321943283081055,0.7365819215774536,50.06790058115919,0.46263426542282104
pythia-70m,draw_2,high,1,10.903061866760254,0.9995877146720886,37.41038685248545,0.4048880338668823
pythia-70m,draw_2,high,2,15.818870544433594,9.906028747558594,2.1935236198427606,0.43363064527511597
pythia-70m,draw_2,high,3,16.67173957824707,9.454071044921875,2.407496591790586,0.46536439657211304
pythia-70m,draw_2,high,4,15.264053344726562,3.1964809894561768,10.676105599874177,0.38028067350387573
pythia-70m,draw_2,high,5,70.26054382324219,8.58537483215332,7.340242144986898,0.030482232570648193
pythia-70m,draw_2,very_high,0,8.565515518188477,0.626106858253479,57.02808673376481,0.4957376718521118
pythia-70m,draw_2,very_high,1,10.258285522460938,0.9781236052513123,42.848032976635274,0.43152403831481934
pythia-70m,draw_2,very_high,2,14.880777359008789,9.528312683105469,2.3147902315517666,0.44953006505966187
pythia-70m,draw_2,very_high,3,16.38163185119629,9.078441619873047,2.5820582520342077,0.47464263439178467
pythia-70m,draw_2,very_high,4,15.168227195739746,2.8407459259033203,11.391747869458976,0.4101939797401428
pythia-70m,draw_2,very_high,5,72.4417495727539,9.218198776245117,6.672500386770888,0.029247939586639404
pythia-70m,draw_2,control,0,8.65098762512207,0.805751621723175,48.890462114737694,0.5163640379905701
pythia-70m,draw_2,control,1,10.275507926940918,1.1121755838394165,38.783456941300216,0.454681396484375
pythia-70m,draw_2,control,2,14.863912582397461,11.152292251586914,2.0260709135917168,0.4554983377456665
pythia-70m,draw_2,control,3,16.023462295532227,10.649397850036621,2.38439086076323,0.5017327070236206
pythia-70m,draw_2,control,4,15.166881561279297,3.8680224418640137,11.225136027511848,0.4375823140144348
pythia-70m,draw_2,control,5,71.77191162109375,8.728955268859863,7.852700953173551,0.0304834246635437
pythia-70m,draw_3,low,0,10.284481048583984,0.878960907459259,57.70833223877229,0.4336920380592346
pythia-70m,draw_3,low,1,11.975489616394043,1.4655179977416992,23.56354976049876,0.3893423080444336
pythia-70m,draw_3,low,2,22.700185775756836,17.665233612060547,1.3509095454713986,0.39634770154953003
pythia-70m,draw_3,low,3,22.988216400146484,17.043386459350586,1.383915237656619,0.4174361228942871
pythia-70m,draw_3,low,4,17.248815536499023,5.618756294250488,4.122481258686006,0.3619229793548584
pythia-70m,draw_3,low,5,71.94386291503906,10.637602806091309,4.0963473935092445,0.028898179531097412
pythia-70m,draw_3,medium,0,9.98061752319336,0.8588508367538452,52.10897822307453,0.4519011378288269
pythia-70m,draw_3,medium,1,11.809837341308594,1.5984528064727783,21.271405918473157,0.3984496593475342
pythia-70m,draw_3,medium,2,22.51740264892578,18.80277442932129,1.3125059061733462,0.41191232204437256
pythia-70m,draw_3,medium,3,22.918243408203125,18.104049682617188,1.3667216225232104,0.449909508228302
pythia-70m,draw_3,medium,4,17.37921714782715,6.4280829429626465,3.7189024490708578,0.3821747303009033
pythia-70m,draw_3,medium,5,71.53433227539062,10.363265991210938,4.4762802597266855,0.028749465942382812
pythia-70m,draw_3,high,0,9.340292930603027,0.7066147923469543,50.89472706596614,0.48138999938964844
pythia-70m,draw_3,high,1,10.91076374053955,1.1066772937774658,35.17884428080283,0.42705947160720825
pythia-70m,draw_3,high,2,16.760150909423828,12.066705703735352,1.7961268313153012,0.44537580013275146
pythia-70m,draw_3,high,3,17.4700927734375,11.585345268249512,1.8928218848201264,0.4832162857055664
pythia-70m,draw_3,high,4,15.489995002746582,3.735726833343506,8.214807759882333,0.3998703360557556
pythia-70m,draw_3,high,5,70.55242156982422,9.278576850891113,6.120553681222392,0.030375182628631592
pythia-70m,draw_3,very_high,0,8.530449867248535,0.6127667427062988,53.781045505120545,0.5105917453765869
pythia-70m,draw_3,very_high,1,10.132888793945312,0.8950638175010681,45.84214535840817,0.449379026889801
pythia-70m,draw_3,very_high,2,14.036011695861816,9.09195327758789,2.5767243955183012,0.45945650339126587
pythia-70m,draw_3,very_high,3,15.756568908691406,8.642621994018555,3.0790107670223845,0.48845207691192627
pythia-70m,draw_3,very_high,4,14.849019050598145,2.9336252212524414,14.087471410452554,0.43338674306869507
pythia-70m,draw_3,very_high,5,72.30757141113281,8.659941673278809,8.012033845691052,0.030806303024291992
pythia-70m,draw_3,control,0,8.824997901916504,0.8394702672958374,48.19551595314361,0.5059919953346252
