model,draw,layer,separation_ratio,mean_centroid_dist,mean_spread
pythia-1.4b,draw_3,8,11.238508408563424,7.49630491072971,0.6670195579528808
pythia-1.4b,draw_3,9,10.94074809094249,7.452712562697286,0.6811885714530945
pythia-1.4b,draw_3,10,11.216644933087794,9.840000908739313,0.8772677540779114
pythia-1.4b,draw_3,11,11.885173313351887,10.091271713216486,0.8490639090538025
pythia-1.4b,draw_3,12,12.877998939746817,11.31896456903,0.8789381504058837
pythia-1.4b,draw_3,13,12.777727959087137,12.135104331362642,0.9497075200080871
pythia-1.4b,draw_3,14,13.245763185004437,13.469427455632001,1.016885721683502
pythia-1.4b,draw_3,15,13.589835787789381,15.488545256913005,1.1397154092788697
pythia-1.4b,draw_3,16,14.364292340470532,18.16244008291107,1.2644159317016601
pythia-1.4b,draw_3,17,14.89373910083751,19.524286696370552,1.310905647277832
pythia-1.4b,draw_3,18,15.334013723140316,21.258092579539955,1.386335825920105
pythia-1.4b,draw_3,19,15.985447913923428,22.991509408926014,1.4382774591445924
pythia-1.4b,draw_3,20,16.121069988893172,23.450344521604062,1.454639458656311
pythia-1.4b,draw_3,21,16.331547711981244,24.328632100580922,1.4896709442138671
pythia-1.4b,draw_3,22,16.477143641045135,26.22359521400694,1.591513419151306
pythia-1.4b,draw_3,23,20.008217879023466,36.16463495355427,1.8074890613555907
