model,band,draw,layer,mean_norm,std_norm,participation_ratio,isotropy
pythia-70m,low,draw_1,0,10.438555717468262,0.9240330457687378,57.34503772548218,0.4251559376716614
pythia-70m,low,draw_1,1,11.90477466583252,1.3668280839920044,28.38498681865271,0.38422757387161255
pythia-70m,low,draw_1,2,20.329343795776367,15.371581077575684,1.4713353644318694,0.40938156843185425
pythia-70m,low,draw_1,3,20.801965713500977,14.752019882202148,1.5196686473110748,0.42653918266296387
pythia-70m,low,draw_1,4,16.674503326416016,4.75252103805542,5.254370631395302,0.35816556215286255
pythia-70m,low,draw_1,5,71.03282928466797,9.842162132263184,4.89785995058513,0.02908933162689209
pythia-70m,low,draw_2,0,10.352195739746094,0.8441218137741089,53.55574691488243,0.4302889108657837
pythia-70m,low,draw_2,1,11.912677764892578,1.4180865287780762,24.859244309945982,0.39076268672943115
pythia-70m,low,draw_2,2,20.581483840942383,15.790350914001465,1.440554783700277,0.41359245777130127
pythia-70m,low,draw_2,3,21.261653900146484,15.1196870803833,1.4992849782621804,0.4314446449279785
pythia-70m,low,draw_2,4,16.68645477294922,5.021819114685059,4.835436290591329,0.38525885343551636
pythia-70m,low,draw_2,5,71.61305236816406,10.433856964111328,4.425540891229517,0.030124306678771973
pythia-70m,low,draw_3,0,10.284481048583984,0.878960907459259,57.70833223877229,0.4336920380592346
pythia-70m,low,draw_3,1,12.000029563903809,1.4689418077468872,23.450333762148862,0.3847111463546753
pythia-70m,low,draw_3,2,22.794445037841797,17.574432373046875,1.3504451072656927,0.39307671785354614
pythia-70m,low,draw_3,3,23.072010040283203,16.95313835144043,1.3799912673667853,0.41436851024627686
pythia-70m,low,draw_3,4,17.262882232666016,5.543600082397461,4.093238530483262,0.3581414818763733
pythia-70m,low,draw_3,5,72.21520233154297,10.52370548248291,4.138537695364425,0.02835714817047119
pythia-70m,medium,draw_1,0,10.046916007995605,0.8317283987998962,61.81154732937043,0.4377797842025757
pythia-70m,medium,draw_1,1,11.7439603805542,1.5129934549331665,24.149927292966034,0.3963800072669983
pythia-70m,medium,draw_1,2,20.248767852783203,16.521869659423828,1.4180867378914905,0.412322998046875
pythia-70m,medium,draw_1,3,20.932918548583984,15.776775360107422,1.4893176750393369,0.4478064775466919
pythia-70m,medium,draw_1,4,16.667888641357422,5.409945964813232,4.5313823521826375,0.3904199004173279
pythia-70m,medium,draw_1,5,70.18511962890625,9.083391189575195,6.015205160896031,0.030329227447509766
pythia-70m,medium,draw_2,0,9.948372840881348,0.7378889918327332,62.808895937018974,0.43848490715026855
pythia-70m,medium,draw_2,1,11.536454200744629,1.2218960523605347,31.09974359016469,0.39213472604751587
