model,draw,layer,accuracy,std
pythia-70m,draw_1,0,0.5546666666666666,0.02472964932132185
pythia-70m,draw_1,1,0.5813333333333333,0.014442734941575034
pythia-70m,draw_1,2,0.5715555555555556,0.026158113723666047
pythia-70m,draw_1,3,0.6204444444444445,0.04615379550487883
pythia-70m,draw_1,4,0.599111111111111,0.023076897752439415
pythia-70m,draw_1,5,0.5493333333333333,0.02704910943058299
pythia-70m,draw_2,0,0.5822222222222223,0.025453904112491297
pythia-70m,draw_2,1,0.5617777777777778,0.01918847390659813
pythia-70m,draw_2,2,0.584,0.017910614826319875
pythia-70m,draw_2,3,0.6239999999999999,0.026158113723666086
pythia-70m,draw_2,4,0.6293333333333333,0.03539965822531536
pythia-70m,draw_2,5,0.5697777777777778,0.01786644554865935
pythia-70m,draw_3,0,0.5359999999999999,0.027194770739161524
pythia-70m,draw_3,1,0.5519999999999999,0.0090649235797205
pythia-70m,draw_3,2,0.5760000000000001,0.01877218851728255
pythia-70m,draw_3,3,0.5893333333333333,0.029021915941892452
pythia-70m,draw_3,4,0.5680000000000001,0.0102896328024802
pythia-70m,draw_3,5,0.5466666666666666,0.022310934040908694
pythia-160m,draw_1,0,0.584,0.01212282817509855
pythia-160m,draw_1,1,0.5795555555555556,0.023950566373879954
pythia-160m,draw_1,2,0.5937777777777777,0.027049109430582984
pythia-160m,draw_1,3,0.6124444444444445,0.029668123143606465
pythia-160m,draw_1,4,0.6364444444444446,0.03690762576360303
pythia-160m,draw_1,5,0.6631111111111111,0.02290506440306687
pythia-160m,draw_1,6,0.6968888888888889,0.019147252647589326
pythia-160m,draw_1,7,0.6711111111111111,0.021953936062628406
pythia-160m,draw_1,8,0.6391111111111111,0.018517925916444165
pythia-160m,draw_1,9,0.6355555555555555,0.009322745317068011
pythia-160m,draw_1,10,0.6008888888888888,0.013597385369580781
pythia-160m,draw_1,11,0.6008888888888889,0.007646511348482343
pythia-160m,draw_2,0,0.5964444444444444,0.018303342472865764
pythia-160m,draw_2,1,0.6186666666666667,0.014166557733785988
pythia-160m,draw_2,2,0.5973333333333333,0.026458446339799487
pythia-160m,draw_2,3,0.6133333333333333,0.03995058676310084
pythia-160m,draw_2,4,0.64,0.03454108307151192
pythia-160m,draw_2,5,0.6417777777777778,0.014497339049155624
pythia-160m,draw_2,6,0.6995555555555555,0.024114951051112072
pythia-160m,draw_2,7,0.6737777777777777,0.03224596826171919
pythia-160m,draw_2,8,0.6355555555555555,0.03142696805273542
pythia-160m,draw_2,9,0.6435555555555555,0.017643940658914857
pythia-160m,draw_2,10,0.6088888888888889,0.004868644955601468
pythia-160m,draw_2,11,0.6035555555555556,0.025047116095298413
pythia-160m,draw_3,0,0.5742222222222222,0.023584887398082833
pythia-160m,draw_3,1,0.5831111111111111,0.010289632802480199
pythia-160m,draw_3,2,0.5822222222222222,0.020846292265881916
pythia-160m,draw_3,3,0.5982222222222222,0.0341499959329752
pythia-160m,draw_3,4,0.6328888888888888,0.009151671236432868
pythia-160m,draw_3,5,0.6533333333333333,0.032172375237073544
pythia-160m,draw_3,6,0.6719999999999999,0.021664102412362565
pythia-160m,draw_3,7,0.6435555555555555,0.03197529910863105
pythia-160m,draw_3,8,0.5982222222222221,0.022239992894572076
pythia-160m,draw_3,9,0.5982222222222223,0.0333303702386714
pythia-160m,draw_3,10,0.6115555555555555,0.02038639100654174
pythia-160m,draw_3,11,0.5928888888888888,0.03931261224443729
pythia-410m,draw_1,0,0.5742222222222222,0.0265776291337352
pythia-410m,draw_1,1,0.5946666666666667,0.020152504975563795
pythia-410m,draw_1,2,0.592,0.020921959637226335
pythia-410m,draw_1,3,0.5973333333333334,0.01979649551228452
pythia-410m,draw_1,4,0.5928888888888889,0.026607341417059147
pythia-410m,draw_1,5,0.5599999999999999,0.013480667456091623
pythia-410m,draw_1,6,0.5866666666666667,0.01987615979999812
pythia-410m,draw_1,7,0.5964444444444444,0.01935248093962423
pythia-410m,draw_1,8,0.5973333333333333,0.02645844633979949
pythia-410m,draw_1,9,0.5928888888888888,0.022766663955316763
pythia-410m,draw_1,10,0.6284444444444445,0.024114951051112055
pythia-410m,draw_1,11,0.6088888888888889,0.014605934866804442
pythia-410m,draw_1,12,0.6168888888888888,0.008618097524295683
pythia-410m,draw_1,13,0.6097777777777778,0.018303342472865764
pythia-410m,draw_1,14,0.5893333333333334,0.025235679229472698
pythia-410m,draw_1,15,0.5724444444444444,0.027741309394359513
pythia-410m,draw_1,16,0.6177777777777778,0.009737289911202936
pythia-410m,draw_1,17,0.6124444444444445,0.012057475525556059
pythia-410m,draw_1,18,0.6133333333333334,0.017327634390771497
pythia-410m,draw_1,19,0.672,0.01935248093962421
pythia-410m,draw_1,20,0.6693333333333334,0.01918847390659817
pythia-410m,draw_1,21,0.6808888888888889,0.018939800669033363
pythia-410m,draw_1,22,0.6755555555555555,0.02696133491218329
pythia-410m,draw_1,23,0.6497777777777778,0.02872087897138404
pythia-410m,draw_2,0,0.6053333333333334,0.034357596604600346
pythia-410m,draw_2,1,0.6195555555555556,0.013063945294843633
pythia-410m,draw_2,2,0.6106666666666667,0.026158113723666054
pythia-410m,draw_2,3,0.6222222222222221,0.02231093404090872
pythia-410m,draw_2,4,0.6133333333333334,0.01433290266364185
