model,model_capacity,d_mlp,n_layers,circuit_peak_probe_acc,circuit_peak_probe_layer,base_peak_probe_acc,probe_acc_retention,circuit_mean_norm,circuit_mean_gini,circuit_mean_frac_selective
pythia-70m,70,2048,6,0.5191111111111112,5,0.5564444444444444,0.9329073482428117,15.330963548024496,0.43497539307660527,0.0
pythia-160m,160,3072,12,0.6174814814814815,7,0.6053333333333334,1.0200685266764562,18.929911483658685,0.4191871009422436,0.0
pythia-410m,410,4096,24,0.632888888888889,23,0.6559999999999999,0.9647696476964772,13.562851157453325,0.3916076427008823,1.0172526041666666e-05
pythia-1b,1000,8192,16,0.6841481481481481,15,0.6373333333333333,1.0734542073454207,26.013771784305572,0.3751845323913539,0.0
pythia-1.4b,1400,8192,24,0.6962962962962962,22,0.6764444444444445,1.0293473499780987,23.713682214419048,0.3679679688718816,5.086263020833333e-06
