model,draw,band,layer,mean_gini,std_gini,population_gini,mean_abs_activation
pythia-70m,draw_1,low,0,0.4240972351734164,0.005910599045590446,0.10397615733760013,0.29889267683029175
pythia-70m,draw_1,low,1,0.4185948532242185,0.009794909263623409,0.2815780875774301,0.8677317500114441
pythia-70m,draw_1,low,2,0.48451787446403793,0.01807218844836407,0.3438005952808598,0.6236022114753723
pythia-70m,draw_1,low,3,0.4395648587023727,0.005828094781682946,0.3181247284926765,0.6861376166343689
pythia-70m,draw_1,low,4,0.4131992688624173,0.018391276425878553,0.2610857288197086,0.7350150346755981
pythia-70m,draw_1,low,5,0.421677395537779,0.01086779637728231,0.29397398546805054,0.8759527802467346
pythia-70m,draw_2,low,0,0.4247395298510763,0.005847681589494239,0.1049782132456687,0.30014827847480774
pythia-70m,draw_2,low,1,0.4192663715987937,0.009514430068015684,0.2808838795644386,0.8638008832931519
pythia-70m,draw_2,low,2,0.48542653608799585,0.017524677406478166,0.3451680016403109,0.6266804337501526
pythia-70m,draw_2,low,3,0.43943324795552163,0.00640804794012322,0.31717403439128433,0.6845077872276306
pythia-70m,draw_2,low,4,0.41466026412672696,0.019177884805684026,0.26022391369878384,0.7291520833969116
pythia-70m,draw_2,low,5,0.42225737610381436,0.011134947942438167,0.2923583933589551,0.8796719312667847
pythia-70m,draw_3,low,0,0.4243161051989918,0.0066822058718684916,0.10533173014904551,0.30037471652030945
pythia-70m,draw_3,low,1,0.41892740133524614,0.009681764660316363,0.28132891257183523,0.8705930709838867
pythia-70m,draw_3,low,2,0.48353256831445435,0.01829132606362938,0.3401325475568062,0.6201318502426147
pythia-70m,draw_3,low,3,0.43979872672601206,0.00613569091379661,0.31486230189241304,0.6654060482978821
pythia-70m,draw_3,low,4,0.4142310734557725,0.01877779826286025,0.2558300961236941,0.7185152173042297
pythia-70m,draw_3,low,5,0.4227458898906018,0.011201480592022518,0.29267322943587337,0.8777204751968384
pythia-70m,draw_1,medium,0,0.4223399081300462,0.006723393440961486,0.10500525408675343,0.30632483959198
pythia-70m,draw_1,medium,1,0.41922098762526666,0.009240233312134112,0.2769645222922219,0.8693086504936218
pythia-70m,draw_1,medium,2,0.4868616215129716,0.019156788725952015,0.34561338249749674,0.6263458728790283
pythia-70m,draw_1,medium,3,0.44004047602722984,0.00632836409473883,0.3162501017960522,0.6759704351425171
pythia-70m,draw_1,medium,4,0.4185448923657864,0.017056435404728686,0.26262331052708876,0.7050472497940063
pythia-70m,draw_1,medium,5,0.4231128568461962,0.010248074187297092,0.29352679476586263,0.8713014721870422
pythia-70m,draw_2,medium,0,0.4229450042098716,0.006292301043988179,0.10664421836409099,0.3071810007095337
pythia-70m,draw_2,medium,1,0.418734024092671,0.008570626144883893,0.277647545735332,0.8693135380744934
pythia-70m,draw_2,medium,2,0.48647528719683225,0.018776840584887832,0.3474307591104666,0.630382776260376
pythia-70m,draw_2,medium,3,0.4402179660500375,0.006049436082813838,0.3181560500705012,0.6914117932319641
pythia-70m,draw_2,medium,4,0.4163645611349707,0.017201600568410344,0.2640952897269655,0.7371382713317871
pythia-70m,draw_2,medium,5,0.42280693301484096,0.00991825875580666,0.29228998509712634,0.8777886033058167
pythia-70m,draw_3,medium,0,0.42361390585320263,0.006359109890233367,0.10500183458742796,0.304442822933197
pythia-70m,draw_3,medium,1,0.41918916357435554,0.00908047569268187,0.274905397183443,0.8698656558990479
pythia-70m,draw_3,medium,2,0.4867099638835963,0.0188183549712139,0.34141101674519825,0.6222345232963562
pythia-70m,draw_3,medium,3,0.4402074742261829,0.006070132029867214,0.31410570902944146,0.6674842238426208
pythia-70m,draw_3,medium,4,0.41666736862278614,0.01786758533644641,0.25578743508187274,0.7119397521018982
pythia-70m,draw_3,medium,5,0.4244584978661255,0.010668781229233383,0.2909139759413797,0.8728580474853516
pythia-70m,draw_1,high,0,0.4192580645497447,0.00911815808092998,0.11942812716711271,0.3336520791053772
pythia-70m,draw_1,high,1,0.4186286363157895,0.008438659594671225,0.26819574585786965,0.8755286335945129
pythia-70m,draw_1,high,2,0.4891020290634689,0.018750867803482608,0.3433381009066523,0.6329649686813354
pythia-70m,draw_1,high,3,0.4408433912462776,0.00623575246652593,0.3157451919531058,0.6836853623390198
pythia-70m,draw_1,high,4,0.4188030605568518,0.01657386621626698,0.26372375780860113,0.7240360379219055
pythia-70m,draw_1,high,5,0.4266360200241363,0.009157587566328526,0.2965099794984669,0.8842929601669312
pythia-70m,draw_2,high,0,0.41866599043067804,0.008052039156759215,0.1189438709451609,0.33369168639183044
pythia-70m,draw_2,high,1,0.41921650214805095,0.008599876936595205,0.27006826095470937,0.8687050938606262
pythia-70m,draw_2,high,2,0.4920663903280971,0.019243509212817894,0.35269028114445566,0.6443963646888733
pythia-70m,draw_2,high,3,0.44120069209862994,0.006077845152970569,0.3207040658990936,0.7094964981079102
pythia-70m,draw_2,high,4,0.41731562216544854,0.017226879382419395,0.26749024227892626,0.75275057554245
pythia-70m,draw_2,high,5,0.42453682242709456,0.008542170991324446,0.2943592596508393,0.886728048324585
pythia-70m,draw_3,high,0,0.41993970815278925,0.008849084568341447,0.11882248807118456,0.33059456944465637
pythia-70m,draw_3,high,1,0.419416343424878,0.008472583831590734,0.2678846277398459,0.8807817697525024
pythia-70m,draw_3,high,2,0.49004057571403226,0.01769512757680635,0.3452724164531853,0.6446106433868408
pythia-70m,draw_3,high,3,0.4405068330353716,0.005797194001696323,0.3158635452023886,0.6969517469406128
pythia-70m,draw_3,high,4,0.41815724313915176,0.0168215796685186,0.2636046562437431,0.7428037524223328
pythia-70m,draw_3,high,5,0.4254256734649971,0.009481766052981464,0.2918266039170896,0.884131669998169
pythia-70m,draw_1,very_high,0,0.4107793272537957,0.012092119705308733,0.14603991800319127,0.37817975878715515
pythia-70m,draw_1,very_high,1,0.4174849742695067,0.009491022654912125,0.25925297688072946,0.9129559993743896
pythia-70m,draw_1,very_high,2,0.4928045451126125,0.01428295012448726,0.34319499307901014,0.6738240718841553
pythia-70m,draw_1,very_high,3,0.4418361102860955,0.005689439204189881,0.31218536162292865,0.7211906313896179
pythia-70m,draw_1,very_high,4,0.422208562264767,0.014729554106880309,0.2662835878128047,0.756142795085907
pythia-70m,draw_1,very_high,5,0.42838132044068217,0.008605091542092682,0.28878385007879426,0.8926070332527161
pythia-70m,draw_2,very_high,0,0.4092362915349107,0.01101345333263087,0.14222573481829337,0.3774680197238922
pythia-70m,draw_2,very_high,1,0.4178681951914138,0.007551345170109838,0.2643176651768071,0.9013321995735168
pythia-70m,draw_2,very_high,2,0.4933450760068773,0.014956843989295362,0.34813053304634645,0.6609340310096741
pythia-70m,draw_2,very_high,3,0.4423470471965564,0.006305939528855515,0.31828382236712094,0.7131981253623962
pythia-70m,draw_2,very_high,4,0.42021166032744306,0.015152316908257317,0.26712027655481996,0.7448238730430603
pythia-70m,draw_2,very_high,5,0.4275609645128922,0.008632838434043747,0.2927685949899246,0.8929346799850464
pythia-70m,draw_3,very_high,0,0.41010463904820693,0.012407404337415136,0.14805748216866466,0.38225680589675903
pythia-70m,draw_3,very_high,1,0.4163098605916146,0.009299344527828851,0.25691788381066294,0.9087749719619751
pythia-70m,draw_3,very_high,2,0.4948133250365807,0.012885080499343629,0.34559705148876496,0.6752861142158508
pythia-70m,draw_3,very_high,3,0.4421863965803088,0.005439507367152585,0.31427263836939257,0.7260057330131531
pythia-70m,draw_3,very_high,4,0.4225671984956629,0.015612918623905911,0.2645653430849584,0.7493191957473755
pythia-70m,draw_3,very_high,5,0.4277880471742175,0.008362252623387127,0.2872566725313739,0.8998305797576904
pythia-70m,draw_1,control,0,0.41068292384977345,0.01140106945247723,0.1394830519217225,0.3697836101055145
pythia-70m,draw_1,control,1,0.41739519892059307,0.00907092671104325,0.262094893703092,0.9023863673210144
pythia-70m,draw_1,control,2,0.4932165421772016,0.014831377950321308,0.3492585959030876,0.6669867038726807
pythia-70m,draw_1,control,3,0.44157895060096314,0.005742326698937384,0.3174225419024306,0.7207943201065063
pythia-70m,draw_1,control,4,0.41985587167341765,0.016644084886248314,0.26607478827612385,0.7583352327346802
pythia-70m,draw_1,control,5,0.4270685408379281,0.00883786740000214,0.2890316600962095,0.8893423676490784
pythia-70m,draw_2,control,0,0.41223090162700826,0.012112696925237856,0.1439681151786545,0.3726171851158142
pythia-70m,draw_2,control,1,0.4168309765958438,0.009228999678610472,0.25868576139433186,0.9207215309143066
pythia-70m,draw_2,control,2,0.4911311671124896,0.015920810574005472,0.33876389581473876,0.6697837710380554
pythia-70m,draw_2,control,3,0.4418683026798396,0.005972869854586709,0.3116811728476432,0.7157655954360962
pythia-70m,draw_2,control,4,0.42045578645711773,0.015802987418794552,0.26060069496882443,0.7642881870269775
pythia-70m,draw_2,control,5,0.4259232299562613,0.009316252754520122,0.2829786866500392,0.8942546844482422
pythia-70m,draw_3,control,0,0.41195356465688293,0.012040466328880377,0.14051055318502392,0.3691720962524414
pythia-70m,draw_3,control,1,0.4173002027158201,0.008992436243119854,0.2603392842333838,0.8996775150299072
pythia-70m,draw_3,control,2,0.4939049693587421,0.015488376369714816,0.34547240294002357,0.6648609638214111
pythia-70m,draw_3,control,3,0.44145765460398556,0.006183296107476602,0.31475789832566825,0.7171086072921753
pythia-70m,draw_3,control,4,0.4203588194328082,0.017354381822485908,0.26471198653842776,0.7495013475418091
pythia-70m,draw_3,control,5,0.4274811651859497,0.009906865267492,0.2891745576255629,0.8800570964813232
pythia-160m,draw_1,low,0,0.4198796040209475,0.005427393134822425,0.07463537411376153,0.28282061219215393
pythia-160m,draw_1,low,1,0.3389897191607934,0.015806470610887476,0.1795526252868309,1.355116844177246
pythia-160m,draw_1,low,2,0.4409109540769835,0.012274689675705533,0.28424875034510144,0.8343393802642822
pythia-160m,draw_1,low,3,0.4469851260938737,0.012551682919837819,0.30163940512614906,0.7857348918914795
pythia-160m,draw_1,low,4,0.45396398173560304,0.012901506981382586,0.34155586073958744,0.7492146492004395
