model,draw,layer,mean_selectivity_index,median_selectivity_index,max_selectivity_index,n_selective_2x,n_highly_selective_3x,frac_selective_2x,frac_selective_3x,mean_f_stat_sample,median_f_stat_sample
pythia-70m,draw_1,0,1.1439701318740845,1.1360830068588257,1.4753117561340332,0,0,0.0,0.0,16.727187105754943,13.124373211645437
pythia-70m,draw_1,1,1.1129390001296997,1.0976266860961914,1.5642558336257935,0,0,0.0,0.0,8.689428998932522,4.479218881663488
pythia-70m,draw_1,2,1.115625023841858,1.1014835834503174,1.4333049058914185,0,0,0.0,0.0,8.617998253094557,5.153786084320352
pythia-70m,draw_1,3,1.1113615036010742,1.0978374481201172,1.6353158950805664,0,0,0.0,0.0,9.009312332603596,4.33873496857601
pythia-70m,draw_1,4,1.1171272993087769,1.1015710830688477,1.5285810232162476,0,0,0.0,0.0,9.474643651643536,5.14170303194091
pythia-70m,draw_1,5,1.1181303262710571,1.1014156341552734,1.6067928075790405,0,0,0.0,0.0,10.535865665183698,5.7845089180079645
pythia-160m,draw_1,0,1.1881799697875977,1.1874842643737793,1.6710388660430908,0,0,0.0,0.0,32.98907510535515,32.019570240784894
pythia-160m,draw_1,1,1.1138843297958374,1.0971436500549316,1.49368417263031,0,0,0.0,0.0,8.97000984241673,4.703949533534399
pythia-160m,draw_1,2,1.1017080545425415,1.088396668434143,1.4883559942245483,0,0,0.0,0.0,6.716851678848899,3.7681196438754387
pythia-160m,draw_1,3,1.106114387512207,1.0942840576171875,1.5027928352355957,0,0,0.0,0.0,6.523696377463086,3.5146648150698896
pythia-160m,draw_1,4,1.1058096885681152,1.091594934463501,1.5273746252059937,0,0,0.0,0.0,8.55983370442816,4.644939133786188
pythia-160m,draw_1,5,1.1031501293182373,1.0904641151428223,1.5187561511993408,0,0,0.0,0.0,8.582135239022143,5.178739550136818
pythia-160m,draw_1,6,1.106889247894287,1.0901817083358765,1.6019107103347778,0,0,0.0,0.0,9.624675868919232,4.997696364730829
pythia-160m,draw_1,7,1.1117833852767944,1.0939016342163086,1.6474931240081787,0,0,0.0,0.0,11.911944667911373,6.909385382853523
pythia-160m,draw_1,8,1.115099549293518,1.094343662261963,1.6294926404953003,0,0,0.0,0.0,13.258321543349426,6.873094263618887
pythia-160m,draw_1,9,1.1152186393737793,1.0990850925445557,1.4704680442810059,0,0,0.0,0.0,11.488282164123191,6.948596444699639
pythia-160m,draw_1,10,1.116209626197815,1.099120020866394,1.5101431608200073,0,0,0.0,0.0,11.992551328975606,6.995521338776618
pythia-160m,draw_1,11,1.1164621114730835,1.0975804328918457,1.7443735599517822,0,0,0.0,0.0,13.705360046358368,7.038229911628783
pythia-410m,draw_1,0,1.237138271331787,1.236255407333374,1.606866478919983,0,0,0.0,0.0,54.81233755403507,53.53483112883009
pythia-410m,draw_1,1,1.103537917137146,1.0843714475631714,1.4642165899276733,0,0,0.0,0.0,7.853367357027277,4.608954042908707
pythia-410m,draw_1,2,1.096970558166504,1.082179069519043,1.4361838102340698,0,0,0.0,0.0,5.4941288749194035,3.0844889385208094
pythia-410m,draw_1,3,1.111000657081604,1.097366213798523,1.5377238988876343,0,0,0.0,0.0,6.133895499384047,3.4482040612964138
pythia-410m,draw_1,4,1.1069495677947998,1.0945535898208618,1.4881718158721924,0,0,0.0,0.0,7.760510070246109,4.032327286960042
pythia-410m,draw_1,5,1.1093086004257202,1.0967724323272705,1.4395170211791992,0,0,0.0,0.0,6.916795697750222,4.1872980254278955
pythia-410m,draw_1,6,1.0998096466064453,1.0860364437103271,1.4491115808486938,0,0,0.0,0.0,7.150614278389497,4.173367691915142
pythia-410m,draw_1,7,1.1067640781402588,1.0931320190429688,1.503125786781311,0,0,0.0,0.0,8.817447470422339,4.762502783982061
pythia-410m,draw_1,8,1.100039005279541,1.086358904838562,1.5126900672912598,0,0,0.0,0.0,8.170659618799347,4.717010052623595
pythia-410m,draw_1,9,1.0973182916641235,1.0842196941375732,1.5829204320907593,0,0,0.0,0.0,8.073316653193018,4.791279294928743
pythia-410m,draw_1,10,1.1004029512405396,1.0873143672943115,1.504782795906067,0,0,0.0,0.0,7.84754758598735,4.491245953626321
pythia-410m,draw_1,11,1.1054534912109375,1.090497374534607,1.503674864768982,0,0,0.0,0.0,8.111364416014544,4.485011940577019
pythia-410m,draw_1,12,1.101867914199829,1.088358998298645,1.4583126306533813,0,0,0.0,0.0,7.772473121145722,4.727721131029103
pythia-410m,draw_1,13,1.1015114784240723,1.0895386934280396,1.4697514772415161,0,0,0.0,0.0,9.01910479013618,5.220189001024163
pythia-410m,draw_1,14,1.1017606258392334,1.087062954902649,1.5833224058151245,0,0,0.0,0.0,9.004568351367018,5.052140346962911
pythia-410m,draw_1,15,1.1037778854370117,1.0879539251327515,1.5760060548782349,0,0,0.0,0.0,9.23406207363445,4.763041989670773
pythia-410m,draw_1,16,1.109426736831665,1.0921289920806885,1.6133559942245483,0,0,0.0,0.0,11.306859111127556,5.2149980801759
pythia-410m,draw_1,17,1.1167789697647095,1.0988510847091675,1.6378200054168701,0,0,0.0,0.0,12.568433457184904,6.612200252605095
pythia-410m,draw_1,18,1.1164979934692383,1.0974819660186768,1.6694170236587524,0,0,0.0,0.0,13.000374348406092,6.979699568725456
pythia-410m,draw_1,19,1.1144983768463135,1.0954880714416504,1.6135919094085693,0,0,0.0,0.0,11.665347754054135,5.881992903114639
