model,band,draw,layer,mean_contribution,std_contribution,median_contribution,method
pythia-70m,low,draw_1,0,6.798146724700928,0.5679645538330078,6.762117385864258,norm_proxy
pythia-70m,low,draw_1,1,5.3118414878845215,1.467718243598938,4.780628681182861,norm_proxy
pythia-70m,low,draw_1,2,12.025825500488281,14.179290771484375,5.631016254425049,norm_proxy
pythia-70m,low,draw_1,3,9.013936996459961,1.5068989992141724,8.52237606048584,norm_proxy
pythia-70m,low,draw_1,4,15.844097137451172,9.879572868347168,11.818923950195312,norm_proxy
pythia-70m,low,draw_1,5,47.102813720703125,9.1764554977417,45.9697265625,norm_proxy
pythia-70m,low,draw_2,0,6.757291793823242,0.6065794825553894,6.692013263702393,norm_proxy
pythia-70m,low,draw_2,1,5.294925212860107,1.5860003232955933,4.752864360809326,norm_proxy
pythia-70m,low,draw_2,2,12.208147048950195,14.479150772094727,5.582290172576904,norm_proxy
pythia-70m,low,draw_2,3,9.059578895568848,1.505649209022522,8.592082023620605,norm_proxy
pythia-70m,low,draw_2,4,16.228408813476562,9.977965354919434,12.114002227783203,norm_proxy
pythia-70m,low,draw_2,5,47.70659255981445,9.729549407958984,47.4364013671875,norm_proxy
pythia-70m,low,draw_3,0,6.691485404968262,0.5585083365440369,6.679441452026367,norm_proxy
pythia-70m,low,draw_3,1,5.502208232879639,1.5944756269454956,4.8834710121154785,norm_proxy
pythia-70m,low,draw_3,2,14.240553855895996,16.245651245117188,5.74495792388916,norm_proxy
pythia-70m,low,draw_3,3,9.239550590515137,1.6650243997573853,8.626529693603516,norm_proxy
pythia-70m,low,draw_3,4,17.371292114257812,11.253592491149902,12.19776439666748,norm_proxy
pythia-70m,low,draw_3,5,48.25315856933594,9.941543579101562,47.95244598388672,norm_proxy
pythia-70m,medium,draw_1,0,6.387270450592041,0.578497052192688,6.321662425994873,norm_proxy
pythia-70m,medium,draw_1,1,5.4068989753723145,1.6585583686828613,4.860139846801758,norm_proxy
pythia-70m,medium,draw_1,2,11.956354141235352,15.23104476928711,5.595831871032715,norm_proxy
pythia-70m,medium,draw_1,3,8.888444900512695,1.5212199687957764,8.420466423034668,norm_proxy
pythia-70m,medium,draw_1,4,16.010812759399414,10.157509803771973,12.333251953125,norm_proxy
pythia-70m,medium,draw_1,5,46.628326416015625,8.758024215698242,45.344642639160156,norm_proxy
pythia-70m,medium,draw_2,0,6.331874847412109,0.5376135110855103,6.285787582397461,norm_proxy
pythia-70m,medium,draw_2,1,5.2262864112854,1.3555148839950562,4.776308059692383,norm_proxy
pythia-70m,medium,draw_2,2,10.983728408813477,13.44112491607666,5.546442985534668,norm_proxy
pythia-70m,medium,draw_2,3,8.892410278320312,1.4230337142944336,8.499639511108398,norm_proxy
pythia-70m,medium,draw_2,4,15.268035888671875,9.202503204345703,11.99814224243164,norm_proxy
pythia-70m,medium,draw_2,5,45.96538543701172,9.662232398986816,45.3446159362793,norm_proxy
pythia-70m,medium,draw_3,0,6.347412109375,0.5467702746391296,6.292448997497559,norm_proxy
pythia-70m,medium,draw_3,1,5.6106109619140625,1.7681695222854614,4.838024616241455,norm_proxy
pythia-70m,medium,draw_3,2,14.13860034942627,17.413585662841797,5.62429666519165,norm_proxy
pythia-70m,medium,draw_3,3,9.152288436889648,1.6567944288253784,8.601424217224121,norm_proxy
pythia-70m,medium,draw_3,4,17.335430145263672,11.484566688537598,12.081297874450684,norm_proxy
pythia-70m,medium,draw_3,5,47.889869689941406,10.083253860473633,46.803138732910156,norm_proxy
pythia-70m,high,draw_1,0,5.98792839050293,0.46970880031585693,5.944299697875977,norm_proxy
pythia-70m,high,draw_1,1,5.177995204925537,1.1788381338119507,4.854535102844238,norm_proxy
pythia-70m,high,draw_1,2,9.7133207321167,11.044763565063477,5.370461463928223,norm_proxy
pythia-70m,high,draw_1,3,8.685624122619629,1.2481491565704346,8.366039276123047,norm_proxy
pythia-70m,high,draw_1,4,14.62845516204834,7.749758243560791,12.096434593200684,norm_proxy
pythia-70m,high,draw_1,5,47.66526794433594,8.148265838623047,47.34583282470703,norm_proxy
pythia-70m,high,draw_2,0,5.95065975189209,0.44608449935913086,5.923941612243652,norm_proxy
pythia-70m,high,draw_2,1,4.9669189453125,1.0732948780059814,4.642606258392334,norm_proxy
pythia-70m,high,draw_2,2,8.168339729309082,9.038263320922852,5.340826988220215,norm_proxy
pythia-70m,high,draw_2,3,8.532487869262695,1.0372511148452759,8.338705062866211,norm_proxy
pythia-70m,high,draw_2,4,13.386920928955078,6.136697769165039,11.92734146118164,norm_proxy
pythia-70m,high,draw_2,5,46.678932189941406,7.786149024963379,46.15391159057617,norm_proxy
pythia-70m,high,draw_3,0,5.999114513397217,0.4885055124759674,5.918503761291504,norm_proxy
pythia-70m,high,draw_3,1,5.087064743041992,1.1816211938858032,4.732774257659912,norm_proxy
pythia-70m,high,draw_3,2,9.065783500671387,11.069816589355469,5.316370964050293,norm_proxy
pythia-70m,high,draw_3,3,8.66213321685791,1.225152611732483,8.393563270568848,norm_proxy
pythia-70m,high,draw_3,4,14.205545425415039,7.601454257965088,12.181792259216309,norm_proxy
pythia-70m,high,draw_3,5,47.13911437988281,8.482556343078613,46.90351104736328,norm_proxy
pythia-70m,very_high,draw_1,0,5.606514930725098,0.39806780219078064,5.5762786865234375,norm_proxy
pythia-70m,very_high,draw_1,1,4.778133869171143,0.8264815807342529,4.603222846984863,norm_proxy
pythia-70m,very_high,draw_1,2,6.8863019943237305,7.629010200500488,5.124838352203369,norm_proxy
pythia-70m,very_high,draw_1,3,8.35647964477539,0.9588156342506409,8.214025497436523,norm_proxy
pythia-70m,very_high,draw_1,4,13.194587707519531,5.185603141784668,12.208867073059082,norm_proxy
pythia-70m,very_high,draw_1,5,48.65981674194336,8.312355041503906,48.401588439941406,norm_proxy
