model,role,n_role,n_universal_role,odds_ratio,p,label_agreement
pythia-70m,previous_token,11,11,inf,0.04423390524190638,0.8333333333333334
pythia-70m,bos_sink,17,8,0.09523809523809523,0.0017038770071232674,0.8333333333333334
pythia-70m,induction,5,5,inf,0.3119796484736356,0.8333333333333334
pythia-160m,previous_token,20,17,5.4867724867724865,0.0064403757102150325,0.7986111111111112
pythia-160m,bos_sink,77,29,0.1895424836601307,4.49998267589147e-06,0.7986111111111112
pythia-160m,induction,22,19,6.333333333333333,0.0019144732883238785,0.7986111111111112
pythia-410m,previous_token,24,17,3.728370221327968,0.004391219633353879,0.8802083333333334
pythia-410m,bos_sink,231,68,0.2842311063169959,8.065881847326946e-09,0.8802083333333334
pythia-410m,induction,32,31,54.25,4.2318154593397535e-12,0.8802083333333334
pythia-1b,previous_token,11,10,14.375,0.0024837668125837413,0.8203125
pythia-1b,bos_sink,63,16,0.18642350557244175,8.889708931570152e-06,0.8203125
pythia-1b,induction,16,13,6.451851851851852,0.002611018451265649,0.8203125
pythia-1.4b,previous_token,17,14,11.644444444444444,1.1666819557051565e-05,0.9036458333333334
pythia-1.4b,bos_sink,247,36,0.11100325472506138,2.356476122240963e-20,0.9036458333333334
pythia-1.4b,induction,25,25,inf,2.8073974088504846e-14,0.9036458333333334
