model,size_multiplier,n_cells,n_gap_cells,same_band_advantage,same_band_acc_mean,cross_band_acc_mean
pythia-70m,0.1x,108,18,-0.0005925925925925867,0.0004938271604938223,0.001086419753086409
pythia-70m,0.2x,108,18,-0.0009876543209876541,0.005185185185185145,0.006172839506172799
pythia-70m,0.3x,108,18,-0.0018271604938271445,0.020493827160493795,0.022320987654320945
pythia-70m,0.5x,108,18,0.0047901234567901095,0.07111111111111106,0.06632098765432094
pythia-70m,0.75x,108,18,0.0021234567901234624,0.14197530864197527,0.13985185185185184
pythia-70m,1.0x,108,18,0.01160493827160494,0.21777777777777774,0.20617283950617282
pythia-70m,1.5x,108,18,0.012888888888888898,0.33358024691358024,0.32069135802469134
pythia-70m,2.0x,108,18,0.00696296296296297,0.3930864197530864,0.38612345679012333
pythia-70m,3.0x,108,18,0.0022716049382716067,0.4511111111111111,0.44883950617283946
pythia-70m,5.0x,108,18,0.0,0.45580246913580247,0.4558024691358024
pythia-160m,0.1x,108,18,2.2165911081925867e-18,0.0032098765432098555,0.0032098765432098534
pythia-160m,0.2x,108,18,0.0003950617283950688,0.0071604938271604725,0.006765432098765401
pythia-160m,0.3x,108,18,0.007555555555555559,0.02370370370370367,0.016148148148148113
pythia-160m,0.5x,108,18,0.007604938271604945,0.038024691358024644,0.030419753086419702
pythia-160m,0.75x,108,18,0.014864197530864194,0.07975308641975304,0.06488888888888884
pythia-160m,1.0x,108,18,0.016246913580246918,0.14074074074074072,0.12449382716049381
pythia-160m,1.5x,108,18,0.03180246913580248,0.2918518518518518,0.2600493827160493
pythia-160m,2.0x,108,18,0.043111111111111114,0.4676543209876543,0.42454320987654326
pythia-160m,3.0x,108,18,0.02864197530864197,0.7506172839506172,0.7219753086419752
pythia-160m,5.0x,108,18,0.00804938271604938,0.9135802469135802,0.9055308641975308
pythia-410m,0.1x,108,18,0.0005925925925925855,0.0014814814814814667,0.0008888888888888812
pythia-410m,0.2x,108,18,0.0008395061728395119,0.006172839506172817,0.0053333333333333045
pythia-410m,0.3x,108,18,-0.0036049382716049467,0.009135802469135762,0.012740740740740707
pythia-410m,0.5x,108,18,-0.009086419753086423,0.02666666666666663,0.035753086419753055
pythia-410m,0.75x,108,18,-0.016395061728395062,0.05876543209876539,0.07516049382716045
pythia-410m,1.0x,108,18,-0.021382716049382716,0.08641975308641972,0.10780246913580241
pythia-410m,1.5x,108,18,-0.016395061728395072,0.16148148148148145,0.17787654320987653
pythia-410m,2.0x,108,18,0.008444444444444425,0.32246913580246905,0.31402469135802463
pythia-410m,3.0x,108,18,0.023851851851851832,0.5688888888888888,0.5450370370370371
pythia-410m,5.0x,108,18,0.009185185185185197,0.8266666666666667,0.8174814814814815
pythia-1b,0.1x,108,18,-9.876543209876445e-05,0.00024691358024691115,0.0003456790123456756
pythia-1b,0.2x,108,18,-4.9382716049382225e-05,0.0007407407407407333,0.0007901234567901156
pythia-1b,0.3x,108,18,-0.0005432098765432045,0.0009876543209876446,0.0015308641975308487
pythia-1b,0.5x,108,18,-0.0021728395061728417,0.005679012345678978,0.00785185185185182
pythia-1b,0.75x,108,18,-0.00612345679012346,0.023209876543209832,0.02933333333333329
pythia-1b,1.0x,108,18,-0.0021728395061728443,0.0572839506172839,0.05945679012345674
pythia-1b,1.5x,108,18,0.0067160493827160515,0.15950617283950613,0.15279012345679008
pythia-1b,2.0x,108,18,0.035950617283950624,0.3269135802469136,0.2909629629629629
pythia-1b,3.0x,108,18,0.04622222222222224,0.5898765432098765,0.5436543209876543
pythia-1b,5.0x,108,18,0.03496296296296295,0.905925925925926,0.870962962962963
pythia-1.4b,0.1x,108,18,-0.00014814814814814668,0.00024691358024691115,0.0003950617283950578
pythia-1.4b,0.2x,108,18,-4.9382716049382225e-05,0.00024691358024691115,0.00029629629629629337
pythia-1.4b,0.3x,108,18,-9.876543209876445e-05,0.00024691358024691115,0.0003456790123456756
pythia-1.4b,0.5x,108,18,-0.0013333333333333313,0.0012345679012345555,0.002567901234567887
pythia-1.4b,0.75x,108,18,-0.011506172839506175,0.008148148148148118,0.01965432098765429
pythia-1.4b,1.0x,108,18,-0.01871604938271608,0.02518518518518513,0.043901234567901196
pythia-1.4b,1.5x,108,18,-0.024592592592592593,0.1081481481481481,0.13274074074074071
pythia-1.4b,2.0x,108,18,-0.009234567901234562,0.18691358024691357,0.19614814814814813
pythia-1.4b,3.0x,108,18,0.017283950617283952,0.3491358024691358,0.3318518518518518
pythia-1.4b,5.0x,108,18,0.004987654320987661,0.5614814814814816,0.5564938271604938
