model,threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
pythia-70m,0.01,30,0.022658610271903322,0.9688889384269714,0.8488889336585999,0.13667398691177368,0.0,7.963474988937378,0.8761467904018017,True
pythia-70m,0.003981071705534973,49,0.03700906344410876,0.9688889384269714,0.9644444584846497,0.08388374000787735,0.0,7.761091232299805,0.9954128076335172,False
pythia-70m,0.001584893192461114,76,0.05740181268882175,0.9688889384269714,0.9733333587646484,0.061009615659713745,0.0,7.770635604858398,1.0045871308479306,False
pythia-70m,0.000630957344480193,127,0.09592145015105741,0.9688889384269714,0.9733333587646484,0.04225479066371918,0.0,7.751893043518066,1.0045871308479306,False
pythia-70m,0.00025118864315095795,244,0.18429003021148035,0.9688889384269714,0.9733333587646484,0.0268892552703619,0.0,7.745325803756714,1.0045871308479306,False
pythia-70m,9.999999999999999e-05,385,0.290785498489426,0.9688889384269714,0.9777777791023254,0.013346211053431034,0.0,7.745508193969727,1.009174261695861,False
pythia-70m,3.9810717055349695e-05,564,0.4259818731117825,0.9688889384269714,0.9777777791023254,0.004662666469812393,0.0,7.782088279724121,1.009174261695861,False
pythia-70m,1.5848931924611107e-05,713,0.5385196374622356,0.9688889384269714,0.9688889384269714,0.001360132242552936,0.0,7.709707736968994,1.0,False
pythia-70m,6.30957344480193e-06,814,0.6148036253776435,0.9688889384269714,0.9688889384269714,0.00027366611175239086,0.0,7.689502954483032,1.0,False
pythia-70m,2.5118864315095823e-06,870,0.6570996978851964,0.9688889384269714,0.9688889384269714,7.275413372553885e-05,0.0,7.732788324356079,1.0,False
pythia-70m,1e-06,909,0.6865558912386707,0.9688889384269714,0.9688889384269714,2.3841994334361516e-05,0.0,7.764085054397583,1.0,False
