model,threshold,n_edges,edge_frac,base_2way,circuit_2way,kl,ablated_2way,acdc_seconds,retention,selected
pythia-1b,0.01,75,0.007493256069537416,0.9866666793823242,0.20000000298023224,0.38795381784439087,0.0,1447.4999437332153,0.20270270311087912,False
pythia-1b,0.003981071705534973,109,0.010890198821061046,0.9866666793823242,0.6577777862548828,0.22089675068855286,0.0,1448.8016588687897,0.6666666666666666,False
pythia-1b,0.001584893192461114,161,0.016085523029273654,0.9866666793823242,0.9155555963516235,0.15193596482276917,0.0,1449.296225786209,0.9279279573166311,True
pythia-1b,0.000630957344480193,312,0.03117194524927565,0.9866666793823242,0.9822222590446472,0.10214263945817947,0.0,1448.5528881549835,0.9954955199860815,False
pythia-1b,0.00025118864315095795,543,0.054251173943450894,0.9866666793823242,0.9866666793823242,0.0677584707736969,0.0,1448.8340320587158,1.0,False
pythia-1b,9.999999999999999e-05,907,0.09061844340093915,0.9866666793823242,0.991111159324646,0.04447966068983078,0.0,1449.878261566162,1.0045045404240307,False
pythia-1b,3.9810717055349695e-05,1540,0.15386152462783495,0.9866666793823242,0.9866666793823242,0.024684889242053032,0.0,1448.5121023654938,1.0,False
pythia-1b,1.5848931924611107e-05,2444,0.2441802377859926,0.9866666793823242,0.9866666793823242,0.014395094476640224,0.0,1449.3406720161438,1.0,False
pythia-1b,6.30957344480193e-06,3439,0.3435907683085223,0.9866666793823242,0.9822222590446472,0.006765096448361874,0.0,1448.4157974720001,0.9954955199860815,False
pythia-1b,2.5118864315095823e-06,4537,0.4532920371665501,0.9866666793823242,0.9866666793823242,0.002760139061138034,0.0,1448.705582857132,1.0,False
pythia-1b,1e-06,5674,0.5668897991807373,0.9866666793823242,0.9866666793823242,0.0011440375819802284,0.0,1449.2456498146057,1.0,False
