model,draw,model_capacity,n_layers,d_model,peak_mi_ksg,peak_mi_ksg_layer,peak_mi_ksg_layer_frac,peak_mi_probe,peak_mi_probe_layer,peak_delta_mi,peak_delta_mi_layer,peak_delta_mi_layer_frac,peak_efficiency,min_h_y_given_x,max_info_fraction
pythia-70m,draw_1,70,6,512,0.7587233504540193,0,0.0,0.9674099614244831,3,0.7587233504540193,0,0.0,0.0014818815438555064,1.5632047444333428,0.32676436110344986
pythia-70m,draw_2,70,6,512,0.7286482597842364,0,0.0,0.9353654682977333,2,0.7286482597842364,0,0.0,0.0014231411323910868,1.5932798351031257,0.3138117245700426
pythia-70m,draw_3,70,6,512,0.6879716270465801,0,0.0,0.9077897167895763,4,0.6879716270465801,0,0.0,0.0013436945840753518,1.633956467840782,0.2962932523885732
pythia-160m,draw_1,160,12,768,0.9069508635451397,6,0.5454545454545454,1.1471012670609728,7,0.8520281723039772,0,0.0,0.0011809256035744005,1.4149772313422226,0.39060247625331235
pythia-160m,draw_2,160,12,768,0.9143517307182261,6,0.5454545454545454,1.0649695757056081,7,0.8583340880206299,0,0.0,0.0011905621493726903,1.4075763641691361,0.3937898562541755
pythia-160m,draw_3,160,12,768,0.9139391998795284,6,0.5454545454545454,1.0932937931829931,8,0.8837672524749893,0,0.0,0.001190024999843136,1.4079888950078336,0.3936121888924662
pythia-410m,draw_1,410,24,1024,0.9819025830274918,3,0.13043478260869565,1.2057349350720794,23,0.868375788053639,0,0.0,0.0009588892412377849,1.3400255118598703,0.4228824248216543
pythia-410m,draw_2,410,24,1024,1.0137005995716293,3,0.13043478260869565,1.2216017508805002,23,0.8907300674082018,0,0.0,0.0009899419917691692,1.308227495315733,0.43657708514044413
pythia-410m,draw_3,410,24,1024,0.9679842881737472,1,0.043478260869565216,1.1568192341679397,22,0.8643203342379653,0,0.0,0.000945297156419675,1.3539438067136151,0.4168881414997928
pythia-1b,draw_1,1000,16,2048,1.1515625822610067,14,0.9333333333333333,1.2691539247190267,15,1.1203560112455606,0,0.0,0.0005622864171196322,1.1703655126263555,0.49595100933427894
pythia-1b,draw_2,1000,16,2048,1.168618830289527,1,0.06666666666666667,1.2813094285395317,13,1.1505468983091354,0,0.0,0.0005706146632273081,1.1533092645978351,0.5032967355288482
pythia-1b,draw_3,1000,16,2048,1.1528272090856775,14,0.9333333333333333,1.211068473301589,13,1.137856990921581,0,0.0,0.000562903910686366,1.1691008858016847,0.4964956544623754
pythia-1.4b,draw_1,1400,24,2048,1.1228942855490804,22,0.9565217391304348,1.3527519245452377,20,0.9956799563637833,0,0.0,0.0005482882253657619,1.1990338093382817,0.48360424598055973
pythia-1.4b,draw_2,1400,24,2048,1.1609369235143085,2,0.08695652173913043,1.3946437606705895,21,0.9968355746137534,0,0.0,0.000566863732184721,1.1609911713730536,0.49998831835945645
pythia-1.4b,draw_3,1400,24,2048,1.112535385610387,1,0.043478260869565216,1.366887196928416,22,0.9783713821323746,0,0.0,0.0005432301687550718,1.2093927092769752,0.4791429106095366
