model,draw,layer,delta_mi,cumulative_mi
pythia-70m,draw_1,0,0.7587233504540193,0.7587233504540193
pythia-70m,draw_1,1,-0.19472856425305896,0.5639947862009603
pythia-70m,draw_1,2,0.014189711490945833,0.5781844976919062
pythia-70m,draw_1,3,-0.037728058121373365,0.5404564395705328
pythia-70m,draw_1,4,0.09852035809586723,0.6389767976664
pythia-70m,draw_1,5,0.03281625900955021,0.6717930566759502
pythia-70m,draw_2,0,0.7286482597842364,0.7286482597842364
pythia-70m,draw_2,1,-0.08118247666780398,0.6474657831164324
pythia-70m,draw_2,2,-0.08343119340075345,0.564034589715679
pythia-70m,draw_2,3,-0.034779659143738484,0.5292549305719405
pythia-70m,draw_2,4,0.09088274932010798,0.6201376798920485
pythia-70m,draw_2,5,0.006094249601177881,0.6262319294932264
pythia-70m,draw_3,0,0.6879716270465801,0.6879716270465801
pythia-70m,draw_3,1,-0.09302486876588079,0.5949467582806993
pythia-70m,draw_3,2,-0.004367461010219897,0.5905792972704794
pythia-70m,draw_3,3,-0.08103933610559022,0.5095399611648892
pythia-70m,draw_3,4,0.09407376338543627,0.6036137245503255
pythia-70m,draw_3,5,0.01847728101281354,0.622091005563139
pythia-160m,draw_1,0,0.8520281723039772,0.8520281723039772
pythia-160m,draw_1,1,0.018085849403510545,0.8701140217074878
pythia-160m,draw_1,2,-0.04690527519070231,0.8232087465167854
pythia-160m,draw_1,3,-0.010403229218331145,0.8128055172984543
pythia-160m,draw_1,4,0.007915200637897302,0.8207207179363516
pythia-160m,draw_1,5,0.03185555840565435,0.852576276342006
pythia-160m,draw_1,6,0.054374587203133706,0.9069508635451397
pythia-160m,draw_1,7,-0.011586702268731708,0.8953641612764079
pythia-160m,draw_1,8,-0.17500800814662898,0.720356153129779
pythia-160m,draw_1,9,-0.045730911162966015,0.674625241966813
pythia-160m,draw_1,10,0.07652493884527045,0.7511501808120834
pythia-160m,draw_1,11,-0.023353097492640473,0.7277970833194429
pythia-160m,draw_2,0,0.8583340880206299,0.8583340880206299
pythia-160m,draw_2,1,0.031879982633797654,0.8902140706544276
pythia-160m,draw_2,2,-0.007499254322513416,0.8827148163319142
pythia-160m,draw_2,3,-0.0917599628585708,0.7909548534733434
pythia-160m,draw_2,4,0.07703390522750553,0.8679887587008489
pythia-160m,draw_2,5,-0.005889291965041954,0.862099466735807
pythia-160m,draw_2,6,0.05225226398241911,0.9143517307182261
pythia-160m,draw_2,7,-0.006490837640024449,0.9078608930782016
pythia-160m,draw_2,8,-0.13726450493985898,0.7705963881383426
pythia-160m,draw_2,9,-0.04327894032672275,0.7273174478116199
pythia-160m,draw_2,10,0.051686265274606624,0.7790037130862265
pythia-160m,draw_2,11,-0.02882623005575702,0.7501774830304695
pythia-160m,draw_3,0,0.8837672524749893,0.8837672524749893
pythia-160m,draw_3,1,-0.017832502623679303,0.86593474985131
pythia-160m,draw_3,2,-0.03682069823538825,0.8291140516159218
pythia-160m,draw_3,3,0.0046315404996145615,0.8337455921155363
pythia-160m,draw_3,4,0.03957929866840049,0.8733248907839368
pythia-160m,draw_3,5,0.006285209004391001,0.8796100997883278
pythia-160m,draw_3,6,0.034329100091200604,0.9139391998795284
pythia-160m,draw_3,7,-0.06526729236198892,0.8486719075175395
pythia-160m,draw_3,8,-0.11641693273723241,0.7322549747803071
pythia-160m,draw_3,9,-0.047011447546566165,0.6852435272337409
pythia-160m,draw_3,10,0.09654548724077194,0.7817890144745129
