model,draw,layer,mi,efficiency,d_model,model_capacity
pythia-70m,draw_1,0,0.7587233504540193,0.0014818815438555064,512,70
pythia-70m,draw_1,1,0.5639947862009603,0.0011015523167987506,512,70
pythia-70m,draw_1,2,0.5781844976919062,0.0011292665970545042,512,70
pythia-70m,draw_1,3,0.5404564395705328,0.0010555789835361969,512,70
pythia-70m,draw_1,4,0.6389767976664,0.0012480015579421876,512,70
pythia-70m,draw_1,5,0.6717930566759502,0.0013120958138202153,512,70
pythia-70m,draw_2,0,0.7286482597842364,0.0014231411323910868,512,70
pythia-70m,draw_2,1,0.6474657831164324,0.001264581607649282,512,70
pythia-70m,draw_2,2,0.564034589715679,0.0011016300580384355,512,70
pythia-70m,draw_2,3,0.5292549305719405,0.0010337010362733213,512,70
pythia-70m,draw_2,4,0.6201376798920485,0.0012112064060391572,512,70
pythia-70m,draw_2,5,0.6262319294932264,0.0012231092372914578,512,70
pythia-70m,draw_3,0,0.6879716270465801,0.0013436945840753518,512,70
pythia-70m,draw_3,1,0.5949467582806993,0.0011620053872669909,512,70
pythia-70m,draw_3,2,0.5905792972704794,0.0011534751899814051,512,70
pythia-70m,draw_3,3,0.5095399611648892,0.0009951952366501742,512,70
pythia-70m,draw_3,4,0.6036137245503255,0.0011789330557623544,512,70
pythia-70m,draw_3,5,0.622091005563139,0.0012150214952405059,512,70
pythia-160m,draw_1,0,0.8520281723039772,0.0011094116826874704,768,160
pythia-160m,draw_1,1,0.8701140217074878,0.001132960965764958,768,160
pythia-160m,draw_1,2,0.8232087465167854,0.001071886388693731,768,160
pythia-160m,draw_1,3,0.8128055172984543,0.0010583405173156958,768,160
pythia-160m,draw_1,4,0.8207207179363516,0.001068646768146291,768,160
pythia-160m,draw_1,5,0.852576276342006,0.0011101253598203202,768,160
pythia-160m,draw_1,6,0.9069508635451397,0.0011809256035744005,768,160
pythia-160m,draw_1,7,0.8953641612764079,0.0011658387516619896,768,160
pythia-160m,draw_1,8,0.720356153129779,0.0009379637410543997,768,160
pythia-160m,draw_1,9,0.674625241966813,0.0008784182838109544,768,160
pythia-160m,draw_1,10,0.7511501808120834,0.0009780601312657335,768,160
pythia-160m,draw_1,11,0.7277970833194429,0.000947652452238858,768,160
pythia-160m,draw_2,0,0.8583340880206299,0.0011176225104435286,768,160
pythia-160m,draw_2,1,0.8902140706544276,0.0011591329044979527,768,160
pythia-160m,draw_2,2,0.8827148163319142,0.00114936825043218,768,160
pythia-160m,draw_2,3,0.7909548534733434,0.0010298891321267492,768,160
pythia-160m,draw_2,4,0.8679887587008489,0.0011301936962250638,768,160
pythia-160m,draw_2,5,0.862099466735807,0.0011225253473122487,768,160
pythia-160m,draw_2,6,0.9143517307182261,0.0011905621493726903,768,160
pythia-160m,draw_2,7,0.9078608930782016,0.0011821105378622416,768,160
pythia-160m,draw_2,8,0.7705963881383426,0.0010033807137218003,768,160
pythia-160m,draw_2,9,0.7273174478116199,0.0009470279268380468,768,160
pythia-160m,draw_2,10,0.7790037130862265,0.0010143277514143574,768,160
pythia-160m,draw_2,11,0.7501774830304695,0.000976793597695924,768,160
pythia-160m,draw_3,0,0.8837672524749893,0.0011507386099934758,768,160
pythia-160m,draw_3,1,0.86593474985131,0.00112751920553556,768,160
pythia-160m,draw_3,2,0.8291140516159218,0.0010795755880415648,768,160
pythia-160m,draw_3,3,0.8337455921155363,0.0010856062397337713,768,160
pythia-160m,draw_3,4,0.8733248907839368,0.0011371417848749178,768,160
pythia-160m,draw_3,5,0.8796100997883278,0.001145325650766052,768,160
pythia-160m,draw_3,6,0.9139391998795284,0.001190024999843136,768,160
pythia-160m,draw_3,7,0.8486719075175395,0.0011050415462467962,768,160
pythia-160m,draw_3,8,0.7322549747803071,0.0009534569984118582,768,160
pythia-160m,draw_3,9,0.6852435272337409,0.0008922441760856001,768,160
pythia-160m,draw_3,10,0.7817890144745129,0.0010179544459303553,768,160
pythia-160m,draw_3,11,0.734788986327556,0.0009567564926140052,768,160
pythia-410m,draw_1,0,0.868375788053639,0.0008480232305211319,1024,410
pythia-410m,draw_1,1,0.9611722476836083,0.0009386447731285237,1024,410
pythia-410m,draw_1,2,0.9455076645379382,0.0009233473286503303,1024,410
pythia-410m,draw_1,3,0.9819025830274918,0.0009588892412377849,1024,410
pythia-410m,draw_1,4,0.8947111654354928,0.0008737413724955984,1024,410
pythia-410m,draw_1,5,0.8734501964810895,0.0008529787075010639,1024,410
pythia-410m,draw_1,6,0.8765252977927623,0.0008559817361257445,1024,410
pythia-410m,draw_1,7,0.8406694728532815,0.0008209662820832827,1024,410
pythia-410m,draw_1,8,0.8037482949891706,0.0007849104443253619,1024,410
pythia-410m,draw_1,9,0.7857067396202159,0.0007672917379103671,1024,410
pythia-410m,draw_1,10,0.8090226528484595,0.0007900611844223238,1024,410
pythia-410m,draw_1,11,0.8558232426629427,0.00083576488541303,1024,410
pythia-410m,draw_1,12,0.8248837080232015,0.0008055504961164078,1024,410
pythia-410m,draw_1,13,0.8089492951326341,0.000789989546027963,1024,410
pythia-410m,draw_1,14,0.863037196400851,0.000842809762110206,1024,410
pythia-410m,draw_1,15,0.8927979873114185,0.0008718730344838071,1024,410
pythia-410m,draw_1,16,0.9314981466948495,0.000909666158881689,1024,410
pythia-410m,draw_1,17,0.8540096232433575,0.0008339937726985913,1024,410
pythia-410m,draw_1,18,0.7793547133301619,0.0007610885872364863,1024,410
pythia-410m,draw_1,19,0.782215882176917,0.0007638826974383955,1024,410
pythia-410m,draw_1,20,0.7515831314158029,0.000733967901773245,1024,410
pythia-410m,draw_1,21,0.7595218459052074,0.0007417205526418041,1024,410
pythia-410m,draw_1,22,0.8309142499230506,0.0008114396971904791,1024,410
pythia-410m,draw_1,23,0.9235047674016891,0.000901860124415712,1024,410
pythia-410m,draw_2,0,0.8907300674082018,0.0008698535814533221,1024,410
pythia-410m,draw_2,1,0.9978624048857635,0.0009744750047712534,1024,410
pythia-410m,draw_2,2,0.9700545836549019,0.0009473189293504902,1024,410
pythia-410m,draw_2,3,1.0137005995716293,0.0009899419917691692,1024,410
pythia-410m,draw_2,4,0.9261554407130331,0.0009044486725713214,1024,410
pythia-410m,draw_2,5,0.9282273151147373,0.0009064719874167357,1024,410
pythia-410m,draw_2,6,0.9179938998989879,0.0008964784178701054,1024,410
pythia-410m,draw_2,7,0.8741912207944945,0.0008537023640571236,1024,410
pythia-410m,draw_2,8,0.8710608117798873,0.0008506453240037961,1024,410
pythia-410m,draw_2,9,0.8808979122121102,0.0008602518673946389,1024,410
