model,draw,layer,mi_ksg,method,d_model
pythia-410m,draw_2,11,0.8791374869126487,ksg,1024
pythia-410m,draw_2,12,0.8748802373810441,ksg,1024
pythia-410m,draw_2,13,0.8695919216161605,ksg,1024
pythia-410m,draw_2,14,0.9070763313536035,ksg,1024
pythia-410m,draw_2,15,0.9606660787284625,ksg,1024
pythia-410m,draw_2,16,0.9919332979982249,ksg,1024
pythia-410m,draw_2,17,0.884820649654431,ksg,1024
pythia-410m,draw_2,18,0.7948235347328085,ksg,1024
pythia-410m,draw_2,19,0.8170227744896635,ksg,1024
pythia-410m,draw_2,20,0.7837321593954302,ksg,1024
pythia-410m,draw_2,21,0.7441441157067455,ksg,1024
pythia-410m,draw_2,22,0.8942457819321873,ksg,1024
pythia-410m,draw_2,23,1.0093662618028962,ksg,1024
pythia-410m,draw_3,0,0.8643203342379653,ksg,1024
pythia-410m,draw_3,1,0.9679842881737472,ksg,1024
pythia-410m,draw_3,2,0.945051939470297,ksg,1024
pythia-410m,draw_3,3,0.9673452978010697,ksg,1024
pythia-410m,draw_3,4,0.923706476841845,ksg,1024
pythia-410m,draw_3,5,0.8839315406398356,ksg,1024
pythia-410m,draw_3,6,0.8715601633317501,ksg,1024
pythia-410m,draw_3,7,0.8583971013351112,ksg,1024
pythia-410m,draw_3,8,0.8662512465112426,ksg,1024
pythia-410m,draw_3,9,0.8375201530843387,ksg,1024
pythia-410m,draw_3,10,0.8842544045348362,ksg,1024
pythia-410m,draw_3,11,0.8343212135853141,ksg,1024
pythia-410m,draw_3,12,0.8121044652617847,ksg,1024
pythia-410m,draw_3,13,0.828521392206118,ksg,1024
pythia-410m,draw_3,14,0.8735959197172657,ksg,1024
pythia-410m,draw_3,15,0.8901429007871754,ksg,1024
pythia-410m,draw_3,16,0.909131992628005,ksg,1024
pythia-410m,draw_3,17,0.8291342291518042,ksg,1024
pythia-410m,draw_3,18,0.7594947394389984,ksg,1024
pythia-410m,draw_3,19,0.7757299255841534,ksg,1024
pythia-410m,draw_3,20,0.7180322576192818,ksg,1024
pythia-410m,draw_3,21,0.7478011644281646,ksg,1024
pythia-410m,draw_3,22,0.8932109294869202,ksg,1024
pythia-410m,draw_3,23,0.9560582446372999,ksg,1024
pythia-1b,draw_1,0,1.1203560112455606,ksg,2048
pythia-1b,draw_1,1,1.125527686200807,ksg,2048
pythia-1b,draw_1,2,1.0680806563849865,ksg,2048
pythia-1b,draw_1,3,1.0154259172742774,ksg,2048
pythia-1b,draw_1,4,0.9985711205282081,ksg,2048
pythia-1b,draw_1,5,1.0168133300940063,ksg,2048
pythia-1b,draw_1,6,0.983519080470998,ksg,2048
pythia-1b,draw_1,7,0.9113403499516252,ksg,2048
pythia-1b,draw_1,8,0.8794492247375106,ksg,2048
pythia-1b,draw_1,9,0.9151338964215296,ksg,2048
pythia-1b,draw_1,10,0.9613221295140122,ksg,2048
pythia-1b,draw_1,11,1.0796636263380055,ksg,2048
pythia-1b,draw_1,12,1.121607485025194,ksg,2048
pythia-1b,draw_1,13,1.1509096385643247,ksg,2048
pythia-1b,draw_1,14,1.1515625822610067,ksg,2048
pythia-1b,draw_1,15,1.0239297913381264,ksg,2048
pythia-1b,draw_2,0,1.1505468983091354,ksg,2048
pythia-1b,draw_2,1,1.168618830289527,ksg,2048
pythia-1b,draw_2,2,1.094634165275317,ksg,2048
pythia-1b,draw_2,3,1.070061242843522,ksg,2048
pythia-1b,draw_2,4,1.054322024363,ksg,2048
pythia-1b,draw_2,5,1.0016398384082008,ksg,2048
pythia-1b,draw_2,6,0.9801181805548691,ksg,2048
pythia-1b,draw_2,7,0.947370142796143,ksg,2048
pythia-1b,draw_2,8,0.9067848703453472,ksg,2048
pythia-1b,draw_2,9,0.9529968087885101,ksg,2048
pythia-1b,draw_2,10,0.9704313460042453,ksg,2048
pythia-1b,draw_2,11,1.095677137626816,ksg,2048
pythia-1b,draw_2,12,1.1200308477550414,ksg,2048
pythia-1b,draw_2,13,1.1617618888847316,ksg,2048
pythia-1b,draw_2,14,1.1653004070724942,ksg,2048
pythia-1b,draw_2,15,1.0704822364597648,ksg,2048
pythia-1b,draw_3,0,1.137856990921581,ksg,2048
pythia-1b,draw_3,1,1.1299644318554323,ksg,2048
pythia-1b,draw_3,2,1.0809854412971185,ksg,2048
pythia-1b,draw_3,3,1.0259155968638953,ksg,2048
pythia-1b,draw_3,4,1.055778531099417,ksg,2048
pythia-1b,draw_3,5,1.0911033825049579,ksg,2048
pythia-1b,draw_3,6,0.9810790510198959,ksg,2048
pythia-1b,draw_3,7,0.9555764385133731,ksg,2048
pythia-1b,draw_3,8,0.9077964972883596,ksg,2048
pythia-1b,draw_3,9,0.9426099470922173,ksg,2048
pythia-1b,draw_3,10,0.9753694178422467,ksg,2048
pythia-1b,draw_3,11,1.0874795922684557,ksg,2048
pythia-1b,draw_3,12,1.0939768864059447,ksg,2048
pythia-1b,draw_3,13,1.112735481402982,ksg,2048
pythia-1b,draw_3,14,1.1528272090856775,ksg,2048
pythia-1b,draw_3,15,1.0151877340216933,ksg,2048
pythia-1.4b,draw_1,0,0.9956799563637833,ksg,2048
pythia-1.4b,draw_1,1,1.1026594983193168,ksg,2048
pythia-1.4b,draw_1,2,1.0675077316839698,ksg,2048
pythia-1.4b,draw_1,3,1.047809234557742,ksg,2048
pythia-1.4b,draw_1,4,1.0139928705686427,ksg,2048
pythia-1.4b,draw_1,5,0.9145338832045499,ksg,2048
pythia-1.4b,draw_1,6,0.9292350395317731,ksg,2048
pythia-1.4b,draw_1,7,0.7852505415861557,ksg,2048
pythia-1.4b,draw_1,8,0.8248284141471592,ksg,2048
pythia-1.4b,draw_1,9,0.7416836502613023,ksg,2048
pythia-1.4b,draw_1,10,0.8524071151457913,ksg,2048
pythia-1.4b,draw_1,11,0.9656006152373814,ksg,2048
pythia-1.4b,draw_1,12,0.994961443273875,ksg,2048
pythia-1.4b,draw_1,13,1.0138440654967944,ksg,2048
pythia-1.4b,draw_1,14,1.015735920107851,ksg,2048
pythia-1.4b,draw_1,15,1.0460428677326281,ksg,2048
pythia-1.4b,draw_1,16,1.0737334205154496,ksg,2048
pythia-1.4b,draw_1,17,1.0754421800898202,ksg,2048
pythia-1.4b,draw_1,18,1.0727261183808945,ksg,2048
pythia-1.4b,draw_1,19,1.0880544026444607,ksg,2048
pythia-1.4b,draw_1,20,1.0814479444805087,ksg,2048
pythia-1.4b,draw_1,21,1.0950960307841926,ksg,2048
pythia-1.4b,draw_1,22,1.1228942855490804,ksg,2048
pythia-1.4b,draw_1,23,1.0984440393270254,ksg,2048
pythia-1.4b,draw_2,0,0.9968355746137534,ksg,2048
pythia-1.4b,draw_2,1,1.1501011254526234,ksg,2048
pythia-1.4b,draw_2,2,1.1609369235143085,ksg,2048
pythia-1.4b,draw_2,3,1.1287067197395393,ksg,2048
pythia-1.4b,draw_2,4,1.0710645630650417,ksg,2048
pythia-1.4b,draw_2,5,0.9884925110936076,ksg,2048
pythia-1.4b,draw_2,6,0.9435105819956663,ksg,2048
pythia-1.4b,draw_2,7,0.8528054434561991,ksg,2048
pythia-1.4b,draw_2,8,0.877143224965987,ksg,2048
pythia-1.4b,draw_2,9,0.8328768532649412,ksg,2048
pythia-1.4b,draw_2,10,0.8620620824778256,ksg,2048
pythia-1.4b,draw_2,11,1.0200012481269227,ksg,2048
pythia-1.4b,draw_2,12,1.0457153786914517,ksg,2048
pythia-1.4b,draw_2,13,1.0165483144391154,ksg,2048
pythia-1.4b,draw_2,14,1.0263145609809168,ksg,2048
pythia-1.4b,draw_2,15,1.0328042340833297,ksg,2048
pythia-1.4b,draw_2,16,1.0694456686096236,ksg,2048
pythia-1.4b,draw_2,17,1.0604286431112224,ksg,2048
pythia-1.4b,draw_2,18,1.0749577883597956,ksg,2048
pythia-1.4b,draw_2,19,1.1005935187954123,ksg,2048
pythia-1.4b,draw_2,20,1.1064988534271747,ksg,2048
pythia-1.4b,draw_2,21,1.1239701118517973,ksg,2048
pythia-1.4b,draw_2,22,1.1414545853408553,ksg,2048
pythia-1.4b,draw_2,23,1.121581445849575,ksg,2048
pythia-1.4b,draw_3,0,0.9783713821323746,ksg,2048
pythia-1.4b,draw_3,1,1.112535385610387,ksg,2048
pythia-1.4b,draw_3,2,1.1091187079784366,ksg,2048
pythia-1.4b,draw_3,3,1.0541528860317206,ksg,2048
pythia-1.4b,draw_3,4,1.0140256160309797,ksg,2048
pythia-1.4b,draw_3,5,0.9658161808405528,ksg,2048
pythia-1.4b,draw_3,6,0.9387754684692741,ksg,2048
pythia-1.4b,draw_3,7,0.8715758592423808,ksg,2048
pythia-1.4b,draw_3,8,0.8522914359890473,ksg,2048
pythia-1.4b,draw_3,9,0.7851923169341247,ksg,2048
pythia-1.4b,draw_3,10,0.8324336535551984,ksg,2048
pythia-1.4b,draw_3,11,0.988132731402647,ksg,2048
pythia-1.4b,draw_3,12,0.976674060876068,ksg,2048
pythia-1.4b,draw_3,13,0.9962198810260803,ksg,2048
pythia-1.4b,draw_3,14,1.0135322283257224,ksg,2048
pythia-1.4b,draw_3,15,1.013724608926194,ksg,2048
pythia-1.4b,draw_3,16,1.0506659764752664,ksg,2048
pythia-1.4b,draw_3,17,1.0394428680987513,ksg,2048
pythia-1.4b,draw_3,18,1.0504376641422275,ksg,2048
pythia-1.4b,draw_3,19,1.0571579805215507,ksg,2048
pythia-1.4b,draw_3,20,1.0611947857227373,ksg,2048
pythia-1.4b,draw_3,21,1.0758244207514578,ksg,2048
pythia-1.4b,draw_3,22,1.0775555771943768,ksg,2048
pythia-1.4b,draw_3,23,1.034823779255225,ksg,2048
