model,draw,layer,attn_mi,mlp_mi,mlp_advantage
pythia-70m,draw_1,0,0.700551160716489,0.6153630657748339,-0.08518809494165513
pythia-70m,draw_1,1,1.0522190162521639,0.4891225593122085,-0.5630964569399554
pythia-70m,draw_1,2,0.6725878560078549,0.5678187907806794,-0.10476906522717544
pythia-70m,draw_1,3,0.4885020457463909,0.36995533825939636,-0.11854670748699453
pythia-70m,draw_1,4,0.7317631141727052,0.29699999648512104,-0.4347631176875842
pythia-70m,draw_1,5,0.5636223763143643,0.39739944085123574,-0.16622293546312855
pythia-70m,draw_2,0,0.6808509138969601,0.6783541163546634,-0.0024967975422967026
pythia-70m,draw_2,1,1.0270990417048835,0.45194352820790007,-0.5751555134969835
pythia-70m,draw_2,2,0.6489594076364898,0.517923415822595,-0.1310359918138948
pythia-70m,draw_2,3,0.5324144296303192,0.3864046960932277,-0.14600973353709146
pythia-70m,draw_2,4,0.6958491528723415,0.2712462311144545,-0.424602921757887
pythia-70m,draw_2,5,0.5567758710859783,0.39728065504233473,-0.15949521604364353
pythia-70m,draw_3,0,0.7111356651268574,0.6050439471776059,-0.10609171794925154
pythia-70m,draw_3,1,1.034016142307557,0.5222016340693699,-0.511814508238187
pythia-70m,draw_3,2,0.6715299538241646,0.5424186018142724,-0.1291113520098922
pythia-70m,draw_3,3,0.5230522122145203,0.39088273095223763,-0.13216948126228262
pythia-70m,draw_3,4,0.6982563439963155,0.2838447571808245,-0.414411586815491
pythia-70m,draw_3,5,0.6033867625952318,0.38225177154363127,-0.22113499105160056
pythia-160m,draw_1,0,0.773517983626856,0.7574477355533776,-0.016070248073478344
pythia-160m,draw_1,1,0.9234562154086681,0.5299516520482639,-0.3935045633604042
pythia-160m,draw_1,2,0.8843069828774323,0.49512166345732567,-0.3891853194201066
pythia-160m,draw_1,3,0.42923274500271014,0.6891147961730173,0.25988205117030716
pythia-160m,draw_1,4,0.7172175517038338,0.6171335792356525,-0.10008397246818135
pythia-160m,draw_1,5,0.9233522563596824,0.5744778533544649,-0.34887440300521755
pythia-160m,draw_1,6,0.9907913003539865,0.5035599596088352,-0.4872313407451514
pythia-160m,draw_1,7,0.901727981593716,0.49157035201518745,-0.4101576295785286
pythia-160m,draw_1,8,0.6239498293594625,0.5564569968144987,-0.06749283254496385
pythia-160m,draw_1,9,0.4250573448479804,0.37189996953338283,-0.05315737531459758
pythia-160m,draw_1,10,0.687436154754892,0.38745804220199814,-0.2999781125528938
pythia-160m,draw_1,11,0.7560544472501469,0.5991267526323486,-0.15692769461779832
pythia-160m,draw_2,0,0.824929392388654,0.7530505886257152,-0.07187880376293887
pythia-160m,draw_2,1,0.9151365519552644,0.4961527818577224,-0.41898377009754206
pythia-160m,draw_2,2,0.8508261717935167,0.5228497718404471,-0.3279763999530696
pythia-160m,draw_2,3,0.37655009254517374,0.6509890049475252,0.27443891240235146
pythia-160m,draw_2,4,0.7260718146244529,0.5963726732952063,-0.12969914132924665
pythia-160m,draw_2,5,0.9164449485687789,0.5846172819379394,-0.3318276666308395
pythia-160m,draw_2,6,1.0063636595458794,0.48654103210294875,-0.5198226274429306
pythia-160m,draw_2,7,0.9617640886006924,0.5054065304263299,-0.4563575581743625
pythia-160m,draw_2,8,0.6459766569266978,0.5986125621689555,-0.04736409475774228
pythia-160m,draw_2,9,0.44082124830089076,0.40662711179783856,-0.0341941365030522
pythia-160m,draw_2,10,0.7389108007089676,0.4606714779797692,-0.27823932272919844
pythia-160m,draw_2,11,0.8018456298496612,0.6317267558639437,-0.17011887398571757
pythia-160m,draw_3,0,0.8324737923292428,0.7581521481895466,-0.07432164413969622
pythia-160m,draw_3,1,0.8971895569411953,0.4803113396733458,-0.41687821726784946
pythia-160m,draw_3,2,0.8975269779370512,0.5787680130259015,-0.31875896491114963
pythia-160m,draw_3,3,0.43900450838598476,0.6634990884932009,0.22449458010721618
pythia-160m,draw_3,4,0.7213655346561088,0.5834623389833359,-0.13790319567277287
pythia-160m,draw_3,5,0.9139185786987467,0.535701245368046,-0.37821733333070073
pythia-160m,draw_3,6,0.982877268887297,0.4465595647397013,-0.5363177041475957
pythia-160m,draw_3,7,0.9664348618047194,0.4656079118199878,-0.5008269499847315
pythia-160m,draw_3,8,0.680570411700007,0.54839667489216,-0.13217373680784694
pythia-160m,draw_3,9,0.5163346812595919,0.35380895584774374,-0.16252572541184818
pythia-160m,draw_3,10,0.7260014755757196,0.41759165061417824,-0.30840982496154135
pythia-160m,draw_3,11,0.7917898550889803,0.6164421100952483,-0.17534774499373196
pythia-410m,draw_1,0,0.9320421317388152,0.7797009078067104,-0.1523412239321048
pythia-410m,draw_1,1,1.0340859299287375,0.6109902591874264,-0.42309567074131105
pythia-410m,draw_1,2,1.1061414796198124,0.5055201963127463,-0.6006212833070661
pythia-410m,draw_1,3,0.8324768207056247,0.6201324701415925,-0.21234435056403222
pythia-410m,draw_1,4,1.1321546060200898,0.46752516067900785,-0.6646294453410819
pythia-410m,draw_1,5,0.3618151712837905,0.7076409820064099,0.3458258107226194
pythia-410m,draw_1,6,0.8584337840257696,0.5341924926773499,-0.3242412913484197
pythia-410m,draw_1,7,0.7823038354667841,0.6731614011626432,-0.10914243430414083
pythia-410m,draw_1,8,0.7153672606650019,0.6445279869043812,-0.07083927376062071
pythia-410m,draw_1,9,0.662595992855131,0.5101287039696265,-0.15246728888550454
pythia-410m,draw_1,10,0.8664629546611305,0.5473891265934917,-0.31907382806763884
pythia-410m,draw_1,11,0.5365064763978198,0.6321345101956408,0.09562803379782103
pythia-410m,draw_1,12,1.0310959614210198,0.6365362202500079,-0.3945597411710119
pythia-410m,draw_1,13,0.8634831645122338,0.5893332631298791,-0.27414990138235473
pythia-410m,draw_1,14,0.8498044082317173,0.72881213814588,-0.12099227008583735
pythia-410m,draw_1,15,0.9391051745218031,0.6172545567032086,-0.3218506178185945
pythia-410m,draw_1,16,0.9117986922462158,0.7667613475703459,-0.14503734467586993
pythia-410m,draw_1,17,1.0080593775185318,0.5737025212442195,-0.4343568562743123
pythia-410m,draw_1,18,0.8726918375169683,0.3934254891168197,-0.47926634840014865
pythia-410m,draw_1,19,1.0421351155543959,0.32846404138802465,-0.7136710741663712
pythia-410m,draw_1,20,1.0457309072598127,0.39495161753692815,-0.6507792897228846
pythia-410m,draw_1,21,0.704485265127749,0.5515765591505734,-0.15290870597717565
pythia-410m,draw_1,22,0.752234169388407,0.5138185564545201,-0.2384156129338869
pythia-410m,draw_1,23,0.8913996053517491,0.6604610988720879,-0.2309385064796612
pythia-410m,draw_2,0,0.9763177984469479,0.8316647477973894,-0.14465305064955847
pythia-410m,draw_2,1,1.0754049790179632,0.6334787994386537,-0.44192617957930946
pythia-410m,draw_2,2,1.1003664401105526,0.5027441072688467,-0.597622332841706
pythia-410m,draw_2,3,0.8295003784802417,0.6120065121605784,-0.21749386631966328
pythia-410m,draw_2,4,1.1715675571030884,0.5128810282007082,-0.6586865289023801
pythia-410m,draw_2,5,0.3100104904178275,0.7359207500477633,0.42591025962993573
pythia-410m,draw_2,6,0.8757945792720319,0.5665166995189203,-0.3092778797531116
pythia-410m,draw_2,7,0.7662726186211077,0.6645736737322366,-0.1016989448888711
pythia-410m,draw_2,8,0.7560120546562811,0.6557176963774611,-0.10029435827881994
pythia-410m,draw_2,9,0.6521406565124167,0.5108921177723332,-0.14124853874008347
pythia-410m,draw_2,10,0.9309204938202097,0.5829771370792958,-0.3479433567409139
pythia-410m,draw_2,11,0.6102466339569395,0.6146566229440094,0.004409988987069902
pythia-410m,draw_2,12,1.0707139462454127,0.7030040771386845,-0.3677098691067282
pythia-410m,draw_2,13,0.8720537983313857,0.6000519709558043,-0.27200182737558143
pythia-410m,draw_2,14,0.8663555136787511,0.7339842340255744,-0.13237127965317663
pythia-410m,draw_2,15,0.9509298362582866,0.6673416670122164,-0.2835881692460702
pythia-410m,draw_2,16,0.9602062141220039,0.7979139211044023,-0.16229229301760162
pythia-410m,draw_2,17,1.0738593213577015,0.6194562031166568,-0.4544031182410446
pythia-410m,draw_2,18,0.8383430479262064,0.4370485621650499,-0.4012944857611565
pythia-410m,draw_2,19,1.0953176851745303,0.38131770187935743,-0.7139999832951729
pythia-410m,draw_2,20,1.0609879533306932,0.45862749639013906,-0.6023604569405541
pythia-410m,draw_2,21,0.7302997374913842,0.5875313301906488,-0.14276840730073537
pythia-410m,draw_2,22,0.7439803113090568,0.5671856248505398,-0.17679468645851704
pythia-410m,draw_2,23,0.918122393201577,0.7358520329381132,-0.18227036026346377
pythia-410m,draw_3,0,0.9658368008069373,0.7745268863238197,-0.19130991448311763
pythia-410m,draw_3,1,1.0558319057099395,0.5690387832421632,-0.4867931224677763
pythia-410m,draw_3,2,1.0861424835825373,0.5597660054910397,-0.5263764780914976
pythia-410m,draw_3,3,0.8348582920113414,0.5802646749347622,-0.25459361707657924
pythia-410m,draw_3,4,1.12255106607568,0.48705934129717104,-0.6354917247785088
pythia-410m,draw_3,5,0.359106799234629,0.6634855055425017,0.3043787063078727
pythia-410m,draw_3,6,0.8564546485348767,0.5191607582867929,-0.33729389024808387
pythia-410m,draw_3,7,0.7607717704784395,0.64192051251525,-0.11885125796318952
pythia-410m,draw_3,8,0.694644990470722,0.6471666673780855,-0.047478323092636554
pythia-410m,draw_3,9,0.6551982677158675,0.4874586825726251,-0.16773958514324244
pythia-410m,draw_3,10,0.8482022343173273,0.5595767174366816,-0.28862551688064575
pythia-410m,draw_3,11,0.5490313836100824,0.6325372328664798,0.08350584925639737
pythia-410m,draw_3,12,1.0679443460725357,0.6761098834445906,-0.3918344626279452
pythia-410m,draw_3,13,0.814857314265562,0.5953371132306401,-0.21952020103492187
