model,metric,mean,std,cv
pythia-70m,peak_mi_ksg,0.7251144124282787,0.03550799415810617,0.048968815885476934
pythia-70m,peak_mi_ksg_layer_frac,0.0,0.0,
pythia-70m,peak_delta_mi,0.7251144124282787,0.03550799415810617,0.048968815885476934
pythia-70m,peak_delta_mi_layer_frac,0.0,0.0,
pythia-70m,peak_efficiency,0.0014162390867739818,6.935155109005111e-05,0.048968815885476934
pythia-70m,max_info_fraction,0.31228977935402186,0.015292460708103344,0.04896881588547704
pythia-160m,peak_mi_ksg,0.9117472647142981,0.004158923364868265,0.004561487076324261
pythia-160m,peak_mi_ksg_layer_frac,0.5454545454545454,0.0,0.0
pythia-160m,peak_delta_mi,0.8647098375998654,0.016802676559058247,0.019431577887094067
pythia-160m,peak_delta_mi_layer_frac,0.0,0.0,
pythia-160m,peak_efficiency,0.0011871709175967423,5.415264798005636e-06,0.00456148707632433
pythia-160m,max_info_fraction,0.39266817379998464,0.0017911508000724727,0.004561487076324246
pythia-410m,peak_mi_ksg,0.9878624902576227,0.023433643604886912,0.023721564322961283
pythia-410m,peak_mi_ksg_layer_frac,0.10144927536231885,0.050204371233880496,0.49487165930539345
pythia-410m,peak_delta_mi,0.8744753965666021,0.01422225086051189,0.01626375186351934
pythia-410m,peak_delta_mi_layer_frac,0.0,0.0,
pythia-410m,peak_efficiency,0.0009647094631422097,2.2884417582897375e-05,0.023721564322961283
pythia-410m,max_info_fraction,0.4254492171539637,0.01009232097087127,0.023721564322961276
pythia-1b,peak_mi_ksg,1.1576695405454038,0.009503421998258951,0.008209097385236272
pythia-1b,peak_mi_ksg_layer_frac,0.6444444444444445,0.5003702332976756,0.7764365689101862
pythia-1b,peak_delta_mi,1.136253300158759,0.015159197982362121,0.013341389618181137
pythia-1b,peak_delta_mi_layer_frac,0.0,0.0,
pythia-1b,peak_efficiency,0.0005652683303444355,4.640342772587378e-06,0.008209097385236272
pythia-1b,max_info_fraction,0.49858113310850083,0.004092901076129168,0.008209097385236345
pythia-1.4b,peak_mi_ksg,1.132122198224592,0.02548613342832409,0.022511822017350917
pythia-1.4b,peak_mi_ksg_layer_frac,0.36231884057971014,0.5150537867801989,1.421548451513349
pythia-1.4b,peak_delta_mi,0.9902956377033038,0.01034286065726218,0.010444215104541275
pythia-1.4b,peak_delta_mi_layer_frac,0.0,0.0,
pythia-1.4b,peak_efficiency,0.0005527940421018515,1.2444401088048872e-05,0.022511822017350917
pythia-1.4b,max_info_fraction,0.48757849164985095,0.010976280223509891,0.02251182201735097
