model,draw,universal_kind,test_band,n_edges,accuracy,top5_accuracy
pythia-160m,draw_1,univ6,very_low,623,0.3288888888888889,0.5911111111111111
pythia-160m,draw_1,univ6,low,623,0.27555555555555555,0.5466666666666666
pythia-160m,draw_1,univ6,medium,623,0.39555555555555555,0.6755555555555556
pythia-160m,draw_1,univ6,high,623,0.4711111111111111,0.6755555555555556
pythia-160m,draw_1,univ6,very_high,623,0.5733333333333334,0.76
pythia-160m,draw_1,univ6,control,623,0.4888888888888889,0.6844444444444444
pythia-160m,draw_1,univ5,very_low,694,0.37777777777777777,0.6622222222222223
pythia-160m,draw_1,univ5,low,694,0.39555555555555555,0.6711111111111111
pythia-160m,draw_1,univ5,medium,694,0.49333333333333335,0.7955555555555556
pythia-160m,draw_1,univ5,high,694,0.5688888888888889,0.7644444444444445
pythia-160m,draw_1,univ5,very_high,694,0.6933333333333334,0.84
pythia-160m,draw_1,univ5,control,694,0.5866666666666667,0.7822222222222223
pythia-160m,draw_2,univ6,very_low,668,0.47555555555555556,0.72
pythia-160m,draw_2,univ6,low,668,0.36444444444444446,0.6577777777777778
pythia-160m,draw_2,univ6,medium,668,0.5555555555555556,0.7955555555555556
pythia-160m,draw_2,univ6,high,668,0.6266666666666667,0.8044444444444444
pythia-160m,draw_2,univ6,very_high,668,0.6622222222222223,0.8266666666666667
pythia-160m,draw_2,univ6,control,668,0.5866666666666667,0.7866666666666666
pythia-160m,draw_2,univ5,very_low,723,0.5511111111111111,0.7777777777777778
pythia-160m,draw_2,univ5,low,723,0.48444444444444446,0.7911111111111111
pythia-160m,draw_2,univ5,medium,723,0.6177777777777778,0.8844444444444445
pythia-160m,draw_2,univ5,high,723,0.7111111111111111,0.8888888888888888
pythia-160m,draw_2,univ5,very_high,723,0.7422222222222222,0.8755555555555555
pythia-160m,draw_2,univ5,control,723,0.6977777777777778,0.8577777777777778
pythia-160m,draw_3,univ6,very_low,660,0.3688888888888889,0.6444444444444445
pythia-160m,draw_3,univ6,low,660,0.4533333333333333,0.68
pythia-160m,draw_3,univ6,medium,660,0.5822222222222222,0.7688888888888888
pythia-160m,draw_3,univ6,high,660,0.6933333333333334,0.8355555555555556
pythia-160m,draw_3,univ6,very_high,660,0.5955555555555555,0.7777777777777778
pythia-160m,draw_3,univ6,control,660,0.5822222222222222,0.7555555555555555
pythia-160m,draw_3,univ5,very_low,723,0.5066666666666667,0.7244444444444444
pythia-160m,draw_3,univ5,low,723,0.5688888888888889,0.7866666666666666
pythia-160m,draw_3,univ5,medium,723,0.6622222222222223,0.8133333333333334
pythia-160m,draw_3,univ5,high,723,0.7244444444444444,0.8711111111111111
pythia-160m,draw_3,univ5,very_high,723,0.68,0.8311111111111111
pythia-160m,draw_3,univ5,control,723,0.6488888888888888,0.8311111111111111
