model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-70m,draw_2,very_high,high,417,0.4133333333333333,0.6088888888888889,matched,matched
pythia-70m,draw_2,very_high,very_high,417,0.52,0.68,matched,matched
pythia-70m,draw_2,very_high,control,417,0.4933333333333333,0.6666666666666666,matched,matched
pythia-70m,draw_2,control,very_low,410,0.2355555555555555,0.3688888888888889,matched,unmatched
pythia-70m,draw_2,control,low,410,0.3244444444444444,0.4755555555555555,matched,matched
pythia-70m,draw_2,control,medium,410,0.3688888888888889,0.5022222222222222,matched,matched
pythia-70m,draw_2,control,high,410,0.4311111111111111,0.6355555555555555,matched,matched
pythia-70m,draw_2,control,very_high,410,0.56,0.7111111111111111,matched,matched
pythia-70m,draw_2,control,control,410,0.5244444444444445,0.6711111111111111,matched,matched
pythia-70m,draw_3,very_low,very_low,378,0.2044444444444444,0.3422222222222222,unmatched,unmatched
pythia-70m,draw_3,very_low,low,378,0.2,0.3244444444444444,unmatched,matched
pythia-70m,draw_3,very_low,medium,378,0.2666666666666666,0.4044444444444444,unmatched,matched
pythia-70m,draw_3,very_low,high,378,0.32,0.5333333333333333,unmatched,matched
pythia-70m,draw_3,very_low,very_high,378,0.5022222222222222,0.6711111111111111,unmatched,matched
pythia-70m,draw_3,very_low,control,378,0.4,0.6222222222222222,unmatched,matched
pythia-70m,draw_3,low,very_low,391,0.1866666666666666,0.3955555555555555,matched,unmatched
pythia-70m,draw_3,low,low,391,0.2088888888888889,0.3555555555555555,matched,matched
pythia-70m,draw_3,low,medium,391,0.3111111111111111,0.4533333333333333,matched,matched
pythia-70m,draw_3,low,high,391,0.4,0.5777777777777777,matched,matched
pythia-70m,draw_3,low,very_high,391,0.5244444444444445,0.6844444444444444,matched,matched
pythia-70m,draw_3,low,control,391,0.4666666666666667,0.6355555555555555,matched,matched
pythia-70m,draw_3,medium,very_low,406,0.2177777777777777,0.36,matched,unmatched
pythia-70m,draw_3,medium,low,406,0.2088888888888889,0.3466666666666667,matched,matched
pythia-70m,draw_3,medium,medium,406,0.3155555555555555,0.4266666666666667,matched,matched
pythia-70m,draw_3,medium,high,406,0.4088888888888889,0.6,matched,matched
pythia-70m,draw_3,medium,very_high,406,0.52,0.7022222222222222,matched,matched
pythia-70m,draw_3,medium,control,406,0.5022222222222222,0.6711111111111111,matched,matched
pythia-70m,draw_3,high,very_low,431,0.2177777777777777,0.3733333333333333,matched,unmatched
pythia-70m,draw_3,high,low,431,0.2355555555555555,0.3777777777777777,matched,matched
pythia-70m,draw_3,high,medium,431,0.3466666666666667,0.4755555555555555,matched,matched
pythia-70m,draw_3,high,high,431,0.4666666666666667,0.6222222222222222,matched,matched
pythia-70m,draw_3,high,very_high,431,0.5955555555555555,0.7422222222222222,matched,matched
pythia-70m,draw_3,high,control,431,0.5155555555555555,0.72,matched,matched
pythia-70m,draw_3,very_high,very_low,417,0.1822222222222222,0.3644444444444444,matched,unmatched
pythia-70m,draw_3,very_high,low,417,0.2088888888888889,0.3466666666666667,matched,matched
pythia-70m,draw_3,very_high,medium,417,0.2711111111111111,0.4311111111111111,matched,matched
pythia-70m,draw_3,very_high,high,417,0.4044444444444444,0.5911111111111111,matched,matched
pythia-70m,draw_3,very_high,very_high,417,0.5911111111111111,0.7422222222222222,matched,matched
pythia-70m,draw_3,very_high,control,417,0.4977777777777777,0.7155555555555555,matched,matched
pythia-70m,draw_3,control,very_low,426,0.2044444444444444,0.3555555555555555,matched,unmatched
pythia-70m,draw_3,control,low,426,0.1955555555555555,0.3422222222222222,matched,matched
pythia-70m,draw_3,control,medium,426,0.3288888888888889,0.4533333333333333,matched,matched
pythia-70m,draw_3,control,high,426,0.4355555555555555,0.5911111111111111,matched,matched
pythia-70m,draw_3,control,very_high,426,0.6177777777777778,0.7466666666666667,matched,matched
pythia-70m,draw_3,control,control,426,0.5422222222222223,0.7644444444444445,matched,matched
