model,n_draws,n_pairs,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,wilcoxon_p_cell_level_exact_lattice,draws_with_positive_mean_diff,draw_level_sign_test_min_p,vl_on_core_retention_mean,vl_on_core_retention_min,vl_on_core_retention_max,core_on_vl_retention_mean,core_on_vl_retention_min,core_on_vl_retention_max,contains_unmatched_very_low,very_low_length_matched,very_low_pool_n_tokens
pythia-1.4b,3,18,0.8224691358024692,0.774962962962963,0.9422395676973881,0.8384420527148114,0.00025085828691301913,3/3,0.125,0.9312445587024006,0.8682926829268292,1.0157894736842106,0.8468718413885613,0.6142131979695432,0.958974358974359,True,False,97
pythia-160m,3,18,0.40691358024691354,0.3737777777777778,0.9185679611650487,0.3583980120640349,0.00013682610696181754,3/3,0.125,0.9255929507105607,0.8709677419354839,1.0,0.9533049675233112,0.8367346938775511,1.035714285714286,True,False,97
pythia-1b,3,18,0.6607407407407407,0.6143209876543209,0.9297458893871448,0.42423852682619695,3.814697265625e-06,3/3,0.125,0.9505408069098097,0.8122065727699529,1.0155440414507773,0.8706883920677025,0.5476190476190477,1.041025641025641,True,False,97
pythia-410m,3,18,0.6590123456790123,0.6338271604938271,0.9617834394904459,0.27286678890149224,0.00028816161045875624,3/3,0.125,0.979688628023378,0.9354838709677421,1.0090909090909095,0.9278441927351793,0.8262910798122065,0.9859154929577463,True,False,97
pythia-70m,3,18,0.14469135802469135,0.11767901234567901,0.8133105802047782,0.5642983412415852,0.001885037155870085,3/3,0.125,0.8458497892671828,0.6857142857142857,1.106382978723404,1.0036260301221938,0.8627450980392157,1.0999999999999999,True,False,97
