model,draw,universal_kind,test_band,n_edges,accuracy,top5_accuracy
pythia-1b,draw_1,univ6,very_low,310,0.12,0.27111111111111114
pythia-1b,draw_1,univ6,low,310,0.11555555555555555,0.2088888888888889
pythia-1b,draw_1,univ6,medium,310,0.27555555555555555,0.4222222222222222
pythia-1b,draw_1,univ6,high,310,0.3333333333333333,0.4711111111111111
pythia-1b,draw_1,univ6,very_high,310,0.3466666666666667,0.5022222222222222
pythia-1b,draw_1,univ6,control,310,0.24444444444444444,0.4177777777777778
pythia-1b,draw_1,univ5,very_low,348,0.15555555555555556,0.30666666666666664
pythia-1b,draw_1,univ5,low,348,0.1511111111111111,0.29777777777777775
pythia-1b,draw_1,univ5,medium,348,0.36444444444444446,0.49333333333333335
pythia-1b,draw_1,univ5,high,348,0.4222222222222222,0.56
pythia-1b,draw_1,univ5,very_high,348,0.48444444444444446,0.6444444444444445
pythia-1b,draw_1,univ5,control,348,0.37333333333333335,0.5466666666666666
pythia-1b,draw_2,univ6,very_low,305,0.16,0.2577777777777778
pythia-1b,draw_2,univ6,low,305,0.08,0.17777777777777778
pythia-1b,draw_2,univ6,medium,305,0.18666666666666668,0.28888888888888886
pythia-1b,draw_2,univ6,high,305,0.2222222222222222,0.3333333333333333
pythia-1b,draw_2,univ6,very_high,305,0.16444444444444445,0.32
pythia-1b,draw_2,univ6,control,305,0.17333333333333334,0.28444444444444444
pythia-1b,draw_2,univ5,very_low,356,0.2311111111111111,0.37333333333333335
pythia-1b,draw_2,univ5,low,356,0.1688888888888889,0.3244444444444444
pythia-1b,draw_2,univ5,medium,356,0.31555555555555553,0.48
pythia-1b,draw_2,univ5,high,356,0.38666666666666666,0.5511111111111111
pythia-1b,draw_2,univ5,very_high,356,0.4711111111111111,0.64
pythia-1b,draw_2,univ5,control,356,0.39111111111111113,0.5688888888888889
pythia-1b,draw_3,univ6,very_low,330,0.23555555555555555,0.4577777777777778
pythia-1b,draw_3,univ6,low,330,0.27555555555555555,0.4533333333333333
pythia-1b,draw_3,univ6,medium,330,0.41333333333333333,0.6177777777777778
pythia-1b,draw_3,univ6,high,330,0.52,0.6888888888888889
pythia-1b,draw_3,univ6,very_high,330,0.4444444444444444,0.6088888888888889
pythia-1b,draw_3,univ6,control,330,0.4577777777777778,0.6755555555555556
pythia-1b,draw_3,univ5,very_low,364,0.3511111111111111,0.5644444444444444
pythia-1b,draw_3,univ5,low,364,0.36,0.5777777777777777
pythia-1b,draw_3,univ5,medium,364,0.5511111111111111,0.7466666666666667
pythia-1b,draw_3,univ5,high,364,0.6533333333333333,0.8088888888888889
pythia-1b,draw_3,univ5,very_high,364,0.5777777777777777,0.7466666666666667
pythia-1b,draw_3,univ5,control,364,0.5911111111111111,0.8044444444444444
