model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-160m,draw_1,very_low,very_low,1278,0.8622222222222222,0.9688888888888888,unmatched,unmatched
pythia-160m,draw_1,very_low,low,1278,0.8444444444444444,0.9377777777777778,unmatched,matched
pythia-160m,draw_1,very_low,medium,1278,0.8755555555555555,1.0,unmatched,matched
pythia-160m,draw_1,very_low,high,1278,0.8133333333333334,0.96,unmatched,matched
pythia-160m,draw_1,very_low,very_high,1278,0.84,0.9511111111111112,unmatched,matched
pythia-160m,draw_1,very_low,control,1278,0.8222222222222222,0.9511111111111112,unmatched,matched
pythia-160m,draw_1,low,very_low,1463,0.8533333333333334,0.9688888888888888,matched,unmatched
pythia-160m,draw_1,low,low,1463,0.8755555555555555,0.9644444444444444,matched,matched
pythia-160m,draw_1,low,medium,1463,0.9244444444444444,0.9911111111111112,matched,matched
pythia-160m,draw_1,low,high,1463,0.8844444444444445,0.9911111111111112,matched,matched
pythia-160m,draw_1,low,very_high,1463,0.9066666666666666,0.9777777777777776,matched,matched
pythia-160m,draw_1,low,control,1463,0.8933333333333333,0.9866666666666668,matched,matched
pythia-160m,draw_1,medium,very_low,1446,0.8577777777777778,0.9733333333333334,matched,unmatched
pythia-160m,draw_1,medium,low,1446,0.8533333333333334,0.96,matched,matched
pythia-160m,draw_1,medium,medium,1446,0.9155555555555556,0.9955555555555556,matched,matched
pythia-160m,draw_1,medium,high,1446,0.9066666666666666,0.9911111111111112,matched,matched
pythia-160m,draw_1,medium,very_high,1446,0.9066666666666666,0.9866666666666668,matched,matched
pythia-160m,draw_1,medium,control,1446,0.92,0.9777777777777776,matched,matched
pythia-160m,draw_1,high,very_low,1360,0.8133333333333334,0.96,matched,unmatched
pythia-160m,draw_1,high,low,1360,0.8222222222222222,0.9555555555555556,matched,matched
pythia-160m,draw_1,high,medium,1360,0.8844444444444445,0.9911111111111112,matched,matched
pythia-160m,draw_1,high,high,1360,0.9111111111111112,0.9777777777777776,matched,matched
pythia-160m,draw_1,high,very_high,1360,0.9422222222222222,0.9733333333333334,matched,matched
pythia-160m,draw_1,high,control,1360,0.8933333333333333,0.9822222222222222,matched,matched
pythia-160m,draw_1,very_high,very_low,1358,0.7866666666666666,0.9377777777777778,matched,unmatched
pythia-160m,draw_1,very_high,low,1358,0.8488888888888889,0.9688888888888888,matched,matched
pythia-160m,draw_1,very_high,medium,1358,0.8755555555555555,0.9911111111111112,matched,matched
pythia-160m,draw_1,very_high,high,1358,0.9244444444444444,0.9911111111111112,matched,matched
pythia-160m,draw_1,very_high,very_high,1358,0.9644444444444444,1.0,matched,matched
pythia-160m,draw_1,very_high,control,1358,0.9288888888888888,0.9822222222222222,matched,matched
pythia-160m,draw_1,control,very_low,1392,0.8044444444444444,0.9511111111111112,matched,unmatched
pythia-160m,draw_1,control,low,1392,0.8488888888888889,0.9511111111111112,matched,matched
pythia-160m,draw_1,control,medium,1392,0.9066666666666666,0.9866666666666668,matched,matched
pythia-160m,draw_1,control,high,1392,0.9244444444444444,0.9911111111111112,matched,matched
pythia-160m,draw_1,control,very_high,1392,0.9511111111111112,1.0,matched,matched
pythia-160m,draw_1,control,control,1392,0.9244444444444444,0.9777777777777776,matched,matched
pythia-160m,draw_2,very_low,very_low,1334,0.8711111111111111,0.9644444444444444,unmatched,unmatched
pythia-160m,draw_2,very_low,low,1334,0.8311111111111111,0.9422222222222222,unmatched,matched
pythia-160m,draw_2,very_low,medium,1334,0.8622222222222222,0.9733333333333334,unmatched,matched
pythia-160m,draw_2,very_low,high,1334,0.9333333333333332,0.9866666666666668,unmatched,matched
pythia-160m,draw_2,very_low,very_high,1334,0.8755555555555555,0.9466666666666668,unmatched,matched
pythia-160m,draw_2,very_low,control,1334,0.8488888888888889,0.9688888888888888,unmatched,matched
pythia-160m,draw_2,low,very_low,1483,0.9022222222222224,0.9822222222222222,matched,unmatched
pythia-160m,draw_2,low,low,1483,0.8977777777777778,0.9777777777777776,matched,matched
pythia-160m,draw_2,low,medium,1483,0.9288888888888888,0.9911111111111112,matched,matched
pythia-160m,draw_2,low,high,1483,0.9644444444444444,0.9955555555555556,matched,matched
pythia-160m,draw_2,low,very_high,1483,0.9022222222222224,0.9822222222222222,matched,matched
pythia-160m,draw_2,low,control,1483,0.9333333333333332,0.9822222222222222,matched,matched
