model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-1b,draw_2,very_high,medium,911,0.8266666666666667,0.96,matched,matched
pythia-1b,draw_2,very_high,high,911,0.9377777777777778,0.9822222222222222,matched,matched
pythia-1b,draw_2,very_high,very_high,911,0.9466666666666668,0.9955555555555556,matched,matched
pythia-1b,draw_2,very_high,control,911,0.9377777777777778,0.9911111111111112,matched,matched
pythia-1b,draw_2,control,very_low,823,0.7733333333333333,0.8933333333333333,matched,unmatched
pythia-1b,draw_2,control,low,823,0.8355555555555556,0.9466666666666668,matched,matched
pythia-1b,draw_2,control,medium,823,0.8977777777777778,0.9733333333333334,matched,matched
pythia-1b,draw_2,control,high,823,0.9244444444444444,0.9822222222222222,matched,matched
pythia-1b,draw_2,control,very_high,823,0.9155555555555556,0.9911111111111112,matched,matched
pythia-1b,draw_2,control,control,823,0.9377777777777778,0.9866666666666668,matched,matched
pythia-1b,draw_3,very_low,very_low,922,0.9022222222222224,0.9733333333333334,unmatched,unmatched
pythia-1b,draw_3,very_low,low,922,0.8888888888888888,0.9733333333333334,unmatched,matched
pythia-1b,draw_3,very_low,medium,922,0.9244444444444444,0.9822222222222222,unmatched,matched
pythia-1b,draw_3,very_low,high,922,0.9244444444444444,0.9777777777777776,unmatched,matched
pythia-1b,draw_3,very_low,very_high,922,0.8533333333333334,0.9733333333333334,unmatched,matched
pythia-1b,draw_3,very_low,control,922,0.8844444444444445,0.9777777777777776,unmatched,matched
pythia-1b,draw_3,low,very_low,978,0.9155555555555556,0.9644444444444444,matched,unmatched
pythia-1b,draw_3,low,low,978,0.92,0.9866666666666668,matched,matched
pythia-1b,draw_3,low,medium,978,0.9333333333333332,0.9866666666666668,matched,matched
pythia-1b,draw_3,low,high,978,0.96,0.9955555555555556,matched,matched
pythia-1b,draw_3,low,very_high,978,0.9111111111111112,0.9911111111111112,matched,matched
pythia-1b,draw_3,low,control,978,0.9511111111111112,0.9911111111111112,matched,matched
pythia-1b,draw_3,medium,very_low,900,0.88,0.9377777777777778,matched,unmatched
pythia-1b,draw_3,medium,low,900,0.9066666666666666,0.9688888888888888,matched,matched
pythia-1b,draw_3,medium,medium,900,0.9288888888888888,0.9866666666666668,matched,matched
pythia-1b,draw_3,medium,high,900,0.9466666666666668,0.9777777777777776,matched,matched
pythia-1b,draw_3,medium,very_high,900,0.9066666666666666,0.9733333333333334,matched,matched
pythia-1b,draw_3,medium,control,900,0.9466666666666668,0.9955555555555556,matched,matched
pythia-1b,draw_3,high,very_low,945,0.7688888888888888,0.9155555555555556,matched,unmatched
pythia-1b,draw_3,high,low,945,0.88,0.9644444444444444,matched,matched
pythia-1b,draw_3,high,medium,945,0.92,0.9733333333333334,matched,matched
pythia-1b,draw_3,high,high,945,0.9511111111111112,0.9911111111111112,matched,matched
pythia-1b,draw_3,high,very_high,945,0.9377777777777778,0.9911111111111112,matched,matched
pythia-1b,draw_3,high,control,945,0.9688888888888888,1.0,matched,matched
pythia-1b,draw_3,very_high,very_low,812,0.7022222222222222,0.88,matched,unmatched
pythia-1b,draw_3,very_high,low,812,0.8,0.9377777777777778,matched,matched
pythia-1b,draw_3,very_high,medium,812,0.8933333333333333,0.9688888888888888,matched,matched
pythia-1b,draw_3,very_high,high,812,0.9288888888888888,0.9733333333333334,matched,matched
pythia-1b,draw_3,very_high,very_high,812,0.9333333333333332,0.9822222222222222,matched,matched
pythia-1b,draw_3,very_high,control,812,0.9466666666666668,0.9866666666666668,matched,matched
pythia-1b,draw_3,control,very_low,870,0.7555555555555555,0.88,matched,unmatched
pythia-1b,draw_3,control,low,870,0.7955555555555556,0.9244444444444444,matched,matched
pythia-1b,draw_3,control,medium,870,0.8755555555555555,0.9644444444444444,matched,matched
pythia-1b,draw_3,control,high,870,0.9244444444444444,0.9777777777777776,matched,matched
pythia-1b,draw_3,control,very_high,870,0.9466666666666668,0.9866666666666668,matched,matched
pythia-1b,draw_3,control,control,870,0.9422222222222222,0.9866666666666668,matched,matched
