model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-1.4b,draw_1,very_low,very_low,2265,0.8755555555555555,0.9777777777777776,unmatched,unmatched
pythia-1.4b,draw_1,very_low,low,2265,0.7377777777777778,0.9377777777777778,unmatched,matched
pythia-1.4b,draw_1,very_low,medium,2265,0.8577777777777778,0.9644444444444444,unmatched,matched
pythia-1.4b,draw_1,very_low,high,2265,0.8577777777777778,0.9688888888888888,unmatched,matched
pythia-1.4b,draw_1,very_low,very_high,2265,0.7822222222222223,0.92,unmatched,matched
pythia-1.4b,draw_1,very_low,control,2265,0.7911111111111111,0.9288888888888888,unmatched,matched
pythia-1.4b,draw_1,low,very_low,2507,0.8088888888888889,0.9422222222222222,matched,unmatched
pythia-1.4b,draw_1,low,low,2507,0.8177777777777778,0.9555555555555556,matched,matched
pythia-1.4b,draw_1,low,medium,2507,0.9155555555555556,0.9688888888888888,matched,matched
pythia-1.4b,draw_1,low,high,2507,0.9377777777777778,0.9911111111111112,matched,matched
pythia-1.4b,draw_1,low,very_high,2507,0.8888888888888888,0.9644444444444444,matched,matched
pythia-1.4b,draw_1,low,control,2507,0.9022222222222224,0.9777777777777776,matched,matched
pythia-1.4b,draw_1,medium,very_low,2551,0.8222222222222222,0.9466666666666668,matched,unmatched
pythia-1.4b,draw_1,medium,low,2551,0.8,0.9333333333333332,matched,matched
pythia-1.4b,draw_1,medium,medium,2551,0.8444444444444444,0.9733333333333334,matched,matched
pythia-1.4b,draw_1,medium,high,2551,0.9288888888888888,0.9911111111111112,matched,matched
pythia-1.4b,draw_1,medium,very_high,2551,0.9066666666666666,0.9733333333333334,matched,matched
pythia-1.4b,draw_1,medium,control,2551,0.9111111111111112,0.9644444444444444,matched,matched
pythia-1.4b,draw_1,high,very_low,2162,0.6488888888888888,0.8622222222222222,matched,unmatched
pythia-1.4b,draw_1,high,low,2162,0.6622222222222223,0.8888888888888888,matched,matched
pythia-1.4b,draw_1,high,medium,2162,0.7911111111111111,0.9422222222222222,matched,matched
pythia-1.4b,draw_1,high,high,2162,0.8844444444444445,0.9911111111111112,matched,matched
pythia-1.4b,draw_1,high,very_high,2162,0.9066666666666666,0.9688888888888888,matched,matched
pythia-1.4b,draw_1,high,control,2162,0.8577777777777778,0.96,matched,matched
pythia-1.4b,draw_1,very_high,very_low,1940,0.5377777777777778,0.7466666666666667,matched,unmatched
pythia-1.4b,draw_1,very_high,low,1940,0.5555555555555556,0.8311111111111111,matched,matched
pythia-1.4b,draw_1,very_high,medium,1940,0.7288888888888889,0.9111111111111112,matched,matched
pythia-1.4b,draw_1,very_high,high,1940,0.8622222222222222,0.9733333333333334,matched,matched
pythia-1.4b,draw_1,very_high,very_high,1940,0.8977777777777778,0.9866666666666668,matched,matched
pythia-1.4b,draw_1,very_high,control,1940,0.8888888888888888,0.9644444444444444,matched,matched
pythia-1.4b,draw_1,control,very_low,2233,0.7466666666666667,0.9022222222222224,matched,unmatched
pythia-1.4b,draw_1,control,low,2233,0.7866666666666666,0.92,matched,matched
pythia-1.4b,draw_1,control,medium,2233,0.8444444444444444,0.9555555555555556,matched,matched
pythia-1.4b,draw_1,control,high,2233,0.9155555555555556,0.9822222222222222,matched,matched
pythia-1.4b,draw_1,control,very_high,2233,0.9155555555555556,0.9955555555555556,matched,matched
pythia-1.4b,draw_1,control,control,2233,0.9111111111111112,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,very_low,very_low,2409,0.8666666666666667,0.9644444444444444,unmatched,unmatched
pythia-1.4b,draw_2,very_low,low,2409,0.7422222222222222,0.9288888888888888,unmatched,matched
pythia-1.4b,draw_2,very_low,medium,2409,0.8577777777777778,0.9466666666666668,unmatched,matched
pythia-1.4b,draw_2,very_low,high,2409,0.8088888888888889,0.9288888888888888,unmatched,matched
pythia-1.4b,draw_2,very_low,very_high,2409,0.8177777777777778,0.9244444444444444,unmatched,matched
pythia-1.4b,draw_2,very_low,control,2409,0.8311111111111111,0.9555555555555556,unmatched,matched
pythia-1.4b,draw_2,low,very_low,2589,0.8266666666666667,0.9422222222222222,matched,unmatched
pythia-1.4b,draw_2,low,low,2589,0.8044444444444444,0.96,matched,matched
pythia-1.4b,draw_2,low,medium,2589,0.8755555555555555,0.9688888888888888,matched,matched
pythia-1.4b,draw_2,low,high,2589,0.9244444444444444,0.9955555555555556,matched,matched
pythia-1.4b,draw_2,low,very_high,2589,0.8977777777777778,0.9466666666666668,matched,matched
pythia-1.4b,draw_2,low,control,2589,0.9244444444444444,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,medium,very_low,2451,0.8311111111111111,0.9688888888888888,matched,unmatched
pythia-1.4b,draw_2,medium,low,2451,0.8222222222222222,0.9644444444444444,matched,matched
pythia-1.4b,draw_2,medium,medium,2451,0.8622222222222222,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,medium,high,2451,0.9511111111111112,0.9866666666666668,matched,matched
pythia-1.4b,draw_2,medium,very_high,2451,0.9155555555555556,0.9777777777777776,matched,matched
pythia-1.4b,draw_2,medium,control,2451,0.9377777777777778,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,high,very_low,2182,0.7777777777777778,0.9333333333333332,matched,unmatched
pythia-1.4b,draw_2,high,low,2182,0.76,0.9377777777777778,matched,matched
pythia-1.4b,draw_2,high,medium,2182,0.9066666666666666,0.9688888888888888,matched,matched
pythia-1.4b,draw_2,high,high,2182,0.9155555555555556,0.9911111111111112,matched,matched
pythia-1.4b,draw_2,high,very_high,2182,0.9244444444444444,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,high,control,2182,0.92,0.9777777777777776,matched,matched
pythia-1.4b,draw_2,very_high,very_low,2025,0.6311111111111111,0.8755555555555555,matched,unmatched
pythia-1.4b,draw_2,very_high,low,2025,0.64,0.9022222222222224,matched,matched
pythia-1.4b,draw_2,very_high,medium,2025,0.72,0.9288888888888888,matched,matched
pythia-1.4b,draw_2,very_high,high,2025,0.88,0.9866666666666668,matched,matched
pythia-1.4b,draw_2,very_high,very_high,2025,0.9244444444444444,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,very_high,control,2025,0.9422222222222222,0.9955555555555556,matched,matched
pythia-1.4b,draw_2,control,very_low,2221,0.7377777777777778,0.9111111111111112,matched,unmatched
pythia-1.4b,draw_2,control,low,2221,0.7244444444444444,0.8977777777777778,matched,matched
pythia-1.4b,draw_2,control,medium,2221,0.8177777777777778,0.9555555555555556,matched,matched
pythia-1.4b,draw_2,control,high,2221,0.9022222222222224,0.9822222222222222,matched,matched
pythia-1.4b,draw_2,control,very_high,2221,0.92,0.9688888888888888,matched,matched
pythia-1.4b,draw_2,control,control,2221,0.9288888888888888,0.9822222222222222,matched,matched
pythia-1.4b,draw_3,very_low,very_low,2152,0.8622222222222222,0.9688888888888888,unmatched,unmatched
pythia-1.4b,draw_3,very_low,low,2152,0.7244444444444444,0.92,unmatched,matched
pythia-1.4b,draw_3,very_low,medium,2152,0.8133333333333334,0.9644444444444444,unmatched,matched
pythia-1.4b,draw_3,very_low,high,2152,0.8844444444444445,0.9733333333333334,unmatched,matched
pythia-1.4b,draw_3,very_low,very_high,2152,0.8844444444444445,0.9911111111111112,unmatched,matched
pythia-1.4b,draw_3,very_low,control,2152,0.88,0.9777777777777776,unmatched,matched
pythia-1.4b,draw_3,low,very_low,2604,0.8222222222222222,0.96,matched,unmatched
pythia-1.4b,draw_3,low,low,2604,0.7733333333333333,0.9333333333333332,matched,matched
pythia-1.4b,draw_3,low,medium,2604,0.8888888888888888,0.9822222222222222,matched,matched
pythia-1.4b,draw_3,low,high,2604,0.9155555555555556,0.9777777777777776,matched,matched
pythia-1.4b,draw_3,low,very_high,2604,0.9422222222222222,0.9955555555555556,matched,matched
pythia-1.4b,draw_3,low,control,2604,0.9422222222222222,0.9822222222222222,matched,matched
pythia-1.4b,draw_3,medium,very_low,2453,0.8088888888888889,0.9511111111111112,matched,unmatched
pythia-1.4b,draw_3,medium,low,2453,0.8044444444444444,0.9288888888888888,matched,matched
pythia-1.4b,draw_3,medium,medium,2453,0.8711111111111111,0.9688888888888888,matched,matched
pythia-1.4b,draw_3,medium,high,2453,0.9022222222222224,0.9688888888888888,matched,matched
pythia-1.4b,draw_3,medium,very_high,2453,0.9377777777777778,0.9822222222222222,matched,matched
pythia-1.4b,draw_3,medium,control,2453,0.88,0.9733333333333334,matched,matched
