model,draw,universal_kind,test_band,n_edges,accuracy,top5_accuracy
pythia-410m,draw_1,univ6,very_low,1183,0.16444444444444445,0.36
pythia-410m,draw_1,univ6,low,1183,0.16444444444444445,0.28888888888888886
pythia-410m,draw_1,univ6,medium,1183,0.2088888888888889,0.4177777777777778
pythia-410m,draw_1,univ6,high,1183,0.3377777777777778,0.5066666666666667
pythia-410m,draw_1,univ6,very_high,1183,0.37777777777777777,0.5377777777777778
pythia-410m,draw_1,univ6,control,1183,0.3022222222222222,0.44
pythia-410m,draw_1,univ5,very_low,1283,0.27111111111111114,0.4711111111111111
pythia-410m,draw_1,univ5,low,1283,0.27111111111111114,0.4444444444444444
pythia-410m,draw_1,univ5,medium,1283,0.4177777777777778,0.6088888888888889
pythia-410m,draw_1,univ5,high,1283,0.5022222222222222,0.6444444444444445
pythia-410m,draw_1,univ5,very_high,1283,0.5111111111111111,0.6533333333333333
pythia-410m,draw_1,univ5,control,1283,0.4622222222222222,0.6266666666666667
pythia-410m,draw_2,univ6,very_low,1183,0.3377777777777778,0.5333333333333333
pythia-410m,draw_2,univ6,low,1183,0.27555555555555555,0.4622222222222222
pythia-410m,draw_2,univ6,medium,1183,0.4311111111111111,0.5866666666666667
pythia-410m,draw_2,univ6,high,1183,0.5022222222222222,0.6888888888888889
pythia-410m,draw_2,univ6,very_high,1183,0.4,0.5777777777777777
pythia-410m,draw_2,univ6,control,1183,0.38222222222222224,0.5422222222222223
pythia-410m,draw_2,univ5,very_low,1301,0.5022222222222222,0.7022222222222222
pythia-410m,draw_2,univ5,low,1301,0.44,0.64
pythia-410m,draw_2,univ5,medium,1301,0.6,0.7555555555555555
pythia-410m,draw_2,univ5,high,1301,0.7022222222222222,0.8844444444444445
pythia-410m,draw_2,univ5,very_high,1301,0.6088888888888889,0.7822222222222223
pythia-410m,draw_2,univ5,control,1301,0.6088888888888889,0.72
pythia-410m,draw_3,univ6,very_low,1198,0.21333333333333335,0.36444444444444446
pythia-410m,draw_3,univ6,low,1198,0.1511111111111111,0.28
pythia-410m,draw_3,univ6,medium,1198,0.18222222222222223,0.3333333333333333
pythia-410m,draw_3,univ6,high,1198,0.3377777777777778,0.49777777777777776
pythia-410m,draw_3,univ6,very_high,1198,0.29777777777777775,0.49777777777777776
pythia-410m,draw_3,univ6,control,1198,0.3422222222222222,0.49777777777777776
pythia-410m,draw_3,univ5,very_low,1324,0.39555555555555555,0.5555555555555556
pythia-410m,draw_3,univ5,low,1324,0.3688888888888889,0.5422222222222223
pythia-410m,draw_3,univ5,medium,1324,0.4577777777777778,0.6088888888888889
pythia-410m,draw_3,univ5,high,1324,0.6222222222222222,0.7466666666666667
pythia-410m,draw_3,univ5,very_high,1324,0.5733333333333334,0.72
pythia-410m,draw_3,univ5,control,1324,0.5688888888888889,0.7688888888888888
