model,draw,layer,separation_ratio
pythia-1b,draw_1,0,9.853207859662184
pythia-1b,draw_1,1,18.9829600831064
pythia-1b,draw_1,2,7.953652808781686
pythia-1b,draw_1,3,9.127423869404996
pythia-1b,draw_1,4,8.940067764734241
pythia-1b,draw_1,5,9.941519806324756
pythia-1b,draw_1,6,11.89281969246427
pythia-1b,draw_1,7,11.04238611725394
pythia-1b,draw_1,8,11.120965520526083
pythia-1b,draw_1,9,10.334255974636607
pythia-1b,draw_1,10,11.15649864896729
pythia-1b,draw_1,11,11.869508868394934
pythia-1b,draw_1,12,12.313563688761171
pythia-1b,draw_1,13,12.353763434036948
pythia-1b,draw_1,14,14.264169288193306
pythia-1b,draw_1,15,20.702621440435276
pythia-1b,draw_2,0,9.73390074765428
pythia-1b,draw_2,1,18.425368952808128
pythia-1b,draw_2,2,7.8541782391172745
pythia-1b,draw_2,3,9.049956653545282
pythia-1b,draw_2,4,9.016385837230732
pythia-1b,draw_2,5,9.881145314620186
pythia-1b,draw_2,6,11.932563940605862
pythia-1b,draw_2,7,10.975879981273883
pythia-1b,draw_2,8,11.09223607032471
pythia-1b,draw_2,9,10.193828787247558
pythia-1b,draw_2,10,10.692282091836873
pythia-1b,draw_2,11,12.129805020093503
pythia-1b,draw_2,12,12.636795081537224
pythia-1b,draw_2,13,12.606394612481123
pythia-1b,draw_2,14,14.58916052074315
pythia-1b,draw_2,15,20.8361658906312
pythia-1b,draw_3,0,9.542323727931056
pythia-1b,draw_3,1,17.926186818574894
pythia-1b,draw_3,2,7.974591590518258
pythia-1b,draw_3,3,8.930166102724167
pythia-1b,draw_3,4,9.14900788736687
pythia-1b,draw_3,5,10.008205525885291
pythia-1b,draw_3,6,11.621713887595027
pythia-1b,draw_3,7,10.728082342556746
pythia-1b,draw_3,8,11.278434609389013
pythia-1b,draw_3,9,10.618301109666067
pythia-1b,draw_3,10,11.24638925104575
pythia-1b,draw_3,11,11.99712953932212
pythia-1b,draw_3,12,12.327291476711077
pythia-1b,draw_3,13,12.5448312426665
pythia-1b,draw_3,14,14.138806028560959
pythia-1b,draw_3,15,20.253506081071542
pythia-1.4b,draw_1,0,10.143417650873468
pythia-1.4b,draw_1,1,14.860501660207843
pythia-1.4b,draw_1,2,8.758936432275833
pythia-1.4b,draw_1,3,9.742066755173973
pythia-1.4b,draw_1,4,9.433468684648098
pythia-1.4b,draw_1,5,9.686025288693923
pythia-1.4b,draw_1,6,10.11886221977522
pythia-1.4b,draw_1,7,10.303082703941742
pythia-1.4b,draw_1,8,11.06396946660119
pythia-1.4b,draw_1,9,10.863763112417445
pythia-1.4b,draw_1,10,10.634933203343511
pythia-1.4b,draw_1,11,10.445094441499883
pythia-1.4b,draw_1,12,13.45982400672793
pythia-1.4b,draw_1,13,11.422646587226774
pythia-1.4b,draw_1,14,11.15672484668625
pythia-1.4b,draw_1,15,14.276610821093403
pythia-1.4b,draw_1,16,14.122155458996954
pythia-1.4b,draw_1,17,11.394550896492225
pythia-1.4b,draw_1,18,12.472964881917099
pythia-1.4b,draw_1,19,12.386347012197398
pythia-1.4b,draw_1,20,12.13616209924365
pythia-1.4b,draw_1,21,12.474172151561074
pythia-1.4b,draw_1,22,17.945738179597335
pythia-1.4b,draw_1,23,29.786575696921126
pythia-1.4b,draw_2,0,9.944036231272701
pythia-1.4b,draw_2,1,15.64907237684037
pythia-1.4b,draw_2,2,8.853188161452994
pythia-1.4b,draw_2,3,10.103684196713774
pythia-1.4b,draw_2,4,9.403679290743638
pythia-1.4b,draw_2,5,9.757419167172086
pythia-1.4b,draw_2,6,9.977122398739088
pythia-1.4b,draw_2,7,10.385423052026571
pythia-1.4b,draw_2,8,11.038921818079643
pythia-1.4b,draw_2,9,11.146653224404503
pythia-1.4b,draw_2,10,10.89968465567684
pythia-1.4b,draw_2,11,10.719311503840958
pythia-1.4b,draw_2,12,13.508928348236314
pythia-1.4b,draw_2,13,11.612368751901752
