model,draw,layer,neuron_idx,rank,f_stat,p_val,preferred_band,preferred_band_mean
pythia-70m,draw_1,0,174,42,51.86317660874857,4.153775335831096e-40,low,0.03580485284328461
pythia-70m,draw_1,0,832,43,51.47248927149061,7.983342045747646e-40,low,0.07735632359981537
pythia-70m,draw_1,0,656,44,51.12695588954854,1.4236210705875828e-39,low,0.05807125195860863
pythia-70m,draw_1,0,1562,45,50.788778205812314,2.508963751331925e-39,low,0.005531509406864643
pythia-70m,draw_1,0,45,46,50.73896818073799,2.72748421334399e-39,low,0.028320927172899246
pythia-70m,draw_1,0,1052,47,50.64534504854106,3.191135974076482e-39,low,0.0018129772506654263
pythia-70m,draw_1,0,475,48,50.64500935781792,3.192933080177445e-39,low,-0.09585815668106079
pythia-70m,draw_1,0,1497,49,49.952295772802046,1.0214944439552749e-38,low,-0.09162560105323792
pythia-70m,draw_1,1,1676,0,197.13947944110828,5.411148521491942e-128,very_high,1.6499192714691162
pythia-70m,draw_1,1,597,1,168.5298033826483,5.376489956029323e-113,low,-0.20822769403457642
pythia-70m,draw_1,1,1227,2,87.63097324689463,8.061203283165045e-65,low,-3.984983205795288
pythia-70m,draw_1,1,1378,3,86.35130686702549,5.6182014084826295e-64,low,0.10654044151306152
pythia-70m,draw_1,1,413,4,84.67357976002556,7.235163167772461e-63,very_high,-0.1445140689611435
pythia-70m,draw_1,1,104,5,84.56062025231945,8.597103389913861e-63,low,0.2156745046377182
pythia-70m,draw_1,1,42,6,79.33014632163683,2.677210088242962e-59,low,-0.009537538513541222
pythia-70m,draw_1,1,1116,7,70.96449231939401,1.3149254228409918e-53,low,0.6785775423049927
pythia-70m,draw_1,1,570,8,69.07061486407414,2.663940069981446e-52,low,-0.4847237765789032
pythia-70m,draw_1,1,472,9,68.29941991748026,9.110582933310147e-52,low,0.9327958226203918
pythia-70m,draw_1,1,554,10,66.97317971325073,7.595958066455397e-51,low,-0.9003967046737671
pythia-70m,draw_1,1,29,11,66.19974030079378,2.625904159638842e-50,medium,-5.125361442565918
pythia-70m,draw_1,1,1410,12,64.17471553419738,6.84212804244953e-49,low,-0.6619970798492432
pythia-70m,draw_1,1,1139,13,64.13244727100074,7.325386649815394e-49,low,-0.6939992904663086
pythia-70m,draw_1,1,1180,14,63.89051759529988,1.082788596597162e-48,low,-1.0140581130981445
pythia-70m,draw_1,1,1520,15,62.888754000645825,5.476436708971868e-48,low,-0.5953443646430969
pythia-70m,draw_1,1,1603,16,60.57290839968336,2.36285805887327e-46,low,-4.486270427703857
pythia-70m,draw_1,1,1608,17,60.52403635574527,2.558907400706967e-46,low,-1.2984474897384644
pythia-70m,draw_1,1,1995,18,60.30651657204151,3.6490953109150905e-46,low,-1.3715866804122925
pythia-70m,draw_1,1,1501,19,60.07632473067047,5.313704451402823e-46,low,-1.5497347116470337
pythia-70m,draw_1,1,284,20,57.92752836161472,1.7949299040458037e-44,low,-1.1457816362380981
pythia-70m,draw_1,1,953,21,55.15787453312663,1.7300202790310654e-42,low,0.10131575167179108
pythia-70m,draw_1,1,2016,22,54.7797913877375,3.236602047883791e-42,medium,-0.2862949073314667
pythia-70m,draw_1,1,971,23,50.50807091751826,4.017453360503987e-39,low,0.2714387774467468
pythia-70m,draw_1,1,1959,24,49.59010114392079,1.878023436504374e-38,low,-1.4441590309143066
pythia-70m,draw_1,1,75,25,48.32625090527365,1.580010645378187e-37,very_high,-1.091002345085144
pythia-70m,draw_1,1,1310,26,47.74533111978022,4.216222328186526e-37,very_high,-0.40781113505363464
pythia-70m,draw_1,1,856,27,47.506329556006754,6.316847347819739e-37,low,-0.7397032380104065
pythia-70m,draw_1,1,1222,28,47.101605261226936,1.2534094248047855e-36,low,-0.6996469497680664
pythia-70m,draw_1,1,1206,29,46.650252682304284,2.693854173434214e-36,low,-0.033745408058166504
pythia-70m,draw_1,1,689,30,45.81180716839158,1.1188154676697956e-35,low,-0.06557165086269379
pythia-70m,draw_1,1,950,31,45.794009154080484,1.1531905788875654e-35,low,-0.5675033926963806
pythia-70m,draw_1,1,595,32,45.791222646812166,1.1586674107414605e-35,medium,-0.3220827281475067
pythia-70m,draw_1,1,440,33,45.48930793845226,1.9364445761149984e-35,low,-0.8728116750717163
pythia-70m,draw_1,1,1278,34,44.57658402743953,9.171954574218919e-35,medium,-8.405043601989746
pythia-70m,draw_1,1,100,35,44.47324317263272,1.0940795730973553e-34,low,-0.8960555791854858
pythia-70m,draw_1,1,646,36,43.94082277018369,2.7163567222264016e-34,low,-0.1965000480413437
pythia-70m,draw_1,1,377,37,43.79321578180303,3.496100595722981e-34,low,-0.21795117855072021
pythia-70m,draw_1,1,1436,38,43.62470692664412,4.663978305474242e-34,very_high,-0.841401994228363
pythia-70m,draw_1,1,60,39,43.46457015191353,6.134306557890859e-34,very_high,-1.1732027530670166
pythia-70m,draw_1,1,40,40,43.3585037460521,7.355642587017615e-34,low,-0.2788630425930023
pythia-70m,draw_1,1,1626,41,42.5887119153205,2.751899618994729e-33,very_high,-0.7180148363113403
pythia-70m,draw_1,1,238,42,42.41548113260868,3.7046988230225536e-33,low,-0.8146383762359619
pythia-70m,draw_1,1,952,43,41.04587965816889,3.906930397637258e-32,low,-1.007616639137268
pythia-70m,draw_1,1,1972,44,40.834625733947455,5.623327742148892e-32,low,0.5810024738311768
pythia-70m,draw_1,1,773,45,40.60048070234569,8.42168474110627e-32,medium,0.2959989905357361
pythia-70m,draw_1,1,367,46,40.48760439992328,1.0232921453106254e-31,very_high,1.506644606590271
pythia-70m,draw_1,1,91,47,40.41497256781516,1.1599822794641757e-31,low,-1.066864013671875
pythia-70m,draw_1,1,681,48,40.32581363179768,1.3530336562749993e-31,low,-0.5203261971473694
pythia-70m,draw_1,1,1589,49,40.02536367096926,2.2736808721245895e-31,very_high,-0.6683257222175598
pythia-70m,draw_1,2,1797,0,173.9743741947662,6.376889231504944e-116,low,0.5283882021903992
pythia-70m,draw_1,2,1592,1,134.1893507233256,1.0919227404381342e-93,low,-0.5752914547920227
pythia-70m,draw_1,2,6,2,127.79973820991249,6.381875728308319e-90,low,-0.9052453637123108
pythia-70m,draw_1,2,969,3,100.73060255773515,2.7301743081901094e-73,low,1.1925314664840698
pythia-70m,draw_1,2,1669,4,91.32967607603122,3.056825863211518e-67,low,0.5424895286560059
pythia-70m,draw_1,2,1701,5,84.3461156514517,1.1930348765031407e-62,low,0.24526868760585785
pythia-70m,draw_1,2,1445,6,77.10802068054463,8.448582573023222e-58,low,-0.18562918901443481
pythia-70m,draw_1,2,941,7,69.29226160603814,1.8717732649228462e-52,low,0.6459113359451294
pythia-70m,draw_1,2,797,8,63.735123659844376,1.3919143943894746e-48,low,-0.7451983094215393
pythia-70m,draw_1,2,332,9,63.358645311232834,2.5589007740943865e-48,low,-0.06994228065013885
pythia-70m,draw_1,2,1005,10,62.83378439821558,5.986638162333849e-48,low,-0.1715262234210968
pythia-70m,draw_1,2,123,11,60.176338513190345,4.513069318237353e-46,low,0.27264001965522766
pythia-70m,draw_1,2,1097,12,60.16736209585648,4.579698353099178e-46,low,-0.11078494787216187
pythia-70m,draw_1,2,1535,13,59.96919442418312,6.3298231326191456e-46,low,-0.36831191182136536
pythia-70m,draw_1,2,136,14,59.31165624918529,1.8549180054477724e-45,medium,0.2263810932636261
pythia-70m,draw_1,2,728,15,57.80967146684791,2.1785017812344424e-44,very_high,-0.10589427500963211
pythia-70m,draw_1,2,1759,16,57.55020670088218,3.3375463622467037e-44,very_high,0.05362473428249359
pythia-70m,draw_1,2,1188,17,56.796626956717944,1.15420858269016e-43,low,0.1030440628528595
pythia-70m,draw_1,2,1613,18,55.784229106566016,6.137831682572611e-43,low,0.5206490159034729
pythia-70m,draw_1,2,568,19,55.78181684321226,6.162354288876308e-43,medium,-1.8396124839782715
pythia-70m,draw_1,2,277,20,54.72135383314981,3.5658424815162836e-42,low,0.19920101761817932
pythia-70m,draw_1,2,1136,21,54.6602317792294,3.946164351292996e-42,low,0.14554637670516968
pythia-70m,draw_1,2,1807,22,54.59347601236459,4.408122003645084e-42,medium,-0.05275373160839081
pythia-70m,draw_1,2,203,23,54.52770616342865,4.916214596598474e-42,very_high,-0.23226715624332428
pythia-70m,draw_1,2,930,24,52.658917005628716,1.1002598691790887e-40,very_high,-0.24131490290164948
pythia-70m,draw_1,2,560,25,52.276022466191115,2.0842461673909603e-40,low,0.7532687783241272
pythia-70m,draw_1,2,2041,26,50.88554659984975,2.133288770627412e-39,medium,0.5305984616279602
pythia-70m,draw_1,2,1287,27,50.42951147055503,4.5835255256158e-39,low,0.4213092625141144
pythia-70m,draw_1,2,905,28,50.21758689876073,6.54183350667365e-39,low,0.5473080277442932
pythia-70m,draw_1,2,658,29,48.98645735345196,5.188828863423298e-38,low,0.14482350647449493
pythia-70m,draw_1,2,1616,30,48.944834222009725,5.565842456335277e-38,low,-0.5164369940757751
pythia-70m,draw_1,2,1672,31,48.374368396287146,1.4567470326220225e-37,low,-0.5109785795211792
pythia-70m,draw_1,2,510,32,47.66426221204955,4.835768930133254e-37,low,0.3113043010234833
pythia-70m,draw_1,2,444,33,47.34393516624929,8.315100189303552e-37,low,-1.253759741783142
pythia-70m,draw_1,2,1999,34,46.76616120650515,2.213109221386163e-36,low,-0.8705613613128662
pythia-70m,draw_1,2,1772,35,46.501812245633005,3.4653518116573843e-36,low,-0.1899079531431198
pythia-70m,draw_1,2,285,36,46.07171946245598,7.192939509086913e-36,low,0.5455088019371033
pythia-70m,draw_1,2,730,37,46.002304967337096,8.093386819413903e-36,low,-1.1383709907531738
pythia-70m,draw_1,2,769,38,45.924642879150625,9.235329200063042e-36,very_high,-0.5378234386444092
pythia-70m,draw_1,2,1964,39,45.20484661583895,3.1429099534654274e-35,low,0.1846386343240738
pythia-70m,draw_1,2,1203,40,45.07772679992006,3.9028102459118604e-35,low,0.3515571355819702
pythia-70m,draw_1,2,585,41,44.97238850460896,4.670186736025883e-35,very_high,-0.7997581362724304
pythia-70m,draw_1,2,1972,42,44.60385154408441,8.755024871576389e-35,low,-0.04565109685063362
pythia-70m,draw_1,2,199,43,44.40582586357263,1.2275089957749535e-34,low,0.358267605304718
pythia-70m,draw_1,2,1814,44,44.2809263050878,1.5192760458353473e-34,low,-0.07813131809234619
pythia-70m,draw_1,2,1179,45,43.50430677125881,5.730986079848704e-34,low,-0.4919741749763489
pythia-70m,draw_1,2,1301,46,43.43997412787855,6.398074587875712e-34,low,-0.13529299199581146
pythia-70m,draw_1,2,1366,47,43.41108080907544,6.722475157360957e-34,very_high,-0.1894882172346115
pythia-70m,draw_1,2,1387,48,43.34274715457387,7.556781881372581e-34,low,-0.15694400668144226
pythia-70m,draw_1,2,372,49,42.963054610801784,1.4481923887783474e-33,very_high,-0.9133962392807007
pythia-70m,draw_1,3,686,0,217.25059764317808,5.207951895775518e-138,low,-0.6707149147987366
pythia-70m,draw_1,3,927,1,119.1449757217432,1.002414878669704e-84,very_high,0.014912407845258713
pythia-70m,draw_1,3,163,2,101.3880124114898,1.043929469326338e-73,very_high,-1.05503511428833
pythia-70m,draw_1,3,1189,3,100.75719141152237,2.6259723047291622e-73,very_high,0.38643959164619446
pythia-70m,draw_1,3,1929,4,86.54764049726315,4.1691039012364584e-64,low,-0.13074727356433868
pythia-70m,draw_1,3,1204,5,85.5009546327991,2.048811149967941e-63,low,-0.6806516051292419
pythia-70m,draw_1,3,1647,6,85.41582099898102,2.3325320407072614e-63,very_high,0.1280854046344757
pythia-70m,draw_1,3,192,7,83.68383803042371,3.284880966983599e-62,low,0.006498890928924084
pythia-70m,draw_1,3,1338,8,80.0102390184369,9.347045821104267e-60,very_high,-0.36497506499290466
pythia-70m,draw_1,3,1959,9,79.54349822086651,1.9240839064824233e-59,low,-0.03571612387895584
pythia-70m,draw_1,3,997,10,76.6483327869462,1.729938893226906e-57,low,-1.9586966037750244
pythia-70m,draw_1,3,254,11,76.63254629956812,1.7730722659231678e-57,low,0.6213313937187195
pythia-70m,draw_1,3,551,12,76.5371280078033,2.057709645899475e-57,low,0.022859958931803703
pythia-70m,draw_1,3,2035,13,72.96864176275689,5.5410456166153676e-55,low,0.7321576476097107
pythia-70m,draw_1,3,610,14,71.96210366163022,2.7124604806331657e-54,low,0.5631912350654602
pythia-70m,draw_1,3,46,15,71.66088950826236,4.3667013743794443e-54,low,-0.44488030672073364
pythia-70m,draw_1,3,244,16,68.63619156909571,5.323598316187236e-52,low,0.8152874112129211
pythia-70m,draw_1,3,1746,17,68.60207052800561,5.621303476774893e-52,very_high,-0.8316117525100708
pythia-70m,draw_1,3,1072,18,67.2003230734505,5.279560473266782e-51,low,0.5211359858512878
pythia-70m,draw_1,3,1286,19,63.67502648764043,1.5339336277402514e-48,low,-0.22794084250926971
pythia-70m,draw_1,3,403,20,62.91618630735526,5.238353077913158e-48,very_high,1.3118845224380493
pythia-70m,draw_1,3,489,21,62.465897014402366,1.0870190853519682e-47,low,-0.14828437566757202
pythia-70m,draw_1,3,990,22,58.57759930400178,6.174681473437792e-45,low,1.3493096828460693
pythia-70m,draw_1,3,39,23,56.51772905367778,1.828116571912961e-43,low,0.22941598296165466
pythia-70m,draw_1,3,1684,24,56.0666077335117,3.8493331304069906e-43,control,0.7188447117805481
pythia-70m,draw_1,3,775,25,51.71531735366764,5.318520117526693e-40,medium,0.14221107959747314
pythia-70m,draw_1,3,1001,26,51.60586571725355,6.3867967816110945e-40,very_high,-1.1268130540847778
pythia-70m,draw_1,3,134,27,50.487653629059125,4.157462660641407e-39,low,-0.058940861374139786
pythia-70m,draw_1,3,1527,28,48.9317617457177,5.689821472520306e-38,control,-0.9875077605247498
pythia-70m,draw_1,3,1773,29,48.456546323357,1.2680869235573433e-37,low,0.13507507741451263
pythia-70m,draw_1,3,788,30,48.12610148977474,2.2153639681441737e-37,low,1.2330329418182373
pythia-70m,draw_1,3,763,31,48.05050208024966,2.5171532783853603e-37,medium,-0.5053492784500122
pythia-70m,draw_1,3,437,32,45.62249107229027,1.5437945826548165e-35,very_high,-0.31664496660232544
pythia-70m,draw_1,3,61,33,45.46308344235652,2.024827435803728e-35,very_high,-0.2618786692619324
pythia-70m,draw_1,3,1489,34,45.459632109412745,2.0367562586435205e-35,low,-0.6068377494812012
pythia-70m,draw_1,3,1323,35,44.68386664443851,7.637958813759147e-35,low,-0.3695688545703888
pythia-70m,draw_1,3,563,36,44.47111075622924,1.098068674810853e-34,low,-1.7850182056427002
pythia-70m,draw_1,3,1699,37,44.22603028784216,1.668599101359107e-34,very_high,0.36233586072921753
pythia-70m,draw_1,3,509,38,44.11792941639975,2.0069975344578257e-34,low,0.9843289256095886
pythia-70m,draw_1,3,1483,39,43.42583432160497,6.554822137073297e-34,low,1.016048550605774
pythia-70m,draw_1,3,97,40,43.18671573356936,9.871582049268555e-34,low,-0.5853558778762817
pythia-70m,draw_1,3,715,41,42.69392063027899,2.297441525480477e-33,low,-0.024350931867957115
pythia-70m,draw_1,3,1446,42,42.31023170170623,4.438468433819112e-33,very_high,-1.0847164392471313
pythia-70m,draw_1,3,1522,43,42.22450939165132,5.142449545971236e-33,medium,-0.2289159744977951
pythia-70m,draw_1,3,1219,44,41.24530091642081,2.770914390227542e-32,medium,0.7744506597518921
pythia-70m,draw_1,3,1602,45,40.63230448514564,7.97171854302996e-32,medium,0.43660467863082886
pythia-70m,draw_1,3,1646,46,40.34176784888088,1.3162665417829836e-31,low,0.037935759872198105
pythia-70m,draw_1,3,947,47,39.94712606213804,2.602919657668072e-31,very_high,-0.4229092597961426
pythia-70m,draw_1,3,1877,48,39.90438241944101,2.8025472588425438e-31,low,0.47439828515052795
pythia-70m,draw_1,3,1980,49,39.864705926637036,3.00155115563924e-31,low,-0.2209417223930359
pythia-70m,draw_1,4,1975,0,126.04977888233017,7.026573655167818e-89,low,-0.15451300144195557
pythia-70m,draw_1,4,1554,1,85.05978672940317,4.0135064864253327e-63,very_high,-0.4914394021034241
pythia-70m,draw_1,4,1237,2,80.11130373221488,7.995260559529697e-60,low,0.008364933542907238
pythia-70m,draw_1,4,607,3,74.78551294321244,3.186465419739955e-56,low,1.3742705583572388
pythia-70m,draw_1,4,32,4,71.91569083414167,2.918876293029052e-54,low,-0.28905433416366577
pythia-70m,draw_1,4,126,5,71.84620954105509,3.2576694139953547e-54,low,1.1576311588287354
pythia-70m,draw_1,4,1783,6,69.22965297970887,2.0679417700630834e-52,low,0.7492250800132751
pythia-70m,draw_1,4,528,7,66.65954857754494,1.2556992984816313e-50,low,0.10356730222702026
pythia-70m,draw_1,4,1981,8,66.04406831599616,3.371656886456542e-50,low,0.1579207330942154
pythia-70m,draw_1,4,1572,9,65.99360052276887,3.6563630676338643e-50,low,1.232826590538025
pythia-70m,draw_1,4,1597,10,61.88359819431753,2.797804405020154e-47,low,1.0718190670013428
pythia-70m,draw_1,4,196,11,61.241498233535005,7.949485578905791e-47,low,-0.067767433822155
pythia-70m,draw_1,4,484,12,59.81157998711645,8.189149314708287e-46,very_high,-0.2927873134613037
pythia-70m,draw_1,4,575,13,59.06500832916888,2.7777774042264632e-45,medium,0.10202512890100479
pythia-70m,draw_1,4,1549,14,57.99409009625231,1.6090034648474894e-44,low,0.8145743012428284
pythia-70m,draw_1,4,843,15,56.85743115802383,1.0441504004626473e-43,low,-0.4210672974586487
pythia-70m,draw_1,4,1420,16,56.81143960276987,1.1263706028597409e-43,low,0.13382619619369507
pythia-70m,draw_1,4,1459,17,56.656874498991044,1.4532549990874679e-43,low,0.03858940675854683
pythia-70m,draw_1,4,202,18,55.621023524694365,8.038994631615757e-43,medium,0.8086020946502686
pythia-70m,draw_1,4,1941,19,53.88389098356804,1.4317498541747444e-41,very_high,0.2313288003206253
pythia-70m,draw_1,4,54,20,53.73957174349649,1.819899496037511e-41,low,0.4297916293144226
pythia-70m,draw_1,4,346,21,52.335202899923786,1.88819109081767e-40,low,0.11878054589033127
pythia-70m,draw_1,4,1806,22,50.643440690855634,3.2013443188793056e-39,very_high,-0.27987775206565857
pythia-70m,draw_1,4,1365,23,50.5987364814035,3.450608943107056e-39,very_high,-0.8555490374565125
pythia-70m,draw_1,4,192,24,50.1398248186303,7.454419109843301e-39,low,0.8348233103752136
pythia-70m,draw_1,4,956,25,49.065888095853666,4.538878434344544e-38,low,-1.0451992750167847
pythia-70m,draw_1,4,1374,26,48.72250865052586,8.096531307335387e-38,low,1.2135883569717407
pythia-70m,draw_1,4,325,27,48.08342513126816,2.3809689945574357e-37,very_high,-0.5117284655570984
pythia-70m,draw_1,4,492,28,47.66351045705457,4.84192145538825e-37,low,-0.18281430006027222
pythia-70m,draw_1,4,1855,29,47.52202673893573,6.151275321175676e-37,low,-0.15168988704681396
pythia-70m,draw_1,4,1625,30,47.45428131188404,6.898460390459181e-37,low,-1.0030393600463867
pythia-70m,draw_1,4,694,31,47.34139390603909,8.350949597307691e-37,low,-0.29955193400382996
pythia-70m,draw_1,4,1286,32,46.84573901030265,1.933779131323125e-36,low,-0.5097123980522156
pythia-70m,draw_1,4,776,33,46.16721810152113,6.115759423993527e-36,very_high,-1.1035784482955933
pythia-70m,draw_1,4,132,34,45.05499723461477,4.056922792101913e-35,low,0.4837752878665924
pythia-70m,draw_1,4,1528,35,44.16475095416875,1.8527173980508207e-34,low,-0.3002110421657562
pythia-70m,draw_1,4,72,36,44.02277487294275,2.361335697660327e-34,low,0.25323864817619324
pythia-70m,draw_1,4,1927,37,43.89219700225159,2.951793850129117e-34,low,1.1127896308898926
pythia-70m,draw_1,4,1799,38,43.73011427023521,3.8944874751785115e-34,low,-0.48024702072143555
pythia-70m,draw_1,4,1417,39,43.058052541017084,1.2306081907778721e-33,medium,0.46608680486679077
pythia-70m,draw_1,4,1481,40,42.745154026480066,2.104167532984627e-33,low,-0.21852555871009827
pythia-70m,draw_1,4,1088,41,42.694718319278124,2.2943000758048972e-33,low,-0.45042386651039124
pythia-70m,draw_1,4,243,42,42.15568267093535,5.787838462604893e-33,low,-0.3405933976173401
pythia-70m,draw_1,4,397,43,41.534983208634436,1.6827682092260722e-32,low,0.5675435662269592
pythia-70m,draw_1,4,520,44,41.42828809152838,2.0219986704469884e-32,low,-0.5123297572135925
pythia-70m,draw_1,4,1659,45,41.39644280269425,2.1359469548772233e-32,medium,-0.2940830588340759
pythia-70m,draw_1,4,1967,46,41.371913500956914,2.2280842824308352e-32,low,-0.6219644546508789
pythia-70m,draw_1,4,1698,47,40.924010556079274,4.820176015707074e-32,low,0.39378559589385986
pythia-70m,draw_1,4,2025,48,40.0654267239284,2.1215831856109716e-31,very_high,-0.24383215606212616
pythia-70m,draw_1,4,1403,49,40.03889375199154,2.2211305530954353e-31,low,0.6611441969871521
pythia-70m,draw_1,5,983,0,131.3363767796915,5.163086117647814e-92,low,-0.7620506286621094
pythia-70m,draw_1,5,486,1,117.48803247079951,1.0197620279554721e-83,very_high,0.17508971691131592
pythia-70m,draw_1,5,395,2,112.30598084549905,1.535337478834043e-80,low,-0.32145237922668457
pythia-70m,draw_1,5,197,3,106.90115336571691,3.5063243081054745e-77,very_high,-0.1407521814107895
pythia-70m,draw_1,5,686,4,100.12393014279074,6.639181848518554e-73,low,-0.6322702765464783
pythia-70m,draw_1,5,687,5,97.53299938970937,2.999988027701925e-71,low,-0.313012957572937
pythia-70m,draw_1,5,1116,6,94.04538571482315,5.279143506771973e-69,very_high,-0.1659868061542511
pythia-70m,draw_1,5,922,7,92.49108596031842,5.368915348755535e-68,very_high,-0.7470015287399292
pythia-70m,draw_1,5,1903,8,91.35272019825393,2.9529784822900596e-67,low,-0.1816132366657257
pythia-70m,draw_1,5,502,9,90.01208669751824,2.213281944859911e-66,low,-1.1771068572998047
pythia-70m,draw_1,5,1732,10,86.98681199286885,2.1403843896168335e-64,low,-0.4318636655807495
pythia-70m,draw_1,5,250,11,83.71642463853641,3.1250592983929258e-62,low,-1.518754243850708
pythia-70m,draw_1,5,166,12,82.90540977277001,1.0827517997379775e-61,very_high,1.3941305875778198
pythia-70m,draw_1,5,1618,13,78.0324644073059,2.0046285132575815e-58,low,-0.16484829783439636
pythia-70m,draw_1,5,261,14,71.96955950837913,2.6806924261271965e-54,very_high,-0.24431587755680084
pythia-70m,draw_1,5,523,15,71.72957384182789,3.917284775491182e-54,very_high,0.33879196643829346
pythia-70m,draw_1,5,278,16,70.64530231659133,2.180917415989093e-53,very_high,-0.5973052382469177
pythia-70m,draw_1,5,122,17,69.32738157714313,1.7700111000742484e-52,very_high,2.4642887115478516
pythia-70m,draw_1,5,1142,18,63.99543592320993,9.139651917335797e-49,very_high,-0.18409611284732819
pythia-70m,draw_1,5,1599,19,63.50096282776727,2.032619238388466e-48,low,0.7256640791893005
pythia-70m,draw_1,5,272,20,63.136603369855976,3.665619732797913e-48,low,-0.3855721354484558
pythia-70m,draw_1,5,442,21,61.02616240456671,1.128795890546169e-46,very_high,-0.46292737126350403
pythia-70m,draw_1,5,807,22,59.91917071395836,6.868854516251114e-46,low,-0.40302538871765137
pythia-70m,draw_1,5,408,23,59.47030063398393,1.4308325225768003e-45,low,0.08270109444856644
pythia-70m,draw_1,5,781,24,59.2501870143817,2.0512542477198275e-45,low,-0.10950001329183578
pythia-70m,draw_1,5,1505,25,59.19522630500919,2.2443683471978425e-45,very_high,0.10629262030124664
pythia-70m,draw_1,5,791,26,58.68167543455859,5.205922426176207e-45,low,-0.002394147450104356
pythia-70m,draw_1,5,1249,27,57.60102694546322,3.069931906018972e-44,control,-0.30816447734832764
pythia-70m,draw_1,5,651,28,57.22966572747558,5.655807667042478e-44,low,-0.11067189276218414
