model,draw,layer,neuron_idx,rank,f_stat,p_val,preferred_band,preferred_band_mean
pythia-70m,draw_1,0,2042,0,106.58574653967037,5.5242538745489375e-77,low,0.4764988124370575
pythia-70m,draw_1,0,1480,1,85.2708293470489,2.909281408188669e-63,low,0.020804930478334427
pythia-70m,draw_1,0,1724,2,78.5185645324359,9.422141535047906e-59,low,-0.13365398347377777
pythia-70m,draw_1,0,1502,3,77.39984812335308,5.3628304422687e-58,low,0.3591707944869995
pythia-70m,draw_1,0,187,4,76.151174135346,3.75912485253477e-57,low,0.028858542442321777
pythia-70m,draw_1,0,1858,5,74.77986965770444,3.214785910290069e-56,low,-0.004324819892644882
pythia-70m,draw_1,0,1041,6,74.06054920128162,9.941802255204745e-56,low,0.4575566351413727
pythia-70m,draw_1,0,897,7,73.60453065408407,2.0361155925177536e-55,low,0.025663405656814575
pythia-70m,draw_1,0,359,8,70.48101785843608,2.8301657762944325e-53,low,0.02934184856712818
pythia-70m,draw_1,0,697,9,68.49753268185083,6.641288502533813e-52,low,0.4159289598464966
pythia-70m,draw_1,0,586,10,68.2256663614088,1.0248899029081243e-51,low,0.18114152550697327
pythia-70m,draw_1,0,1877,11,66.37401428369368,1.985167278578086e-50,low,-0.2782686650753021
pythia-70m,draw_1,0,1887,12,65.61741658955312,6.693107893311057e-50,low,-0.036493342369794846
pythia-70m,draw_1,0,1306,13,64.67601991773807,3.047420570262309e-49,low,0.009955035522580147
pythia-70m,draw_1,0,186,14,62.54583439250206,9.548282767500788e-48,low,-0.055981215089559555
pythia-70m,draw_1,0,379,15,62.26799390462802,1.4986635794254534e-47,low,-0.08298380672931671
pythia-70m,draw_1,0,1720,16,61.2585435065739,7.731953770111578e-47,low,0.0613405741751194
pythia-70m,draw_1,0,1776,17,60.408109822902084,3.0916217279834254e-46,low,0.08341388404369354
pythia-70m,draw_1,0,1668,18,59.97719461327849,6.247636529367231e-46,low,0.07678505778312683
pythia-70m,draw_1,0,135,19,59.25125940437287,2.047656627358524e-45,low,0.040312301367521286
pythia-70m,draw_1,0,453,20,58.848917817644676,3.957700523501038e-45,low,0.04898754507303238
pythia-70m,draw_1,0,209,21,58.33090978282063,9.255051448952074e-45,low,0.06928832083940506
pythia-70m,draw_1,0,1207,22,58.255339471850974,1.0477229405871475e-44,low,-0.00019148508727084845
pythia-70m,draw_1,0,1246,23,58.08843891419257,1.378021972594557e-44,low,0.06308364123106003
pythia-70m,draw_1,0,872,24,58.02898846819981,1.5193618423625508e-44,low,-0.12127327173948288
pythia-70m,draw_1,0,1294,25,57.038782670431786,7.744672658297194e-44,low,-0.030997259542346
pythia-70m,draw_1,0,996,26,57.00408714869306,8.200175720157995e-44,low,0.04400521144270897
pythia-70m,draw_1,0,1190,27,56.183527765035585,3.1734607240995312e-43,low,-0.048829711973667145
pythia-70m,draw_1,0,39,28,55.711070718855346,6.926890785379652e-43,low,-0.21677641570568085
pythia-70m,draw_1,0,693,29,55.4756075156872,1.0224932913579626e-42,low,0.03194386884570122
pythia-70m,draw_1,0,467,30,54.60036437425361,4.358048831969097e-42,low,0.20252513885498047
pythia-70m,draw_1,0,1369,31,54.35513629950928,6.546107604437296e-42,low,-0.00484972121194005
pythia-70m,draw_1,0,327,32,54.199304005579776,8.478647407204982e-42,low,0.027309296652674675
pythia-70m,draw_1,0,596,33,54.19126806009745,8.592533450775898e-42,low,0.023889943957328796
pythia-70m,draw_1,0,1944,34,54.04584350004096,1.0939776575027188e-41,low,0.05196021869778633
pythia-70m,draw_1,0,1708,35,53.47192198794301,2.8403325200941405e-41,low,0.037717293947935104
pythia-70m,draw_1,0,1575,36,53.21657521043604,4.344511376061124e-41,low,0.010229413397610188
pythia-70m,draw_1,0,1748,37,52.738523052613345,9.634933214125985e-41,low,-0.08618240058422089
pythia-70m,draw_1,0,949,38,52.52187476038994,1.3828164981772512e-40,low,-0.052381761372089386
pythia-70m,draw_1,0,243,39,52.32370006949797,1.9247946371834534e-40,low,-0.11681409925222397
pythia-70m,draw_1,0,1861,40,52.22171398487978,2.2820568516757677e-40,low,0.09324676543474197
pythia-70m,draw_1,0,149,41,52.08483882827757,2.8681203029577787e-40,low,0.03684427961707115
