model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-70m,draw_1,low,0,0.4991817772388458,0.669979989528656,0.5261120200157166,direct
pythia-70m,draw_1,low,1,-0.016151178628206253,0.5173320770263672,-0.017345815896987915,direct
pythia-70m,draw_1,low,2,1.5748381614685059,3.530632972717285,0.0756572037935257,direct
pythia-70m,draw_1,low,3,0.3481951951980591,0.738730788230896,0.3816871643066406,direct
pythia-70m,draw_1,low,4,0.12794889509677887,1.6622319221496582,0.34702903032302856,direct
pythia-70m,draw_1,low,5,110.69947052001953,21.8702449798584,109.34161376953125,direct
pythia-70m,draw_1,medium,0,0.4216465950012207,0.6565913558006287,0.41627341508865356,direct
pythia-70m,draw_1,medium,1,0.07157189399003983,0.5353390574455261,0.08298391103744507,direct
pythia-70m,draw_1,medium,2,1.633557677268982,3.689584732055664,0.0781129002571106,direct
pythia-70m,draw_1,medium,3,0.24293382465839386,0.7174555659294128,0.32783758640289307,direct
pythia-70m,draw_1,medium,4,0.04681532084941864,1.77497398853302,0.30829620361328125,direct
pythia-70m,draw_1,medium,5,109.394287109375,20.275527954101562,108.15748596191406,direct
pythia-70m,draw_1,high,0,0.35184115171432495,0.6296286582946777,0.338336318731308,direct
pythia-70m,draw_1,high,1,0.0599173940718174,0.5573853254318237,0.11145441234111786,direct
pythia-70m,draw_1,high,2,1.2342078685760498,2.9966604709625244,0.1071927398443222,direct
pythia-70m,draw_1,high,3,0.15807406604290009,0.6826390624046326,0.18465596437454224,direct
pythia-70m,draw_1,high,4,0.4133636951446533,1.66551673412323,0.554844856262207,direct
pythia-70m,draw_1,high,5,113.51057434082031,20.272785186767578,112.92451477050781,direct
pythia-70m,draw_1,very_high,0,0.3023608326911926,0.6035188436508179,0.24158652126789093,direct
pythia-70m,draw_1,very_high,1,0.016075631603598595,0.5077478885650635,0.03524657338857651,direct
pythia-70m,draw_1,very_high,2,0.4701305329799652,2.0756940841674805,-0.0070612430572509766,direct
pythia-70m,draw_1,very_high,3,-0.09723996371030807,0.7058088183403015,-0.07095608115196228,direct
pythia-70m,draw_1,very_high,4,0.7299903631210327,1.3502289056777954,0.7755955457687378,direct
pythia-70m,draw_1,very_high,5,117.6115951538086,21.367664337158203,116.33750915527344,direct
pythia-70m,draw_1,control,0,0.345257431268692,0.5734485983848572,0.2792761027812958,direct
pythia-70m,draw_1,control,1,0.02083394303917885,0.528809666633606,0.01133669912815094,direct
pythia-70m,draw_1,control,2,0.38222548365592957,2.0475940704345703,0.005046814680099487,direct
pythia-70m,draw_1,control,3,-0.029875418171286583,0.7588373422622681,-0.11156031489372253,direct
pythia-70m,draw_1,control,4,0.9247806668281555,1.42904531955719,1.040552020072937,direct
pythia-70m,draw_1,control,5,115.34305572509766,19.798513412475586,115.413818359375,direct
pythia-70m,draw_2,low,0,0.5002257823944092,0.6660374999046326,0.49608397483825684,direct
pythia-70m,draw_2,low,1,-0.0052725705318152905,0.5154061913490295,-0.014955788850784302,direct
pythia-70m,draw_2,low,2,1.6790080070495605,3.5756006240844727,0.1926451474428177,direct
pythia-70m,draw_2,low,3,0.37517353892326355,0.6600425243377686,0.4197000563144684,direct
pythia-70m,draw_2,low,4,0.1922227442264557,1.774316430091858,0.6371482610702515,direct
pythia-70m,draw_2,low,5,112.13651275634766,23.560291290283203,113.36238098144531,direct
pythia-70m,draw_2,medium,0,0.32657408714294434,0.6391533017158508,0.3344193696975708,direct
pythia-70m,draw_2,medium,1,0.12219999730587006,0.5855196118354797,0.16064517199993134,direct
pythia-70m,draw_2,medium,2,1.4514787197113037,3.478243827819824,0.10820862650871277,direct
pythia-70m,draw_2,medium,3,0.2773495316505432,0.6972192525863647,0.2837226390838623,direct
pythia-70m,draw_2,medium,4,0.27892494201660156,1.7386014461517334,0.5280116200447083,direct
pythia-70m,draw_2,medium,5,108.65518951416016,23.29036521911621,108.99734497070312,direct
pythia-70m,draw_2,high,0,0.3496074676513672,0.6375619769096375,0.31635308265686035,direct
pythia-70m,draw_2,high,1,0.11590170115232468,0.5417698621749878,0.06368357688188553,direct
pythia-70m,draw_2,high,2,0.811065673828125,2.560452461242676,0.057482361793518066,direct
pythia-70m,draw_2,high,3,0.16306555271148682,0.7233321070671082,0.13489747047424316,direct
pythia-70m,draw_2,high,4,0.5761957168579102,1.4975557327270508,0.769686222076416,direct
pythia-70m,draw_2,high,5,112.0304183959961,19.402185440063477,110.77754211425781,direct
pythia-70m,draw_2,very_high,0,0.34631192684173584,0.5995572209358215,0.32663780450820923,direct
pythia-70m,draw_2,very_high,1,0.039720483124256134,0.5555119514465332,0.047725602984428406,direct
pythia-70m,draw_2,very_high,2,0.6188260316848755,2.446044445037842,0.04131293296813965,direct
pythia-70m,draw_2,very_high,3,-0.02626861445605755,0.7723550796508789,-0.0537908673286438,direct
pythia-70m,draw_2,very_high,4,0.7173416614532471,1.6132824420928955,0.9014331102371216,direct
pythia-70m,draw_2,very_high,5,117.88422393798828,21.211238861083984,116.99124145507812,direct
pythia-70m,draw_2,control,0,0.2429601103067398,0.6134130358695984,0.22745904326438904,direct
pythia-70m,draw_2,control,1,0.03048676624894142,0.556110680103302,-0.02676430344581604,direct
pythia-70m,draw_2,control,2,0.5859297513961792,2.57924747467041,0.0014135241508483887,direct
pythia-70m,draw_2,control,3,-0.04810413345694542,0.6607323288917542,0.027326315641403198,direct
pythia-70m,draw_2,control,4,0.8522310256958008,1.6815156936645508,1.0620200634002686,direct
pythia-70m,draw_2,control,5,116.22112274169922,20.682092666625977,117.4837646484375,direct
pythia-70m,draw_3,low,0,0.501600980758667,0.6673317551612854,0.5208420753479004,direct
pythia-70m,draw_3,low,1,-0.005598101764917374,0.5200629234313965,0.006662309169769287,direct
pythia-70m,draw_3,low,2,2.2101593017578125,4.045196533203125,0.32606375217437744,direct
pythia-70m,draw_3,low,3,0.3724549114704132,0.6841829419136047,0.4225083887577057,direct
pythia-70m,draw_3,low,4,0.020937202498316765,1.9038512706756592,0.40320444107055664,direct
pythia-70m,draw_3,low,5,113.28536224365234,23.408138275146484,114.39177703857422,direct
pythia-70m,draw_3,medium,0,0.4487162232398987,0.6180632710456848,0.47044312953948975,direct
pythia-70m,draw_3,medium,1,0.09718173742294312,0.5236744284629822,0.12163465470075607,direct
pythia-70m,draw_3,medium,2,2.1702799797058105,4.217392444610596,0.19827669858932495,direct
pythia-70m,draw_3,medium,3,0.3680703341960907,0.7074608206748962,0.3831123113632202,direct
pythia-70m,draw_3,medium,4,-0.04763920232653618,1.9889733791351318,0.3615055978298187,direct
pythia-70m,draw_3,medium,5,112.73418426513672,23.025283813476562,111.58052062988281,direct
pythia-70m,draw_3,high,0,0.26965203881263733,0.574480414390564,0.2551172077655792,direct
pythia-70m,draw_3,high,1,0.02824179269373417,0.5372492074966431,-0.010736986994743347,direct
pythia-70m,draw_3,high,2,1.0329583883285522,2.9353528022766113,0.06374360620975494,direct
pythia-70m,draw_3,high,3,0.16547949612140656,0.7064566612243652,0.11072361469268799,direct
pythia-70m,draw_3,high,4,0.45396286249160767,1.6817461252212524,0.7569668889045715,direct
pythia-70m,draw_3,high,5,111.81761169433594,21.238096237182617,112.3001480102539,direct
pythia-70m,draw_3,very_high,0,0.2780033051967621,0.5888606309890747,0.26819032430648804,direct
pythia-70m,draw_3,very_high,1,0.013860017992556095,0.4756777882575989,0.02970818430185318,direct
pythia-70m,draw_3,very_high,2,0.482681542634964,2.152221918106079,0.04608242213726044,direct
pythia-70m,draw_3,very_high,3,-0.09290465712547302,0.7414405941963196,-0.12722870707511902,direct
pythia-70m,draw_3,very_high,4,0.9461522102355957,1.4694740772247314,1.1010161638259888,direct
pythia-70m,draw_3,very_high,5,117.2825698852539,19.73806381225586,118.44623565673828,direct
pythia-70m,draw_3,control,0,0.36757248640060425,0.6418561935424805,0.3392133116722107,direct
pythia-70m,draw_3,control,1,-0.0007841375190764666,0.5246091485023499,-0.0026968717575073242,direct
pythia-70m,draw_3,control,2,0.7006477117538452,2.85636830329895,0.04643535614013672,direct
pythia-70m,draw_3,control,3,-0.008533225394785404,0.7363304495811462,-0.018695101141929626,direct
pythia-70m,draw_3,control,4,0.6648772954940796,1.6988625526428223,1.0270419120788574,direct
pythia-70m,draw_3,control,5,114.72406005859375,20.620271682739258,114.24687957763672,direct
pythia-160m,draw_1,low,0,0.12107732146978378,1.017652988433838,0.07977098226547241,direct
pythia-160m,draw_1,low,1,-0.5934809446334839,0.37857016921043396,-0.5722424983978271,direct
pythia-160m,draw_1,low,2,-0.11013080179691315,0.63751620054245,-0.05721205472946167,direct
pythia-160m,draw_1,low,3,-0.5750851631164551,0.5774613618850708,-0.589117169380188,direct
pythia-160m,draw_1,low,4,0.17523907124996185,0.6277248859405518,0.13242527842521667,direct
