model,draw,band,layer,mlp_frac_mean,mlp_frac_std,attn_frac_mean,mlp_norm_mean,attn_norm_mean
pythia-70m,draw_1,low,0,0.517349123954773,0.03463049978017807,0.48265090584754944,6.798146724700928,6.366835594177246
pythia-70m,draw_1,low,1,0.5059023499488831,0.059316981583833694,0.49409762024879456,5.3118414878845215,5.032793045043945
pythia-70m,draw_1,low,2,0.5187904238700867,0.16580317914485931,0.48120957612991333,11.977399826049805,7.147642135620117
pythia-70m,draw_1,low,3,0.5361189842224121,0.12855510413646698,0.4638809859752655,9.01196575164795,8.334885597229004
pythia-70m,draw_1,low,4,0.7860870361328125,0.060647234320640564,0.2139129638671875,15.79922866821289,3.644566059112549
pythia-70m,draw_1,low,5,0.6563932299613953,0.04279155656695366,0.34360677003860474,46.81895065307617,23.947843551635742
pythia-70m,draw_1,medium,0,0.5030862092971802,0.035702094435691833,0.4969137907028198,6.387270450592041,6.324309825897217
pythia-70m,draw_1,medium,1,0.5050439834594727,0.0618310309946537,0.49495598673820496,5.4068989753723145,5.110990047454834
pythia-70m,draw_1,medium,2,0.5187270641326904,0.1596987545490265,0.48127293586730957,11.965644836425781,7.016765594482422
pythia-70m,draw_1,medium,3,0.5104333758354187,0.13556599617004395,0.4895665943622589,8.886883735656738,9.202960968017578
pythia-70m,draw_1,medium,4,0.7900339365005493,0.05826989561319351,0.20996606349945068,16.01186180114746,3.6246185302734375
pythia-70m,draw_1,medium,5,0.6570600271224976,0.04090823605656624,0.34294000267982483,46.408748626708984,23.73569679260254
pythia-70m,draw_1,high,0,0.5035054683685303,0.037651076912879944,0.4964945614337921,5.98792839050293,5.926557540893555
pythia-70m,draw_1,high,1,0.49559006094932556,0.051281772553920746,0.504409909248352,5.177995204925537,5.161927700042725
pythia-70m,draw_1,high,2,0.49585849046707153,0.14862845838069916,0.5041415095329285,9.734830856323242,7.017760276794434
pythia-70m,draw_1,high,3,0.5074287056922913,0.12738052010536194,0.49257126450538635,8.702106475830078,9.117328643798828
pythia-70m,draw_1,high,4,0.7830309867858887,0.05288982763886452,0.21696899831295013,14.66679859161377,3.6312217712402344
pythia-70m,draw_1,high,5,0.66361004114151,0.039370324462652206,0.33639004826545715,47.40938186645508,23.593849182128906
pythia-70m,draw_1,very_high,0,0.5056798458099365,0.03264736011624336,0.4943201243877411,5.606514930725098,5.502655506134033
pythia-70m,draw_1,very_high,1,0.48092150688171387,0.038462139666080475,0.5190784931182861,4.778133869171143,5.102339267730713
pythia-70m,draw_1,very_high,2,0.44244757294654846,0.1024998351931572,0.5575523972511292,6.8863019943237305,7.144145965576172
pythia-70m,draw_1,very_high,3,0.4614364206790924,0.09779547899961472,0.5385635495185852,8.35647964477539,10.286296844482422
pythia-70m,draw_1,very_high,4,0.7726771235466003,0.0464169941842556,0.22732286155223846,13.194587707519531,3.671837568283081
pythia-70m,draw_1,very_high,5,0.6735072135925293,0.037150025367736816,0.3264927566051483,48.76348114013672,23.22349739074707
pythia-70m,draw_1,control,0,0.5063204169273376,0.031834062188863754,0.49367961287498474,5.698230266571045,5.577824592590332
pythia-70m,draw_1,control,1,0.4773363471031189,0.03870966285467148,0.5226636528968811,4.730660915374756,5.123348712921143
pythia-70m,draw_1,control,2,0.4401806592941284,0.09305473417043686,0.5598193407058716,6.709324359893799,7.173149108886719
pythia-70m,draw_1,control,3,0.4589557647705078,0.08940904587507248,0.5410441756248474,8.293975830078125,10.217411041259766
pythia-70m,draw_1,control,4,0.7646421790122986,0.044678058475255966,0.23535780608654022,12.884366035461426,3.7767443656921387
pythia-70m,draw_1,control,5,0.669671356678009,0.0368582122027874,0.33032864332199097,47.833343505859375,23.20431900024414
pythia-70m,draw_2,low,0,0.5200843811035156,0.0361945778131485,0.47991567850112915,6.757291793823242,6.25422477722168
pythia-70m,draw_2,low,1,0.5034672617912292,0.06211576610803604,0.49653273820877075,5.294925212860107,5.0423903465271
pythia-70m,draw_2,low,2,0.5212244391441345,0.16768333315849304,0.4787755310535431,12.157645225524902,7.087275981903076
pythia-70m,draw_2,low,3,0.5288740396499634,0.13520939648151398,0.471125990152359,9.046710014343262,8.686103820800781
pythia-70m,draw_2,low,4,0.7900729775428772,0.06234491243958473,0.20992699265480042,16.159122467041016,3.629054546356201
pythia-70m,draw_2,low,5,0.659223198890686,0.043560758233070374,0.3407767117023468,47.45055389404297,23.905460357666016
pythia-70m,draw_2,medium,0,0.5020821690559387,0.03607835993170738,0.4979178309440613,6.331874847412109,6.298770427703857
pythia-70m,draw_2,medium,1,0.49872246384620667,0.05564514175057411,0.501277506351471,5.2262864112854,5.118596076965332
pythia-70m,draw_2,medium,2,0.5026982426643372,0.15781061351299286,0.49730184674263,10.983728408813477,7.1581573486328125
pythia-70m,draw_2,medium,3,0.515902042388916,0.13021790981292725,0.484097957611084,8.892410278320312,8.976058006286621
pythia-70m,draw_2,medium,4,0.7817157506942749,0.059115245938301086,0.2182842344045639,15.268035888671875,3.689845323562622
pythia-70m,draw_2,medium,5,0.6528275609016418,0.04797162115573883,0.34717243909835815,45.8571891784668,23.734071731567383
pythia-70m,draw_2,high,0,0.5009957551956177,0.03583792597055435,0.4990042448043823,5.95065975189209,5.952246189117432
pythia-70m,draw_2,high,1,0.48755037784576416,0.047415073961019516,0.5124496221542358,4.9669189453125,5.130738735198975
pythia-70m,draw_2,high,2,0.47235676646232605,0.12470696121454239,0.5276432037353516,8.168339729309082,7.1245245933532715
pythia-70m,draw_2,high,3,0.4873605966567993,0.10934215039014816,0.5126394033432007,8.532487869262695,9.547625541687012
pythia-70m,draw_2,high,4,0.7727457880973816,0.04981755465269089,0.22725427150726318,13.386920928955078,3.6441211700439453
pythia-70m,draw_2,high,5,0.6633818745613098,0.03635929152369499,0.336618036031723,46.7255973815918,23.326797485351562
pythia-70m,draw_2,very_high,0,0.49960532784461975,0.0331425815820694,0.5003946423530579,5.5148186683654785,5.541891098022461
pythia-70m,draw_2,very_high,1,0.48245564103126526,0.04394519329071045,0.5175443291664124,4.857855319976807,5.13705587387085
pythia-70m,draw_2,very_high,2,0.45218491554260254,0.1154920905828476,0.5478150844573975,7.5594801902771,7.1454081535339355
pythia-70m,draw_2,very_high,3,0.46338164806365967,0.10381289571523666,0.5366182923316956,8.414814949035645,10.271098136901855
