model,draw,band,layer,mean_gini,std_gini,population_gini,mean_frac_active,mean_abs_activation
pythia-70m,draw_1,low,0,0.4240972351734164,0.005910599045590446,0.10397615733760013,0.9583355034722222,0.29889267683029175
pythia-70m,draw_1,low,1,0.4185948532242185,0.009794909263623409,0.2815780875774301,0.9349240451388889,0.8677317500114441
pythia-70m,draw_1,low,2,0.4842435367596156,0.018145061297814125,0.3418653435264922,0.5775607638888889,0.6242482662200928
pythia-70m,draw_1,low,3,0.4394587870869445,0.005874579964767921,0.317172787340422,0.9546527777777778,0.6890419721603394
pythia-70m,draw_1,low,4,0.4131476848274016,0.018433654732352877,0.2606794175216238,0.9197569444444444,0.7398857474327087
pythia-70m,draw_1,low,5,0.42163934632550787,0.010832981075666211,0.2928163987985175,0.8678103298611111,0.8791332244873047
pythia-70m,draw_1,medium,0,0.4223399081300462,0.006723393440961486,0.10500525408675343,0.9598828125,0.30632483959198
pythia-70m,draw_1,medium,1,0.41922098762526666,0.009240233312134112,0.2769645222922219,0.9346158854166666,0.8693086504936218
pythia-70m,draw_1,medium,2,0.48673203951823757,0.019091763470514597,0.3441852178516145,0.5648220486111111,0.6270924806594849
pythia-70m,draw_1,medium,3,0.43994693732733975,0.0063627685524193685,0.3154658988229615,0.9535915798611111,0.6771869659423828
pythia-70m,draw_1,medium,4,0.4185877759839535,0.01694649131764399,0.2622410844174261,0.9098155381944445,0.7066762447357178
pythia-70m,draw_1,medium,5,0.4231131717485899,0.010208055147249465,0.29236028556461235,0.8634223090277777,0.8725950717926025
pythia-70m,draw_1,high,0,0.4192580645497447,0.00911815808092998,0.11942812716711271,0.9625824652777778,0.3336520791053772
pythia-70m,draw_1,high,1,0.4186286363157895,0.008438659594671225,0.26819574585786965,0.9284939236111112,0.8755286335945129
pythia-70m,draw_1,high,2,0.489442146251616,0.018710947894111683,0.34325787573103916,0.5394618055555556,0.6338776350021362
pythia-70m,draw_1,high,3,0.44092222484794363,0.00629966043461861,0.3154777205397472,0.9532877604166666,0.6861593127250671
pythia-70m,draw_1,high,4,0.41897193838350183,0.016345965002154236,0.26310722462354175,0.9082638888888889,0.7247428297996521
pythia-70m,draw_1,high,5,0.4266651908235555,0.009199851397023132,0.2952439127086861,0.8613389756944444,0.884137749671936
pythia-70m,draw_1,very_high,0,0.4107793272537957,0.012092119705308733,0.14603991800319127,0.9687630208333333,0.37817975878715515
pythia-70m,draw_1,very_high,1,0.4174849742695067,0.009491022654912125,0.25925297688072946,0.9242664930555555,0.9129559993743896
pythia-70m,draw_1,very_high,2,0.4928045451126125,0.01428295012448726,0.34319499307901014,0.47318793402777776,0.6738240718841553
pythia-70m,draw_1,very_high,3,0.4418361102860955,0.005689439204189881,0.31218536162292865,0.9532855902777778,0.7211906313896179
pythia-70m,draw_1,very_high,4,0.422208562264767,0.014729554106880309,0.2662835878128047,0.8972808159722222,0.756142795085907
pythia-70m,draw_1,very_high,5,0.42853950006323,0.008563556873523549,0.28857083248303517,0.8565733506944444,0.8920586705207825
pythia-70m,draw_1,control,0,0.41068292384977345,0.01140106945247723,0.1394830519217225,0.9678190104166666,0.3697836101055145
pythia-70m,draw_1,control,1,0.41739519892059307,0.00907092671104325,0.262094893703092,0.9271831597222222,0.9023863673210144
pythia-70m,draw_1,control,2,0.49344457487975674,0.01482805068143298,0.34901666426884703,0.4816775173611111,0.6676263213157654
pythia-70m,draw_1,control,3,0.44170731238444444,0.005735527955493061,0.3170844632068046,0.9533854166666667,0.7235448956489563
pythia-70m,draw_1,control,4,0.42009290173572544,0.016478816926994218,0.2648352360954578,0.9024045138888889,0.7606849670410156
pythia-70m,draw_1,control,5,0.42705152659668455,0.008802153350941491,0.28714376271859465,0.8624956597222222,0.8887341022491455
pythia-70m,draw_2,low,0,0.4247395298510763,0.005847681589494239,0.1049782132456687,0.9569249131944444,0.30014827847480774
