model,model_capacity,n_total_heads,n_in_circuit_heads,pct_in_circuit,n_induction_circuit,n_diffuse_circuit,pct_specialized_circuit,mean_entropy_circuit,mean_induction_score_circuit,mean_bos_fraction_circuit,pct_role_changed,mean_js_divergence
pythia-70m,70,48,45,93.75,3,17,64.58333333333333,1.859462699914972,0.05272669885409176,0.28954129374905657,0.0,0.0044418232753428355
pythia-160m,160,144,127,88.19444444444444,5,36,75.0,1.6593977332420773,0.032568917343131096,0.3774028950265301,0.6944444444444444,0.012468767994220618
pythia-410m,410,384,305,79.42708333333333,8,110,71.35416666666667,2.1024548134640235,0.03352252124884971,0.4639532678609945,0.5208333333333333,0.015114725349615726
pythia-1b,1000,128,113,88.28125,4,44,65.625,2.573916397611174,0.03976356666897711,0.35447082712817063,3.90625,0.02148051595409089
pythia-1.4b,1400,384,284,73.95833333333333,7,100,73.95833333333333,1.9334530220414317,0.028914081101509836,0.495472486689612,2.604166666666667,0.03909222698623458
