model,band,draw,layer,head,base_induction_score,circuit_induction_score,delta_induction,in_base_induction,in_circuit_induction
pythia-160m,medium,draw_2,6,10,0.17241708934307098,0.17406955361366272,0.0016524642705917358,True,True
pythia-160m,medium,draw_2,1,10,0.576116144657135,0.5761016011238098,-1.4543533325195312e-05,True,True
pythia-160m,medium,draw_2,1,6,0.46037474274635315,0.46019625663757324,-0.00017848610877990723,True,True
pythia-160m,medium,draw_3,0,7,0.8735626935958862,0.8735626935958862,0.0,True,True
pythia-160m,medium,draw_3,3,3,0.4221175014972687,0.41137105226516724,-0.01074644923210144,True,True
pythia-160m,medium,draw_3,6,10,0.1832616776227951,0.1832149624824524,-4.67151403427124e-05,True,True
pythia-160m,medium,draw_3,1,10,0.5756987929344177,0.5791606307029724,0.0034618377685546875,True,True
pythia-160m,medium,draw_3,1,6,0.47277799248695374,0.47410333156585693,0.0013253390789031982,True,True
pythia-160m,high,draw_1,0,7,0.8475810885429382,0.8475810885429382,0.0,True,True
pythia-160m,high,draw_1,3,3,0.420490562915802,0.4224123954772949,0.00192183256149292,True,True
pythia-160m,high,draw_1,6,10,0.18542076647281647,0.18264000117778778,-0.0027807652950286865,True,True
pythia-160m,high,draw_1,1,10,0.5727013945579529,0.5726218819618225,-7.95125961303711e-05,True,True
pythia-160m,high,draw_1,1,6,0.4767395257949829,0.4774266183376312,0.0006870925426483154,True,True
pythia-160m,high,draw_2,0,7,0.8603091239929199,0.8603091239929199,0.0,True,True
pythia-160m,high,draw_2,3,3,0.4267251491546631,0.42808252573013306,0.0013573765754699707,True,True
pythia-160m,high,draw_2,6,10,0.16730323433876038,0.1647583246231079,-0.002544909715652466,True,True
pythia-160m,high,draw_2,1,10,0.5580122470855713,0.5580474734306335,3.522634506225586e-05,True,True
pythia-160m,high,draw_2,1,6,0.45276015996932983,0.4529015123844147,0.00014135241508483887,True,True
pythia-160m,high,draw_3,0,7,0.8511629104614258,0.8511629104614258,0.0,True,True
pythia-160m,high,draw_3,3,3,0.420668363571167,0.4222274720668793,0.0015591084957122803,True,True
pythia-160m,high,draw_3,6,10,0.18473297357559204,0.17952348291873932,-0.005209490656852722,True,True
pythia-160m,high,draw_3,1,10,0.5730109214782715,0.580284833908081,0.00727391242980957,True,True
pythia-160m,high,draw_3,1,6,0.4674173891544342,0.4690074920654297,0.0015901029109954834,True,True
pythia-160m,very_high,draw_1,0,7,0.8187196254730225,0.8187196254730225,0.0,True,True
pythia-160m,very_high,draw_1,3,3,0.3713799715042114,0.37675580382347107,0.0053758323192596436,True,True
pythia-160m,very_high,draw_1,6,10,0.15545694530010223,0.1527692675590515,-0.00268767774105072,True,True
pythia-160m,very_high,draw_1,1,10,0.6031257510185242,0.6138635277748108,0.010737776756286621,True,True
pythia-160m,very_high,draw_1,1,6,0.4655807912349701,0.4689497947692871,0.0033690035343170166,True,True
pythia-160m,very_high,draw_2,0,7,0.8137399554252625,0.8137399554252625,0.0,True,True
pythia-160m,very_high,draw_2,3,3,0.36668652296066284,0.39304572343826294,0.026359200477600098,True,True
pythia-160m,very_high,draw_2,6,10,0.16610023379325867,0.16208207607269287,-0.004018157720565796,True,True
pythia-160m,very_high,draw_2,1,10,0.6314230561256409,0.6272470355033875,-0.004176020622253418,True,True
pythia-160m,very_high,draw_2,1,6,0.4712841212749481,0.47075486183166504,-0.0005292594432830811,True,True
pythia-160m,very_high,draw_3,0,7,0.8067957758903503,0.8067957758903503,0.0,True,True
pythia-160m,very_high,draw_3,3,3,0.3495664596557617,0.36099711060523987,0.01143065094947815,True,True
pythia-160m,very_high,draw_3,6,10,0.16444949805736542,0.16327092051506042,-0.0011785775423049927,True,True
pythia-160m,very_high,draw_3,1,10,0.6515735983848572,0.6476007699966431,-0.003972828388214111,True,True
pythia-160m,very_high,draw_3,1,6,0.4657112956047058,0.4645524322986603,-0.0011588633060455322,True,True
pythia-160m,control,draw_1,0,7,0.8218485116958618,0.8218485116958618,0.0,True,True
pythia-160m,control,draw_1,3,3,0.3745444118976593,0.3927331864833832,0.018188774585723877,True,True
