model,band,mean_induction_score,mean_bos_fraction,mean_target_fraction
pythia-1.4b,control,0.029168925380003225,0.4652945204690442,0.05971015950441219
pythia-1.4b,high,0.028779840817533955,0.5000808340081035,0.05946345080141403
pythia-1.4b,low,0.030715417279341843,0.49032250457266296,0.062435870734427724
pythia-1.4b,medium,0.02968433984047736,0.49963953333527944,0.060993660175817456
pythia-1.4b,very_high,0.027397140223361007,0.49382098183017664,0.057152240446614364
pythia-160m,control,0.03166560427510873,0.37869782795814283,0.09986355926848492
pythia-160m,high,0.03249987017060415,0.37594471516703876,0.10298014401814783
pythia-160m,low,0.03393413894583824,0.37453377698395657,0.11043084637844178
pythia-160m,medium,0.03328133958470407,0.368065197510523,0.10830552754050173
pythia-160m,very_high,0.031403887566076656,0.3817635544226253,0.09590591128316187
pythia-1b,control,0.0387971702203481,0.3491689583538573,0.0844718022607306
pythia-1b,high,0.03972944244237669,0.3526122599626736,0.0840862756747408
pythia-1b,low,0.04307424051754807,0.35934966687636916,0.08421693859301554
pythia-1b,medium,0.041672523549106555,0.35512350550122096,0.0863614284848091
pythia-1b,very_high,0.03775171025837306,0.3531813013137253,0.08299463739763409
pythia-410m,control,0.033014441911814234,0.45775238674128527,0.06377133385552888
pythia-410m,high,0.03384776453392079,0.46121009914392314,0.06446256287446372
pythia-410m,low,0.034137866315097694,0.4760741162955896,0.06697541536863111
pythia-410m,medium,0.03388261640644194,0.4689691333445602,0.06620249166480296
pythia-410m,very_high,0.03253104377918038,0.45699913676750203,0.06352573346694337
pythia-70m,control,0.05150764067808739,0.2891011872525314,0.09246816485298065
pythia-70m,high,0.05342720848727088,0.2956853369655795,0.08069615929616407
pythia-70m,low,0.053305166716769964,0.2870651199587009,0.07090156694475729
pythia-70m,medium,0.054221930990698275,0.28911224547207237,0.07668603584205626
pythia-70m,very_high,0.05038874669535594,0.2901421103912567,0.09156271166797045
