model,params_M,n_layers,n_heads,attn_components,mlp_components,total_components,total_possible_edges,mean_circuit_edges,circuit_density,base_accuracy,circuit_accuracy
pythia-70m,70.0,6,8,48,6,54,1324,409.26666666666665,0.3091137965760322,0.49362962962962964,0.41659259259259257
pythia-160m,160.0,12,12,144,12,156,11467,1406.5333333333335,0.12265922502252843,0.9585185185185185,0.9223703703703704
pythia-410m,410.0,24,16,384,24,408,80581,3581.2000000000003,0.04444223824474752,0.9884444444444445,0.9641481481481481
pythia-1b,1000.0,16,8,128,16,144,10009,914.8666666666667,0.09140440270423286,0.9872592592592593,0.9306666666666666
pythia-1.4b,1400.0,24,16,384,24,408,80581,2276.866666666667,0.028255626843383265,0.9792592592592593,0.8791111111111111
