model,draw,test_band,k_sample,n_edges,accuracy,top5_accuracy,mean_correct_prob
pythia-70m,draw_1,low,1,238,0.0,0.0,1.7064176523074398e-05
pythia-70m,draw_1,medium,1,238,0.0,0.0,3.2546710323314826e-05
pythia-70m,draw_1,high,1,238,0.0,0.0,0.00013985632417372706
pythia-70m,draw_1,very_high,1,238,0.0,0.0,0.0002524351078694546
pythia-70m,draw_1,control,1,238,0.0,0.0,0.00018593877342644146
pythia-70m,draw_1,low,2,238,0.0,0.0,1.739970501420274e-05
pythia-70m,draw_1,medium,2,238,0.0,0.0,3.154451363521401e-05
pythia-70m,draw_1,high,2,238,0.0,0.0,0.0001322515835961566
pythia-70m,draw_1,very_high,2,238,0.0,0.0,0.00026228701428531543
pythia-70m,draw_1,control,2,238,0.0,0.0,0.00017813149092366212
pythia-70m,draw_1,low,3,238,0.0,0.0,1.8701535307063348e-05
pythia-70m,draw_1,medium,3,238,0.0,0.0,3.1724467752149124e-05
pythia-70m,draw_1,high,3,238,0.0,0.0,0.00013979886114465028
pythia-70m,draw_1,very_high,3,238,0.0,0.0,0.00025509503487635733
pythia-70m,draw_1,control,3,238,0.0,0.0,0.00017648567794885118
pythia-70m,draw_1,low,4,238,0.0,0.0,1.8489069022387857e-05
pythia-70m,draw_1,medium,4,238,0.0,0.0,3.0282893947992416e-05
pythia-70m,draw_1,high,4,238,0.0,0.0,0.00012923143839166249
pythia-70m,draw_1,very_high,4,238,0.0,0.0,0.00025086013243841716
pythia-70m,draw_1,control,4,238,0.0,0.0,0.00018053488967079072
pythia-70m,draw_1,low,5,238,0.0,0.0,2.041164649579732e-05
pythia-70m,draw_1,medium,5,238,0.0,0.0,3.068196361841943e-05
pythia-70m,draw_1,high,5,238,0.0,0.0,0.00013035043082889312
pythia-70m,draw_1,very_high,5,238,0.0,0.0,0.00025252278693486117
pythia-70m,draw_1,control,5,238,0.0,0.0,0.00019269710462336103
pythia-70m,draw_2,low,1,229,0.0,0.0044444444444444444,0.00011283877058256308
pythia-70m,draw_2,medium,1,229,0.0,0.0,6.695125308443591e-05
pythia-70m,draw_2,high,1,229,0.0,0.0,0.00012555730290750904
pythia-70m,draw_2,very_high,1,229,0.0,0.0,0.00035541266985369193
pythia-70m,draw_2,control,1,229,0.0,0.0044444444444444444,0.00022257866146006334
pythia-70m,draw_2,low,2,229,0.0,0.0044444444444444444,0.000125884347276051
pythia-70m,draw_2,medium,2,229,0.0,0.0,6.731595844729575e-05
pythia-70m,draw_2,high,2,229,0.0,0.0,0.00012544546275992848
pythia-70m,draw_2,very_high,2,229,0.0,0.0,0.00032106046681931055
pythia-70m,draw_2,control,2,229,0.0,0.0044444444444444444,0.00023918153101708996
pythia-70m,draw_2,low,3,229,0.0,0.0044444444444444444,0.00011390082462528717
pythia-70m,draw_2,medium,3,229,0.0,0.0,6.304959741910378e-05
pythia-70m,draw_2,high,3,229,0.0,0.0,0.00013239062952310278
pythia-70m,draw_2,very_high,3,229,0.0,0.0,0.00030870446087646994
pythia-70m,draw_2,control,3,229,0.0,0.0044444444444444444,0.0002889638531894032
