model,band,same_draw_acc,cross_draw_acc,transfer_ratio
pythia-70m,low,0.24296296296296296,0.23555555555555552,0.9695121951219511
pythia-70m,medium,0.34814814814814815,0.33481481481481484,0.9617021276595745
pythia-70m,high,0.4162962962962962,0.4185185185185185,1.005338078291815
pythia-70m,very_high,0.5496296296296297,0.5385185185185185,0.9797843665768193
pythia-70m,control,0.525925925925926,0.5355555555555555,1.018309859154929
pythia-160m,low,0.8903703703703704,0.8992592592592592,1.0099833610648918
pythia-160m,medium,0.9111111111111111,0.9125925925925925,1.0016260162601625
pythia-160m,high,0.9229629629629631,0.9125925925925927,0.9887640449438202
pythia-160m,very_high,0.9511111111111111,0.9429629629629629,0.9914330218068534
pythia-160m,control,0.9362962962962963,0.9362962962962963,1.0
pythia-410m,low,0.9466666666666667,0.9511111111111111,1.0046948356807512
pythia-410m,medium,0.9748148148148147,0.9688888888888889,0.9939209726443771
pythia-410m,high,0.9674074074074075,0.9674074074074075,1.0
pythia-410m,very_high,0.9629629629629629,0.9577777777777778,0.9946153846153847
pythia-410m,control,0.9688888888888889,0.9703703703703703,1.0015290519877675
pythia-1b,low,0.9051851851851852,0.9125925925925925,1.0081833060556464
pythia-1b,medium,0.9348148148148149,0.9414814814814815,1.0071315372424723
pythia-1b,high,0.9362962962962963,0.9422222222222222,1.0063291139240507
pythia-1b,very_high,0.9362962962962964,0.9355555555555556,0.9992088607594936
pythia-1b,control,0.9407407407407407,0.9377777777777777,0.9968503937007874
pythia-1.4b,low,0.7985185185185185,0.8185185185185184,1.0250463821892393
pythia-1.4b,medium,0.8592592592592592,0.862962962962963,1.0043103448275863
pythia-1.4b,high,0.8948148148148148,0.9125925925925927,1.0198675496688743
pythia-1.4b,very_high,0.9185185185185185,0.9325925925925928,1.0153225806451616
pythia-1.4b,control,0.9244444444444445,0.9429629629629631,1.0200320512820513
