model,draw,test_band,source_level_acc,source_level_top5,source_level_prob,n_hooks,n_circuit_edges,edge_level_acc,diff
pythia-70m,draw_1,low,0.28,0.4533333333333333,0.10315167700546074,3,297,0.1733333333333333,0.10666666666666672
pythia-70m,draw_1,medium,0.4266666666666667,0.5777777777777777,0.16941748149635372,3,297,0.2888888888888888,0.1377777777777779
pythia-70m,draw_1,high,0.48444444444444446,0.6133333333333333,0.22498852668798083,3,297,0.3288888888888889,0.15555555555555556
pythia-70m,draw_1,very_high,0.6711111111111111,0.8222222222222222,0.2955613004344357,3,297,0.3466666666666667,0.3244444444444444
pythia-70m,draw_1,control,0.6444444444444445,0.8088888888888889,0.25118073402567564,3,297,0.3511111111111111,0.2933333333333334
pythia-70m,draw_2,low,0.3422222222222222,0.5377777777777778,0.14006704576485515,3,297,0.2133333333333333,0.12888888888888891
pythia-70m,draw_2,medium,0.4177777777777778,0.5866666666666667,0.16960651601841037,3,297,0.2844444444444444,0.13333333333333341
pythia-70m,draw_2,high,0.5466666666666666,0.7066666666666667,0.22119080469317043,3,297,0.2666666666666666,0.28
pythia-70m,draw_2,very_high,0.6666666666666666,0.8222222222222222,0.3197146703871092,3,297,0.36,0.30666666666666664
pythia-70m,draw_2,control,0.5822222222222222,0.76,0.2697463167076305,3,297,0.3422222222222222,0.24
pythia-70m,draw_3,low,0.27555555555555555,0.38666666666666666,0.09703491598503348,3,311,0.16,0.11555555555555555
pythia-70m,draw_3,medium,0.4088888888888889,0.5155555555555555,0.16638828271756842,3,311,0.2088888888888889,0.2
pythia-70m,draw_3,high,0.5377777777777778,0.68,0.21639717397070096,3,311,0.2755555555555555,0.2622222222222223
pythia-70m,draw_3,very_high,0.7422222222222222,0.8311111111111111,0.3389447425212792,3,311,0.4488888888888889,0.29333333333333333
pythia-70m,draw_3,control,0.6711111111111111,0.8311111111111111,0.2947232569283369,3,311,0.3688888888888889,0.3022222222222222
pythia-160m,draw_1,low,0.8933333333333333,0.9822222222222222,0.34402225801928177,12,694,0.3955555555555555,0.4977777777777778
pythia-160m,draw_1,medium,0.9555555555555556,1.0,0.4053273081448343,12,694,0.4933333333333333,0.4622222222222223
pythia-160m,draw_1,high,0.9511111111111111,0.9911111111111112,0.4834898508153856,12,694,0.5688888888888889,0.38222222222222224
pythia-160m,draw_1,very_high,0.9733333333333334,1.0,0.5499253269202179,12,694,0.6933333333333334,0.28
pythia-160m,draw_1,control,0.9733333333333334,1.0,0.4959698025965028,12,694,0.5866666666666667,0.3866666666666667
pythia-160m,draw_2,low,0.9066666666666666,0.9911111111111112,0.3477880712779653,12,723,0.4844444444444444,0.4222222222222222
pythia-160m,draw_2,medium,0.9466666666666667,1.0,0.4082115356789695,12,723,0.6177777777777778,0.3288888888888889
pythia-160m,draw_2,high,0.9644444444444444,1.0,0.46432052332493995,12,723,0.7111111111111111,0.2533333333333333
pythia-160m,draw_2,very_high,0.9688888888888889,1.0,0.528475251181258,12,723,0.7422222222222222,0.22666666666666668
pythia-160m,draw_2,control,0.9822222222222222,1.0,0.4915788066511353,12,723,0.6977777777777778,0.2844444444444444
pythia-160m,draw_3,low,0.9333333333333333,0.9911111111111112,0.37281043416716986,12,723,0.5688888888888889,0.36444444444444446
pythia-160m,draw_3,medium,0.9422222222222222,0.9911111111111112,0.42098552625833285,12,723,0.6622222222222223,0.2799999999999999
pythia-160m,draw_3,high,0.9688888888888889,0.9955555555555555,0.48300182088795635,12,723,0.7244444444444444,0.24444444444444446
pythia-160m,draw_3,very_high,0.9822222222222222,1.0,0.5329564670473337,12,723,0.68,0.30222222222222217
pythia-160m,draw_3,control,0.9688888888888889,0.9955555555555555,0.4991406832086957,12,723,0.6488888888888888,0.32000000000000006
pythia-410m,draw_1,low,0.9733333333333334,1.0,0.544127361410194,22,1283,0.2666666666666666,0.7066666666666668
pythia-410m,draw_1,medium,0.9911111111111112,1.0,0.5541993450870116,22,1283,0.4177777777777778,0.5733333333333334
pythia-410m,draw_1,high,0.9911111111111112,1.0,0.5194671390702327,22,1283,0.5022222222222222,0.48888888888888893
pythia-410m,draw_1,very_high,1.0,1.0,0.49641206001242,22,1283,0.5111111111111111,0.48888888888888893
pythia-410m,draw_1,control,0.9911111111111112,1.0,0.4788277053336302,22,1283,0.4622222222222222,0.528888888888889
pythia-410m,draw_2,low,0.9822222222222222,0.9955555555555555,0.5372383216478759,22,1301,0.44,0.5422222222222222
pythia-410m,draw_2,medium,0.9866666666666667,1.0,0.489338573316733,22,1301,0.6,0.3866666666666667
pythia-410m,draw_2,high,0.9822222222222222,0.9911111111111112,0.48500939804646703,22,1301,0.7022222222222222,0.28
pythia-410m,draw_2,very_high,1.0,1.0,0.45878591666618984,22,1301,0.6088888888888889,0.3911111111111111
pythia-410m,draw_2,control,0.9911111111111112,1.0,0.46201708047754236,22,1301,0.6088888888888889,0.38222222222222224
pythia-410m,draw_3,low,0.9911111111111112,1.0,0.5416739554289315,24,1324,0.3688888888888889,0.6222222222222222
pythia-410m,draw_3,medium,0.9911111111111112,1.0,0.5064369752175278,24,1324,0.4577777777777778,0.5333333333333334
pythia-410m,draw_3,high,0.9866666666666667,0.9955555555555555,0.5084151494709982,24,1324,0.6222222222222222,0.36444444444444446
