model,universal_acc_mean,random_k_acc_mean,random_k_acc_std,advantage,advantage_ratio,wilcoxon_stat,wilcoxon_p,n_pairs,significant
pythia-70m,0.29451851851851846,2.962962962962963e-05,9.369711585684087e-05,0.2944888888888888,9939.999999999998,120.0,3.0517578125e-05,15,True
pythia-160m,0.6183703703703702,0.0002666666666666667,0.0002680541964134613,0.6181037037037036,2318.8888888888882,120.0,0.0003266553907075688,15,True
pythia-410m,0.5140740740740741,0.0005925925925925926,0.0,0.5134814814814815,867.5000000000001,120.0,3.0517578125e-05,15,True
pythia-1b,0.41748148148148145,0.0002962962962962963,0.0,0.41718518518518516,1409.0,120.0,3.0517578125e-05,15,True
pythia-1.4b,0.12355555555555557,0.0005925925925925926,0.0,0.12296296296296298,208.50000000000003,120.0,0.0003258330403069556,15,True
