layer,head,role,bos_fraction,self_fraction,prev_fraction,source_fraction,target_fraction,repeat_fraction,induction_score,distractor_fraction,entropy,model,head_idx,mean_universality,mean_n_bands,copy_score,is_universal,universality_class
0,0,diffuse,0.1462507396936416,0.0418840833008289,0.0795370414853096,0.0977998971939086,0.0269059129059314,0.335958331823349,0.0139233330264687,0.3930848240852356,4.2136664390563965,pythia-70m,0,1.0,5.0,0.0143819749355316,True,universal
0,1,previous_token,0.0007096768240444,0.2073871940374374,0.4144375622272491,0.0200304519385099,0.0031500123441219,0.8576094508171082,0.000914251722861,0.118500255048275,2.6698546409606934,pythia-70m,1,1.0,5.0,0.0018661677604541,True,universal
0,2,bos_sink,0.5478950142860413,0.0491913668811321,0.0162226296961307,0.121264100074768,0.0174542609602212,0.1269334405660629,0.0694168657064437,0.1864531934261322,2.8937981128692627,pythia-70m,2,1.0,5.0,-0.0042141419835388,True,universal
0,3,induction,0.0258455984294414,0.1058732718229293,5.182645327295177e-05,0.8655315041542053,0.0003911245730705,0.1062570586800575,0.8648471832275391,0.0019748208578675,0.7024359703063965,pythia-70m,3,1.0,5.0,0.0103262849152088,True,universal
0,4,bos_sink,0.3126256465911865,0.2200984805822372,0.1897151619195938,0.0208715349435806,0.00438879057765,0.5530543327331543,0.0020211087539792,0.1090597212314605,2.939143419265747,pythia-70m,4,1.0,5.0,-0.0019010263495147,True,universal
0,5,induction,0.2267492115497589,0.1110108792781829,0.0202052015811204,0.497397631406784,0.0052010542713105,0.1785411536693573,0.4777784347534179,0.092111051082611,2.5379436016082764,pythia-70m,5,1.0,5.0,-0.0005438139778561,True,universal
0,6,bos_sink,0.7009181976318359,0.0086931008845567,0.0204321928322315,0.0501091741025447,0.0125313065946102,0.0862088054418563,0.0053912899456918,0.1502325683832168,2.177990674972534,pythia-70m,6,1.0,5.0,-0.0007981449016369,True,universal
0,7,previous_token,0.0137590086087584,0.2343044131994247,0.2910385727882385,0.0377790369093418,0.0059098936617374,0.758777379989624,0.002564673544839,0.1837745904922485,3.205090284347534,pythia-70m,7,1.0,5.0,0.0103541668504476,True,universal
1,0,bos_sink,0.3029289245605469,0.0419130958616733,0.0527189448475837,0.133892685174942,0.0343025103211402,0.2057130187749862,0.0201009605079889,0.3231626152992248,3.925347089767456,pythia-70m,0,0.4666666666666666,2.3333333333333335,0.0013429486425593,False,non-universal
1,1,previous_token,0.3182046115398407,0.2705998420715332,0.2473373264074325,0.0104006435722112,0.0010434697614982,0.6245230436325073,0.0006087670917622,0.045828279107809,2.421197891235352,pythia-70m,1,1.0,5.0,-0.0047172447666525,True,universal
1,2,previous_token,0.008460639975965,0.3672737777233124,0.2913481891155243,0.0743959844112396,0.0035566869191825,0.7899332046508789,0.0027202391065657,0.123653344810009,2.809842109680176,pythia-70m,2,1.0,5.0,0.0086213834583759,True,universal
1,3,previous_token,0.0032392346765846,0.1364831030368805,0.2764572203159332,0.0103992745280265,0.0039598895236849,0.8045186996459961,0.0014538818504661,0.1778828203678131,3.088754892349243,pythia-70m,3,1.0,5.0,0.0037231862079352,True,universal
1,4,bos_sink,0.3789958655834198,0.0187983270734548,0.0142206465825438,0.210207849740982,0.035929225385189,0.0793195217847824,0.0532189905643463,0.2955472767353058,3.633063793182373,pythia-70m,4,0.0,0.0,0.0243851728737354,False,non-universal
1,5,diffuse,0.2058789134025573,0.1889216899871826,0.1515401005744934,0.067769281566143,0.0107161290943622,0.5373469591140747,0.0134118944406509,0.178288534283638,3.561414957046509,pythia-70m,5,0.7999999999999999,4.0,-0.0133307259529829,False,non-universal
1,6,diffuse,0.1868357956409454,0.1581219583749771,0.0709126144647598,0.1715220957994461,0.0286317784339189,0.3363800048828125,0.0836920440196991,0.2766303122043609,4.012062072753906,pythia-70m,6,1.0,5.0,0.0098760928958654,True,universal
1,7,bos_sink,0.640285849571228,0.1235314831137657,0.0736253857612609,0.0279244109988212,0.0044262553565204,0.2578877210617065,0.005848228931427,0.0694756880402565,2.120534420013428,pythia-70m,7,0.6,3.0,0.0041253599338233,False,non-universal
2,0,diffuse,0.2516020834445953,0.0790364071726799,0.1030432432889938,0.0545256435871124,0.0141341090202331,0.4005011916160583,0.0093979816883802,0.2792369425296783,3.7883613109588623,pythia-70m,0,0.9333333333333332,4.666666666666667,-0.0093478634953498,True,universal
2,1,previous_token,0.0003164598019793,0.0554512739181518,0.8848294019699097,0.0074444925412535,2.143172787327785e-05,0.96769779920578,8.707440457556005e-08,0.0245203953236341,0.7561205625534058,pythia-70m,1,1.0,5.0,0.0008356606704182,True,universal
2,2,diffuse,0.190018281340599,0.0392110385000705,0.0464074350893497,0.0343355052173137,0.0122230732813477,0.3195831775665283,0.010890900157392,0.4438399374485016,3.915055513381958,pythia-70m,2,1.0,5.0,0.012974901124835,True,universal
2,3,diffuse,0.0536615513265132,0.2243988215923309,0.189943790435791,0.039615761488676,0.0104576190933585,0.6399977207183838,0.0088185118511319,0.2562674880027771,3.631715774536133,pythia-70m,3,1.0,5.0,0.0023871301673352,True,universal
2,4,previous_token,0.0021448095794767,0.1882574409246444,0.2703562676906585,0.0014928677119314,0.0009087219368666,0.8626062870025635,0.0005508032627403,0.1328474581241607,2.856087446212769,pythia-70m,4,1.0,5.0,-0.0060383253730833,True,universal
2,5,diffuse,0.1994838416576385,0.0368668623268604,0.0348042584955692,0.1123126223683357,0.0463935695588588,0.1685488224029541,0.0391731336712837,0.4732611775398254,4.176443099975586,pythia-70m,5,1.0,5.0,0.0126731945201754,True,universal
2,6,induction,0.2090509980916977,0.0597605444490909,0.0059215547516942,0.6185068488121033,0.0098465224727988,0.0838639736175537,0.6032118201255798,0.0787317380309104,2.062328577041626,pythia-70m,6,1.0,5.0,0.0077536283060908,True,universal
2,7,previous_token,0.145567387342453,0.0744468420743942,0.2048226147890091,0.0014989344635978,0.000313920492772,0.7785541415214539,0.0001910479040816,0.0740655586123466,2.7989320755004883,pythia-70m,7,1.0,5.0,0.0082061858847737,True,universal
3,0,diffuse,0.2969932556152344,0.0632331222295761,0.0430712364614009,0.0126626603305339,0.2750077247619629,0.2194360047578811,0.0078532993793487,0.1959006786346435,3.2164394855499268,pythia-70m,0,1.0,5.0,0.0225598085671663,True,universal
3,1,diffuse,0.2762540578842163,0.0354575514793396,0.0175827201455831,0.0098089324310421,0.5771558284759521,0.0916140377521514,0.007307946216315,0.0451667420566082,1.9131884574890137,pythia-70m,1,1.0,5.0,0.0797349289059639,True,universal
3,2,diffuse,0.1508155614137649,0.0731464773416519,0.0868406742811203,0.0953656882047653,0.0170548576861619,0.3683821558952331,0.012540771625936,0.3683818876743316,4.13596773147583,pythia-70m,2,0.7333333333333334,3.6666666666666665,0.0050805029459297,False,non-universal
3,3,bos_sink,0.5089378356933594,0.0173268038779497,0.0143343489617109,0.0817888155579567,0.1497314423322677,0.0718848928809166,0.0242045056074857,0.1876567900180816,2.896157503128052,pythia-70m,3,1.0,5.0,0.1203783974051475,True,universal
3,4,previous_token,0.120629608631134,0.1329105645418167,0.2066809833049774,0.0256008356809616,0.0042553460225462,0.6658492684364319,0.0032581787090748,0.1836650371551513,3.433974266052246,pythia-70m,4,1.0,5.0,0.0023829459678381,True,universal
3,5,diffuse,0.1650757938623428,0.0307356361299753,0.011301951482892,0.0036744503304362,0.7368955612182617,0.0704754218459129,0.0020299472380429,0.023878838866949,1.4133639335632324,pythia-70m,5,1.0,5.0,0.0006874650716781,True,universal
3,6,diffuse,0.1153875067830085,0.0181354712694883,0.0052469396032392,0.0040235631167888,0.8311453461647034,0.0344170108437538,0.0022681143600493,0.0150271682068705,0.9916404485702516,pythia-70m,6,1.0,5.0,0.0215843748301267,True,universal
3,7,diffuse,0.249193474650383,0.0552876442670822,0.07851492613554,0.0379603952169418,0.0159270297735929,0.3416646122932434,0.0085800252854824,0.3552545309066772,3.8321645259857178,pythia-70m,7,0.9333333333333332,4.666666666666667,-0.0024899244308471,True,universal
4,0,bos_sink,0.3340807259082794,0.0039463280700147,0.0095744272693991,0.0609970726072788,0.0476140156388282,0.086497001349926,0.0186535827815532,0.4708111584186554,3.66536545753479,pythia-70m,0,0.8666666666666667,4.333333333333333,-0.0152146024629473,True,universal
4,1,bos_sink,0.867870569229126,0.0163181982934474,0.0161495003849267,0.0015613374998793,0.0520934388041496,0.0625261962413787,0.0006630183779634,0.0159493647515773,0.9544457197189332,pythia-70m,1,0.5333333333333333,2.6666666666666665,0.0032314683776348,False,non-universal
4,2,bos_sink,0.4561883807182312,0.0034385002218186,0.009536494500935,0.0480327457189559,0.16238634288311,0.0562521517276763,0.0211699344217777,0.2771399617195129,2.9983255863189697,pythia-70m,2,0.9333333333333332,4.666666666666667,0.0087627191096544,True,universal
4,3,bos_sink,0.9118722677230836,0.0005812539020553,0.0018838092219084,0.0050446456298232,0.0227224715054035,0.0103816483169794,0.0021497581619769,0.0499797351658344,0.7596105933189392,pythia-70m,3,0.06666666666666667,0.3333333333333333,0.0148388119414448,False,non-universal
4,4,bos_sink,0.600655198097229,0.0039716563187539,0.0031173580791801,0.049408171325922,0.1428864449262619,0.0309727489948272,0.0150551302358508,0.1760774105787277,2.3815183639526367,pythia-70m,4,0.8666666666666667,4.333333333333333,-0.0008258125162683,True,universal
4,5,diffuse,0.2791090905666351,0.0049024471081793,0.0125373564660549,0.1648734956979751,0.0695026591420173,0.0693111270666122,0.0327472724020481,0.4172031879425049,3.914353609085083,pythia-70m,5,0.6666666666666666,3.3333333333333335,0.0111888907849788,False,non-universal
4,6,bos_sink,0.5122556686401367,0.0069585009478032,0.0032504645641893,0.1238237619400024,0.0755760744214057,0.0341013632714748,0.0253954455256462,0.2542428970336914,2.974047899246216,pythia-70m,6,0.7333333333333334,3.6666666666666665,0.0061378669925034,False,non-universal
4,7,diffuse,0.0277288109064102,0.001732584205456,0.0075731091201305,0.088994987308979,0.4648199379444122,0.0444288328289985,0.0469407960772514,0.3740274608135223,3.0815768241882324,pythia-70m,7,1.0,5.0,0.0093223871663212,True,universal
5,0,bos_sink,0.4117271602153778,0.1812193244695663,0.1375925093889236,0.0001358076988253,0.0002562087902333,0.5219735503196716,8.194697875296697e-05,0.0659070909023284,2.559855461120605,pythia-70m,0,1.0,5.0,0.0174631178379058,True,universal
5,1,previous_token,0.0005954111693426,0.0388536714017391,0.2710689306259155,0.002552903490141,0.0010555399348959,0.7485135793685913,0.0003614444285631,0.2472821027040481,2.998696804046631,pythia-70m,1,1.0,5.0,0.0091103035956621,True,universal
5,2,diffuse,0.0341131538152694,0.7380028367042542,0.0876552015542984,8.05951094662305e-06,4.120979792787693e-05,0.909798502922058,2.1058410766272573e-06,0.0560393370687961,1.5818614959716797,pythia-70m,2,1.0,5.0,-0.0010064246598631,True,universal
5,3,diffuse,0.0749863013625145,0.578879714012146,0.1800276339054107,0.0001260239077964,3.1958162787122657e-13,0.8382868766784668,4.582716792356223e-05,0.0866009593009948,2.026107788085937,pythia-70m,3,1.0,5.0,-0.0110449129715561,True,universal
5,4,bos_sink,0.8713613748550415,0.0123507054522633,0.0616179592907428,1.5559800203845953e-06,1.2666044602038795e-10,0.1237641274929046,1.7796587314933277e-08,0.0048728552646934,0.8114936351776123,pythia-70m,4,0.0,0.0,0.0156391840428113,False,non-universal
