model,test_band,random_acc,random_acc_std,random_boost,random_boost_std,random_n_edges
pythia-160m,control,0.6714074074074073,0.040679010472283096,0.026962962962962928,0.04067901047228305,1406.0
pythia-160m,high,0.6960000000000001,0.06641731144256934,0.027851851851851944,0.06641731144256939,1406.0
pythia-160m,low,0.5054814814814815,0.0743927957926278,0.02251851851851851,0.07439279579262781,1406.0
pythia-160m,medium,0.6284444444444445,0.06852520487896188,0.03733333333333331,0.0685252048789619,1406.0
pythia-160m,very_high,0.7294814814814815,0.039376205971472344,0.024296296296296233,0.0393762059714724,1406.0
pythia-1b,control,0.4951111111111111,0.11544952400331757,0.043259259259259226,0.11544952400331757,914.6666666666666
pythia-1b,high,0.5087407407407407,0.12143775184025953,0.021333333333333454,0.12143775184025957,914.6666666666666
pythia-1b,low,0.25896296296296295,0.1228994034748973,0.03229629629629636,0.1228994034748973,914.6666666666666
pythia-1b,medium,0.429925925925926,0.11610240973952736,0.019555555555555656,0.11610240973952739,914.6666666666666
pythia-1b,very_high,0.5303703703703704,0.045205338553591864,0.019259259259259306,0.04520533855359182,914.6666666666666
pythia-410m,control,0.5780740740740741,0.07595883658908341,0.031407407407407335,0.07595883658908342,3580.6666666666665
pythia-410m,high,0.6278518518518519,0.1113431650866933,0.018962962962962925,0.11134316508669329,3580.6666666666665
pythia-410m,low,0.3845925925925926,0.08898365318966978,0.0245925925925926,0.08898365318966976,3580.6666666666665
pythia-410m,medium,0.514962962962963,0.09493372173592345,0.023111111111111148,0.09493372173592345,3580.6666666666665
pythia-410m,very_high,0.5842962962962963,0.05870257038279774,0.019851851851851884,0.05870257038279776,3580.6666666666665
pythia-70m,control,0.3665185185185185,0.01744880813550868,0.012444444444444534,0.017448808135508694,409.0
pythia-70m,high,0.3031111111111111,0.013969985462668193,0.01274074074074071,0.013969985462668187,409.0
pythia-70m,low,0.19644444444444445,0.025639475736632784,0.014222222222222247,0.02563947573663281,409.0
pythia-70m,medium,0.2654814814814815,0.03259124576341817,0.004740740740740763,0.032591245763418174,409.0
pythia-70m,very_high,0.41125925925925927,0.045890547902931726,0.02607407407407419,0.04589054790293177,409.0
