claim,model,n_samples,point_estimate,ci_lower,ci_upper,ci_width,ci_string
Transfer Efficiency,pythia-70m,15,0.8143203883495146,0.7428970763516013,0.9139079633047441,0.17101088695314282,"0.814 [0.743, 0.914]"
Transfer Efficiency,pythia-160m,15,0.9261695906432748,0.8924418604651161,0.9578167339496287,0.06537487348451265,"0.926 [0.892, 0.958]"
Transfer Efficiency,pythia-410m,15,0.9644502962475313,0.9469009217612596,0.9835770286768079,0.036676106915548234,"0.964 [0.947, 0.984]"
Transfer Efficiency,pythia-1b,15,0.9442840646651274,0.9177519226566483,0.970706871081459,0.052954948424810744,"0.944 [0.918, 0.971]"
Transfer Efficiency,pythia-1.4b,0,,,,,"nan [nan, nan]"
Transfer Efficiency,160m+,45,0.9471007715688567,0.9316820161719714,0.9625235222833556,0.030841506111384143,"0.947 [0.932, 0.963]"
Gap Closure (k≥3),pythia-70m,15,0.9931485254775531,0.7130522621088925,1.4027370383990236,0.6896847762901311,"0.993 [0.713, 1.403]"
Gap Closure (k≥3),pythia-160m,15,1.009155746452994,0.9796122535536878,1.0449408083780385,0.06532855482435074,"1.009 [0.980, 1.045]"
Gap Closure (k≥3),pythia-410m,15,1.0092364953603792,0.9953238781239219,1.0224881558336978,0.02716427770977592,"1.009 [0.995, 1.022]"
Gap Closure (k≥3),pythia-1b,15,1.0526468597655847,1.0400597105892446,1.0670275899105632,0.02696787932131861,"1.053 [1.040, 1.067]"
Gap Closure (k≥3),pythia-1.4b,15,1.0549246325469623,1.0325346781249765,1.0761902839814685,0.043655605856492086,"1.055 [1.033, 1.076]"
Gap Closure (k≥3),160m+,60,1.03149093353148,1.019318525872752,1.043902560611044,0.02458403473829196,"1.031 [1.019, 1.044]"
Cross-Draw Transfer Ratio,pythia-70m,15,0.9903982930298719,0.9354306344163321,1.0466957670382924,0.11126513262196025,"0.990 [0.935, 1.047]"
Cross-Draw Transfer Ratio,pythia-160m,15,0.9982332155477034,0.9881750413179571,1.008444368683367,0.020269327365409984,"0.998 [0.988, 1.008]"
Cross-Draw Transfer Ratio,pythia-410m,15,0.998924400737554,0.9925144554859834,1.006040938992907,0.013526483506923648,"0.999 [0.993, 1.006]"
Cross-Draw Transfer Ratio,pythia-1b,15,1.0035020694046484,0.993219751006509,1.014253683536195,0.021033932529685995,"1.004 [0.993, 1.014]"
Cross-Draw Transfer Ratio,pythia-1.4b,15,1.0168520390967306,1.0026825390847762,1.0309960365853659,0.028313497500589646,"1.017 [1.003, 1.031]"
Cross-Draw Transfer Ratio,all,75,1.002773575390822,0.9949848755147271,1.0102783614027577,0.015293485888030589,"1.003 [0.995, 1.010]"
