model,base_band,source_band,layer,component,iia,mean_logit_diff
pythia-1b,low,high,14,mlp,0.0,-11.417194366455078
pythia-1b,low,high,15,resid,0.9900000095367432,13.711443901062012
pythia-1b,low,high,15,attn,0.0,-9.115145683288574
pythia-1b,low,high,15,mlp,0.0,-10.285686492919922
pythia-1b,high,low,13,resid,0.9700000286102295,11.149230003356934
pythia-1b,high,low,13,attn,0.0,-13.728429794311523
pythia-1b,high,low,13,mlp,0.0,-12.667675018310547
pythia-1b,high,low,14,resid,0.9700000286102295,11.626899719238281
pythia-1b,high,low,14,attn,0.0,-7.009185314178467
pythia-1b,high,low,14,mlp,0.0,-12.923108100891113
pythia-1b,high,low,15,resid,0.9700000286102295,12.432578086853027
pythia-1b,high,low,15,attn,0.0,-10.52261734008789
pythia-1b,high,low,15,mlp,0.0,-12.158629417419434
pythia-1b,low,control,13,resid,0.9900000095367432,12.008331298828125
pythia-1b,low,control,13,attn,0.0,-11.314825057983398
pythia-1b,low,control,13,mlp,0.0,-11.099413871765137
pythia-1b,low,control,14,resid,0.9900000095367432,13.062541961669922
pythia-1b,low,control,14,attn,0.0,-6.2280354499816895
pythia-1b,low,control,14,mlp,0.0,-10.923527717590332
pythia-1b,low,control,15,resid,0.9900000095367432,13.797287940979004
pythia-1b,low,control,15,attn,0.0,-8.685220718383789
pythia-1b,low,control,15,mlp,0.0,-10.08480167388916
pythia-1b,very_high,medium,13,resid,1.0,9.903709411621094
pythia-1b,very_high,medium,13,attn,0.0,-12.273826599121094
pythia-1b,very_high,medium,13,mlp,0.0,-11.85681438446045
pythia-1b,very_high,medium,14,resid,1.0,10.537897109985352
pythia-1b,very_high,medium,14,attn,0.0,-6.6480607986450195
pythia-1b,very_high,medium,14,mlp,0.0,-11.854687690734863
pythia-1b,very_high,medium,15,resid,1.0,11.510842323303223
pythia-1b,very_high,medium,15,attn,0.0,-9.503055572509766
pythia-1b,very_high,medium,15,mlp,0.0,-11.62686538696289
pythia-1.4b,low,high,21,resid,0.9700000286102295,12.392378807067871
pythia-1.4b,low,high,21,attn,0.0,-10.911833763122559
pythia-1.4b,low,high,21,mlp,0.0,-11.533821105957031
pythia-1.4b,low,high,19,resid,0.9599999785423279,12.046989440917969
pythia-1.4b,low,high,19,attn,0.0,-10.435410499572754
pythia-1.4b,low,high,19,mlp,0.0,-11.569541931152344
pythia-1.4b,low,high,20,resid,0.9700000286102295,12.093642234802246
pythia-1.4b,low,high,20,attn,0.0,-11.552650451660156
pythia-1.4b,low,high,20,mlp,0.0,-11.531429290771484
pythia-1.4b,high,low,21,resid,0.9599999785423279,11.07291030883789
pythia-1.4b,high,low,21,attn,0.0,-12.39242935180664
pythia-1.4b,high,low,21,mlp,0.0,-13.112849235534668
pythia-1.4b,high,low,19,resid,0.9700000286102295,10.677114486694336
pythia-1.4b,high,low,19,attn,0.0,-12.18790054321289
pythia-1.4b,high,low,19,mlp,0.0,-12.9320068359375
pythia-1.4b,high,low,20,resid,0.949999988079071,10.786508560180664
pythia-1.4b,high,low,20,attn,0.0,-13.061963081359863
pythia-1.4b,high,low,20,mlp,0.0,-12.963329315185547
pythia-1.4b,low,control,21,resid,0.9800000190734863,12.459571838378906
pythia-1.4b,low,control,21,attn,0.0,-10.318387031555176
pythia-1.4b,low,control,21,mlp,0.0,-11.046048164367676
pythia-1.4b,low,control,19,resid,0.9800000190734863,12.133251190185547
pythia-1.4b,low,control,19,attn,0.0,-9.877243041992188
pythia-1.4b,low,control,19,mlp,0.0,-10.932758331298828
pythia-1.4b,low,control,20,resid,0.9700000286102295,12.194186210632324
pythia-1.4b,low,control,20,attn,0.0,-10.842804908752441
pythia-1.4b,low,control,20,mlp,0.0,-10.867035865783691
pythia-1.4b,very_high,medium,21,resid,0.9800000190734863,9.308629989624023
pythia-1.4b,very_high,medium,21,attn,0.0,-11.318828582763672
pythia-1.4b,very_high,medium,21,mlp,0.0,-12.234064102172852
pythia-1.4b,very_high,medium,19,resid,0.9800000190734863,8.753599166870117
pythia-1.4b,very_high,medium,19,attn,0.0,-11.069299697875977
pythia-1.4b,very_high,medium,19,mlp,0.0,-11.894194602966309
pythia-1.4b,very_high,medium,20,resid,0.9800000190734863,8.882112503051758
pythia-1.4b,very_high,medium,20,attn,0.0,-11.866935729980469
pythia-1.4b,very_high,medium,20,mlp,0.0,-11.931225776672363
