model,source_band,test_band,mean_acc,std_acc,mean_boost,std_boost,mean_n_edges,is_diagonal
pythia-160m,control,control,0.9362962962962963,0.011184939904104836,0.2918518518518518,0.011184939904104836,1372.3333333333333,True
pythia-160m,control,high,0.9199999999999999,0.004444444444444459,0.25185185185185194,0.004444444444444411,1372.3333333333333,False
pythia-160m,control,low,0.837037037037037,0.028573780032571723,0.35407407407407404,0.028573780032571737,1372.3333333333333,False
pythia-160m,control,medium,0.8992592592592592,0.016826395098667443,0.3081481481481481,0.016826395098667464,1372.3333333333333,False
pythia-160m,control,very_high,0.9407407407407408,0.009251848886516175,0.23555555555555552,0.009251848886516142,1372.3333333333333,False
pythia-160m,high,control,0.9125925925925925,0.017962008374788417,0.2681481481481481,0.01796200837478837,1399.6666666666667,False
pythia-160m,high,high,0.9229629629629629,0.011184939904104796,0.2548148148148149,0.011184939904104829,1399.6666666666667,True
pythia-160m,high,low,0.8340740740740741,0.02052800957118668,0.3511111111111111,0.020528009571186705,1399.6666666666667,False
pythia-160m,high,medium,0.8918518518518518,0.012830005981991622,0.3007407407407407,0.012830005981991646,1399.6666666666667,False
pythia-160m,high,very_high,0.9229629629629629,0.016826395098667464,0.2177777777777777,0.01682639509866746,1399.6666666666667,False
pythia-160m,low,control,0.9051851851851852,0.024478091321271604,0.26074074074074066,0.02447809132127159,1451.3333333333333,False
pythia-160m,low,high,0.9185185185185185,0.04129588108078921,0.25037037037037047,0.04129588108078919,1451.3333333333333,False
pythia-160m,low,low,0.8903703703703704,0.01283000598199167,0.4074074074074074,0.012830005981991702,1451.3333333333333,True
pythia-160m,low,medium,0.9199999999999999,0.011758894715842622,0.32888888888888884,0.011758894715842646,1451.3333333333333,False
pythia-160m,low,very_high,0.9125925925925925,0.014286890016285891,0.20740740740740735,0.014286890016285844,1451.3333333333333,False
pythia-160m,medium,control,0.9199999999999999,0.004444444444444431,0.2755555555555555,0.004444444444444411,1478.0,False
pythia-160m,medium,high,0.9274074074074073,0.02236987980820966,0.25925925925925936,0.02236987980820966,1478.0,False
pythia-160m,medium,low,0.8444444444444444,0.015396007178390056,0.3614814814814815,0.015396007178390052,1478.0,False
pythia-160m,medium,medium,0.9111111111111111,0.016024672335395496,0.31999999999999995,0.016024672335395503,1478.0,True
pythia-160m,medium,very_high,0.9125925925925925,0.014286890016285891,0.20740740740740735,0.014286890016285844,1478.0,False
pythia-160m,very_high,control,0.9303703703703704,0.0025660011963983373,0.28592592592592586,0.002566001196398361,1331.3333333333333,False
pythia-160m,very_high,high,0.9288888888888889,0.004444444444444473,0.26074074074074083,0.004444444444444473,1331.3333333333333,False
pythia-160m,very_high,low,0.8325925925925927,0.05302379309088381,0.34962962962962957,0.05302379309088379,1331.3333333333333,False
pythia-160m,very_high,medium,0.8874074074074074,0.02052800957118668,0.2962962962962962,0.020528009571186705,1331.3333333333333,False
pythia-160m,very_high,very_high,0.9511111111111111,0.013333333333333308,0.24592592592592588,0.013333333333333308,1331.3333333333333,True
pythia-1b,control,control,0.9407407407407407,0.002566001196398289,0.4888888888888889,0.002566001196398293,873.6666666666666,True
