model,base_band,source_band,layer,component,position,iia,mean_logit_diff,std_logit_diff
pythia-70m,low,high,0,resid,21,0.0,0.9782342314720154,2.1947340965270996
pythia-70m,low,high,1,resid,21,0.0,1.0455358028411865,2.2562754154205322
pythia-70m,low,high,2,resid,21,0.0,1.248154640197754,2.3436784744262695
pythia-70m,low,high,3,resid,21,0.3400000035762787,8.386783599853516,4.359508514404297
pythia-70m,low,high,4,resid,21,0.4300000071525574,9.526931762695312,4.341700553894043
pythia-70m,low,high,5,resid,21,0.44999998807907104,10.079411506652832,4.484457492828369
pythia-70m,high,low,0,resid,21,0.0,-3.2450101375579834,2.8166956901550293
pythia-70m,high,low,1,resid,21,0.0,-3.2115776538848877,2.6311163902282715
pythia-70m,high,low,2,resid,21,0.0,-2.5975089073181152,2.3039567470550537
pythia-70m,high,low,3,resid,21,0.2199999988079071,4.859344005584717,4.5097856521606445
pythia-70m,high,low,4,resid,21,0.2800000011920929,6.1230573654174805,4.699557304382324
pythia-70m,high,low,5,resid,21,0.28999999165534973,6.205399036407471,4.638285160064697
pythia-70m,low,control,0,resid,21,0.0,1.171882152557373,2.741812229156494
pythia-70m,low,control,1,resid,21,0.0,1.380616307258606,2.565308094024658
pythia-70m,low,control,2,resid,21,0.0,1.6652038097381592,2.3141868114471436
pythia-70m,low,control,3,resid,21,0.4300000071525574,9.307448387145996,3.4813663959503174
pythia-70m,low,control,4,resid,21,0.5600000023841858,10.422191619873047,3.554677724838257
pythia-70m,low,control,5,resid,21,0.6100000143051147,11.131743431091309,3.7430460453033447
pythia-70m,very_high,medium,0,resid,21,0.0,-3.1586239337921143,2.5669257640838623
pythia-70m,very_high,medium,1,resid,21,0.0,-3.2365245819091797,2.626049041748047
pythia-70m,very_high,medium,2,resid,21,0.0,-2.8986144065856934,2.225482225418091
pythia-70m,very_high,medium,3,resid,21,0.25,4.091963291168213,4.935912132263184
pythia-70m,very_high,medium,4,resid,21,0.36000001430511475,5.421271324157715,5.111339092254639
pythia-70m,very_high,medium,5,resid,21,0.36000001430511475,5.518685340881348,5.030606746673584
pythia-160m,low,high,0,resid,21,0.0,-1.0961599349975586,2.3111865520477295
pythia-160m,low,high,1,resid,21,0.0,-1.1295779943466187,2.3665947914123535
pythia-160m,low,high,2,resid,21,0.0,-1.1896336078643799,2.4412782192230225
pythia-160m,low,high,3,resid,21,0.0,-0.7570492625236511,2.251737117767334
pythia-160m,low,high,4,resid,21,0.0,1.011537790298462,3.1895604133605957
pythia-160m,low,high,5,resid,21,0.28999999165534973,5.5430731773376465,3.590924024581909
pythia-160m,low,high,6,resid,21,0.3199999928474426,5.9322075843811035,3.59259033203125
pythia-160m,low,high,7,resid,21,0.4699999988079071,7.7346415519714355,3.319047451019287
pythia-160m,low,high,8,resid,21,0.7699999809265137,9.737890243530273,2.757106304168701
pythia-160m,low,high,9,resid,21,0.8999999761581421,11.705635070800781,2.670926809310913
pythia-160m,low,high,10,resid,21,0.9399999976158142,12.427655220031738,2.4873833656311035
pythia-160m,low,high,11,resid,21,0.949999988079071,12.70792007446289,2.482717752456665
pythia-160m,high,low,0,resid,21,0.0,-4.461836338043213,2.4136791229248047
pythia-160m,high,low,1,resid,21,0.0,-4.613489151000977,2.452392101287842
pythia-160m,high,low,2,resid,21,0.0,-4.511061668395996,2.4475972652435303
pythia-160m,high,low,3,resid,21,0.0,-4.151961803436279,2.375589370727539
pythia-160m,high,low,4,resid,21,0.0,-1.3373340368270874,3.1392924785614014
pythia-160m,high,low,5,resid,21,0.1599999964237213,3.752072334289551,3.114349126815796
pythia-160m,high,low,6,resid,21,0.23999999463558197,4.448843955993652,3.0930845737457275
pythia-160m,high,low,7,resid,21,0.33000001311302185,6.166590690612793,2.8861889839172363
pythia-160m,high,low,8,resid,21,0.8100000023841858,8.491333961486816,2.6741280555725098
pythia-160m,high,low,9,resid,21,0.9200000166893005,10.41330337524414,2.624415159225464
pythia-160m,high,low,10,resid,21,0.9599999785423279,11.043874740600586,2.5154225826263428
pythia-160m,high,low,11,resid,21,0.9399999976158142,11.32168197631836,2.477255344390869
pythia-160m,low,control,0,resid,21,0.0,-1.1480263471603394,2.725341796875
pythia-160m,low,control,1,resid,21,0.0,-1.2121583223342896,2.799795627593994
pythia-160m,low,control,2,resid,21,0.0,-1.183588981628418,2.7748212814331055
pythia-160m,low,control,3,resid,21,0.0,-0.6538127064704895,2.5225489139556885
pythia-160m,low,control,4,resid,21,0.0,1.0052639245986938,3.215674638748169
pythia-160m,low,control,5,resid,21,0.4099999964237213,5.826895713806152,3.5481972694396973
pythia-160m,low,control,6,resid,21,0.47999998927116394,6.210078716278076,3.469707489013672
pythia-160m,low,control,7,resid,21,0.6299999952316284,8.239933013916016,3.2503890991210938
pythia-160m,low,control,8,resid,21,0.8199999928474426,9.986233711242676,2.681349754333496
pythia-160m,low,control,9,resid,21,0.9700000286102295,11.811967849731445,2.3664255142211914
pythia-160m,low,control,10,resid,21,0.9800000190734863,12.326152801513672,2.22809100151062
pythia-160m,low,control,11,resid,21,1.0,12.657273292541504,2.303819179534912
pythia-160m,very_high,medium,0,resid,21,0.0,-4.617086410522461,2.180102586746216
pythia-160m,very_high,medium,1,resid,21,0.0,-4.830832004547119,2.200284481048584
pythia-160m,very_high,medium,2,resid,21,0.0,-4.771714210510254,2.184685468673706
pythia-160m,very_high,medium,3,resid,21,0.0,-4.329724311828613,1.8514471054077148
pythia-160m,very_high,medium,4,resid,21,0.0,-1.9206219911575317,2.629237413406372
pythia-160m,very_high,medium,5,resid,21,0.18000000715255737,2.668821096420288,3.0819926261901855
pythia-160m,very_high,medium,6,resid,21,0.23999999463558197,3.0820205211639404,3.1132709980010986
pythia-160m,very_high,medium,7,resid,21,0.4000000059604645,5.087520122528076,2.9772350788116455
pythia-160m,very_high,medium,8,resid,21,0.7900000214576721,7.232910633087158,2.786376953125
pythia-160m,very_high,medium,9,resid,21,0.9399999976158142,9.105720520019531,2.672734260559082
pythia-160m,very_high,medium,10,resid,21,0.9399999976158142,9.79800796508789,2.45867657661438
pythia-160m,very_high,medium,11,resid,21,0.9399999976158142,10.116571426391602,2.480058431625366
pythia-410m,low,high,0,resid,21,0.0,-1.2373934984207153,2.151397466659546
pythia-410m,low,high,1,resid,21,0.0,-1.2618833780288696,2.186918020248413
pythia-410m,low,high,2,resid,21,0.0,-1.3401434421539307,2.194126605987549
pythia-410m,low,high,3,resid,21,0.0,-1.2976852655410767,2.175593376159668
pythia-410m,low,high,4,resid,21,0.0,-1.3270739316940308,2.1867005825042725
pythia-410m,low,high,5,resid,21,0.0,-1.2095677852630615,2.1130807399749756
pythia-410m,low,high,6,resid,21,0.0,-1.7328524589538574,2.2537293434143066
pythia-410m,low,high,7,resid,21,0.0,-4.245420932769775,3.2808799743652344
pythia-410m,low,high,8,resid,21,0.0,-4.099950790405273,3.4592068195343018
pythia-410m,low,high,9,resid,21,0.0,-2.9450998306274414,3.1960854530334473
pythia-410m,low,high,10,resid,21,0.009999999776482582,-0.08447406440973282,2.999586820602417
pythia-410m,low,high,11,resid,21,0.1899999976158142,4.534485340118408,2.855043888092041
pythia-410m,low,high,12,resid,21,0.14000000059604645,4.312508583068848,2.916677951812744
pythia-410m,low,high,13,resid,21,0.20999999344348907,4.910547256469727,2.9026994705200195
pythia-410m,low,high,14,resid,21,0.2199999988079071,4.865703582763672,2.8946595191955566
pythia-410m,low,high,15,resid,21,0.3199999928474426,5.508470058441162,2.84924054145813
pythia-410m,low,high,16,resid,21,0.7300000190734863,7.98634147644043,3.0061869621276855
pythia-410m,low,high,17,resid,21,0.8399999737739563,9.27748966217041,2.9350078105926514
pythia-410m,low,high,18,resid,21,0.9800000190734863,11.520417213439941,2.4990651607513428
pythia-410m,low,high,19,resid,21,0.9800000190734863,11.482091903686523,2.2100837230682373
pythia-410m,low,high,20,resid,21,0.9800000190734863,12.042076110839844,2.212773323059082
pythia-410m,low,high,21,resid,21,0.9900000095367432,12.74009895324707,2.178112506866455
pythia-410m,low,high,22,resid,21,0.9900000095367432,13.067090034484863,2.171471357345581
pythia-410m,low,high,23,resid,21,0.9900000095367432,13.245789527893066,2.2037405967712402
pythia-410m,high,low,0,resid,21,0.0,-5.428709506988525,2.0763747692108154
pythia-410m,high,low,1,resid,21,0.0,-5.462193489074707,2.1092605590820312
pythia-410m,high,low,2,resid,21,0.0,-5.511358737945557,2.135141611099243
pythia-410m,high,low,3,resid,21,0.0,-5.487252235412598,2.2007100582122803
pythia-410m,high,low,4,resid,21,0.0,-5.488436222076416,2.2009124755859375
pythia-410m,high,low,5,resid,21,0.0,-5.444586753845215,2.189591884613037
pythia-410m,high,low,6,resid,21,0.0,-5.766491889953613,2.2308871746063232
pythia-410m,high,low,7,resid,21,0.0,-7.238444805145264,2.922755241394043
pythia-410m,high,low,8,resid,21,0.0,-7.074395656585693,3.1644294261932373
pythia-410m,high,low,9,resid,21,0.0,-5.960385322570801,3.153867721557617
pythia-410m,high,low,10,resid,21,0.0,-3.0089914798736572,3.454591751098633
pythia-410m,high,low,11,resid,21,0.029999999329447746,1.8036561012268066,3.092790365219116
pythia-410m,high,low,12,resid,21,0.05000000074505806,1.7329246997833252,3.280228614807129
pythia-410m,high,low,13,resid,21,0.07000000029802322,2.3418586254119873,3.252458095550537
pythia-410m,high,low,14,resid,21,0.09000000357627869,2.3762454986572266,3.133819341659546
pythia-410m,high,low,15,resid,21,0.14000000059604645,3.366366386413574,3.155268430709839
pythia-410m,high,low,16,resid,21,0.5299999713897705,6.025257110595703,3.4257419109344482
pythia-410m,high,low,17,resid,21,0.7699999809265137,7.899342060089111,3.3519275188446045
pythia-410m,high,low,18,resid,21,0.9300000071525574,10.352718353271484,2.916724681854248
pythia-410m,high,low,19,resid,21,0.9399999976158142,10.325235366821289,2.6852452754974365
pythia-410m,high,low,20,resid,21,0.949999988079071,10.814223289489746,2.645127773284912
pythia-410m,high,low,21,resid,21,0.949999988079071,11.454682350158691,2.5426456928253174
pythia-410m,high,low,22,resid,21,0.9599999785423279,11.829763412475586,2.519726037979126
pythia-410m,high,low,23,resid,21,0.9599999785423279,11.965215682983398,2.510669469833374
pythia-410m,low,control,0,resid,21,0.0,-0.8500716686248779,2.198267936706543
pythia-410m,low,control,1,resid,21,0.0,-0.859994113445282,2.193445920944214
pythia-410m,low,control,2,resid,21,0.0,-0.9670016765594482,2.2182743549346924
pythia-410m,low,control,3,resid,21,0.0,-0.969624400138855,2.1676061153411865
pythia-410m,low,control,4,resid,21,0.0,-1.0084601640701294,2.1926867961883545
