model,draw,band,layer,mean_prob_correct,std_prob_correct,median_prob_correct
pythia-70m,draw_1,low,0,1.5709805438746116e-06,9.611093446437735e-06,7.816548297512327e-09
pythia-70m,draw_1,low,1,2.5620192900532857e-06,2.809270881698467e-05,2.422442912930478e-09
pythia-70m,draw_1,low,2,2.5672511583252344e-06,3.350014958414249e-05,1.171215902040501e-10
pythia-70m,draw_1,low,3,0.03295452147722244,0.13869448006153107,1.3495363191395882e-06
pythia-70m,draw_1,low,4,0.11303688585758209,0.26704010367393494,9.082375618163496e-05
pythia-70m,draw_1,low,5,0.42676785588264465,0.45797449350357056,0.08453235030174255
pythia-70m,draw_1,medium,0,7.59140239097178e-05,0.0010141554521396756,2.189483794268199e-08
pythia-70m,draw_1,medium,1,0.00024979692534543574,0.0034415079280734062,1.1627915519341059e-08
pythia-70m,draw_1,medium,2,0.0007224415894597769,0.010778645984828472,8.165448317498658e-10
pythia-70m,draw_1,medium,3,0.050982579588890076,0.17701652646064758,1.545610575703904e-05
pythia-70m,draw_1,medium,4,0.16620047390460968,0.3153420686721802,0.0013093400048092008
pythia-70m,draw_1,medium,5,0.5413302183151245,0.46325981616973877,0.7470558285713196
pythia-70m,draw_1,high,0,8.223702752729878e-05,0.001029022503644228,2.628815707339527e-07
pythia-70m,draw_1,high,1,6.722649413859472e-05,0.000575303565710783,4.054917823737014e-08
pythia-70m,draw_1,high,2,2.2665901269647293e-05,0.0002269669930683449,3.3563427592753214e-09
pythia-70m,draw_1,high,3,0.08056537061929703,0.21396027505397797,0.00025068866671063006
pythia-70m,draw_1,high,4,0.24871934950351715,0.36909183859825134,0.011749103665351868
pythia-70m,draw_1,high,5,0.561691164970398,0.4619562327861786,0.8712571263313293
pythia-70m,draw_1,very_high,0,0.00014878116780892015,0.0007997278589755297,2.2989056560618337e-06
pythia-70m,draw_1,very_high,1,3.9092170482035726e-05,0.00017480722453910857,8.128080821734329e-07
pythia-70m,draw_1,very_high,2,0.00013147688878234476,0.0009327145526185632,4.410037135471612e-08
pythia-70m,draw_1,very_high,3,0.13212020695209503,0.27125290036201477,0.003646551165729761
pythia-70m,draw_1,very_high,4,0.3682266175746918,0.40516915917396545,0.13653965294361115
pythia-70m,draw_1,very_high,5,0.7374987006187439,0.39173486828804016,0.9867079257965088
pythia-70m,draw_1,control,0,0.00011251184332650155,0.0006101848557591438,1.785339350135473e-06
pythia-70m,draw_1,control,1,6.566812953678891e-05,0.0004789095837622881,3.551550662450609e-07
