model,draw,band,layer,mean_prob_correct,std_prob_correct,median_prob_correct
pythia-70m,draw_1,control,2,7.23793709767051e-05,0.0009060701122507453,3.4306225416003144e-08
pythia-70m,draw_1,control,3,0.09172660112380981,0.21828125417232513,0.0011772323632612824
pythia-70m,draw_1,control,4,0.31545403599739075,0.37791624665260315,0.1071215495467186
pythia-70m,draw_1,control,5,0.7305598855018616,0.3951713740825653,0.9795414805412292
pythia-70m,draw_2,low,0,1.2660441370826447e-06,6.623389253945788e-06,1.2580056996114308e-08
pythia-70m,draw_2,low,1,2.5092670057347277e-06,2.1721940356655978e-05,6.044287736983733e-09
pythia-70m,draw_2,low,2,3.6559317777573597e-06,4.502590309130028e-05,1.8532560208672777e-10
pythia-70m,draw_2,low,3,0.02985851652920246,0.1341259479522705,5.040119503973983e-06
pythia-70m,draw_2,low,4,0.11161409318447113,0.2609165608882904,0.00024246310931630433
pythia-70m,draw_2,low,5,0.500183641910553,0.4621894061565399,0.5454232692718506
pythia-70m,draw_2,medium,0,1.0339350637877942e-06,4.572447778627975e-06,2.225780981746084e-08
pythia-70m,draw_2,medium,1,1.5000974826762103e-06,1.2862999028584454e-05,5.361118216029581e-09
pythia-70m,draw_2,medium,2,2.100226311085862e-06,1.7495209249318577e-05,3.102839651880629e-10
pythia-70m,draw_2,medium,3,0.03378709405660629,0.14931106567382812,1.6008474631235003e-05
pythia-70m,draw_2,medium,4,0.1533227562904358,0.3065730035305023,0.001601972384378314
pythia-70m,draw_2,medium,5,0.5616389513015747,0.4527018368244171,0.8062735795974731
pythia-70m,draw_2,high,0,5.098354449728504e-05,0.000410663487855345,1.853413920116509e-07
pythia-70m,draw_2,high,1,5.482421693159267e-05,0.0004238509573042393,7.440675631187332e-08
pythia-70m,draw_2,high,2,1.1998061381746083e-05,7.732143421890214e-05,9.756552898920745e-09
pythia-70m,draw_2,high,3,0.09190662205219269,0.2299295961856842,0.0003773099451791495
pythia-70m,draw_2,high,4,0.2598077356815338,0.3731389045715332,0.017199616879224777
pythia-70m,draw_2,high,5,0.6235532164573669,0.4294920861721039,0.922319233417511
pythia-70m,draw_2,very_high,0,4.4403597712516785e-05,0.00015371879271697253,1.8673439399208291e-06
pythia-70m,draw_2,very_high,1,0.0001575326605234295,0.001520331366918981,5.065239747636952e-07
pythia-70m,draw_2,very_high,2,1.3322021914063953e-05,7.143571565393358e-05,7.219227171617604e-08
pythia-70m,draw_2,very_high,3,0.11471029371023178,0.24630101025104523,0.0008572890073992312
pythia-70m,draw_2,very_high,4,0.36715826392173767,0.39779984951019287,0.1482042521238327
pythia-70m,draw_2,very_high,5,0.7393931150436401,0.39515987038612366,0.9882959723472595
pythia-70m,draw_2,control,0,5.9766247431980446e-05,0.0002925241715274751,1.4622951312048826e-06
pythia-70m,draw_2,control,1,4.997428186470643e-05,0.00025079818442463875,6.698250558656582e-07
pythia-70m,draw_2,control,2,1.6609177691861987e-05,7.86740638432093e-05,6.606746438819755e-08
pythia-70m,draw_2,control,3,0.10788798332214355,0.22824367880821228,0.0015009272610768676
pythia-70m,draw_2,control,4,0.33080655336380005,0.39535993337631226,0.06964597851037979
pythia-70m,draw_2,control,5,0.6856302618980408,0.4220667779445648,0.9892199635505676
pythia-70m,draw_3,low,0,5.17688113177428e-06,5.090409467811696e-05,8.62633431353288e-09
pythia-70m,draw_3,low,1,1.1037474223485333e-06,7.224965429486474e-06,3.0843101406219375e-09
pythia-70m,draw_3,low,2,1.8963014269957057e-07,1.3036803920840612e-06,9.145158935686126e-11
pythia-70m,draw_3,low,3,0.02054283209145069,0.09328745305538177,1.04697562619549e-06
pythia-70m,draw_3,low,4,0.07674756646156311,0.22355949878692627,3.5191875213058665e-05
pythia-70m,draw_3,low,5,0.3916807174682617,0.454391211271286,0.023413321003317833
pythia-70m,draw_3,medium,0,3.628875219874317e-06,2.2568383428733796e-05,2.416158118023759e-08
pythia-70m,draw_3,medium,1,1.8317166905035265e-05,0.0002551572979427874,8.560382624978047e-09
pythia-70m,draw_3,medium,2,0.0006195275927893817,0.00925006065517664,3.863768471834561e-10
pythia-70m,draw_3,medium,3,0.058224841952323914,0.19390730559825897,7.4808831413974985e-06
pythia-70m,draw_3,medium,4,0.15429554879665375,0.3057123124599457,0.0004766355559695512
pythia-70m,draw_3,medium,5,0.49651700258255005,0.47216907143592834,0.5464664697647095
pythia-70m,draw_3,high,0,2.3996850359253585e-05,9.431294893147424e-05,1.9662320482893847e-07
pythia-70m,draw_3,high,1,2.7593767299549654e-05,0.00016503971710335463,5.6724378083572446e-08
pythia-70m,draw_3,high,2,2.356644290557597e-05,0.00020276849681977183,9.465440875544573e-09
pythia-70m,draw_3,high,3,0.07719272375106812,0.20898813009262085,0.00017363906954415143
pythia-70m,draw_3,high,4,0.237799271941185,0.35610485076904297,0.016937561333179474
pythia-70m,draw_3,high,5,0.6180440187454224,0.4504473805427551,0.9553676843643188
pythia-70m,draw_3,very_high,0,8.27261756057851e-05,0.00029857669142074883,2.3747270461171865e-06
pythia-70m,draw_3,very_high,1,5.882043842575513e-05,0.00040476027061231434,5.616249723061628e-07
pythia-70m,draw_3,very_high,2,6.303406553342938e-05,0.0006694479379802942,9.50026119994618e-08
pythia-70m,draw_3,very_high,3,0.13943026959896088,0.2735075354576111,0.002806557808071375
pythia-70m,draw_3,very_high,4,0.38324734568595886,0.40425506234169006,0.1674494445323944
pythia-70m,draw_3,very_high,5,0.7876327633857727,0.37274712324142456,0.9962440729141235
pythia-70m,draw_3,control,0,4.6117580495774746e-05,0.00022312678629532456,1.143453232543834e-06
pythia-70m,draw_3,control,1,0.00013619102537631989,0.0013907474931329489,3.6290202842792496e-07
pythia-70m,draw_3,control,2,3.9986389310797676e-05,0.0003604968369472772,3.720791852401817e-08
pythia-70m,draw_3,control,3,0.11709847301244736,0.24220675230026245,0.0023170365020632744
pythia-70m,draw_3,control,4,0.3467249870300293,0.38765451312065125,0.1286296546459198
pythia-70m,draw_3,control,5,0.7429682612419128,0.38837549090385437,0.9919629096984863
pythia-160m,draw_1,low,0,7.00406963005662e-05,0.0008551734499633312,4.551144172637578e-07
pythia-160m,draw_1,low,1,1.9149281797581352e-05,0.0002190655068261549,7.490471887194872e-08
pythia-160m,draw_1,low,2,0.00029377583996392787,0.004346370231360197,5.3512589914817e-08
pythia-160m,draw_1,low,3,2.018868144659791e-05,0.0002043979475274682,7.492093168082192e-09
pythia-160m,draw_1,low,4,0.0003506974899210036,0.004169872496277094,6.158913947729161e-07
pythia-160m,draw_1,low,5,0.018836474046111107,0.10140500217676163,4.051192445331253e-05
pythia-160m,draw_1,low,6,0.015280806459486485,0.10316736996173859,7.852623639337253e-06
pythia-160m,draw_1,low,7,0.004555271472781897,0.023162322118878365,4.659820206143195e-06
pythia-160m,draw_1,low,8,0.11147147417068481,0.2562539875507355,0.0017472279723733664
pythia-160m,draw_1,low,9,0.3957763910293579,0.4225955903530121,0.13761600852012634
pythia-160m,draw_1,low,10,0.6124769449234009,0.42769449949264526,0.8736438751220703
pythia-160m,draw_1,low,11,0.9599531888961792,0.1693238765001297,0.9999805688858032
pythia-160m,draw_1,medium,0,0.0003192265285179019,0.004221303388476372,9.26806478673825e-07
pythia-160m,draw_1,medium,1,3.3505748433526605e-05,0.00021593029669020325,1.9066057177496987e-07
pythia-160m,draw_1,medium,2,9.878489800030366e-05,0.0010821472387760878,1.0075228118466839e-07
pythia-160m,draw_1,medium,3,6.746477447450161e-05,0.0005698452005162835,1.9410574481071308e-08
pythia-160m,draw_1,medium,4,0.0016925395466387272,0.014558990485966206,8.717124160284584e-07
pythia-160m,draw_1,medium,5,0.023185888305306435,0.09282710403203964,0.00010628195013850927
pythia-160m,draw_1,medium,6,0.012808222323656082,0.06578449159860611,2.1215730157564394e-05
pythia-160m,draw_1,medium,7,0.022345343604683876,0.1133088544011116,6.826177013863344e-06
pythia-160m,draw_1,medium,8,0.18230976164340973,0.3354366719722748,0.002500655362382531
pythia-160m,draw_1,medium,9,0.4816313683986664,0.42821013927459717,0.4776316285133362
pythia-160m,draw_1,medium,10,0.7125622630119324,0.38257789611816406,0.9404571652412415
pythia-160m,draw_1,medium,11,0.9829543828964233,0.11092609912157059,0.9999958276748657
pythia-160m,draw_1,high,0,0.00013700898853130639,0.0007310021901503205,4.115968749829335e-06
pythia-160m,draw_1,high,1,0.00039690957055427134,0.004218000452965498,1.151350147665653e-06
pythia-160m,draw_1,high,2,0.0004001453926321119,0.004162720870226622,5.411198458205035e-07
pythia-160m,draw_1,high,3,0.0003499336598906666,0.0029350491240620613,1.3036519419529213e-07
pythia-160m,draw_1,high,4,0.004817630629986525,0.06212201714515686,2.5734536848176504e-06
pythia-160m,draw_1,high,5,0.053225982934236526,0.17480094730854034,0.00033244933001697063
pythia-160m,draw_1,high,6,0.05456170812249184,0.1742488592863083,0.00013300996215548366
pythia-160m,draw_1,high,7,0.049761805683374405,0.1643136739730835,4.706870095105842e-05
pythia-160m,draw_1,high,8,0.2665185034275055,0.3655647039413452,0.05022483691573143
pythia-160m,draw_1,high,9,0.6014552712440491,0.42791154980659485,0.8456684947013855
pythia-160m,draw_1,high,10,0.7943888306617737,0.3503147065639496,0.9972904920578003
pythia-160m,draw_1,high,11,0.986145555973053,0.08277209848165512,0.9999982118606567
pythia-160m,draw_1,very_high,0,8.577478729421273e-05,0.0003157737082801759,7.98378823674284e-06
pythia-160m,draw_1,very_high,1,5.4050658945925534e-05,0.00023924025299493223,3.431865479797125e-06
pythia-160m,draw_1,very_high,2,0.0001063114104908891,0.0005870077293366194,1.9669312223413726e-06
pythia-160m,draw_1,very_high,3,0.00033967633498832583,0.003061688970774412,7.515382094425149e-07
pythia-160m,draw_1,very_high,4,0.00786520354449749,0.044087912887334824,2.260997825942468e-05
pythia-160m,draw_1,very_high,5,0.0945323184132576,0.24246399104595184,0.0011074939975515008
pythia-160m,draw_1,very_high,6,0.08691339939832687,0.21438902616500854,0.0004830935213249177
pythia-160m,draw_1,very_high,7,0.09760108590126038,0.24189874529838562,0.0005678259185515344
pythia-160m,draw_1,very_high,8,0.2793803811073303,0.36600908637046814,0.03705510124564171
pythia-160m,draw_1,very_high,9,0.601571798324585,0.41287100315093994,0.81158047914505
pythia-160m,draw_1,very_high,10,0.8314412236213684,0.30873793363571167,0.9960224032402039
pythia-160m,draw_1,very_high,11,0.9948890805244446,0.03679916635155678,0.9999990463256836
pythia-160m,draw_1,control,0,0.00027605006471276283,0.0020760372281074524,4.791656920133391e-06
pythia-160m,draw_1,control,1,9.835302626015618e-05,0.0004980472731404006,2.0007064449600875e-06
pythia-160m,draw_1,control,2,8.421588427154347e-05,0.0004020677297376096,1.0365653224653215e-06
pythia-160m,draw_1,control,3,6.256074266275391e-05,0.00042878236854448915,2.9116395694472885e-07
pythia-160m,draw_1,control,4,0.004401753190904856,0.023160429671406746,1.0201995792158414e-05
pythia-160m,draw_1,control,5,0.05705348029732704,0.166341170668602,0.0007406529039144516
pythia-160m,draw_1,control,6,0.03891916200518608,0.1107323095202446,0.00023538872483186424
pythia-160m,draw_1,control,7,0.07260007411241531,0.20015695691108704,6.418656266760081e-05
pythia-160m,draw_1,control,8,0.2655470073223114,0.35600388050079346,0.0407990887761116
pythia-160m,draw_1,control,9,0.603503406047821,0.4254426658153534,0.8438841700553894
pythia-160m,draw_1,control,10,0.8105980753898621,0.3274536728858948,0.9977967739105225
pythia-160m,draw_1,control,11,0.9894251823425293,0.08569514751434326,0.9999974966049194
pythia-160m,draw_2,low,0,1.0394912351330277e-05,4.566663483274169e-05,5.559846840696991e-07
pythia-160m,draw_2,low,1,7.156794708862435e-06,5.555384996114299e-05,9.82544108296679e-08
pythia-160m,draw_2,low,2,4.485419140110025e-06,1.909563252411317e-05,9.588554661377202e-08
pythia-160m,draw_2,low,3,6.307014700723812e-06,7.006990199442953e-05,9.391743382991535e-09
pythia-160m,draw_2,low,4,0.003227024106308818,0.04492572695016861,5.008137691220327e-07
pythia-160m,draw_2,low,5,0.02205553650856018,0.11979160457849503,5.403119575930759e-05
pythia-160m,draw_2,low,6,0.013797986321151257,0.09953656792640686,5.460085958475247e-06
pythia-160m,draw_2,low,7,0.015138089656829834,0.0835297629237175,1.4422975027628127e-06
pythia-160m,draw_2,low,8,0.12361925095319748,0.2685125768184662,0.0005393795436248183
pythia-160m,draw_2,low,9,0.3682110011577606,0.4086313247680664,0.12529250979423523
pythia-160m,draw_2,low,10,0.6063212156295776,0.4101777970790863,0.8289248943328857
pythia-160m,draw_2,low,11,0.9688360095024109,0.13974863290786743,0.9999831914901733
pythia-160m,draw_2,medium,0,6.524319178424776e-05,0.0004896271275356412,1.5877853911661077e-06
pythia-160m,draw_2,medium,1,1.9567436538636684e-05,0.0001106685449485667,4.317302568779269e-07
pythia-160m,draw_2,medium,2,4.422054917085916e-05,0.00037741338019259274,1.6897999444154266e-07
pythia-160m,draw_2,medium,3,2.668794331839308e-05,0.0002896269434131682,3.0177403687048354e-08
pythia-160m,draw_2,medium,4,0.0005976343527436256,0.00351023324765265,1.6191961549338885e-06
pythia-160m,draw_2,medium,5,0.030089883133769035,0.1313883513212204,0.00013692387437913567
pythia-160m,draw_2,medium,6,0.02747165597975254,0.12648771703243256,3.447987910476513e-05
pythia-160m,draw_2,medium,7,0.029744045808911324,0.12867407500743866,1.2042160051350947e-05
pythia-160m,draw_2,medium,8,0.21593843400478363,0.3395113945007324,0.012448564171791077
pythia-160m,draw_2,medium,9,0.5411033630371094,0.41810595989227295,0.6513041853904724
pythia-160m,draw_2,medium,10,0.7440566420555115,0.363103985786438,0.972280740737915
pythia-160m,draw_2,medium,11,0.9879894852638245,0.07902155816555023,0.9999912977218628
pythia-160m,draw_2,high,0,9.517514990875497e-05,0.0004105436964891851,3.944894615415251e-06
pythia-160m,draw_2,high,1,4.8059166147140786e-05,0.00023389769194182009,1.2468160548451124e-06
pythia-160m,draw_2,high,2,3.320481482660398e-05,0.00016957891057245433,5.558749194278789e-07
pythia-160m,draw_2,high,3,2.531199061195366e-05,0.00013613284681923687,1.0359384106095604e-07
pythia-160m,draw_2,high,4,0.002319417428225279,0.016556063666939735,4.832911599805811e-06
pythia-160m,draw_2,high,5,0.05510871112346649,0.17290565371513367,0.00027865354786626995
pythia-160m,draw_2,high,6,0.04735087603330612,0.15748804807662964,6.960555037949234e-05
pythia-160m,draw_2,high,7,0.05681862682104111,0.18603743612766266,5.9454585425555706e-05
pythia-160m,draw_2,high,8,0.2507598400115967,0.36734437942504883,0.019439568743109703
pythia-160m,draw_2,high,9,0.5985367298126221,0.4202120006084442,0.8412655591964722
pythia-160m,draw_2,high,10,0.7965207099914551,0.34543588757514954,0.9939956068992615
pythia-160m,draw_2,high,11,0.9834669828414917,0.1029324159026146,0.9999980926513672
pythia-160m,draw_2,very_high,0,0.00048720373888500035,0.0046250419691205025,1.0458145879965741e-05
pythia-160m,draw_2,very_high,1,0.00030966600752435625,0.001968631288036704,4.17849469158682e-06
pythia-160m,draw_2,very_high,2,0.000267786585027352,0.0018823606660589576,2.176065663661575e-06
pythia-160m,draw_2,very_high,3,0.00013404614583123475,0.0012186509557068348,6.762352882105915e-07
pythia-160m,draw_2,very_high,4,0.005439553875476122,0.05042939633131027,2.6803087166626938e-05
pythia-160m,draw_2,very_high,5,0.09859084337949753,0.23875750601291656,0.001541759236715734
pythia-160m,draw_2,very_high,6,0.08557620644569397,0.2159813642501831,0.0006208376144059002
pythia-160m,draw_2,very_high,7,0.10075820982456207,0.24356190860271454,0.00015065664774738252
pythia-160m,draw_2,very_high,8,0.2841486632823944,0.37515783309936523,0.0388985276222229
pythia-160m,draw_2,very_high,9,0.6080813407897949,0.4250463843345642,0.8772792220115662
pythia-160m,draw_2,very_high,10,0.7948305010795593,0.34522557258605957,0.99710613489151
pythia-160m,draw_2,very_high,11,0.9866857528686523,0.08754388988018036,0.9999990463256836
pythia-160m,draw_2,control,0,0.00029596418607980013,0.0019148349529132247,8.085602530627511e-06
pythia-160m,draw_2,control,1,0.00025858456501737237,0.0015807556919753551,2.426931814625277e-06
pythia-160m,draw_2,control,2,0.000194010921404697,0.0015140973264351487,2.366097305639414e-06
pythia-160m,draw_2,control,3,0.00013263357686810195,0.001091253710910678,7.441267939611862e-07
pythia-160m,draw_2,control,4,0.005867086350917816,0.030658813193440437,1.876366150099784e-05
pythia-160m,draw_2,control,5,0.07206232845783234,0.18333393335342407,0.0012275254121050239
pythia-160m,draw_2,control,6,0.06690304726362228,0.1845104992389679,0.0009403667063452303
pythia-160m,draw_2,control,7,0.08660753071308136,0.2317477911710739,0.0003785404551308602
pythia-160m,draw_2,control,8,0.3034801483154297,0.3795662224292755,0.06796455383300781
pythia-160m,draw_2,control,9,0.6235021352767944,0.4098069965839386,0.8292984962463379
pythia-160m,draw_2,control,10,0.7919305562973022,0.34094491600990295,0.9935824275016785
pythia-160m,draw_2,control,11,0.9911261796951294,0.07501578330993652,0.9999963045120239
pythia-160m,draw_3,low,0,1.091436752176378e-05,5.367426638258621e-05,6.022544880579517e-07
pythia-160m,draw_3,low,1,7.662654752493836e-06,6.560079782502726e-05,7.33627061322295e-08
pythia-160m,draw_3,low,2,8.70155963639263e-06,7.629249739693478e-05,3.9468041279633326e-08
pythia-160m,draw_3,low,3,1.5046169892229955e-06,1.1297309356450569e-05,4.869786351946459e-09
pythia-160m,draw_3,low,4,0.00015166157390922308,0.0011535760713741183,2.759634583071602e-07
pythia-160m,draw_3,low,5,0.014292431063950062,0.070595882833004,3.458480932749808e-05
pythia-160m,draw_3,low,6,0.016322124749422073,0.09953194111585617,2.9931557037343737e-06
pythia-160m,draw_3,low,7,0.006486756727099419,0.04607297480106354,2.0948461951775244e-06
pythia-160m,draw_3,low,8,0.15922339260578156,0.3001333177089691,0.0026587280444800854
pythia-160m,draw_3,low,9,0.3596303164958954,0.4093438982963562,0.10745435208082199
pythia-160m,draw_3,low,10,0.6026284694671631,0.4250863790512085,0.8601332902908325
pythia-160m,draw_3,low,11,0.9769555926322937,0.12893365323543549,0.999990701675415
pythia-160m,draw_3,medium,0,9.235197649104521e-05,0.0011241534957662225,1.184845586976735e-06
pythia-160m,draw_3,medium,1,4.1862691432470456e-05,0.0005054097855463624,2.2294690893431834e-07
pythia-160m,draw_3,medium,2,9.940010386344511e-06,5.2589017286663875e-05,1.634655575344368e-07
pythia-160m,draw_3,medium,3,4.8017782319220714e-06,2.8464008209994063e-05,2.3374749247295767e-08
pythia-160m,draw_3,medium,4,0.0006927041104063392,0.008161230944097042,1.7715375406623934e-06
pythia-160m,draw_3,medium,5,0.03840400651097298,0.15071344375610352,8.724573854124174e-05
pythia-160m,draw_3,medium,6,0.010973198339343071,0.04984600096940994,1.6322661394951865e-05
pythia-160m,draw_3,medium,7,0.011566615663468838,0.06813009828329086,6.9875322878942825e-06
pythia-160m,draw_3,medium,8,0.1965368241071701,0.32166042923927307,0.007797341328114271
pythia-160m,draw_3,medium,9,0.4986591041088104,0.4211183190345764,0.4723314642906189
pythia-160m,draw_3,medium,10,0.7379642128944397,0.3672373592853546,0.9760270714759827
pythia-160m,draw_3,medium,11,0.9815796613693237,0.1009790450334549,0.9999977350234985
pythia-160m,draw_3,high,0,9.474408579990268e-05,0.00039740101783536375,3.68481073564908e-06
pythia-160m,draw_3,high,1,9.206603863276541e-05,0.0005612731911242008,1.2074513051629765e-06
pythia-160m,draw_3,high,2,0.00011249543604208156,0.0007059911731630564,7.829883656995662e-07
pythia-160m,draw_3,high,3,0.000549706572201103,0.007122271228581667,1.0248714943372761e-07
pythia-160m,draw_3,high,4,0.0062795416451990604,0.060240667313337326,3.058413312828634e-06
pythia-160m,draw_3,high,5,0.05647929012775421,0.17708170413970947,0.0003050801460631192
pythia-160m,draw_3,high,6,0.03859493136405945,0.15464816987514496,0.00011082709534093738
pythia-160m,draw_3,high,7,0.037794265896081924,0.14466136693954468,3.873922469210811e-05
pythia-160m,draw_3,high,8,0.22870108485221863,0.3492186665534973,0.019493671134114265
pythia-160m,draw_3,high,9,0.604753851890564,0.41983452439308167,0.8210055828094482
pythia-160m,draw_3,high,10,0.8094997406005859,0.3286319971084595,0.9953704476356506
pythia-160m,draw_3,high,11,0.9885396361351013,0.07222035527229309,0.9999979734420776
pythia-160m,draw_3,very_high,0,0.0002940230187959969,0.0015179446199908853,9.762671652424615e-06
pythia-160m,draw_3,very_high,1,0.00022078462643548846,0.0011080799158662558,5.037129540141905e-06
pythia-160m,draw_3,very_high,2,0.0011943052522838116,0.010989689268171787,2.669041577973985e-06
pythia-160m,draw_3,very_high,3,0.0010225268779322505,0.010167885571718216,6.106236583036662e-07
pythia-160m,draw_3,very_high,4,0.012327144853770733,0.07734928280115128,3.637518238974735e-05
pythia-160m,draw_3,very_high,5,0.10847517102956772,0.2459227442741394,0.0016112793236970901
pythia-160m,draw_3,very_high,6,0.10303663462400436,0.24111585319042206,0.0006800519186072052
pythia-160m,draw_3,very_high,7,0.09060255438089371,0.23377655446529388,0.00027001515263691545
pythia-160m,draw_3,very_high,8,0.3408828675746918,0.40027308464050293,0.10090837627649307
pythia-160m,draw_3,very_high,9,0.5817050933837891,0.43782898783683777,0.8254624009132385
pythia-160m,draw_3,very_high,10,0.8250448107719421,0.31404638290405273,0.9971030354499817
pythia-160m,draw_3,very_high,11,0.9909834861755371,0.0673433318734169,0.9999983310699463
pythia-160m,draw_3,control,0,0.0002451010514050722,0.0015364860882982612,6.938549631740898e-06
pythia-160m,draw_3,control,1,0.0002972634683828801,0.0028770093340426683,3.0718231300852494e-06
pythia-160m,draw_3,control,2,0.00029125084984116256,0.003000152762979269,2.161624479413149e-06
pythia-160m,draw_3,control,3,0.0001399527827743441,0.0010645119473338127,5.887158067707787e-07
pythia-160m,draw_3,control,4,0.010907772928476334,0.06314848363399506,2.3948075977386907e-05
pythia-160m,draw_3,control,5,0.10848488658666611,0.25099441409111023,0.0015999353490769863
pythia-160m,draw_3,control,6,0.10452757030725479,0.24537555873394012,0.0006067636422812939
pythia-160m,draw_3,control,7,0.1249549612402916,0.2726869285106659,0.0004112050519324839
pythia-160m,draw_3,control,8,0.33262404799461365,0.386466383934021,0.11211550980806351
pythia-160m,draw_3,control,9,0.6764217019081116,0.3917718827724457,0.9292376041412354
pythia-160m,draw_3,control,10,0.8412504196166992,0.31302130222320557,0.9978728294372559
pythia-160m,draw_3,control,11,0.9864615201950073,0.09809770435094833,0.9999986886978149
pythia-410m,draw_1,low,0,1.4802219993725885e-05,1.8007027392741293e-05,7.450147222698433e-06
pythia-410m,draw_1,low,1,1.2759314813592937e-05,1.8899550923379138e-05,4.902381078863982e-06
pythia-410m,draw_1,low,2,1.1103582437499426e-05,2.032448901445605e-05,3.6867224935122067e-06
pythia-410m,draw_1,low,3,1.1259042366873473e-05,2.4352873879252e-05,2.897377044064342e-06
pythia-410m,draw_1,low,4,1.0873009159695357e-05,2.181792115152348e-05,2.707422936509829e-06
pythia-410m,draw_1,low,5,8.589180652052164e-06,1.5069427718117367e-05,2.5633564746385673e-06
pythia-410m,draw_1,low,6,9.976746696338523e-06,2.3914592020446435e-05,2.3554196104669245e-06
pythia-410m,draw_1,low,7,1.6334273823304102e-05,6.819874397478998e-05,3.0578912628698163e-06
pythia-410m,draw_1,low,8,2.8019534511258826e-05,0.00010236333037028089,4.3719310269807465e-06
pythia-410m,draw_1,low,9,3.648201527539641e-05,0.00020076066721230745,4.815912234334974e-06
pythia-410m,draw_1,low,10,0.00020602213044185191,0.0008469860185869038,3.311337059130892e-05
pythia-410m,draw_1,low,11,0.0032943449914455414,0.012500456534326077,0.0004596381913870573
pythia-410m,draw_1,low,12,0.0032221218571066856,0.01848490722477436,0.00044928479474037886
pythia-410m,draw_1,low,13,0.00404742918908596,0.014375058002769947,0.00041818321915343404
pythia-410m,draw_1,low,14,0.0036153278779238462,0.010455827228724957,0.0006331975455395877
pythia-410m,draw_1,low,15,0.005406358279287815,0.013427243568003178,0.0010077927727252245
pythia-410m,draw_1,low,16,0.08353191614151001,0.1620311588048935,0.013950854539871216
pythia-410m,draw_1,low,17,0.24095526337623596,0.2853434383869171,0.10457007586956024
pythia-410m,draw_1,low,18,0.4837229549884796,0.36885038018226624,0.4967072606086731
pythia-410m,draw_1,low,19,0.460113525390625,0.36265644431114197,0.43647944927215576
pythia-410m,draw_1,low,20,0.46079888939857483,0.3648523986339569,0.42725518345832825
pythia-410m,draw_1,low,21,0.5970585942268372,0.35482901334762573,0.7142719626426697
pythia-410m,draw_1,low,22,0.8530459403991699,0.24221789836883545,0.9567659497261047
pythia-410m,draw_1,low,23,0.9468311667442322,0.1508691906929016,0.9946198463439941
pythia-410m,draw_1,medium,0,2.5561157599440776e-05,7.524285319959745e-05,1.1857298886752687e-05
pythia-410m,draw_1,medium,1,1.963426620932296e-05,3.600594209274277e-05,7.720682333456352e-06
pythia-410m,draw_1,medium,2,1.8803046259563416e-05,4.4672851799987257e-05,5.127118583914125e-06
pythia-410m,draw_1,medium,3,1.8097429347108118e-05,4.7350531531265005e-05,4.309807991376147e-06
pythia-410m,draw_1,medium,4,1.4900931091688108e-05,3.201460640411824e-05,4.754990186484065e-06
pythia-410m,draw_1,medium,5,1.7024925909936428e-05,3.164199733873829e-05,4.546330274024513e-06
