model,peak_layer,base_band,source_band,iia,mean_logit_diff
pythia-70m,5,low,low,0.28999999165534973,0.0
pythia-70m,5,low,medium,0.36000001430511475,7.729144096374512
pythia-70m,5,low,high,0.44999998807907104,10.079411506652832
pythia-70m,5,low,very_high,0.6200000047683716,11.689793586730957
pythia-70m,5,low,control,0.6100000143051147,11.131743431091309
pythia-70m,5,medium,low,0.28999999165534973,6.884687900543213
pythia-70m,5,medium,medium,0.36000001430511475,0.0
pythia-70m,5,medium,high,0.44999998807907104,9.202613830566406
pythia-70m,5,medium,very_high,0.6200000047683716,10.562456130981445
pythia-70m,5,medium,control,0.6100000143051147,9.857734680175781
pythia-70m,5,high,low,0.28999999165534973,6.205399036407471
pythia-70m,5,high,medium,0.36000001430511475,6.2749199867248535
pythia-70m,5,high,high,0.44999998807907104,0.0
pythia-70m,5,high,very_high,0.6200000047683716,9.151057243347168
pythia-70m,5,high,control,0.6100000143051147,8.553863525390625
pythia-70m,5,very_high,low,0.28999999165534973,5.561480522155762
pythia-70m,5,very_high,medium,0.36000001430511475,5.518685340881348
pythia-70m,5,very_high,high,0.44999998807907104,6.915035247802734
pythia-70m,5,very_high,very_high,0.6200000047683716,0.0
pythia-70m,5,very_high,control,0.6100000143051147,7.441859245300293
pythia-70m,5,control,low,0.28999999165534973,5.892797946929932
pythia-70m,5,control,medium,0.36000001430511475,5.868149280548096
pythia-70m,5,control,high,0.44999998807907104,7.271610736846924
pythia-70m,5,control,very_high,0.6200000047683716,8.41688346862793
pythia-70m,5,control,control,0.6100000143051147,0.0
pythia-160m,11,low,low,0.9399999976158142,0.0
pythia-160m,11,low,medium,0.9399999976158142,11.593574523925781
pythia-160m,11,low,high,0.949999988079071,12.70792007446289
pythia-160m,11,low,very_high,0.9800000190734863,13.316617012023926
pythia-160m,11,low,control,1.0,12.657273292541504
pythia-160m,11,medium,low,0.9399999976158142,11.183608055114746
pythia-160m,11,medium,medium,0.9399999976158142,0.0
pythia-160m,11,medium,high,0.949999988079071,11.736591339111328
pythia-160m,11,medium,very_high,0.9800000190734863,12.268768310546875
pythia-160m,11,medium,control,1.0,12.034102439880371
pythia-160m,11,high,low,0.9399999976158142,11.32168197631836
pythia-160m,11,high,medium,0.9399999976158142,10.774510383605957
pythia-160m,11,high,high,0.949999988079071,0.0
pythia-160m,11,high,very_high,0.9800000190734863,11.218330383300781
pythia-160m,11,high,control,1.0,10.744039535522461
pythia-160m,11,very_high,low,0.9399999976158142,10.730230331420898
pythia-160m,11,very_high,medium,0.9399999976158142,10.116571426391602
pythia-160m,11,very_high,high,0.949999988079071,10.038296699523926
pythia-160m,11,very_high,very_high,0.9800000190734863,0.0
pythia-160m,11,very_high,control,1.0,10.060654640197754
pythia-160m,11,control,low,0.9399999976158142,10.755860328674316
pythia-160m,11,control,medium,0.9399999976158142,10.342084884643555
pythia-160m,11,control,high,0.949999988079071,10.136446952819824
pythia-160m,11,control,very_high,0.9800000190734863,10.496959686279297
pythia-160m,11,control,control,1.0,0.0
pythia-410m,23,low,low,0.9599999785423279,0.0
pythia-410m,23,low,medium,1.0,12.576879501342773
pythia-410m,23,low,high,0.9900000095367432,13.245789527893066
pythia-410m,23,low,very_high,0.9800000190734863,13.49308967590332
pythia-410m,23,low,control,0.9900000095367432,13.17538833618164
pythia-410m,23,medium,low,0.9599999785423279,12.048364639282227
pythia-410m,23,medium,medium,1.0,0.0
pythia-410m,23,medium,high,0.9900000095367432,11.940570831298828
pythia-410m,23,medium,very_high,0.9800000190734863,11.955358505249023
pythia-410m,23,medium,control,0.9900000095367432,11.909618377685547
pythia-410m,23,high,low,0.9599999785423279,11.965215682983398
pythia-410m,23,high,medium,1.0,11.06506633758545
pythia-410m,23,high,high,0.9900000095367432,0.0
pythia-410m,23,high,very_high,0.9800000190734863,10.441492080688477
pythia-410m,23,high,control,0.9900000095367432,10.655123710632324
pythia-410m,23,very_high,low,0.9599999785423279,11.304800033569336
pythia-410m,23,very_high,medium,1.0,10.56254768371582
pythia-410m,23,very_high,high,0.9900000095367432,9.991279602050781
pythia-410m,23,very_high,very_high,0.9800000190734863,0.0
pythia-410m,23,very_high,control,0.9900000095367432,9.444024085998535
pythia-410m,23,control,low,0.9599999785423279,11.404240608215332
pythia-410m,23,control,medium,1.0,10.704170227050781
pythia-410m,23,control,high,0.9900000095367432,10.325182914733887
pythia-410m,23,control,very_high,0.9800000190734863,9.843705177307129
pythia-410m,23,control,control,0.9900000095367432,0.0
pythia-1b,13,low,low,0.9700000286102295,0.0
pythia-1b,13,low,medium,1.0,12.20297622680664
pythia-1b,13,low,high,1.0,12.06979751586914
pythia-1b,13,low,very_high,0.9800000190734863,12.137852668762207
pythia-1b,13,low,control,0.9900000095367432,12.008331298828125
pythia-1b,13,medium,low,0.9700000286102295,11.431305885314941
pythia-1b,13,medium,medium,1.0,0.0
pythia-1b,13,medium,high,0.9700000286102295,10.982872009277344
pythia-1b,13,medium,very_high,0.9800000190734863,10.79643440246582
pythia-1b,13,medium,control,0.9900000095367432,10.832056999206543
pythia-1b,13,high,low,0.9700000286102295,11.149230003356934
pythia-1b,13,high,medium,1.0,10.895184516906738
pythia-1b,13,high,high,0.9900000095367432,0.0
pythia-1b,13,high,very_high,0.9800000190734863,9.478656768798828
pythia-1b,13,high,control,0.9900000095367432,9.517203330993652
pythia-1b,13,very_high,low,0.9700000286102295,9.97103214263916
pythia-1b,13,very_high,medium,1.0,9.903709411621094
pythia-1b,13,very_high,high,0.9900000095367432,8.921630859375
pythia-1b,13,very_high,very_high,0.9800000190734863,0.0
pythia-1b,13,very_high,control,1.0,8.645796775817871
pythia-1b,13,control,low,0.9599999785423279,10.442997932434082
pythia-1b,13,control,medium,1.0,10.299542427062988
pythia-1b,13,control,high,0.9900000095367432,9.150337219238281
pythia-1b,13,control,very_high,0.9700000286102295,8.906903266906738
pythia-1b,13,control,control,0.9900000095367432,0.0
pythia-1.4b,21,low,low,0.9399999976158142,0.0
pythia-1.4b,21,low,medium,0.9800000190734863,11.846705436706543
pythia-1.4b,21,low,high,0.9700000286102295,12.392378807067871
pythia-1.4b,21,low,very_high,0.9700000286102295,12.689075469970703
pythia-1.4b,21,low,control,0.9800000190734863,12.459571838378906
pythia-1.4b,21,medium,low,0.949999988079071,11.213600158691406
pythia-1.4b,21,medium,medium,0.9700000286102295,0.0
pythia-1.4b,21,medium,high,0.9800000190734863,11.097456932067871
pythia-1.4b,21,medium,very_high,0.9700000286102295,11.361071586608887
pythia-1.4b,21,medium,control,0.9700000286102295,11.308845520019531
pythia-1.4b,21,high,low,0.9599999785423279,11.07291030883789
pythia-1.4b,21,high,medium,0.9800000190734863,10.27835464477539
pythia-1.4b,21,high,high,0.9599999785423279,0.0
pythia-1.4b,21,high,very_high,0.9700000286102295,9.8970365524292
pythia-1.4b,21,high,control,0.9800000190734863,10.014405250549316
pythia-1.4b,21,very_high,low,0.9599999785423279,10.07233715057373
pythia-1.4b,21,very_high,medium,0.9800000190734863,9.308629989624023
pythia-1.4b,21,very_high,high,0.9800000190734863,8.956493377685547
pythia-1.4b,21,very_high,very_high,0.9800000190734863,0.0
pythia-1.4b,21,very_high,control,0.9900000095367432,8.971490859985352
pythia-1.4b,21,control,low,0.9599999785423279,10.424910545349121
pythia-1.4b,21,control,medium,0.9800000190734863,9.788800239562988
pythia-1.4b,21,control,high,0.9599999785423279,9.220085144042969
pythia-1.4b,21,control,very_high,0.9700000286102295,9.29819393157959
pythia-1.4b,21,control,control,0.9900000095367432,0.0
