model,layer,n_layers,peak_layer,unpatched_acc,base_faithfulness,source_iia,n_pairs
pythia-70m,0,6,5,0.27000001072883606,0.0,0.0,100
pythia-70m,1,6,5,0.27000001072883606,0.0,0.0,100
pythia-70m,2,6,5,0.27000001072883606,0.0,0.0,100
pythia-70m,3,6,5,0.27000001072883606,0.0,0.20000000298023224,100
pythia-70m,4,6,5,0.27000001072883606,0.0,0.2800000011920929,100
pythia-70m,5,6,5,0.27000001072883606,0.0,0.27000001072883606,100
pythia-160m,0,12,11,0.9300000071525574,0.029999999329447746,0.0,100
pythia-160m,1,12,11,0.9300000071525574,0.029999999329447746,0.0,100
pythia-160m,2,12,11,0.9300000071525574,0.029999999329447746,0.0,100
pythia-160m,3,12,11,0.9300000071525574,0.0,0.0,100
pythia-160m,4,12,11,0.9300000071525574,0.03999999910593033,0.0,100
pythia-160m,5,12,11,0.9300000071525574,0.009999999776482582,0.23999999463558197,100
pythia-160m,6,12,11,0.9300000071525574,0.029999999329447746,0.25999999046325684,100
pythia-160m,7,12,11,0.9300000071525574,0.009999999776482582,0.4000000059604645,100
pythia-160m,8,12,11,0.9300000071525574,0.0,0.7300000190734863,100
pythia-160m,9,12,11,0.9300000071525574,0.0,0.8799999952316284,100
pythia-160m,10,12,11,0.9300000071525574,0.0,0.9200000166893005,100
pythia-160m,11,12,11,0.9300000071525574,0.0,0.9200000166893005,100
pythia-410m,0,24,23,0.9700000286102295,0.0,0.0,100
pythia-410m,1,24,23,0.9700000286102295,0.0,0.0,100
pythia-410m,2,24,23,0.9700000286102295,0.009999999776482582,0.0,100
pythia-410m,3,24,23,0.9700000286102295,0.009999999776482582,0.0,100
pythia-410m,4,24,23,0.9700000286102295,0.009999999776482582,0.0,100
pythia-410m,5,24,23,0.9700000286102295,0.009999999776482582,0.0,100
pythia-410m,6,24,23,0.9700000286102295,0.009999999776482582,0.0,100
pythia-410m,7,24,23,0.9700000286102295,0.14000000059604645,0.0,100
pythia-410m,8,24,23,0.9700000286102295,0.10000000149011612,0.0,100
pythia-410m,9,24,23,0.9700000286102295,0.11999999731779099,0.0,100
pythia-410m,10,24,23,0.9700000286102295,0.03999999910593033,0.029999999329447746,100
pythia-410m,11,24,23,0.9700000286102295,0.019999999552965164,0.20000000298023224,100
pythia-410m,12,24,23,0.9700000286102295,0.0,0.1599999964237213,100
pythia-410m,13,24,23,0.9700000286102295,0.0,0.1599999964237213,100
