model,test_band,base_acc,full_circuit_acc,full_circuit_std,full_n_edges,full_retention,universal_acc,universal_acc_std,universal_top5,universal_n_edges,specific_acc,specific_acc_std,specific_n_edges,random_acc,universal_retention
pythia-70m,low,0.3007407407407407,0.2429629629629629,0.0590180275171617,389.0,0.8029724528168015,0.1822222222222222,0.02775554665954844,0.33481481481481484,301.6666666666667,0.0,0.0,87.33333333333333,,0.7500000000000001
pythia-70m,medium,0.3999999999999999,0.3481481481481481,0.0359240167495767,397.6666666666667,0.8690604716920506,0.2607407407407407,0.044959973053314096,0.3940740740740741,301.6666666666667,0.0,0.0,96.0,,0.748936170212766
pythia-70m,high,0.5022222222222222,0.4162962962962963,0.0456142350173056,416.6666666666667,0.8295828218576796,0.2903703703703704,0.03365279019733498,0.4696296296296296,301.6666666666667,0.0,0.0,115.0,,0.6975088967971531
pythia-70m,very_high,0.6696296296296297,0.5496296296296297,0.0370073955460645,419.3333333333333,0.8203257007119209,0.38518518518518513,0.05557036839558831,0.5792592592592593,301.6666666666667,0.0,0.0,117.66666666666667,,0.700808625336927
pythia-70m,control,0.5955555555555555,0.525925925925926,0.0156083759301522,423.6666666666667,0.8846239404364273,0.35407407407407404,0.013578002059128399,0.5525925925925926,301.6666666666667,0.0,0.0,122.0,,0.6732394366197181
pythia-160m,low,0.9288888888888888,0.8903703703703704,0.0128300059819916,1451.3333333333333,0.9585091078512132,0.482962962962963,0.08667616282257821,0.7496296296296295,713.3333333333334,0.0,0.0,738.0,,0.5424292845257904
pythia-160m,medium,0.9570370370370372,0.9111111111111112,0.0160246723353954,1478.0,0.951995406258972,0.5911111111111111,0.08754540268263203,0.831111111111111,713.3333333333334,0.0,0.0,764.6666666666666,,0.6487804878048781
pythia-160m,high,0.96,0.9229629629629628,0.0111849399041047,1399.6666666666667,0.9615172705072388,0.668148148148148,0.08621916756711978,0.8414814814814814,713.3333333333334,0.0014814814814814814,0.002566001196398337,686.3333333333334,,0.723916532905297
pythia-160m,very_high,0.9688888888888888,0.9511111111111112,0.0133333333333333,1331.3333333333333,0.98164420112431,0.7051851851851852,0.03276051020369773,0.8488888888888889,713.3333333333334,0.0,0.0,618.0,,0.7414330218068536
pythia-160m,control,0.977777777777778,0.9362962962962964,0.0111849399041048,1372.3333333333333,0.9576699987658892,0.6444444444444445,0.05568872927174077,0.8237037037037037,713.3333333333334,0.0,0.0,659.0,,0.6882911392405063
