model,layer,total_edges,universal_count,universal_fraction,dominant_role,n_heads,n_universal_heads,mean_induction_score,universal_head_fraction,position
pythia-1.4b,0,14.333333333333334,4.0,0.2803418803418803,diffuse,16,3,0.07164943064253745,0.1875,early
pythia-1.4b,1,48.333333333333336,5.666666666666667,0.14105829088851154,bos_sink,16,5,0.018127310589225842,0.3125,early
pythia-1.4b,2,96.33333333333333,11.0,0.14871949989917319,bos_sink,16,3,0.12073418698855672,0.1875,early
pythia-1.4b,3,67.0,8.666666666666666,0.13113553113553114,bos_sink,16,4,0.018792230577673718,0.25,early
pythia-1.4b,4,120.66666666666667,12.333333333333334,0.10139576026248927,bos_sink,16,5,0.05963141502925758,0.3125,early
pythia-1.4b,5,158.33333333333334,24.0,0.1517194418137814,bos_sink,16,6,0.07486091792452494,0.375,early
pythia-1.4b,6,155.66666666666666,26.0,0.1671765209769577,bos_sink,16,6,0.009126975980400628,0.375,early
pythia-1.4b,7,217.33333333333334,25.333333333333332,0.1165801170631528,bos_sink,16,7,0.06820410542968597,0.4375,early
pythia-1.4b,8,234.66666666666666,37.666666666666664,0.16048924951430396,bos_sink,16,6,0.0161462291115457,0.375,middle
pythia-1.4b,9,232.33333333333334,31.666666666666668,0.1361987398559041,bos_sink,16,5,0.04259229917079205,0.3125,middle
pythia-1.4b,10,435.6666666666667,67.0,0.1540454483109628,bos_sink,16,9,0.02174834968741375,0.5625,middle
pythia-1.4b,11,334.3333333333333,29.0,0.08643059028037653,bos_sink,16,10,0.020537664181006183,0.625,middle
pythia-1.4b,12,334.6666666666667,38.333333333333336,0.11481501855009742,bos_sink,16,8,0.011388564878643532,0.5,middle
pythia-1.4b,13,284.3333333333333,29.0,0.10204468540516858,bos_sink,16,5,0.017151369170175207,0.3125,middle
pythia-1.4b,14,270.0,25.666666666666668,0.09476650563607081,bos_sink,16,3,0.01408197700256904,0.1875,middle
pythia-1.4b,15,367.0,34.333333333333336,0.09370253733178237,bos_sink,16,8,0.012748217459829845,0.5,middle
pythia-1.4b,16,333.0,24.0,0.07225429525667933,bos_sink,16,8,0.014452330293734186,0.5,middle
pythia-1.4b,17,164.33333333333334,11.0,0.06682053958829477,bos_sink,16,2,0.007929394059885863,0.125,late
pythia-1.4b,18,196.66666666666666,9.0,0.045834313940718664,bos_sink,16,4,0.012057774828917851,0.25,late
pythia-1.4b,19,149.66666666666666,4.0,0.0267283326106855,bos_sink,16,3,0.011564253642575264,0.1875,late
pythia-1.4b,20,203.33333333333334,3.0,0.014997038241819966,bos_sink,16,3,0.01260057407648669,0.1875,late
pythia-1.4b,21,125.33333333333333,2.0,0.0159111495388669,bos_sink,16,1,0.013529230179507537,0.0625,late
pythia-1.4b,22,185.0,6.0,0.032278333401928865,bos_sink,16,3,0.006168789348066587,0.1875,late
pythia-1.4b,23,385.6666666666667,151.33333333333334,0.3929245166402469,bos_sink,16,2,0.010200802000326756,0.125,late
pythia-160m,0,11.666666666666666,7.0,0.6010101010101011,bos_sink,12,7,0.08760145281848959,0.5833333333333334,early
pythia-160m,1,38.0,10.0,0.2615853358887414,bos_sink,12,3,0.10822886641153669,0.25,early
pythia-160m,2,56.666666666666664,10.666666666666666,0.18691423519009723,bos_sink,12,4,0.019359393614043503,0.3333333333333333,early
pythia-160m,3,106.33333333333333,17.666666666666668,0.16641344728205637,bos_sink,12,8,0.0449560847376714,0.6666666666666666,early
pythia-160m,4,178.33333333333334,46.333333333333336,0.2611741277199497,bos_sink,12,11,0.005409263139881617,0.9166666666666666,middle
pythia-160m,5,288.0,95.0,0.33056917211328973,bos_sink,12,9,0.03016037643828889,0.75,middle
pythia-160m,6,259.0,51.0,0.19628044486029395,bos_sink,12,9,0.028106479796406292,0.75,middle
pythia-160m,7,219.0,51.0,0.2330490656491164,bos_sink,12,5,0.022264532998431258,0.4166666666666667,middle
