model,threshold_k,test_band,mean_acc,std_acc,mean_top5,mean_n_edges,base_acc,full_circuit_acc,universal_acc,recovery,edge_fraction
pythia-1.4b,1,control,0.9748148148148149,0.010264004785593365,0.9881481481481482,5114.0,0.9837037037037036,0.9244444444444444,0.1851851851851852,1.0544871794871797,2.2460691593710655
pythia-1.4b,1,high,0.9792592592592593,0.016826395098667523,0.994074074074074,5114.0,0.9896296296296296,0.8948148148148148,0.1288888888888889,1.0943708609271523,2.2460691593710655
pythia-1.4b,1,low,0.8948148148148148,0.0447397596164192,0.9866666666666667,5114.0,0.9585185185185184,0.7985185185185185,0.034074074074074,1.1205936920222634,2.2460691593710655
pythia-1.4b,1,medium,0.9644444444444445,0.00769800358919506,0.994074074074074,5114.0,0.9703703703703704,0.8592592592592592,0.0725925925925926,1.1224137931034486,2.2460691593710655
pythia-1.4b,1,very_high,0.9837037037037036,0.006789001029564236,0.997037037037037,5114.0,0.994074074074074,0.9185185185185184,0.197037037037037,1.070967741935484,2.2460691593710655
pythia-1.4b,2,control,0.9792592592592593,0.011184939904104805,0.9911111111111112,2798.3333333333335,0.9837037037037036,0.9244444444444444,0.1851851851851852,1.0592948717948718,1.2290281966445116
pythia-1.4b,2,high,0.9792592592592593,0.0051320023927966425,0.994074074074074,2798.3333333333335,0.9896296296296296,0.8948148148148148,0.1288888888888889,1.0943708609271523,1.2290281966445116
pythia-1.4b,2,low,0.9170370370370371,0.011184939904104805,0.9792592592592593,2798.3333333333335,0.9585185185185184,0.7985185185185185,0.034074074074074,1.1484230055658629,1.2290281966445116
pythia-1.4b,2,medium,0.9585185185185185,0.009251848886516143,0.994074074074074,2798.3333333333335,0.9703703703703704,0.8592592592592592,0.0725925925925926,1.1155172413793104,1.2290281966445116
pythia-1.4b,2,very_high,0.9762962962962963,0.021003625005567142,0.9911111111111112,2798.3333333333335,0.994074074074074,0.9185185185185184,0.197037037037037,1.0629032258064517,1.2290281966445116
pythia-1.4b,3,control,0.9525925925925925,0.017962008374788358,0.991111111111111,1745.6666666666667,0.9837037037037036,0.9244444444444444,0.1851851851851852,1.0304487179487178,0.7666969226715076
pythia-1.4b,3,high,0.9451851851851852,0.0067890010295641725,0.9925925925925926,1745.6666666666667,0.9896296296296296,0.8948148148148148,0.1288888888888889,1.0562913907284768,0.7666969226715076
pythia-1.4b,3,low,0.8325925925925927,0.05968366541772941,0.9437037037037036,1745.6666666666667,0.9585185185185184,0.7985185185185185,0.034074074074074,1.0426716141001857,0.7666969226715076
pythia-1.4b,3,medium,0.9140740740740741,0.04224171090187637,0.9837037037037036,1745.6666666666667,0.9703703703703704,0.8592592592592592,0.0725925925925926,1.0637931034482762,0.7666969226715076
pythia-1.4b,3,very_high,0.9525925925925925,0.026042067898143572,0.9896296296296296,1745.6666666666667,0.994074074074074,0.9185185185185184,0.197037037037037,1.0370967741935484,0.7666969226715076
pythia-1.4b,4,control,0.8088888888888889,0.036379345652766445,0.9422222222222222,1106.3333333333333,0.9837037037037036,0.9244444444444444,0.1851851851851852,0.875,0.4859016777442684
pythia-1.4b,4,high,0.8118518518518517,0.03779955799162392,0.9555555555555556,1106.3333333333333,0.9896296296296296,0.8948148148148148,0.1288888888888889,0.9072847682119204,0.4859016777442684
pythia-1.4b,4,low,0.5555555555555556,0.05388602512436507,0.8059259259259259,1106.3333333333333,0.9585185185185184,0.7985185185185185,0.034074074074074,0.6957328385899815,0.4859016777442684
pythia-1.4b,4,medium,0.7111111111111111,0.04239729784075312,0.8918518518518518,1106.3333333333333,0.9703703703703704,0.8592592592592592,0.0725925925925926,0.8275862068965518,0.4859016777442684
pythia-1.4b,4,very_high,0.8385185185185184,0.03276051020369773,0.9437037037037038,1106.3333333333333,0.994074074074074,0.9185185185185184,0.197037037037037,0.9129032258064517,0.4859016777442684
pythia-1.4b,5,control,0.1851851851851852,0.14485980167015866,0.3377777777777778,620.0,0.9837037037037036,0.9244444444444444,0.1851851851851852,0.20032051282051286,0.27230404356864696
pythia-1.4b,5,high,0.1288888888888889,0.1347333901442144,0.3111111111111111,620.0,0.9896296296296296,0.8948148148148148,0.1288888888888889,0.14403973509933773,0.27230404356864696
pythia-1.4b,5,low,0.03407407407407407,0.032760510203697746,0.08888888888888889,620.0,0.9585185185185184,0.7985185185185185,0.034074074074074,0.04267161410018552,0.27230404356864696
pythia-1.4b,5,medium,0.0725925925925926,0.06353120486634538,0.16296296296296295,620.0,0.9703703703703704,0.8592592592592592,0.0725925925925926,0.08448275862068967,0.27230404356864696
pythia-1.4b,5,very_high,0.19703703703703704,0.08004114168438575,0.38814814814814813,620.0,0.994074074074074,0.9185185185185184,0.197037037037037,0.21451612903225808,0.27230404356864696
pythia-160m,1,control,0.965925925925926,0.01118493990410483,0.9955555555555554,2330.6666666666665,0.977777777777778,0.9362962962962964,0.6444444444444445,1.0316455696202531,1.6570291022845764
pythia-160m,1,high,0.9585185185185185,0.006789001029564157,0.9985185185185186,2330.6666666666665,0.96,0.9229629629629628,0.668148148148148,1.0385232744783308,1.6570291022845764
pythia-160m,1,low,0.9303703703703704,0.021003625005567173,0.9896296296296296,2330.6666666666665,0.9288888888888888,0.8903703703703704,0.482962962962963,1.0449251247920133,1.6570291022845764
pythia-160m,1,medium,0.9511111111111111,0.004444444444444473,0.9955555555555556,2330.6666666666665,0.9570370370370372,0.9111111111111112,0.5911111111111111,1.04390243902439,1.6570291022845764
