model,sharing_category,n_entries,n_stable_3,n_partial_2,n_unstable_1,frac_stable,frac_unstable,mean_n_draws
pythia-70m,universal (5),1495,1464,31,0,0.9792642140468227,0.0,2.9792642140468226
pythia-70m,shared (2-4),751,242,252,257,0.322237017310253,0.3422103861517976,1.9800266311584553
pythia-70m,band-specific (1),165,2,29,134,0.012121212121212121,0.8121212121212121,1.2
pythia-160m,universal (5),3310,3175,134,1,0.959214501510574,0.00030211480362537764,2.9589123867069484
pythia-160m,shared (2-4),5320,1285,1872,2163,0.24154135338345864,0.40657894736842104,1.8349624060150376
pythia-160m,band-specific (1),1306,22,192,1092,0.016845329249617153,0.8361408882082695,1.1807044410413476
pythia-410m,universal (5),5815,5512,292,11,0.9478933791917454,0.001891659501289768,2.9460017196904555
pythia-410m,shared (2-4),17323,3078,6066,8179,0.17768284939098308,0.47214685678000345,1.7055359926109797
pythia-410m,band-specific (1),6094,98,752,5244,0.01608139153265507,0.8605185428290122,1.155562848703643
pythia-1b,universal (5),1580,1483,96,1,0.9386075949367089,0.0006329113924050633,2.937974683544304
pythia-1b,shared (2-4),4319,852,1577,1890,0.19726788608474183,0.4376012965964344,1.7596665894883075
pythia-1b,band-specific (1),1307,14,146,1147,0.010711553175210406,0.8775822494261668,1.1331293037490435
pythia-1.4b,universal (5),2615,2438,176,1,0.9323135755258126,0.0003824091778202677,2.9319311663479923
pythia-1.4b,shared (2-4),11815,2203,4142,5470,0.1864578925095218,0.46297079983072364,1.7234870926787982
pythia-1.4b,band-specific (1),5395,45,638,4712,0.008341056533827619,0.873401297497683,1.1349397590361445
pythia-70m,band-specific: low,19,1,7,11,0.05263157894736842,0.5789473684210527,1.4736842105263157
pythia-70m,band-specific: medium,23,0,3,20,0.0,0.8695652173913043,1.1304347826086956
pythia-70m,band-specific: high,32,0,3,29,0.0,0.90625,1.09375
pythia-70m,band-specific: very_high,42,1,7,34,0.023809523809523808,0.8095238095238095,1.2142857142857142
pythia-70m,band-specific: control,49,0,9,40,0.0,0.8163265306122449,1.183673469387755
pythia-160m,band-specific: low,247,5,50,192,0.020242914979757085,0.7773279352226721,1.242914979757085
pythia-160m,band-specific: medium,275,6,43,226,0.02181818181818182,0.8218181818181818,1.2
pythia-160m,band-specific: high,262,3,34,225,0.011450381679389313,0.8587786259541985,1.1526717557251909
pythia-160m,band-specific: very_high,266,5,32,229,0.018796992481203006,0.8609022556390977,1.1578947368421053
pythia-160m,band-specific: control,256,3,33,220,0.01171875,0.859375,1.15234375
pythia-410m,band-specific: low,1566,64,253,1249,0.04086845466155811,0.79757343550447,1.2432950191570882
pythia-410m,band-specific: medium,1380,15,150,1215,0.010869565217391304,0.8804347826086957,1.1304347826086956
pythia-410m,band-specific: high,1079,7,115,957,0.006487488415199258,0.8869323447636701,1.1195551436515292
pythia-410m,band-specific: very_high,1065,6,130,929,0.005633802816901409,0.8723004694835681,1.1333333333333333
pythia-410m,band-specific: control,1004,6,104,894,0.00597609561752988,0.8904382470119522,1.1155378486055776
pythia-1b,band-specific: low,281,9,39,233,0.03202846975088968,0.8291814946619217,1.2028469750889679
pythia-1b,band-specific: medium,311,3,38,270,0.00964630225080386,0.8681672025723473,1.1414790996784565
pythia-1b,band-specific: high,304,0,31,273,0.0,0.8980263157894737,1.1019736842105263
pythia-1b,band-specific: very_high,200,2,21,177,0.01,0.885,1.125
pythia-1b,band-specific: control,211,0,17,194,0.0,0.919431279620853,1.080568720379147
pythia-1.4b,band-specific: low,1355,33,201,1121,0.024354243542435424,0.8273062730627306,1.1970479704797048
pythia-1.4b,band-specific: medium,1286,7,151,1128,0.005443234836702955,0.8771384136858476,1.1283048211508553
pythia-1.4b,band-specific: high,898,1,108,789,0.0011135857461024498,0.878619153674833,1.1224944320712695
pythia-1.4b,band-specific: very_high,907,1,81,825,0.0011025358324145535,0.9095920617420066,1.091510474090408
pythia-1.4b,band-specific: control,949,3,97,849,0.003161222339304531,0.8946259220231823,1.1085353003161222
