model,draw,test_band,k_sample,n_edges,accuracy,top5_accuracy,mean_correct_prob
pythia-70m,draw_2,high,5,297,0.0,0.0,0.00012767928344992974
pythia-70m,draw_2,very_high,5,297,0.0,0.0,0.0003175948684512283
pythia-70m,draw_2,control,5,297,0.0,0.0044444444444444444,0.0002491161404257755
pythia-70m,draw_2,low,6,297,0.0,0.0044444444444444444,0.00011163398706267143
pythia-70m,draw_2,medium,6,297,0.0,0.0,5.950947617963504e-05
pythia-70m,draw_2,high,6,297,0.0,0.0,0.00011575697564044419
pythia-70m,draw_2,very_high,6,297,0.0,0.0,0.000354357503544528
pythia-70m,draw_2,control,6,297,0.0,0.0044444444444444444,0.00024474203631819085
pythia-70m,draw_2,low,7,297,0.0,0.0044444444444444444,0.00012088822402909788
pythia-70m,draw_2,medium,7,297,0.0,0.0,6.394930185469328e-05
pythia-70m,draw_2,high,7,297,0.0,0.0,0.0001268396182547033
pythia-70m,draw_2,very_high,7,297,0.0,0.0,0.00031150356073543625
pythia-70m,draw_2,control,7,297,0.0,0.0044444444444444444,0.00023345603474640554
pythia-70m,draw_2,low,8,297,0.0,0.0044444444444444444,0.00012033140994392522
pythia-70m,draw_2,medium,8,297,0.0,0.0,5.6209544145258634e-05
pythia-70m,draw_2,high,8,297,0.0,0.0,0.00012816503211490884
pythia-70m,draw_2,very_high,8,297,0.0,0.0,0.00025199766390680936
pythia-70m,draw_2,control,8,297,0.0,0.0044444444444444444,0.0002037792197516931
pythia-70m,draw_2,low,9,297,0.0,0.0044444444444444444,0.00010976546453097878
pythia-70m,draw_2,medium,9,297,0.0,0.0,6.283516058693126e-05
pythia-70m,draw_2,high,9,297,0.0,0.0,0.00012096766851879042
pythia-70m,draw_2,very_high,9,297,0.0,0.0,0.00031547442997240045
pythia-70m,draw_2,control,9,297,0.0,0.0044444444444444444,0.0002322608191023127
pythia-70m,draw_2,low,10,297,0.0,0.0044444444444444444,0.000143408542027715
pythia-70m,draw_2,medium,10,297,0.0,0.0,7.636929074084062e-05
pythia-70m,draw_2,high,10,297,0.0,0.0,0.00013160380446489484
pythia-70m,draw_2,very_high,10,297,0.0,0.0,0.0003083299036358906
pythia-70m,draw_2,control,10,297,0.0,0.0044444444444444444,0.0002757713570964439
pythia-70m,draw_3,low,1,311,0.0,0.0,1.633858091850981e-05
pythia-70m,draw_3,medium,1,311,0.0,0.0,6.953171741456141e-05
pythia-70m,draw_3,high,1,311,0.0,0.0,0.00018046444964141942
pythia-70m,draw_3,very_high,1,311,0.0,0.0,0.0003479191877207828
pythia-70m,draw_3,control,1,311,0.0,0.0,0.00023376326852155602
pythia-70m,draw_3,low,2,311,0.0,0.0,2.0231354713559943e-05
pythia-70m,draw_3,medium,2,311,0.0,0.0,8.886806551608623e-05
pythia-70m,draw_3,high,2,311,0.0,0.0,0.00012494719633137407
pythia-70m,draw_3,very_high,2,311,0.0,0.0044444444444444444,0.0004341789208441841
pythia-70m,draw_3,control,2,311,0.0,0.0,0.00023347845884395943
pythia-70m,draw_3,low,3,311,0.0,0.0,1.8152681122062623e-05
pythia-70m,draw_3,medium,3,311,0.0,0.0,7.50206648326447e-05
pythia-70m,draw_3,high,3,311,0.0,0.0,0.0001369565711212633
pythia-70m,draw_3,very_high,3,311,0.0,0.0044444444444444444,0.00041141772531229804
pythia-70m,draw_3,control,3,311,0.0,0.0,0.00023673800989801208
pythia-70m,draw_3,low,4,311,0.0,0.0,1.9771720923265808e-05
pythia-70m,draw_3,medium,4,311,0.0,0.0,8.537323179370455e-05
pythia-70m,draw_3,high,4,311,0.0,0.0,0.00012164179500248185
pythia-70m,draw_3,very_high,4,311,0.0,0.0044444444444444444,0.0004181998602168914
pythia-70m,draw_3,control,4,311,0.0,0.0,0.0002250506747123282
pythia-70m,draw_3,low,5,311,0.0,0.0,2.0918161640682707e-05
pythia-70m,draw_3,medium,5,311,0.0,0.0,8.167910152155629e-05
pythia-70m,draw_3,high,5,311,0.0,0.0,0.00011724521600590047
pythia-70m,draw_3,very_high,5,311,0.0,0.0044444444444444444,0.0003887912319386179
pythia-70m,draw_3,control,5,311,0.0,0.0,0.0002486458260282455
pythia-70m,draw_3,low,6,311,0.0,0.0,1.9388418458113034e-05
pythia-70m,draw_3,medium,6,311,0.0,0.0,8.624108499764915e-05
pythia-70m,draw_3,high,6,311,0.0,0.0,0.00013366382321539403
pythia-70m,draw_3,very_high,6,311,0.0,0.0044444444444444444,0.00042155473884064707
pythia-70m,draw_3,control,6,311,0.0,0.0,0.0002398127642274201
pythia-70m,draw_3,low,7,311,0.0,0.0,2.01859568216224e-05
pythia-70m,draw_3,medium,7,311,0.0,0.0044444444444444444,0.00013940714188377415
pythia-70m,draw_3,high,7,311,0.0,0.0,9.399388751335872e-05
pythia-70m,draw_3,very_high,7,311,0.0,0.0,0.0004511227485777767
pythia-70m,draw_3,control,7,311,0.0,0.0,0.00025105766691473893
pythia-70m,draw_3,low,8,311,0.0,0.0,2.0004166109081006e-05
pythia-70m,draw_3,medium,8,311,0.0,0.0,7.692016161574358e-05
pythia-70m,draw_3,high,8,311,0.0,0.0,0.00013287933762609825
pythia-70m,draw_3,very_high,8,311,0.0,0.0044444444444444444,0.0003350312977639809
pythia-70m,draw_3,control,8,311,0.0,0.0,0.00023702797732324163
pythia-70m,draw_3,low,9,311,0.0,0.0,2.039904829736483e-05
pythia-70m,draw_3,medium,9,311,0.0,0.0,7.839576115342238e-05
pythia-70m,draw_3,high,9,311,0.0,0.0,0.00013241944766148508
pythia-70m,draw_3,very_high,9,311,0.0,0.0044444444444444444,0.00041890527366369323
pythia-70m,draw_3,control,9,311,0.0,0.0,0.00024495898962270484
pythia-70m,draw_3,low,10,311,0.0,0.0,2.008656878665934e-05
pythia-70m,draw_3,medium,10,311,0.0,0.0,0.0001057383860585348
pythia-70m,draw_3,high,10,311,0.0,0.0,0.00012005539589122661
pythia-70m,draw_3,very_high,10,311,0.0,0.0044444444444444444,0.00042612629826677427
pythia-70m,draw_3,control,10,311,0.0,0.0,0.00024082682103681522
pythia-160m,draw_1,low,1,694,0.0,0.0,3.3386870627699256e-05
pythia-160m,draw_1,medium,1,694,0.0,0.0,6.853325702069115e-05
pythia-160m,draw_1,high,1,694,0.0,0.0,0.0003115604744604954
pythia-160m,draw_1,very_high,1,694,0.0,0.013333333333333334,0.0008759710546007602
pythia-160m,draw_1,control,1,694,0.0,0.0,0.0003686260289940593
pythia-160m,draw_1,low,2,694,0.0,0.0,3.339831010491265e-05
pythia-160m,draw_1,medium,2,694,0.0,0.0,6.849790149667949e-05
pythia-160m,draw_1,high,2,694,0.0,0.0,0.0003097571889422094
pythia-160m,draw_1,very_high,2,694,0.0044444444444444444,0.013333333333333334,0.0008786414348881837
pythia-160m,draw_1,control,2,694,0.0,0.0,0.00036871235874195285
pythia-160m,draw_1,low,3,694,0.0,0.0,3.372773564881094e-05
pythia-160m,draw_1,medium,3,694,0.0,0.0,6.783808925907428e-05
pythia-160m,draw_1,high,3,694,0.0,0.0,0.0003123982831476092
pythia-160m,draw_1,very_high,3,694,0.0,0.013333333333333334,0.0008696993318855956
pythia-160m,draw_1,control,3,694,0.0,0.0,0.00036802849814923395
pythia-160m,draw_1,low,4,694,0.0,0.0,3.3379033378244416e-05
pythia-160m,draw_1,medium,4,694,0.0,0.0,6.84936248930828e-05
pythia-160m,draw_1,high,4,694,0.0,0.0,0.0003115781566707988
pythia-160m,draw_1,very_high,4,694,0.0,0.013333333333333334,0.0008760725323968977
pythia-160m,draw_1,control,4,694,0.0,0.0,0.0003687934615023715
pythia-160m,draw_1,low,5,694,0.0,0.0,3.338657882039402e-05
pythia-160m,draw_1,medium,5,694,0.0,0.0,6.851179673958541e-05
pythia-160m,draw_1,high,5,694,0.0,0.0,0.00031149976128921886
pythia-160m,draw_1,very_high,5,694,0.0,0.013333333333333334,0.0008763288708112229
pythia-160m,draw_1,control,5,694,0.0,0.0,0.00036870887756887465
pythia-160m,draw_1,low,6,694,0.0,0.0,3.341046757603531e-05
pythia-160m,draw_1,medium,6,694,0.0,0.0,6.841057608148226e-05
pythia-160m,draw_1,high,6,694,0.0,0.0,0.0003124738965344578
pythia-160m,draw_1,very_high,6,694,0.0,0.013333333333333334,0.0008692395082255584
pythia-160m,draw_1,control,6,694,0.0,0.0,0.000368606790460275
pythia-160m,draw_1,low,7,694,0.0,0.0,3.3385097293445496e-05
pythia-160m,draw_1,medium,7,694,0.0,0.0,6.850671517497631e-05
pythia-160m,draw_1,high,7,694,0.0,0.0,0.00031135855447852616
pythia-160m,draw_1,very_high,7,694,0.0,0.013333333333333334,0.0008769224817335836
pythia-160m,draw_1,control,7,694,0.0,0.0,0.00036881854268052116
pythia-160m,draw_1,low,8,694,0.0,0.0,3.333642993085719e-05
pythia-160m,draw_1,medium,8,694,0.0,0.0,6.863691050088821e-05
pythia-160m,draw_1,high,8,694,0.0,0.0,0.0003116785034060538
pythia-160m,draw_1,very_high,8,694,0.0044444444444444444,0.017777777777777778,0.0008725772746843398
pythia-160m,draw_1,control,8,694,0.0,0.0,0.00036728081756226376
pythia-160m,draw_1,low,9,694,0.0,0.0,3.3385808017973616e-05
pythia-160m,draw_1,medium,9,694,0.0,0.0,6.851134508963242e-05
pythia-160m,draw_1,high,9,694,0.0,0.0,0.00031150094649092354
pythia-160m,draw_1,very_high,9,694,0.0,0.013333333333333334,0.0008763353825377449
pythia-160m,draw_1,control,9,694,0.0,0.0,0.0003687135031525991
pythia-160m,draw_1,low,10,694,0.0,0.0,3.3408112958793384e-05
pythia-160m,draw_1,medium,10,694,0.0,0.0,6.852972379931544e-05
pythia-160m,draw_1,high,10,694,0.0,0.0,0.0003140983664090729
pythia-160m,draw_1,very_high,10,694,0.0,0.013333333333333334,0.0008747985511091609
pythia-160m,draw_1,control,10,694,0.0,0.0,0.0003701645138211044
pythia-160m,draw_2,low,1,723,0.0,0.0,4.476487460199981e-05
pythia-160m,draw_2,medium,1,723,0.0,0.0,9.956764602849135e-05
pythia-160m,draw_2,high,1,723,0.0,0.0044444444444444444,0.00032616232238928607
pythia-160m,draw_2,very_high,1,723,0.0,0.013333333333333334,0.0008942503657666141
pythia-160m,draw_2,control,1,723,0.0,0.0,0.00038024156489212957
pythia-160m,draw_2,low,2,723,0.0,0.0,4.4769608099954896e-05
pythia-160m,draw_2,medium,2,723,0.0,0.0,9.953150899188283e-05
pythia-160m,draw_2,high,2,723,0.0,0.0044444444444444444,0.0003259698930196464
pythia-160m,draw_2,very_high,2,723,0.0,0.013333333333333334,0.0008932489445042949
pythia-160m,draw_2,control,2,723,0.0,0.0,0.00038011026980699274
pythia-160m,draw_2,low,3,723,0.0,0.0,4.47175999981179e-05
pythia-160m,draw_2,medium,3,723,0.0,0.0,9.956890719094089e-05
pythia-160m,draw_2,high,3,723,0.0,0.0044444444444444444,0.00032542945143531043
pythia-160m,draw_2,very_high,3,723,0.0,0.013333333333333334,0.0008918972273376211
pythia-160m,draw_2,control,3,723,0.0,0.0,0.0003801634966071611
pythia-160m,draw_2,low,4,723,0.0,0.0,4.475494139133692e-05
pythia-160m,draw_2,medium,4,723,0.0,0.0,9.966950146917952e-05
pythia-160m,draw_2,high,4,723,0.0,0.0044444444444444444,0.0003255803399684333
pythia-160m,draw_2,very_high,4,723,0.0,0.013333333333333334,0.0008926721081525102
pythia-160m,draw_2,control,4,723,0.0,0.0,0.0003796028194633689
pythia-160m,draw_2,low,5,723,0.0,0.0,4.475669927716e-05
pythia-160m,draw_2,medium,5,723,0.0,0.0,9.960148924316551e-05
pythia-160m,draw_2,high,5,723,0.0,0.0044444444444444444,0.00032592900458490074
pythia-160m,draw_2,very_high,5,723,0.0,0.013333333333333334,0.0008934894851750464
pythia-160m,draw_2,control,5,723,0.0,0.0,0.00038024575766321
pythia-160m,draw_2,low,6,723,0.0,0.0,4.552387607361652e-05
pythia-160m,draw_2,medium,6,723,0.0,0.0,9.998800920862374e-05
pythia-160m,draw_2,high,6,723,0.0,0.0044444444444444444,0.0003231868142423385
pythia-160m,draw_2,very_high,6,723,0.0,0.013333333333333334,0.0008854356092898443
pythia-160m,draw_2,control,6,723,0.0,0.0,0.00037992077228700004
pythia-160m,draw_2,low,7,723,0.0,0.0,4.476343181017405e-05
pythia-160m,draw_2,medium,7,723,0.0,0.0,9.959032055980464e-05
pythia-160m,draw_2,high,7,723,0.0,0.0044444444444444444,0.00032576572962221285
pythia-160m,draw_2,very_high,7,723,0.0,0.013333333333333334,0.0008933892423829093
pythia-160m,draw_2,control,7,723,0.0,0.0,0.0003802338848879572
pythia-160m,draw_2,low,8,723,0.0,0.0,4.4690381602537046e-05
pythia-160m,draw_2,medium,8,723,0.0,0.0,9.957725552996837e-05
pythia-160m,draw_2,high,8,723,0.0,0.0044444444444444444,0.000328248896989357
pythia-160m,draw_2,very_high,8,723,0.0,0.013333333333333334,0.0008883961486248559
pythia-160m,draw_2,control,8,723,0.0,0.0,0.0003806627569991229
pythia-160m,draw_2,low,9,723,0.0,0.0,4.476402343976184e-05
pythia-160m,draw_2,medium,9,723,0.0,0.0,9.969986926004519e-05
pythia-160m,draw_2,high,9,723,0.0,0.0044444444444444444,0.0003259258009888476
pythia-160m,draw_2,very_high,9,723,0.0,0.013333333333333334,0.0008942963050281429
pythia-160m,draw_2,control,9,723,0.0,0.0,0.0003801330188021742
pythia-160m,draw_2,low,10,723,0.0,0.0,4.4781118305713286e-05
pythia-160m,draw_2,medium,10,723,0.0,0.0,9.995451743482894e-05
pythia-160m,draw_2,high,10,723,0.0,0.0044444444444444444,0.00032583645153762416
pythia-160m,draw_2,very_high,10,723,0.0,0.013333333333333334,0.0008949993267298042
pythia-160m,draw_2,control,10,723,0.0,0.0,0.0003810037820259519
pythia-160m,draw_3,low,1,723,0.0,0.0,4.798648582698838e-05
pythia-160m,draw_3,medium,1,723,0.0,0.0,9.0213762805686e-05
pythia-160m,draw_3,high,1,723,0.0,0.0044444444444444444,0.000365499738203299
pythia-160m,draw_3,very_high,1,723,0.0,0.0,0.0006104550333919987
pythia-160m,draw_3,control,1,723,0.0,0.0,0.00043318829426273927
pythia-160m,draw_3,low,2,723,0.0,0.0,4.803577756591595e-05
pythia-160m,draw_3,medium,2,723,0.0,0.0,9.061649814561356e-05
pythia-160m,draw_3,high,2,723,0.0044444444444444444,0.0044444444444444444,0.0003756165140640001
pythia-160m,draw_3,very_high,2,723,0.0,0.0,0.000611995002713128
pythia-160m,draw_3,control,2,723,0.0,0.0,0.00043640189052161483
pythia-160m,draw_3,low,3,723,0.0,0.0,4.77814614225104e-05
pythia-160m,draw_3,medium,3,723,0.0,0.0,9.0899317113124e-05
