model,draw,test_band,layer_group,layers_in_group,n_edges_total,n_edges_removed,n_edges_full,accuracy,top5_accuracy,full_circuit_acc,accuracy_drop,relative_drop
pythia-70m,draw_1,low,early,"[0, 1]",377,3,380,0.2088888888888889,0.36,0.2429629629629629,0.03407407407407401,0.14024390243902415
pythia-70m,draw_1,low,middle,"[2, 3]",341,39,380,0.2,0.3688888888888889,0.2429629629629629,0.0429629629629629,0.1768292682926827
pythia-70m,draw_1,low,late,"[4, 5]",339,41,380,0.17333333333333334,0.3111111111111111,0.2429629629629629,0.06962962962962957,0.28658536585365835
pythia-70m,draw_1,medium,early,"[0, 1]",392,3,395,0.38222222222222224,0.4888888888888889,0.3481481481481481,-0.034074074074074145,-0.09787234042553214
pythia-70m,draw_1,medium,middle,"[2, 3]",351,44,395,0.3333333333333333,0.4488888888888889,0.3481481481481481,0.01481481481481478,0.04255319148936161
pythia-70m,draw_1,medium,late,"[4, 5]",344,51,395,0.3022222222222222,0.4622222222222222,0.3481481481481481,0.04592592592592587,0.13191489361702113
pythia-70m,draw_1,high,early,"[0, 1]",408,6,414,0.38222222222222224,0.5155555555555555,0.4162962962962963,0.034074074074074034,0.08185053380782908
pythia-70m,draw_1,high,middle,"[2, 3]",361,53,414,0.36444444444444446,0.48444444444444446,0.4162962962962963,0.051851851851851816,0.12455516014234867
pythia-70m,draw_1,high,late,"[4, 5]",356,58,414,0.3422222222222222,0.4888888888888889,0.4162962962962963,0.07407407407407407,0.17793594306049823
pythia-70m,draw_1,very_high,early,"[0, 1]",413,11,424,0.49333333333333335,0.7066666666666667,0.5496296296296297,0.056296296296296344,0.10242587601078175
pythia-70m,draw_1,very_high,middle,"[2, 3]",358,66,424,0.4088888888888889,0.6533333333333333,0.5496296296296297,0.14074074074074078,0.2560646900269542
pythia-70m,draw_1,very_high,late,"[4, 5]",374,50,424,0.48444444444444446,0.6888888888888889,0.5496296296296297,0.06518518518518523,0.11859838274932623
pythia-70m,draw_1,control,early,"[0, 1]",427,8,435,0.49777777777777776,0.6888888888888889,0.525925925925926,0.028148148148148255,0.05352112676056357
pythia-70m,draw_1,control,middle,"[2, 3]",362,73,435,0.4088888888888889,0.6,0.525925925925926,0.1170370370370371,0.22253521126760573
pythia-70m,draw_1,control,late,"[4, 5]",378,57,435,0.4311111111111111,0.64,0.525925925925926,0.09481481481481491,0.18028169014084522
pythia-70m,draw_2,low,early,"[0, 1]",393,3,396,0.3022222222222222,0.4577777777777778,0.2429629629629629,-0.05925925925925932,-0.24390243902439054
pythia-70m,draw_2,low,middle,"[2, 3]",353,43,396,0.27555555555555555,0.4311111111111111,0.2429629629629629,-0.032592592592592645,-0.1341463414634149
pythia-70m,draw_2,low,late,"[4, 5]",343,53,396,0.26222222222222225,0.4311111111111111,0.2429629629629629,-0.019259259259259337,-0.07926829268292716
pythia-70m,draw_2,medium,early,"[0, 1]",386,6,392,0.31555555555555553,0.4488888888888889,0.3481481481481481,0.03259259259259256,0.09361702127659567
pythia-70m,draw_2,medium,middle,"[2, 3]",347,45,392,0.3111111111111111,0.4533333333333333,0.3481481481481481,0.03703703703703698,0.1063829787234041
pythia-70m,draw_2,medium,late,"[4, 5]",348,44,392,0.3022222222222222,0.43555555555555553,0.3481481481481481,0.04592592592592587,0.13191489361702113
pythia-70m,draw_2,high,early,"[0, 1]",394,11,405,0.3688888888888889,0.6044444444444445,0.4162962962962963,0.0474074074074074,0.11387900355871884
pythia-70m,draw_2,high,middle,"[2, 3]",354,51,405,0.3244444444444444,0.5333333333333333,0.4162962962962963,0.09185185185185185,0.2206405693950178
pythia-70m,draw_2,high,late,"[4, 5]",359,46,405,0.3377777777777778,0.5644444444444444,0.4162962962962963,0.07851851851851849,0.18861209964412806
pythia-70m,draw_2,very_high,early,"[0, 1]",406,11,417,0.49333333333333335,0.6444444444444445,0.5496296296296297,0.056296296296296344,0.10242587601078175
pythia-70m,draw_2,very_high,middle,"[2, 3]",354,63,417,0.4622222222222222,0.5955555555555555,0.5496296296296297,0.08740740740740749,0.15902964959568747
pythia-70m,draw_2,very_high,late,"[4, 5]",371,46,417,0.4533333333333333,0.6488888888888888,0.5496296296296297,0.09629629629629638,0.17520215633423195
pythia-70m,draw_2,control,early,"[0, 1]",404,6,410,0.48444444444444446,0.6577777777777778,0.525925925925926,0.041481481481481564,0.07887323943661986
pythia-70m,draw_2,control,middle,"[2, 3]",347,63,410,0.4533333333333333,0.6044444444444445,0.525925925925926,0.07259259259259271,0.1380281690140847
pythia-70m,draw_2,control,late,"[4, 5]",366,44,410,0.4222222222222222,0.6222222222222222,0.525925925925926,0.1037037037037038,0.19718309859154945
pythia-70m,draw_3,low,early,"[0, 1]",388,3,391,0.20444444444444446,0.3466666666666667,0.2429629629629629,0.03851851851851845,0.1585365853658534
pythia-70m,draw_3,low,middle,"[2, 3]",363,28,391,0.19555555555555557,0.3288888888888889,0.2429629629629629,0.04740740740740734,0.19512195121951198
pythia-70m,draw_3,low,late,"[4, 5]",342,49,391,0.19111111111111112,0.3244444444444444,0.2429629629629629,0.05185185185185179,0.21341463414634124
pythia-70m,draw_3,medium,early,"[0, 1]",402,4,406,0.31555555555555553,0.44,0.3481481481481481,0.03259259259259256,0.09361702127659567
pythia-70m,draw_3,medium,middle,"[2, 3]",355,51,406,0.27555555555555555,0.4088888888888889,0.3481481481481481,0.07259259259259254,0.20851063829787223
pythia-70m,draw_3,medium,late,"[4, 5]",366,40,406,0.27111111111111114,0.41333333333333333,0.3481481481481481,0.07703703703703696,0.22127659574468067
pythia-70m,draw_3,high,early,"[0, 1]",424,7,431,0.4577777777777778,0.6311111111111111,0.4162962962962963,-0.04148148148148151,-0.09964412811387907
pythia-70m,draw_3,high,middle,"[2, 3]",369,62,431,0.38666666666666666,0.5511111111111111,0.4162962962962963,0.029629629629629617,0.07117437722419927
pythia-70m,draw_3,high,late,"[4, 5]",380,51,431,0.38222222222222224,0.5644444444444444,0.4162962962962963,0.034074074074074034,0.08185053380782908
pythia-70m,draw_3,very_high,early,"[0, 1]",408,9,417,0.5866666666666667,0.72,0.5496296296296297,-0.03703703703703698,-0.0673854447439352
pythia-70m,draw_3,very_high,middle,"[2, 3]",357,60,417,0.49777777777777776,0.6711111111111111,0.5496296296296297,0.05185185185185193,0.09433962264150957
pythia-70m,draw_3,very_high,late,"[4, 5]",380,37,417,0.5555555555555556,0.7111111111111111,0.5496296296296297,-0.00592592592592589,-0.010781671159029583
pythia-70m,draw_3,control,early,"[0, 1]",420,6,426,0.5288888888888889,0.7244444444444444,0.525925925925926,-0.002962962962962834,-0.005633802816901162
pythia-70m,draw_3,control,middle,"[2, 3]",366,60,426,0.4622222222222222,0.6533333333333333,0.525925925925926,0.06370370370370382,0.12112676056338048
pythia-70m,draw_3,control,late,"[4, 5]",377,49,426,0.5022222222222222,0.6844444444444444,0.525925925925926,0.023703703703703782,0.04507042253521141
pythia-160m,draw_1,low,early,"[0, 1, 2, 3]",1409,54,1463,0.8444444444444444,0.9555555555555556,0.8903703703703704,0.045925925925925926,0.051580698835274545
pythia-160m,draw_1,low,middle,"[4, 5, 6, 7]",1131,332,1463,0.7333333333333333,0.8844444444444445,0.8903703703703704,0.15703703703703709,0.1763727121464227
pythia-160m,draw_1,low,late,"[8, 9, 10, 11]",1080,383,1463,0.6844444444444444,0.8844444444444445,0.8903703703703704,0.20592592592592596,0.23128119800332783
pythia-160m,draw_1,medium,early,"[0, 1, 2, 3]",1376,70,1446,0.8755555555555555,0.9822222222222222,0.9111111111111112,0.035555555555555673,0.039024390243902564
pythia-160m,draw_1,medium,middle,"[4, 5, 6, 7]",1148,298,1446,0.76,0.9422222222222222,0.9111111111111112,0.1511111111111112,0.16585365853658543
pythia-160m,draw_1,medium,late,"[8, 9, 10, 11]",1062,384,1446,0.7733333333333333,0.9555555555555556,0.9111111111111112,0.1377777777777779,0.15121951219512206
pythia-160m,draw_1,high,early,"[0, 1, 2, 3]",1303,57,1360,0.8311111111111111,0.9644444444444444,0.9229629629629628,0.09185185185185163,0.09951845906902065
pythia-160m,draw_1,high,middle,"[4, 5, 6, 7]",1074,286,1360,0.76,0.9111111111111111,0.9229629629629628,0.16296296296296275,0.176565008025682
