model,draw,test_band,layer_group,layers_in_group,n_edges_total,n_edges_removed,n_edges_full,accuracy,top5_accuracy,full_circuit_acc,accuracy_drop,relative_drop
pythia-160m,draw_1,high,late,"[8, 9, 10, 11]",1037,323,1360,0.8044444444444444,0.9422222222222222,0.9229629629629628,0.11851851851851836,0.1284109149277687
pythia-160m,draw_1,very_high,early,"[0, 1, 2, 3]",1274,84,1358,0.8844444444444445,0.96,0.9511111111111112,0.06666666666666676,0.07009345794392532
pythia-160m,draw_1,very_high,middle,"[4, 5, 6, 7]",1043,315,1358,0.8266666666666667,0.9511111111111111,0.9511111111111112,0.12444444444444458,0.13084112149532723
pythia-160m,draw_1,very_high,late,"[8, 9, 10, 11]",1093,265,1358,0.92,0.9777777777777777,0.9511111111111112,0.0311111111111112,0.03271028037383186
pythia-160m,draw_1,control,early,"[0, 1, 2, 3]",1320,72,1392,0.8266666666666667,0.9377777777777778,0.9362962962962964,0.10962962962962974,0.11708860759493682
pythia-160m,draw_1,control,middle,"[4, 5, 6, 7]",1063,329,1392,0.7955555555555556,0.9155555555555556,0.9362962962962964,0.14074074074074083,0.1503164556962026
pythia-160m,draw_1,control,late,"[8, 9, 10, 11]",1095,297,1392,0.8311111111111111,0.9466666666666667,0.9362962962962964,0.10518518518518527,0.1123417721518988
pythia-160m,draw_2,low,early,"[0, 1, 2, 3]",1422,61,1483,0.8666666666666667,0.9466666666666667,0.8903703703703704,0.02370370370370367,0.026622296173044888
pythia-160m,draw_2,low,middle,"[4, 5, 6, 7]",1168,315,1483,0.7644444444444445,0.9333333333333333,0.8903703703703704,0.12592592592592589,0.14143094841930112
pythia-160m,draw_2,low,late,"[8, 9, 10, 11]",1099,384,1483,0.7333333333333333,0.9466666666666667,0.8903703703703704,0.15703703703703709,0.1763727121464227
pythia-160m,draw_2,medium,early,"[0, 1, 2, 3]",1459,54,1513,0.8577777777777778,0.9688888888888889,0.9111111111111112,0.053333333333333455,0.05853658536585379
pythia-160m,draw_2,medium,middle,"[4, 5, 6, 7]",1178,335,1513,0.8355555555555556,0.9688888888888889,0.9111111111111112,0.0755555555555556,0.08292682926829271
pythia-160m,draw_2,medium,late,"[8, 9, 10, 11]",1112,401,1513,0.76,0.9466666666666667,0.9111111111111112,0.1511111111111112,0.16585365853658543
pythia-160m,draw_2,high,early,"[0, 1, 2, 3]",1381,73,1454,0.9288888888888889,0.9866666666666667,0.9229629629629628,-0.005925925925926112,-0.006420545746388646
pythia-160m,draw_2,high,middle,"[4, 5, 6, 7]",1124,330,1454,0.8488888888888889,0.9644444444444444,0.9229629629629628,0.07407407407407385,0.08025682182985532
pythia-160m,draw_2,high,late,"[8, 9, 10, 11]",1126,328,1454,0.8577777777777778,0.96,0.9229629629629628,0.06518518518518501,0.07062600321027271
pythia-160m,draw_2,very_high,early,"[0, 1, 2, 3]",1225,81,1306,0.8666666666666667,0.9422222222222222,0.9511111111111112,0.08444444444444454,0.08878504672897206
pythia-160m,draw_2,very_high,middle,"[4, 5, 6, 7]",1052,254,1306,0.9022222222222223,0.9644444444444444,0.9511111111111112,0.04888888888888898,0.051401869158878594
pythia-160m,draw_2,very_high,late,"[8, 9, 10, 11]",1058,248,1306,0.8888888888888888,0.9688888888888889,0.9511111111111112,0.0622222222222224,0.06542056074766373
pythia-160m,draw_2,control,early,"[0, 1, 2, 3]",1300,80,1380,0.8666666666666667,0.9733333333333334,0.9362962962962964,0.06962962962962971,0.07436708860759501
pythia-160m,draw_2,control,middle,"[4, 5, 6, 7]",1091,289,1380,0.8577777777777778,0.9644444444444444,0.9362962962962964,0.07851851851851865,0.08386075949367103
pythia-160m,draw_2,control,late,"[8, 9, 10, 11]",1092,288,1380,0.84,0.9644444444444444,0.9362962962962964,0.09629629629629644,0.10284810126582292
pythia-160m,draw_3,low,early,"[0, 1, 2, 3]",1342,66,1408,0.8088888888888889,0.9333333333333333,0.8903703703703704,0.08148148148148149,0.09151414309484193
pythia-160m,draw_3,low,middle,"[4, 5, 6, 7]",1135,273,1408,0.8355555555555556,0.9466666666666667,0.8903703703703704,0.05481481481481476,0.06156405990016633
pythia-160m,draw_3,low,late,"[8, 9, 10, 11]",1062,346,1408,0.7511111111111111,0.9066666666666666,0.8903703703703704,0.1392592592592593,0.156405990016639
pythia-160m,draw_3,medium,early,"[0, 1, 2, 3]",1419,56,1475,0.8355555555555556,0.9555555555555556,0.9111111111111112,0.0755555555555556,0.08292682926829271
pythia-160m,draw_3,medium,middle,"[4, 5, 6, 7]",1160,315,1475,0.84,0.9288888888888889,0.9111111111111112,0.07111111111111124,0.078048780487805
pythia-160m,draw_3,medium,late,"[8, 9, 10, 11]",1094,381,1475,0.8444444444444444,0.9422222222222222,0.9111111111111112,0.06666666666666676,0.07317073170731717
pythia-160m,draw_3,high,early,"[0, 1, 2, 3]",1323,62,1385,0.8666666666666667,0.9688888888888889,0.9229629629629628,0.05629629629629607,0.06099518459068997
pythia-160m,draw_3,high,middle,"[4, 5, 6, 7]",1095,290,1385,0.8666666666666667,0.9466666666666667,0.9229629629629628,0.05629629629629607,0.06099518459068997
pythia-160m,draw_3,high,late,"[8, 9, 10, 11]",1075,310,1385,0.8666666666666667,0.96,0.9229629629629628,0.05629629629629607,0.06099518459068997
pythia-160m,draw_3,very_high,early,"[0, 1, 2, 3]",1230,100,1330,0.8933333333333333,0.9422222222222222,0.9511111111111112,0.05777777777777793,0.06074766355140202
pythia-160m,draw_3,very_high,middle,"[4, 5, 6, 7]",1047,283,1330,0.88,0.9466666666666667,0.9511111111111112,0.07111111111111124,0.07476635514018704
pythia-160m,draw_3,very_high,late,"[8, 9, 10, 11]",1106,224,1330,0.8755555555555555,0.9866666666666667,0.9511111111111112,0.07555555555555571,0.07943925233644875
pythia-160m,draw_3,control,early,"[0, 1, 2, 3]",1272,73,1345,0.8355555555555556,0.9377777777777778,0.9362962962962964,0.1007407407407408,0.1075949367088608
pythia-160m,draw_3,control,middle,"[4, 5, 6, 7]",1084,261,1345,0.8711111111111111,0.9422222222222222,0.9362962962962964,0.06518518518518535,0.06962025316455712
pythia-160m,draw_3,control,late,"[8, 9, 10, 11]",1057,288,1345,0.9155555555555556,0.9777777777777777,0.9362962962962964,0.020740740740740837,0.022151898734177316
pythia-410m,draw_1,low,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3740,217,3957,0.9022222222222223,0.9777777777777777,0.9466666666666668,0.04444444444444451,0.0469483568075118
pythia-410m,draw_1,low,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2749,1208,3957,0.5733333333333334,0.7777777777777778,0.9466666666666668,0.3733333333333334,0.3943661971830986
pythia-410m,draw_1,low,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2708,1249,3957,0.7022222222222222,0.8666666666666667,0.9466666666666668,0.24444444444444458,0.2582159624413147
pythia-410m,draw_1,medium,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3592,217,3809,0.96,0.9955555555555555,0.9748148148148148,0.014814814814814836,0.015197568389057774
pythia-410m,draw_1,medium,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2742,1067,3809,0.8177777777777778,0.92,0.9748148148148148,0.15703703703703698,0.1610942249240121
pythia-410m,draw_1,medium,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2567,1242,3809,0.9111111111111111,0.9822222222222222,0.9748148148148148,0.0637037037037037,0.06534954407294834
pythia-410m,draw_1,high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3281,199,3480,0.9422222222222222,0.9911111111111112,0.9674074074074074,0.0251851851851852,0.02603369065849925
pythia-410m,draw_1,high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2449,1031,3480,0.7466666666666667,0.8577777777777778,0.9674074074074074,0.22074074074074068,0.228177641653905
pythia-410m,draw_1,high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2513,967,3480,0.8888888888888888,0.9866666666666667,0.9674074074074074,0.07851851851851854,0.08116385911179176
pythia-410m,draw_1,very_high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",2950,181,3131,0.8977777777777778,0.9511111111111111,0.9629629629629628,0.06518518518518501,0.06769230769230752
pythia-410m,draw_1,very_high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2290,841,3131,0.7688888888888888,0.8666666666666667,0.9629629629629628,0.19407407407407395,0.20153846153846144
pythia-410m,draw_1,very_high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2305,826,3131,0.8933333333333333,0.9688888888888889,0.9629629629629628,0.06962962962962949,0.07230769230769217
pythia-410m,draw_1,control,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3231,194,3425,0.9511111111111111,0.9911111111111112,0.9688888888888888,0.01777777777777767,0.0183486238532109
pythia-410m,draw_1,control,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2470,955,3425,0.7466666666666667,0.8844444444444445,0.9688888888888888,0.2222222222222221,0.22935779816513752
pythia-410m,draw_1,control,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2432,993,3425,0.8844444444444445,0.9644444444444444,0.9688888888888888,0.08444444444444432,0.08715596330275217
pythia-410m,draw_2,low,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3661,187,3848,0.9111111111111111,0.9511111111111111,0.9466666666666668,0.035555555555555673,0.03755868544600951
pythia-410m,draw_2,low,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2717,1131,3848,0.8533333333333334,0.9333333333333333,0.9466666666666668,0.09333333333333338,0.09859154929577468
pythia-410m,draw_2,low,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2619,1229,3848,0.6711111111111111,0.8888888888888888,0.9466666666666668,0.27555555555555566,0.29107981220657286
pythia-410m,draw_2,medium,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3533,176,3709,0.9644444444444444,0.9955555555555555,0.9748148148148148,0.010370370370370363,0.010638297872340418
pythia-410m,draw_2,medium,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2688,1021,3709,0.8755555555555555,0.9644444444444444,0.9748148148148148,0.09925925925925927,0.10182370820668694
pythia-410m,draw_2,medium,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2498,1211,3709,0.7466666666666667,0.9422222222222222,0.9748148148148148,0.2281481481481481,0.2340425531914893
pythia-410m,draw_2,high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3317,166,3483,0.9511111111111111,0.9866666666666667,0.9674074074074074,0.016296296296296253,0.016845329249617107
pythia-410m,draw_2,high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2499,984,3483,0.9333333333333333,0.9644444444444444,0.9674074074074074,0.034074074074074034,0.03522205206738128
pythia-410m,draw_2,high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2451,1032,3483,0.8888888888888888,0.9688888888888889,0.9674074074074074,0.07851851851851854,0.08116385911179176
pythia-410m,draw_2,very_high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3253,223,3476,0.92,0.9688888888888889,0.9629629629629628,0.04296296296296276,0.04461538461538441
pythia-410m,draw_2,very_high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2503,973,3476,0.8622222222222222,0.9511111111111111,0.9629629629629628,0.10074074074074058,0.10461538461538446
pythia-410m,draw_2,very_high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2497,979,3476,0.9022222222222223,0.9688888888888889,0.9629629629629628,0.06074074074074054,0.06307692307692288
pythia-410m,draw_2,control,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3076,241,3317,0.8888888888888888,0.9688888888888889,0.9688888888888888,0.07999999999999996,0.0825688073394495
pythia-410m,draw_2,control,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2419,898,3317,0.8666666666666667,0.9688888888888889,0.9688888888888888,0.1022222222222221,0.10550458715596318
pythia-410m,draw_2,control,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2440,877,3317,0.8977777777777778,0.9777777777777777,0.9688888888888888,0.07111111111111101,0.07339449541284394
pythia-410m,draw_3,low,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3905,217,4122,0.9244444444444444,0.9688888888888889,0.9466666666666668,0.022222222222222365,0.023474178403756017
pythia-410m,draw_3,low,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2877,1245,4122,0.8888888888888888,0.9555555555555556,0.9466666666666668,0.05777777777777793,0.06103286384976541
pythia-410m,draw_3,low,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2786,1336,4122,0.7822222222222223,0.9555555555555556,0.9466666666666668,0.1644444444444445,0.17370892018779346
pythia-410m,draw_3,medium,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3698,222,3920,0.9377777777777778,0.9822222222222222,0.9748148148148148,0.03703703703703698,0.03799392097264432
pythia-410m,draw_3,medium,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2770,1150,3920,0.9244444444444444,0.9688888888888889,0.9748148148148148,0.0503703703703704,0.05167173252279638
pythia-410m,draw_3,medium,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2696,1224,3920,0.8755555555555555,0.9466666666666667,0.9748148148148148,0.09925925925925927,0.10182370820668694
pythia-410m,draw_3,high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3187,192,3379,0.9466666666666667,0.9955555555555555,0.9674074074074074,0.020740740740740726,0.02143950995405818
pythia-410m,draw_3,high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2507,872,3379,0.9511111111111111,0.9911111111111112,0.9674074074074074,0.016296296296296253,0.016845329249617107
pythia-410m,draw_3,high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2388,991,3379,0.8622222222222222,0.96,0.9674074074074074,0.10518518518518516,0.10872894333843795
pythia-410m,draw_3,very_high,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3033,247,3280,0.9288888888888889,0.9688888888888889,0.9629629629629628,0.03407407407407392,0.03538461538461524
pythia-410m,draw_3,very_high,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2408,872,3280,0.8977777777777778,0.9644444444444444,0.9629629629629628,0.06518518518518501,0.06769230769230752
pythia-410m,draw_3,very_high,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2443,837,3280,0.9244444444444444,0.9777777777777777,0.9629629629629628,0.038518518518518396,0.03999999999999988
pythia-410m,draw_3,control,early,"[0, 1, 2, 3, 4, 5, 6, 7]",3171,211,3382,0.9466666666666667,0.9866666666666667,0.9688888888888888,0.022222222222222143,0.022935779816513683
pythia-410m,draw_3,control,middle,"[8, 9, 10, 11, 12, 13, 14, 15]",2534,848,3382,0.9155555555555556,0.9822222222222222,0.9688888888888888,0.05333333333333323,0.055045871559632926
pythia-410m,draw_3,control,late,"[16, 17, 18, 19, 20, 21, 22, 23]",2383,999,3382,0.92,0.9822222222222222,0.9688888888888888,0.04888888888888876,0.050458715596330146
pythia-1b,draw_1,low,early,"[0, 1, 2, 3, 4]",913,59,972,0.7733333333333333,0.9333333333333333,0.9051851851851852,0.1318518518518519,0.1456628477905074
pythia-1b,draw_1,low,middle,"[5, 6, 7, 8, 9]",742,230,972,0.6755555555555556,0.8177777777777778,0.9051851851851852,0.22962962962962963,0.25368248772504093
pythia-1b,draw_1,low,late,"[10, 11, 12, 13, 14, 15]",637,335,972,0.3377777777777778,0.5822222222222222,0.9051851851851852,0.5674074074074074,0.6268412438625204
pythia-1b,draw_1,medium,early,"[0, 1, 2, 3, 4]",844,60,904,0.9066666666666666,0.9644444444444444,0.9348148148148148,0.028148148148148144,0.03011093502377179
pythia-1b,draw_1,medium,middle,"[5, 6, 7, 8, 9]",733,171,904,0.7955555555555556,0.9333333333333333,0.9348148148148148,0.1392592592592592,0.14896988906497616
pythia-1b,draw_1,medium,late,"[10, 11, 12, 13, 14, 15]",579,325,904,0.6444444444444445,0.8177777777777778,0.9348148148148148,0.2903703703703703,0.3106180665610142
pythia-1b,draw_1,high,early,"[0, 1, 2, 3, 4]",940,62,1002,0.8488888888888889,0.96,0.9362962962962964,0.08740740740740749,0.09335443037974692
pythia-1b,draw_1,high,middle,"[5, 6, 7, 8, 9]",802,200,1002,0.7822222222222223,0.9333333333333333,0.9362962962962964,0.15407407407407414,0.1645569620253165
pythia-1b,draw_1,high,late,"[10, 11, 12, 13, 14, 15]",610,392,1002,0.6977777777777778,0.8666666666666667,0.9362962962962964,0.23851851851851857,0.254746835443038
pythia-1b,draw_1,very_high,early,"[0, 1, 2, 3, 4]",760,57,817,0.84,0.9288888888888889,0.9362962962962964,0.09629629629629644,0.10284810126582292
pythia-1b,draw_1,very_high,middle,"[5, 6, 7, 8, 9]",657,160,817,0.7111111111111111,0.8444444444444444,0.9362962962962964,0.22518518518518527,0.2405063291139241
pythia-1b,draw_1,very_high,late,"[10, 11, 12, 13, 14, 15]",565,252,817,0.7555555555555555,0.9244444444444444,0.9362962962962964,0.18074074074074087,0.19303797468354442
pythia-1b,draw_1,control,early,"[0, 1, 2, 3, 4]",878,50,928,0.8888888888888888,0.9644444444444444,0.9407407407407408,0.05185185185185193,0.05511811023622055
pythia-1b,draw_1,control,middle,"[5, 6, 7, 8, 9]",697,231,928,0.7644444444444445,0.8977777777777778,0.9407407407407408,0.17629629629629628,0.1874015748031496
pythia-1b,draw_1,control,late,"[10, 11, 12, 13, 14, 15]",629,299,928,0.7288888888888889,0.8577777777777778,0.9407407407407408,0.21185185185185185,0.22519685039370077
pythia-1b,draw_2,low,early,"[0, 1, 2, 3, 4]",899,53,952,0.9066666666666666,0.9777777777777777,0.9051851851851852,-0.001481481481481417,-0.001636661211129225
pythia-1b,draw_2,low,middle,"[5, 6, 7, 8, 9]",735,217,952,0.64,0.7733333333333333,0.9051851851851852,0.2651851851851852,0.29296235679214405
pythia-1b,draw_2,low,late,"[10, 11, 12, 13, 14, 15]",626,326,952,0.47555555555555556,0.6755555555555556,0.9051851851851852,0.42962962962962964,0.4746317512274959
pythia-1b,draw_2,medium,early,"[0, 1, 2, 3, 4]",946,61,1007,0.9155555555555556,0.9777777777777777,0.9348148148148148,0.019259259259259198,0.02060221870047537
pythia-1b,draw_2,medium,middle,"[5, 6, 7, 8, 9]",778,229,1007,0.7955555555555556,0.9066666666666666,0.9348148148148148,0.1392592592592592,0.14896988906497616
pythia-1b,draw_2,medium,late,"[10, 11, 12, 13, 14, 15]",646,361,1007,0.64,0.8488888888888889,0.9348148148148148,0.29481481481481475,0.3153724247226624
pythia-1b,draw_2,high,early,"[0, 1, 2, 3, 4]",848,54,902,0.9244444444444444,0.9777777777777777,0.9362962962962964,0.011851851851852002,0.012658227848101425
pythia-1b,draw_2,high,middle,"[5, 6, 7, 8, 9]",710,192,902,0.7688888888888888,0.9244444444444444,0.9362962962962964,0.16740740740740756,0.17879746835443053
pythia-1b,draw_2,high,late,"[10, 11, 12, 13, 14, 15]",602,300,902,0.7377777777777778,0.9111111111111111,0.9362962962962964,0.19851851851851865,0.2120253164556963
pythia-1b,draw_2,very_high,early,"[0, 1, 2, 3, 4]",847,64,911,0.9288888888888889,0.9866666666666667,0.9362962962962964,0.007407407407407529,0.00791139240506342
pythia-1b,draw_2,very_high,middle,"[5, 6, 7, 8, 9]",715,196,911,0.6888888888888889,0.8311111111111111,0.9362962962962964,0.24740740740740752,0.264240506329114
pythia-1b,draw_2,very_high,late,"[10, 11, 12, 13, 14, 15]",616,295,911,0.8133333333333334,0.9511111111111111,0.9362962962962964,0.12296296296296305,0.13132911392405072
pythia-1b,draw_2,control,early,"[0, 1, 2, 3, 4]",794,29,823,0.9244444444444444,0.9866666666666667,0.9407407407407408,0.016296296296296364,0.017322834645669364
